District,Poll Number,Poll Name,Rex Barnes,John Lannon,Samuel Robert McLean,Scott Simms,Ed Sailor White,Rejected Ballots,Total Vote,Electors
Bonavista--Exploits/Bonavista--Exploits,1,Cottrell's Cove--Fortune Harbour,63,0,6,35,0,0,104,239
Bonavista--Exploits/Bonavista--Exploits,2,Leading Tickles,94,0,4,123,0,4,225,403
Bonavista--Exploits/Bonavista--Exploits,3A,Point Leamington,70,1,13,46,0,0,130,325
Bonavista--Exploits/Bonavista--Exploits,3B,Point Leamington,86,0,10,53,0,1,150,314
Bonavista--Exploits/Bonavista--Exploits,4,Point of Bay,27,0,10,37,1,1,76,202
Bonavista--Exploits/Bonavista--Exploits,5,Northern Arm,80,2,22,64,3,0,171,281
Bonavista--Exploits/Bonavista--Exploits,6,Botwood,79,0,13,87,3,0,182,585
Bonavista--Exploits/Bonavista--Exploits,7,Botwood,100,0,12,101,4,0,217,431
Bonavista--Exploits/Bonavista--Exploits,8,Botwood,57,0,6,75,0,0,138,237
Bonavista--Exploits/Bonavista--Exploits,9,Botwood,92,0,11,85,1,1,190,372
Bonavista--Exploits/Bonavista--Exploits,10,Botwood,34,0,8,62,0,1,105,251
Bonavista--Exploits/Bonavista--Exploits,11,Botwood,68,1,10,103,1,0,183,386
Bonavista--Exploits/Bonavista--Exploits,12,Botwood,50,0,10,60,1,0,121,312
Bonavista--Exploits/Bonavista--Exploits,13,Peterview,23,0,6,93,1,1,124,342
Bonavista--Exploits/Bonavista--Exploits,14,Peterview,20,4,6,67,2,0,99,283
Bonavista--Exploits/Bonavista--Exploits,15,Little Burnt Bay,38,0,5,23,1,0,67,248
Bonavista--Exploits/Bonavista--Exploits,16,Comfort Cove-Newstead,95,3,12,34,0,0,144,409
Bonavista--Exploits/Bonavista--Exploits,17,Boyd's Cove,49,2,8,44,2,0,105,209
Bonavista--Exploits/Bonavista--Exploits,18,Laurenceton,39,0,4,15,0,0,58,145
Bonavista--Exploits/Bonavista--Exploits,18-1,Brown's Arm--Porterville,89,4,7,21,1,0,122,274
Bonavista--Exploits/Bonavista--Exploits,19,Embree,110,2,9,32,1,0,154,313
Bonavista--Exploits/Bonavista--Exploits,20,Stanhope,64,0,4,35,0,1,104,236
Bonavista--Exploits/Bonavista--Exploits,21,Embree,57,1,1,29,2,0,90,216
Bonavista--Exploits/Bonavista--Exploits,22,Campbellton,78,1,13,81,1,0,174,375
Bonavista--Exploits/Bonavista--Exploits,23,Lewisporte,73,0,2,49,0,0,124,271
Bonavista--Exploits/Bonavista--Exploits,24,Lewisporte,146,0,15,99,2,1,263,593
Bonavista--Exploits/Bonavista--Exploits,25,Lewisporte,83,2,4,48,0,0,137,366
Bonavista--Exploits/Bonavista--Exploits,26A,Lewisporte,72,0,5,64,1,4,146,296
Bonavista--Exploits/Bonavista--Exploits,26B,Mobile poll/Bureau itinérant,Merged with No. 501A,,,,,,,28
Bonavista--Exploits/Bonavista--Exploits,27,Lewisporte,67,0,9,44,0,0,120,295
Bonavista--Exploits/Bonavista--Exploits,28,Lewisporte,64,0,13,39,1,0,117,288
Bonavista--Exploits/Bonavista--Exploits,29,Lewisporte,69,1,4,43,0,1,118,286
Bonavista--Exploits/Bonavista--Exploits,30,Lewisporte,104,0,14,68,0,0,186,464
Bonavista--Exploits/Bonavista--Exploits,31,Campbellton--Loon Bay,99,1,3,32,2,1,138,248
Bonavista--Exploits/Bonavista--Exploits,32,Baytona,51,4,6,23,1,2,87,248
Bonavista--Exploits/Bonavista--Exploits,32-1,Birchy Bay,99,3,8,70,0,3,183,472
Bonavista--Exploits/Bonavista--Exploits,33,Valley Pond,17,0,5,32,0,0,54,105
Bonavista--Exploits/Bonavista--Exploits,34,Moreton's Harbour,52,2,19,66,2,0,141,317
Bonavista--Exploits/Bonavista--Exploits,35,Cottlesville,56,2,6,49,2,0,115,225
Bonavista--Exploits/Bonavista--Exploits,36,Summerford,75,0,11,81,3,0,170,442
Bonavista--Exploits/Bonavista--Exploits,37,Carter's Cove,52,2,1,30,1,1,87,259
Bonavista--Exploits/Bonavista--Exploits,38,Summerford,41,1,1,47,1,2,93,329
Bonavista--Exploits/Bonavista--Exploits,39,Virgin Arm,40,5,7,31,0,3,86,296
Bonavista--Exploits/Bonavista--Exploits,40,Fairbank,23,0,8,21,0,0,52,135
Bonavista--Exploits/Bonavista--Exploits,41,Hillgrade,44,1,3,31,0,0,79,206
Bonavista--Exploits/Bonavista--Exploits,42,Herring Neck,35,3,6,37,1,0,82,279
Bonavista--Exploits/Bonavista--Exploits,43,Pikes Arm,34,2,7,53,0,1,97,254
Bonavista--Exploits/Bonavista--Exploits,44,Durrell,21,0,6,41,1,0,69,197
Bonavista--Exploits/Bonavista--Exploits,45,Crow Head,10,1,1,66,0,2,80,154
Bonavista--Exploits/Bonavista--Exploits,46,Twillingate,63,2,10,95,2,2,174,372
Bonavista--Exploits/Bonavista--Exploits,47,Twillingate,38,1,4,87,0,3,133,354
Bonavista--Exploits/Bonavista--Exploits,48,Durrell,31,1,4,62,0,0,98,269
Bonavista--Exploits/Bonavista--Exploits,49,Twillingate,80,5,16,114,3,2,220,627
Bonavista--Exploits/Bonavista--Exploits,50,Twillingate,22,2,2,54,2,2,84,277
Bonavista--Exploits/Bonavista--Exploits,51,Little Harbour,29,0,1,29,0,0,59,156
Bonavista--Exploits/Bonavista--Exploits,52,Tilting,71,1,10,45,0,1,128,208
Bonavista--Exploits/Bonavista--Exploits,53,Joe Batt's Arm,32,6,9,57,0,0,104,275
Bonavista--Exploits/Bonavista--Exploits,54,Joe Batt's Arm--Barr'd Island,23,2,5,51,0,0,81,258
Bonavista--Exploits/Bonavista--Exploits,55,Joe Batt's Arm,17,0,5,48,2,0,72,155
Bonavista--Exploits/Bonavista--Exploits,56,Fogo,42,1,8,48,1,1,101,401
Bonavista--Exploits/Bonavista--Exploits,57,Fogo,25,1,9,46,0,1,82,264
Bonavista--Exploits/Bonavista--Exploits,58,Island Harbour--Deep Bay,25,1,5,26,2,4,63,227
Bonavista--Exploits/Bonavista--Exploits,59,Seldom,43,1,3,61,0,0,108,350
Bonavista--Exploits/Bonavista--Exploits,60,Change Islands,48,1,5,31,1,0,86,285
Bonavista--Exploits/Bonavista--Exploits,61,Stag Harbour,38,0,6,27,0,0,71,168
Bonavista--Exploits/Bonavista--Exploits,62,Stoneville--Port Albert,98,0,5,29,1,0,133,345
Bonavista--Exploits/Bonavista--Exploits,63,Horwood,46,1,3,25,2,0,77,214
Bonavista--Exploits/Bonavista--Exploits,64,Gander Bay North,33,0,4,57,0,0,94,275
Bonavista--Exploits/Bonavista--Exploits,65,Victoria Cove,48,1,12,78,1,4,144,364
Bonavista--Exploits/Bonavista--Exploits,66,Davidsville,55,0,4,14,2,0,75,248
Bonavista--Exploits/Bonavista--Exploits,67,Frederickton,45,0,6,39,5,0,95,264
Bonavista--Exploits/Bonavista--Exploits,68,Noggin Cove,28,0,1,16,2,0,47,191
Bonavista--Exploits/Bonavista--Exploits,69A,Carmanville,41,2,12,27,1,3,86,327
