District,Poll Number,Poll Name,Bill Carr,Ken MacPhee,Geoff Regan,Martin Willison,Rejected Ballots,Total Vote,Electors
Halifax West/Halifax-Ouest,1,Pockwock,42,35,109,4,1,191,414
Halifax West/Halifax-Ouest,2A,Lucasville,60,81,151,8,0,300,565
Halifax West/Halifax-Ouest,2B,Lucasville,66,77,138,10,0,291,505
Halifax West/Halifax-Ouest,3,Lucasville,117,39,88,5,1,250,400
Halifax West/Halifax-Ouest,4,Upper Hammonds Plains,32,44,83,7,0,166,271
Halifax West/Halifax-Ouest,5,Upper Hammonds Plains,75,43,107,6,0,231,400
Halifax West/Halifax-Ouest,6,Highland Park,77,53,115,8,1,254,424
Halifax West/Halifax-Ouest,7,Hammond Plains,34,58,93,2,1,188,346
Halifax West/Halifax-Ouest,8,Highland Park,45,52,100,0,1,198,313
Halifax West/Halifax-Ouest,9,Highland Park,43,98,218,7,0,366,562
Halifax West/Halifax-Ouest,10,Highland Park,25,51,114,5,3,198,333
Halifax West/Halifax-Ouest,11,Highland Park,46,80,159,4,2,291,498
Halifax West/Halifax-Ouest,12,Highland Park,46,54,124,12,0,236,388
Halifax West/Halifax-Ouest,13,Highland Park,67,48,142,13,0,270,440
Halifax West/Halifax-Ouest,14,Uplands Park,64,40,120,6,0,230,370
Halifax West/Halifax-Ouest,15A,Stillwater Lake,73,58,146,12,1,290,481
Halifax West/Halifax-Ouest,15B,Stillwater Lake,79,75,151,11,2,318,542
Halifax West/Halifax-Ouest,16,Stillwater Lake,62,41,109,7,0,219,341
Halifax West/Halifax-Ouest,17,Halifax,68,85,105,4,1,263,524
Halifax West/Halifax-Ouest,18,Halifax,52,66,144,21,1,284,449
Halifax West/Halifax-Ouest,19,Halifax,40,24,39,5,0,108,200
Halifax West/Halifax-Ouest,20A,Halifax,42,44,108,5,1,200,295
Halifax West/Halifax-Ouest,20B,Halifax,36,47,109,6,1,199,311
Halifax West/Halifax-Ouest,21,Halifax,74,26,83,6,1,190,383
Halifax West/Halifax-Ouest,22,Halifax,29,56,188,2,0,275,400
Halifax West/Halifax-Ouest,23,Halifax,60,62,140,16,2,280,456
Halifax West/Halifax-Ouest,24,Halifax,36,57,218,8,0,319,518
Halifax West/Halifax-Ouest,25,Halifax,35,45,91,7,1,179,388
Halifax West/Halifax-Ouest,26,Halifax,26,53,123,4,0,206,386
Halifax West/Halifax-Ouest,27,Halifax,21,58,177,6,0,262,419
Halifax West/Halifax-Ouest,28,Halifax,32,56,154,7,0,249,352
Halifax West/Halifax-Ouest,29,Halifax,66,50,105,18,0,239,468
Halifax West/Halifax-Ouest,30,Halifax,33,40,153,9,2,237,369
Halifax West/Halifax-Ouest,31,Halifax,39,39,89,8,0,175,331
Halifax West/Halifax-Ouest,32,Halifax,37,62,147,3,2,251,357
Halifax West/Halifax-Ouest,33,Halifax,42,41,125,7,0,215,324
Halifax West/Halifax-Ouest,34,Halifax,14,70,119,6,1,210,394
Halifax West/Halifax-Ouest,35,Halifax,72,54,173,14,0,313,539
Halifax West/Halifax-Ouest,36,Halifax,53,50,138,8,2,251,399
Halifax West/Halifax-Ouest,37,Halifax,48,50,119,7,1,225,222
Halifax West/Halifax-Ouest,38,Halifax,32,62,128,6,0,228,392
Halifax West/Halifax-Ouest,39,Halifax,56,45,122,8,1,232,456
Halifax West/Halifax-Ouest,40A,Halifax,44,54,84,2,2,186,396
Halifax West/Halifax-Ouest,40B,Halifax,Merged with No. 37,,,,,,191
Halifax West/Halifax-Ouest,41,Halifax,36,47,81,13,0,177,380
Halifax West/Halifax-Ouest,42,Halifax,13,72,176,0,0,261,446
Halifax West/Halifax-Ouest,43,Halifax,47,51,162,12,1,273,545
Halifax West/Halifax-Ouest,44,Halifax,42,59,170,7,1,279,518
Halifax West/Halifax-Ouest,45,Halifax,44,37,90,3,0,174,380
Halifax West/Halifax-Ouest,46A,Halifax,55,37,110,6,0,208,363
Halifax West/Halifax-Ouest,46B,Halifax,38,43,104,13,0,198,386
Halifax West/Halifax-Ouest,47,Halifax,47,37,72,6,2,164,396
Halifax West/Halifax-Ouest,48,Halifax,59,91,207,7,0,364,503
Halifax West/Halifax-Ouest,49A,Halifax,45,35,102,5,1,188,300
Halifax West/Halifax-Ouest,49B,Halifax,46,46,91,6,0,189,319
Halifax West/Halifax-Ouest,50,Halifax,28,23,56,2,1,110,235
Halifax West/Halifax-Ouest,51,Halifax,19,20,34,5,0,78,202
Halifax West/Halifax-Ouest,52,Halifax,36,43,121,9,0,209,339
Halifax West/Halifax-Ouest,53A,Halifax,61,55,145,12,0,273,448
Halifax West/Halifax-Ouest,53B,Halifax,36,41,140,5,0,222,431
Halifax West/Halifax-Ouest,54,Halifax,66,51,153,18,1,289,428
Halifax West/Halifax-Ouest,55,Halifax,57,37,113,6,2,215,343
Halifax West/Halifax-Ouest,56A,Halifax,31,33,75,5,1,145,335
Halifax West/Halifax-Ouest,56B,Halifax,41,23,61,2,1,128,326
Halifax West/Halifax-Ouest,57,Halifax,36,18,63,7,1,125,274
Halifax West/Halifax-Ouest,58,Halifax,50,43,91,10,0,194,430
Halifax West/Halifax-Ouest,59,Halifax,Merged with No. 60,,,,,,113
Halifax West/Halifax-Ouest,60,Halifax,46,34,141,8,0,229,231
Halifax West/Halifax-Ouest,61A,Halifax,30,32,82,1,0,145,305
Halifax West/Halifax-Ouest,61B,Halifax,23,16,83,2,1,125,284
Halifax West/Halifax-Ouest,62A,Halifax,52,37,109,4,0,202,526
Halifax West/Halifax-Ouest,62B,Halifax,47,49,88,3,2,189,438
Halifax West/Halifax-Ouest,63,Halifax,71,57,114,19,0,261,394
Halifax West/Halifax-Ouest,64A,Halifax,76,37,82,3,0,198,360
Halifax West/Halifax-Ouest,64B,Halifax,86,30,105,7,1,229,388
Halifax West/Halifax-Ouest,65,Halifax,35,35,166,6,1,243,515
Halifax West/Halifax-Ouest,66,Halifax,50,51,121,11,0,233,381
Halifax West/Halifax-Ouest,67,Halifax,58,54,98,13,0,223,327
Halifax West/Halifax-Ouest,68,Halifax,65,29,75,7,2,178,389
Halifax West/Halifax-Ouest,69,Halifax,49,15,63,4,0,131,298
Halifax West/Halifax-Ouest,70,Halifax,58,34,73,8,0,173,316
Halifax West/Halifax-Ouest,71,Halifax,48,34,76,3,0,161,321
Halifax West/Halifax-Ouest,72,Halifax,64,49,116,9,2,240,431
Halifax West/Halifax-Ouest,73,Halifax,59,45,163,11,3,281,409
Halifax West/Halifax-Ouest,74,Halifax,52,35,106,6,3,202,329
Halifax West/Halifax-Ouest,75,Halifax,74,67,144,10,0,295,511
Halifax West/Halifax-Ouest,76,Halifax,73,57,120,7,1,258,499
Halifax West/Halifax-Ouest,77,Halifax,45,53,186,7,0,291,438
Halifax West/Halifax-Ouest,78,Halifax,68,69,122,15,1,275,534
Halifax West/Halifax-Ouest,79,Halifax,66,29,79,8,0,182,406
Halifax West/Halifax-Ouest,80,Halifax,62,32,111,5,0,210,449
Halifax West/Halifax-Ouest,81,Halifax,75,17,66,5,0,163,401
Halifax West/Halifax-Ouest,82,Halifax,67,9,44,9,0,129,267
Halifax West/Halifax-Ouest,83,Halifax,61,9,40,5,0,115,309
Halifax West/Halifax-Ouest,84,Halifax,74,34,58,8,2,176,284
Halifax West/Halifax-Ouest,85,Halifax,54,18,43,4,1,120,251
Halifax West/Halifax-Ouest,86,Halifax,86,36,131,12,0,265,519
Halifax West/Halifax-Ouest,87,Halifax,82,13,60,9,0,164,458
Halifax West/Halifax-Ouest,88,Halifax,93,25,58,3,0,179,338
Halifax West/Halifax-Ouest,89,Halifax,76,24,79,10,0,189,355
Halifax West/Halifax-Ouest,90,Halifax,75,21,88,7,0,191,336
Halifax West/Halifax-Ouest,91,Halifax,89,17,42,6,1,155,337
Halifax West/Halifax-Ouest,92,Halifax,80,22,62,8,3,175,309
Halifax West/Halifax-Ouest,93,Halifax,100,30,63,13,0,206,472
Halifax West/Halifax-Ouest,94,Halifax,53,17,42,5,0,117,280
Halifax West/Halifax-Ouest,95,Halifax,86,26,92,3,1,208,418
Halifax West/Halifax-Ouest,96,Halifax,123,48,103,15,6,295,476
Halifax West/Halifax-Ouest,97,Halifax,68,32,98,12,1,211,344
Halifax West/Halifax-Ouest,98,Halifax,79,28,94,14,1,216,377
Halifax West/Halifax-Ouest,99,Halifax,94,58,108,5,1,266,395
Halifax West/Halifax-Ouest,100,Halifax,41,34,128,3,0,206,375
Halifax West/Halifax-Ouest,101,Halifax,49,27,126,3,0,205,371
Halifax West/Halifax-Ouest,102A,Halifax,69,58,158,8,0,293,460
Halifax West/Halifax-Ouest,102B,Halifax,88,63,151,9,0,311,521
Halifax West/Halifax-Ouest,102C,Halifax,76,69,128,9,0,282,459
Halifax West/Halifax-Ouest,102D,Mobile poll/Bureau itinérant,19,41,90,2,3,155,201
Halifax West/Halifax-Ouest,103A,Halifax,62,45,72,12,0,191,418
Halifax West/Halifax-Ouest,103B,Halifax,43,29,77,4,0,153,304
Halifax West/Halifax-Ouest,103C,Halifax,47,81,152,11,1,292,430
Halifax West/Halifax-Ouest,103D,Mobile poll/Bureau itinérant,Merged with No. 102D,,,,,,27
Halifax West/Halifax-Ouest,104,Halifax,Merged with No. 105A,,,,,,208
Halifax West/Halifax-Ouest,105A,Halifax,57,32,61,4,0,154,231
Halifax West/Halifax-Ouest,105B,Halifax,58,20,48,1,0,127,403
Halifax West/Halifax-Ouest,106,Halifax,32,22,68,6,0,128,292
Halifax West/Halifax-Ouest,107,Halifax,57,35,111,5,0,208,426
Halifax West/Halifax-Ouest,108,Halifax,57,8,31,5,0,101,260
Halifax West/Halifax-Ouest,109,Halifax,53,31,79,7,0,170,344
Halifax West/Halifax-Ouest,110,Halifax,67,36,129,8,0,240,422
Halifax West/Halifax-Ouest,111,Halifax,55,32,59,7,1,154,430
Halifax West/Halifax-Ouest,112,Halifax,85,23,85,10,1,204,508
Halifax West/Halifax-Ouest,113A,Halifax,69,52,78,8,0,207,358
Halifax West/Halifax-Ouest,113B,Halifax,82,55,81,8,1,227,393
Halifax West/Halifax-Ouest,114,Halifax,108,62,106,9,2,287,464
Halifax West/Halifax-Ouest,115,Halifax,122,38,92,11,0,263,470
Halifax West/Halifax-Ouest,116A,Halifax,92,46,73,10,0,221,408
Halifax West/Halifax-Ouest,116B,Halifax,86,45,102,5,1,239,436
Halifax West/Halifax-Ouest,117,Halifax,83,43,93,6,1,226,426
Halifax West/Halifax-Ouest,118,Halifax,30,28,51,5,1,115,214
Halifax West/Halifax-Ouest,119A,Halifax,71,31,73,6,0,181,310
Halifax West/Halifax-Ouest,119B,Halifax,64,50,82,10,1,207,336
Halifax West/Halifax-Ouest,120,Halifax,145,41,120,10,1,317,550
Halifax West/Halifax-Ouest,121,Halifax,53,37,55,5,2,152,260
Halifax West/Halifax-Ouest,122,Halifax,92,34,69,4,1,200,476
Halifax West/Halifax-Ouest,123,Halifax,83,28,31,5,3,150,328
Halifax West/Halifax-Ouest,124,Halifax,114,63,160,15,1,353,616
Halifax West/Halifax-Ouest,125A,Tantallon,58,33,64,9,0,164,302
Halifax West/Halifax-Ouest,125B,Tantallon,42,57,77,9,1,186,310
Halifax West/Halifax-Ouest,126,Tantallon,96,49,89,7,1,242,405
Halifax West/Halifax-Ouest,127,Hubley,80,53,112,10,0,255,352
Halifax West/Halifax-Ouest,128,Tantallon,75,32,81,19,0,207,312
Halifax West/Halifax-Ouest,129,Hubley,78,53,91,14,0,236,373
Halifax West/Halifax-Ouest,130,Goodwood,83,36,76,8,1,204,419
Halifax West/Halifax-Ouest,131,Harrietsfield,Void,,,,,,
Halifax West/Halifax-Ouest,132,Hatchet Lake,70,27,65,15,0,177,321
Halifax West/Halifax-Ouest,133,Goodwood,67,30,70,2,1,170,289
Halifax West/Halifax-Ouest,134,Brookside,124,99,46,13,1,283,447
Halifax West/Halifax-Ouest,135,Brookside,60,35,88,10,3,196,296
Halifax West/Halifax-Ouest,136,Whites Lake,117,27,73,6,0,223,377
Halifax West/Halifax-Ouest,137A,Brookside,77,46,73,23,0,219,368
Halifax West/Halifax-Ouest,137B,Brookside,87,17,66,0,0,170,211
Halifax West/Halifax-Ouest,138,Brookside,Void,,,,,,
Halifax West/Halifax-Ouest,139,Shad Bay,89,41,103,14,0,247,400
Halifax West/Halifax-Ouest,140A,Prospect,64,29,66,6,1,166,292
Halifax West/Halifax-Ouest,140B,Prospect,54,12,57,7,1,131,250
Halifax West/Halifax-Ouest,141A,Whites Lake,73,22,69,8,3,175,331
Halifax West/Halifax-Ouest,141B,Whites Lake,47,12,48,2,0,109,280
