District,Poll Number,Poll Name,Scott Brison,Skip Hambling,Richard Hennigar,Jim Hnatiuk,Bob Mullan,Kevin Stacey,Rejected Ballots,Total Vote,Electors
Kings--Hants/Kings--Hants,1,Scots Bay,59,34,2,5,56,13,3,172,247
Kings--Hants/Kings--Hants,2,Pereaux,82,39,3,0,41,11,0,176,277
Kings--Hants/Kings--Hants,3,Canning,120,63,2,0,82,11,1,279,465
Kings--Hants/Kings--Hants,4,Sheffield Mills,57,21,0,0,42,1,0,121,223
Kings--Hants/Kings--Hants,5,Canard,131,21,6,2,86,7,2,255,408
Kings--Hants/Kings--Hants,6,Canning,102,60,1,5,70,9,0,247,442
Kings--Hants/Kings--Hants,7,Canning,77,35,3,1,54,7,0,177,290
Kings--Hants/Kings--Hants,8,Kingsport,88,32,2,1,44,12,1,180,273
Kings--Hants/Kings--Hants,9,Port Williams,128,37,2,0,107,10,2,286,396
Kings--Hants/Kings--Hants,10,Port Williams,198,33,4,0,91,15,2,343,490
Kings--Hants/Kings--Hants,11,Port Williams,112,38,0,0,60,8,1,219,329
Kings--Hants/Kings--Hants,12,Kentville,70,6,1,1,43,2,1,124,160
Kings--Hants/Kings--Hants,13,Kentville,61,35,2,3,76,9,0,186,339
Kings--Hants/Kings--Hants,14,Kentville,51,55,1,2,69,3,0,181,414
Kings--Hants/Kings--Hants,15,Kentville,82,42,1,4,63,2,4,198,393
Kings--Hants/Kings--Hants,16,Aldershot,50,15,0,1,52,3,1,122,215
Kings--Hants/Kings--Hants,17,Kentville,58,40,1,1,56,2,0,158,365
Kings--Hants/Kings--Hants,18,Kentville,26,21,0,1,42,2,1,93,199
Kings--Hants/Kings--Hants,19,Aldershot,67,35,3,0,55,1,2,163,341
Kings--Hants/Kings--Hants,20,Centreville,44,40,3,7,83,12,0,189,332
Kings--Hants/Kings--Hants,21,Centreville,88,23,1,1,70,7,1,191,351
Kings--Hants/Kings--Hants,22,Centreville,109,35,1,1,101,7,1,255,456
Kings--Hants/Kings--Hants,23,Centreville,64,36,1,4,77,7,0,189,308
Kings--Hants/Kings--Hants,24,Glenmont,77,32,3,4,37,17,2,172,334
Kings--Hants/Kings--Hants,25,Halls Harbour,66,33,1,0,56,5,1,162,284
Kings--Hants/Kings--Hants,26,Canada Creek,29,31,0,0,23,3,1,87,120
Kings--Hants/Kings--Hants,27,Lakeville,122,30,1,2,84,23,1,263,423
Kings--Hants/Kings--Hants,28,Lakeville,125,46,5,3,94,11,2,286,500
Kings--Hants/Kings--Hants,29,Waterville,75,46,0,1,78,7,0,207,293
Kings--Hants/Kings--Hants,30,Cambridge,117,46,0,6,74,7,1,251,457
Kings--Hants/Kings--Hants,31,Lakeville,66,46,4,3,81,5,1,206,350
Kings--Hants/Kings--Hants,32,Coldbrook,86,27,1,2,89,8,2,215,386
Kings--Hants/Kings--Hants,33,Coldbrook,72,28,0,3,55,6,0,164,260
Kings--Hants/Kings--Hants,34,Coldbrook,102,30,0,3,97,5,0,237,374
Kings--Hants/Kings--Hants,35,Coldbrook,70,29,1,2,78,9,3,192,314
Kings--Hants/Kings--Hants,36,Coldbrook,147,46,2,1,99,12,3,310,451
Kings--Hants/Kings--Hants,37,Coldbrook,81,22,2,1,60,8,0,174,267
Kings--Hants/Kings--Hants,38,Kentville,134,29,0,0,91,10,2,266,436
Kings--Hants/Kings--Hants,39,Kentville,132,12,3,1,84,8,1,241,380
Kings--Hants/Kings--Hants,40,Kentville,117,34,1,1,115,9,1,278,407
Kings--Hants/Kings--Hants,41,Kentville,125,35,1,0,65,9,2,237,411
Kings--Hants/Kings--Hants,42,Kentville,109,46,2,1,73,10,2,243,437
Kings--Hants/Kings--Hants,43,Kentville,84,51,2,3,72,6,2,220,496
Kings--Hants/Kings--Hants,44,Kentville,79,30,0,5,50,8,4,176,391
Kings--Hants/Kings--Hants,45A,Kentville,66,33,0,1,59,6,0,165,296
Kings--Hants/Kings--Hants,45B,Kentville,72,29,0,1,39,2,2,145,275
Kings--Hants/Kings--Hants,46,Kentville,141,28,1,0,99,11,1,281,434
Kings--Hants/Kings--Hants,47,Kentville,83,35,3,1,51,12,1,186,410
Kings--Hants/Kings--Hants,48,Kentville,123,33,1,3,86,12,2,260,461
Kings--Hants/Kings--Hants,49,New Minas,63,22,3,0,56,4,3,151,299
Kings--Hants/Kings--Hants,50,New Minas,44,18,1,2,27,3,0,95,185
Kings--Hants/Kings--Hants,51,New Minas,50,24,0,0,58,3,0,135,208
Kings--Hants/Kings--Hants,52,New Minas,87,23,2,0,85,2,8,207,446
Kings--Hants/Kings--Hants,53,New Minas,88,38,1,2,65,5,4,203,402
Kings--Hants/Kings--Hants,54,New Minas,111,33,1,0,76,5,1,227,364
Kings--Hants/Kings--Hants,55,New Minas,64,19,0,1,60,6,0,150,307
Kings--Hants/Kings--Hants,56,New Minas,55,30,0,3,46,0,0,134,305
Kings--Hants/Kings--Hants,57,New Minas,110,12,0,4,79,9,4,218,427
Kings--Hants/Kings--Hants,58A,New Minas,71,24,0,1,67,1,1,165,263
Kings--Hants/Kings--Hants,58B,New Minas,69,19,0,1,54,2,1,146,249
Kings--Hants/Kings--Hants,59,White Rock,65,31,1,0,65,8,0,170,303
Kings--Hants/Kings--Hants,60,North Alton,79,29,1,5,71,8,1,194,356
Kings--Hants/Kings--Hants,61A,New Minas,55,17,1,0,83,8,0,164,264
Kings--Hants/Kings--Hants,61B,New Minas,69,20,3,1,75,4,1,173,272
