District,Poll Number,Poll Name,John Hugh Edwards,Mark Eyking,B. Chris Gallant,Howie MacDonald,Chris Milburn,Cathy Thériault,Rejected Ballots,Total Vote,Electors
Sydney--Victoria/Sydney--Victoria,1,St. Margaret Village,24,122,0,59,4,3,0,212,391
Sydney--Victoria/Sydney--Victoria,2,Pleasant Bay,27,61,0,18,3,3,2,114,184
Sydney--Victoria/Sydney--Victoria,3,Capstick,39,98,1,65,4,6,0,213,438
Sydney--Victoria/Sydney--Victoria,4,White Point,6,37,1,17,1,0,1,63,152
Sydney--Victoria/Sydney--Victoria,5,Neils Harbour,30,82,1,37,2,4,1,157,269
Sydney--Victoria/Sydney--Victoria,6,Ingonish,48,152,0,70,5,6,6,287,518
Sydney--Victoria/Sydney--Victoria,7,Ingonish Beach,55,172,2,52,7,9,2,299,394
Sydney--Victoria/Sydney--Victoria,8,Little River,40,106,0,47,8,1,1,203,355
Sydney--Victoria/Sydney--Victoria,9,Englishtown,24,76,0,16,4,3,1,124,161
Sydney--Victoria/Sydney--Victoria,10,South Haven,41,58,2,39,5,2,0,147,241
Sydney--Victoria/Sydney--Victoria,11,Baddeck,44,110,2,60,6,2,0,224,445
Sydney--Victoria/Sydney--Victoria,12,Middle River,48,117,1,72,11,1,5,255,350
Sydney--Victoria/Sydney--Victoria,13,Little Narrows,15,69,0,13,2,11,0,110,247
Sydney--Victoria/Sydney--Victoria,14,Iona,19,84,0,27,2,0,0,132,172
Sydney--Victoria/Sydney--Victoria,15,Baddeck,22,81,0,46,4,3,0,156,211
Sydney--Victoria/Sydney--Victoria,16,Baddeck,21,72,1,44,7,2,0,147,215
Sydney--Victoria/Sydney--Victoria,17,Baddeck,24,67,0,34,3,2,1,131,181
Sydney--Victoria/Sydney--Victoria,18,Baddeck,29,88,0,66,5,3,1,192,291
Sydney--Victoria/Sydney--Victoria,19,Iona,26,100,0,47,5,3,4,185,290
Sydney--Victoria/Sydney--Victoria,20,Point Aconi,51,73,0,12,0,3,1,140,297
Sydney--Victoria/Sydney--Victoria,21,Big Bras d'Or,71,146,0,55,8,6,2,288,426
Sydney--Victoria/Sydney--Victoria,22,Boularderie,80,96,0,32,4,2,0,214,294
Sydney--Victoria/Sydney--Victoria,23,Millville Boularderie,82,158,2,34,7,3,1,287,436
Sydney--Victoria/Sydney--Victoria,24,Alder Point,35,80,0,21,1,3,0,140,243
