District,Poll Number,Poll Name,David Raymond Amos,Karin Bach,Pat Hanratty,John Herron,Rob Moore,Rejected Ballots,Total Vote,Electors
Fundy/Fundy,1,Cumberland Bay,2,10,55,72,123,7,269,377
Fundy/Fundy,2,Youngs Cove,3,6,46,66,114,2,237,360
Fundy/Fundy,3,Canaan Forks,0,1,23,22,74,0,120,194
Fundy/Fundy,4A,Havelock,2,1,38,57,116,2,216,338
Fundy/Fundy,4B,Havelock,3,10,28,79,114,0,234,367
Fundy/Fundy,5,Havelock,2,1,14,20,40,0,77,138
Fundy/Fundy,6,Cornhill,4,5,23,46,48,1,127,231
Fundy/Fundy,7A,Anagance,2,3,21,35,63,2,126,259
Fundy/Fundy,7B,Anagance,1,4,19,46,66,1,137,274
Fundy/Fundy,8,Steeves Settlement,3,12,31,51,115,0,212,377
Fundy/Fundy,9,Petitcodiac,2,1,16,43,74,4,140,274
Fundy/Fundy,10,Petitcodiac,3,6,18,37,71,0,135,280
Fundy/Fundy,11,Petitcodiac,2,5,30,31,97,1,166,365
Fundy/Fundy,12,Petitcodiac,3,9,23,74,90,2,201,345
Fundy/Fundy,13,Petitcodiac,0,9,43,50,81,4,187,305
Fundy/Fundy,14A,Elgin,0,7,30,35,97,0,169,228
Fundy/Fundy,14B,Elgin,1,2,20,48,87,1,159,236
Fundy/Fundy,15,Dobsons Corner,5,10,28,56,141,0,240,429
Fundy/Fundy,16,River Glade,1,11,34,47,92,2,187,395
Fundy/Fundy,17,River Glade,0,1,18,10,29,1,59,113
Fundy/Fundy,18A,Second North River,0,8,15,40,54,1,118,223
Fundy/Fundy,18B,Second North River,1,6,24,48,88,2,169,268
Fundy/Fundy,19,Salisbury,1,6,32,64,103,0,206,392
Fundy/Fundy,20A,Salisbury,1,6,22,38,53,0,120,248
Fundy/Fundy,20B,Salisbury,1,3,23,25,62,0,114,259
Fundy/Fundy,21,Salisbury,1,4,23,41,84,4,157,300
Fundy/Fundy,22,Salisbury,1,6,36,53,77,2,175,310
Fundy/Fundy,23,River Glade,0,4,18,11,46,0,79,155
Fundy/Fundy,24,Five Points,1,12,42,54,125,1,235,410
Fundy/Fundy,25A,Colpitts Settlement,2,3,30,23,71,0,129,266
Fundy/Fundy,25B,Colpitts Settlement,3,5,27,22,66,2,125,224
Fundy/Fundy,26,Colpitts Settlement,1,9,35,37,120,0,202,361
Fundy/Fundy,27,Parkindale,3,22,39,57,112,1,234,377
Fundy/Fundy,28,Synton,1,16,41,66,115,1,240,414
Fundy/Fundy,29,Turtle Creek,3,16,31,33,145,0,228,390
Fundy/Fundy,30,Pine Glen,4,9,57,57,108,1,236,421
Fundy/Fundy,31,Riverview,1,3,33,36,81,0,154,361
Fundy/Fundy,32,Riverview,3,4,24,77,84,3,195,356
Fundy/Fundy,33A,Riverview,1,13,25,58,32,1,130,237
Fundy/Fundy,33B,Riverview,0,11,31,81,55,0,178,277
Fundy/Fundy,34,Riverview,1,4,37,109,68,2,221,399
Fundy/Fundy,35,Riverview,2,4,37,101,69,4,217,399
Fundy/Fundy,36,Riverview,2,14,45,99,80,2,242,444
Fundy/Fundy,37,Riverview,1,8,31,70,84,4,198,406
Fundy/Fundy,38,Riverview,1,5,27,85,86,7,211,395
Fundy/Fundy,39,Riverview,1,8,48,99,64,6,226,414
Fundy/Fundy,40,Riverview,2,8,17,113,115,1,256,403
Fundy/Fundy,41,Riverview,3,7,20,42,31,1,104,261
Fundy/Fundy,42,Riverview,1,14,34,106,83,1,239,420
