District,Poll Number,Poll Name,Jovette Cyr,Jean-Claude J.C. D'Amours,Rodolphe Martin,Benoit Violette,Rejected Ballots,Total Vote,Electors
Madawaska--Restigouche/Madawaska--Restigouche,1,Dalhousie,4,62,38,14,4,122,258
Madawaska--Restigouche/Madawaska--Restigouche,2,Dalhousie,9,35,37,22,1,104,308
Madawaska--Restigouche/Madawaska--Restigouche,3A,Dalhousie,10,58,39,22,1,130,266
Madawaska--Restigouche/Madawaska--Restigouche,3B,Dalhousie,7,57,32,18,3,117,246
Madawaska--Restigouche/Madawaska--Restigouche,4,Dalhousie,7,59,54,42,8,170,322
Madawaska--Restigouche/Madawaska--Restigouche,5,Dalhousie,14,51,73,28,2,168,359
Madawaska--Restigouche/Madawaska--Restigouche,6,Dalhousie,4,42,24,19,1,90,216
Madawaska--Restigouche/Madawaska--Restigouche,7,Dalhousie,0,37,43,14,1,95,201
Madawaska--Restigouche/Madawaska--Restigouche,8,Dalhousie,6,59,41,22,6,134,311
Madawaska--Restigouche/Madawaska--Restigouche,9,Dalhousie,3,56,53,22,1,135,252
Madawaska--Restigouche/Madawaska--Restigouche,10,Dalhousie,4,30,19,9,6,68,144
Madawaska--Restigouche/Madawaska--Restigouche,11A,Dalhousie,7,88,97,30,6,228,393
Madawaska--Restigouche/Madawaska--Restigouche,11B,Dalhousie,8,33,24,10,1,76,260
Madawaska--Restigouche/Madawaska--Restigouche,12,McLeods,7,99,47,30,7,190,309
Madawaska--Restigouche/Madawaska--Restigouche,13,Dalhousie Junction,18,70,61,84,17,250,375
Madawaska--Restigouche/Madawaska--Restigouche,14,Point La Nim,12,55,41,41,1,150,229
Madawaska--Restigouche/Madawaska--Restigouche,15,Dundee,5,104,75,29,6,219,352
Madawaska--Restigouche/Madawaska--Restigouche,16,Dundee,8,116,69,27,9,229,355
Madawaska--Restigouche/Madawaska--Restigouche,17,Eel River Crossing,2,116,60,37,14,229,402
Madawaska--Restigouche/Madawaska--Restigouche,18,Eel River Crossing,10,93,86,20,7,216,309
Madawaska--Restigouche/Madawaska--Restigouche,19,Eel River Crossing,9,70,67,35,13,194,305
Madawaska--Restigouche/Madawaska--Restigouche,20,Eel River Crossing,5,78,45,13,6,147,194
Madawaska--Restigouche/Madawaska--Restigouche,21,Charlo,11,91,69,37,12,220,370
Madawaska--Restigouche/Madawaska--Restigouche,22,Charlo,6,107,48,24,4,189,274
Madawaska--Restigouche/Madawaska--Restigouche,23,Charlo,5,73,53,47,3,181,278
Madawaska--Restigouche/Madawaska--Restigouche,24,Charlo,7,61,64,25,7,164,239
Madawaska--Restigouche/Madawaska--Restigouche,25,Campbellton,11,93,56,35,10,205,359
Madawaska--Restigouche/Madawaska--Restigouche,26,Campbellton,12,98,36,39,1,186,367
Madawaska--Restigouche/Madawaska--Restigouche,27,Campbellton,3,109,49,37,7,205,323
Madawaska--Restigouche/Madawaska--Restigouche,28,Campbellton,9,94,30,26,2,161,382
