District,Poll Number,Poll Name,Charles Isaac Hubbard,Michael J. Morrison,Hilaire Rousselle,Garry Sanipass,Rejected Ballots,Total Vote,Electors
Miramichi/Miramichi,1,Belledune,110,54,67,22,7,260,404
Miramichi/Miramichi,2,Jacquet River,54,13,27,2,2,98,215
Miramichi/Miramichi,3,Lorne,64,35,65,12,13,189,447
Miramichi/Miramichi,4,Jacquet River,115,68,45,16,10,254,432
Miramichi/Miramichi,5,Belledune,68,31,37,4,11,151,301
Miramichi/Miramichi,6,Nash Creek,87,49,54,10,7,207,321
Miramichi/Miramichi,7,Lorne,48,22,42,3,8,123,190
Miramichi/Miramichi,8,Lorne,58,37,61,5,12,173,279
Miramichi/Miramichi,9,Benjamin River,70,49,51,10,1,181,271
Miramichi/Miramichi,10,Balmoral,Void,,,,,,
Miramichi/Miramichi,11,South Tetagouche,44,33,56,13,12,158,284
Miramichi/Miramichi,12,North Tetagouche,64,29,45,13,12,163,248
Miramichi/Miramichi,13,North Tetagouche,16,19,33,7,12,87,148
Miramichi/Miramichi,14,North Tetagouche,27,18,49,12,16,122,210
Miramichi/Miramichi,15,North Tetagouche,19,6,35,6,6,72,135
Miramichi/Miramichi,16A,North Tetagouche,50,24,43,10,11,138,296
Miramichi/Miramichi,16B,North Tetagouche,52,30,45,10,11,148,301
Miramichi/Miramichi,17A,South Tetagouche,55,31,47,8,5,146,374
Miramichi/Miramichi,17B,South Tetagouche,36,36,63,6,5,146,412
Miramichi/Miramichi,18,Big River,39,27,46,2,3,117,279
Miramichi/Miramichi,19A,Big River,45,36,45,8,9,143,322
Miramichi/Miramichi,19B,Big River,52,32,58,18,7,167,328
Miramichi/Miramichi,20,Chamberlain Settlement,46,10,37,3,13,109,239
Miramichi/Miramichi,21,Rough Waters,34,13,52,4,11,114,226
Miramichi/Miramichi,22,Allardville,11,10,29,3,20,73,136
Miramichi/Miramichi,23,Allardville,16,16,104,2,40,178,411
Miramichi/Miramichi,24,Allardville East,47,27,158,8,53,293,544
Miramichi/Miramichi,25,Jeanne-Mance,21,7,82,3,31,144,307
Miramichi/Miramichi,26,Curventon,82,44,11,9,3,149,232
Miramichi/Miramichi,27,Exmoor,55,32,22,2,1,112,171
Miramichi/Miramichi,28,Trout Brook,72,47,24,7,1,151,344
Miramichi/Miramichi,29,Maple Glen,81,66,34,15,5,201,371
Miramichi/Miramichi,30,Sunny Corner,128,106,13,13,0,260,368
