District,Poll Number,Poll Name,Terry Albright,Jonathan Cormier,Bob McVicar,Tom Oland,Jim Wood,Paul Zed,Rejected Ballots,Total Vote,Electors
Saint John/Saint John,1,Quispamsis,46,7,73,2,5,116,5,254,469
Saint John/Saint John,2,Quispamsis,28,7,80,4,1,99,0,219,401
Saint John/Saint John,3,Quispamsis,26,5,77,2,3,144,3,260,464
Saint John/Saint John,4,Quispamsis,46,9,89,0,2,114,3,263,415
Saint John/Saint John,5A,Rothesay,12,2,58,1,3,92,0,168,262
Saint John/Saint John,5B,Rothesay,27,5,48,0,3,78,1,162,289
Saint John/Saint John,6,Rothesay,34,7,110,4,1,84,2,242,478
Saint John/Saint John,7,Rothesay,26,5,74,0,3,108,2,218,466
Saint John/Saint John,8,Rothesay,24,7,63,2,2,90,0,188,390
Saint John/Saint John,9,Rothesay,36,7,83,3,2,111,0,242,446
Saint John/Saint John,10,Rothesay,27,5,84,2,6,113,0,237,484
Saint John/Saint John,11,Rothesay,33,3,69,1,3,65,3,177,323
Saint John/Saint John,12,Rothesay,24,7,53,4,3,74,3,168,293
Saint John/Saint John,13,Rothesay,27,6,72,3,1,131,1,241,390
Saint John/Saint John,14A,Rothesay,27,6,67,2,2,34,4,142,268
Saint John/Saint John,14B,Rothesay,37,4,46,1,2,53,2,145,270
Saint John/Saint John,15,Rothesay,58,3,116,1,1,117,0,296,535
Saint John/Saint John,16,Rothesay,52,6,60,2,3,72,1,196,360
Saint John/Saint John,17,Rothesay,22,10,81,2,0,122,1,238,377
Saint John/Saint John,18,Rothesay,22,10,92,0,0,176,2,302,526
Saint John/Saint John,19,Rothesay,40,2,44,0,1,57,1,145,271
Saint John/Saint John,20,Rothesay,22,2,61,1,0,136,1,223,391
Saint John/Saint John,21,Rothesay,30,3,85,0,1,148,0,267,440
Saint John/Saint John,22,Rothesay,11,4,83,1,2,140,0,241,363
Saint John/Saint John,23,Rothesay,11,4,71,2,0,184,1,273,387
Saint John/Saint John,24,Rothesay,18,8,80,0,1,158,3,268,420
Saint John/Saint John,25,Rothesay,37,8,71,1,3,123,0,243,402
Saint John/Saint John,26,Saint John,39,6,56,3,3,52,1,160,429
Saint John/Saint John,27,Saint John,48,5,78,1,4,68,1,205,350
Saint John/Saint John,28,Saint John,44,8,68,2,2,62,0,186,430
Saint John/Saint John,29,Saint John,44,4,101,2,3,126,1,281,548
Saint John/Saint John,30,Saint John,34,6,51,1,0,39,0,131,375
Saint John/Saint John,31,Saint John,59,2,79,4,1,82,1,228,466
Saint John/Saint John,32,Saint John,29,5,23,1,1,36,1,96,256
Saint John/Saint John,33,Saint John,37,7,77,1,2,92,0,216,492
Saint John/Saint John,34,Saint John,37,1,59,2,0,64,1,164,331
Saint John/Saint John,35,Saint John,49,3,94,2,6,84,0,238,458
Saint John/Saint John,36,Saint John,26,2,36,0,0,26,0,90,331
Saint John/Saint John,37,Saint John,48,1,85,2,2,89,0,227,505
Saint John/Saint John,38,Saint John,31,1,52,0,2,77,1,164,317
Saint John/Saint John,39,Saint John,35,4,61,2,1,78,0,181,394
Saint John/Saint John,40,Saint John,59,3,50,2,1,55,0,170,356
Saint John/Saint John,41,Saint John,31,2,58,1,0,32,0,124,331
Saint John/Saint John,42,Saint John,21,2,25,1,0,20,1,70,232
Saint John/Saint John,43,Saint John,38,2,132,1,2,119,5,299,496
Saint John/Saint John,44,Saint John,25,1,35,0,1,28,2,92,328
Saint John/Saint John,45,Saint John,36,3,48,5,1,54,2,149,323
Saint John/Saint John,46,Saint John,27,0,37,1,0,40,0,105,253
Saint John/Saint John,47,Saint John,28,2,72,5,2,81,1,191,367
Saint John/Saint John,48,Saint John,49,2,74,3,5,78,1,212,494
Saint John/Saint John,49,Saint John,22,2,65,0,1,46,2,138,287
Saint John/Saint John,50,Saint John,35,4,79,0,4,105,0,227,397
Saint John/Saint John,51,Saint John,54,2,56,2,3,51,2,170,441
Saint John/Saint John,52,Saint John,48,10,112,2,1,112,0,285,553
Saint John/Saint John,53A,Saint John,26,6,35,1,1,36,0,105,327
Saint John/Saint John,53B,Saint John,31,1,35,0,2,26,1,96,248
Saint John/Saint John,54,Saint John,36,3,49,1,0,55,2,146,350
Saint John/Saint John,55,Saint John,48,3,46,1,1,52,2,153,392
Saint John/Saint John,56,Saint John,28,2,37,1,2,53,0,123,355
Saint John/Saint John,57,Saint John,24,2,31,0,1,42,0,100,287
Saint John/Saint John,58,Saint John,16,0,18,0,1,20,0,55,215
Saint John/Saint John,59,Saint John,39,2,66,0,3,80,0,190,340
Saint John/Saint John,60,Saint John,29,0,65,3,3,79,0,179,429
Saint John/Saint John,61,Saint John,40,7,71,2,1,90,2,213,398
Saint John/Saint John,62,Saint John,25,2,55,2,2,67,0,153,297
Saint John/Saint John,63,Saint John,22,2,57,1,3,90,0,175,327
Saint John/Saint John,64,Saint John,29,1,96,2,0,93,3,224,334
