District,Poll Number,Poll Name,Piper Huggins,Louise Martineau,Christian Ouellet,Denis Paradis,Peter Stastny,Rejected Ballots,Total Vote,Electors
Brome--Missisquoi/Brome--Missisquoi,1,Noyan,9,6,95,112,11,2,235,415
Brome--Missisquoi/Brome--Missisquoi,2,Noyan,10,6,97,124,27,9,273,526
Brome--Missisquoi/Brome--Missisquoi,3,Saint-Georges-de-Clarenceville,2,8,41,83,25,4,163,285
Brome--Missisquoi/Brome--Missisquoi,4,Saint-Georges-de-Clarenceville,1,11,114,146,19,4,295,499
Brome--Missisquoi/Brome--Missisquoi,5,Venise-en-Québec,3,7,91,110,20,7,238,405
Brome--Missisquoi/Brome--Missisquoi,6,Venise-en-Québec,8,16,196,148,29,8,405,696
Brome--Missisquoi/Brome--Missisquoi,7,Henryville,6,4,132,75,23,2,242,414
Brome--Missisquoi/Brome--Missisquoi,8,Henryville,7,11,148,94,29,13,302,500
Brome--Missisquoi/Brome--Missisquoi,9,Henryville,4,3,80,55,8,3,153,240
Brome--Missisquoi/Brome--Missisquoi,10,Saint-Sébastien,1,4,84,80,26,7,202,259
Brome--Missisquoi/Brome--Missisquoi,11,Saint-Sébastien,7,5,63,45,18,4,142,201
Brome--Missisquoi/Brome--Missisquoi,12,Saint-Pierre-de-Véronne-à-Pike-River,10,5,112,96,33,8,264,426
Brome--Missisquoi/Brome--Missisquoi,13,Notre-Dame-de-Stanbridge,5,13,83,78,31,1,211,311
Brome--Missisquoi/Brome--Missisquoi,14,Notre-Dame-de-Stanbridge,9,7,80,61,35,3,195,265
Brome--Missisquoi/Brome--Missisquoi,15,Stanbridge Station,3,8,72,87,30,6,206,283
Brome--Missisquoi/Brome--Missisquoi,16,Saint-Armand,13,12,97,153,42,6,323,497
Brome--Missisquoi/Brome--Missisquoi,17,Saint-Armand,5,7,52,72,14,2,152,241
Brome--Missisquoi/Brome--Missisquoi,18,Saint-Armand,8,8,34,83,29,0,162,284
Brome--Missisquoi/Brome--Missisquoi,19,Sainte-Sabine,4,15,108,96,28,6,257,439
Brome--Missisquoi/Brome--Missisquoi,20,Sainte-Sabine,10,8,98,53,21,9,199,317
Brome--Missisquoi/Brome--Missisquoi,21,Saint-Ignace-de-Stanbridge,5,9,50,70,15,2,151,234
Brome--Missisquoi/Brome--Missisquoi,22,Saint-Ignace-de-Stanbridge,3,4,70,75,32,5,189,270
Brome--Missisquoi/Brome--Missisquoi,23,Bedford,3,8,77,75,35,5,203,298
Brome--Missisquoi/Brome--Missisquoi,24,Bedford,2,3,39,71,22,2,139,291
Brome--Missisquoi/Brome--Missisquoi,25,Bedford,6,10,86,82,31,6,221,399
Brome--Missisquoi/Brome--Missisquoi,26,Bedford,1,1,41,79,19,7,148,335
Brome--Missisquoi/Brome--Missisquoi,27,Bedford,6,7,72,99,38,6,228,388
Brome--Missisquoi/Brome--Missisquoi,28,Bedford,4,5,55,83,21,1,169,336
Brome--Missisquoi/Brome--Missisquoi,29,Bedford,9,13,72,125,40,1,260,417
Brome--Missisquoi/Brome--Missisquoi,30,Bedford,2,4,18,44,21,2,91,182
Brome--Missisquoi/Brome--Missisquoi,31,Stanbridge East,8,11,41,118,29,2,209,332
Brome--Missisquoi/Brome--Missisquoi,32,Stanbridge East,6,10,42,143,26,0,227,362
Brome--Missisquoi/Brome--Missisquoi,33,Dunham,12,14,101,125,29,5,286,434
Brome--Missisquoi/Brome--Missisquoi,34,Dunham,11,26,139,103,36,10,325,540
Brome--Missisquoi/Brome--Missisquoi,35,Dunham,9,14,138,117,32,8,318,542
Brome--Missisquoi/Brome--Missisquoi,36,Dunham,13,19,123,122,55,1,333,542
Brome--Missisquoi/Brome--Missisquoi,37,Dunham,5,18,128,147,44,6,348,588
Brome--Missisquoi/Brome--Missisquoi,38,Frelighsburg,12,32,81,103,25,0,253,449
Brome--Missisquoi/Brome--Missisquoi,39,Frelighsburg,9,14,88,129,18,9,267,428
Brome--Missisquoi/Brome--Missisquoi,40,Farnham,5,7,92,60,28,5,197,419
Brome--Missisquoi/Brome--Missisquoi,41,Rainville,4,12,140,50,25,9,240,453
Brome--Missisquoi/Brome--Missisquoi,42,Farnham,9,8,150,101,30,4,302,496
Brome--Missisquoi/Brome--Missisquoi,43,Farnham,3,6,96,67,18,9,199,382
Brome--Missisquoi/Brome--Missisquoi,44,Farnham,12,2,120,95,18,5,252,491
Brome--Missisquoi/Brome--Missisquoi,45,Farnham,4,8,88,46,23,8,177,434
Brome--Missisquoi/Brome--Missisquoi,46,Farnham,5,5,66,47,11,2,136,358
Brome--Missisquoi/Brome--Missisquoi,47,Farnham,8,6,84,58,19,5,180,505
Brome--Missisquoi/Brome--Missisquoi,48,Farnham,5,2,93,70,26,9,205,358
Brome--Missisquoi/Brome--Missisquoi,49,Farnham,5,8,118,80,26,5,242,402
Brome--Missisquoi/Brome--Missisquoi,50,Farnham,3,5,65,43,17,5,138,364
Brome--Missisquoi/Brome--Missisquoi,51,Farnham,5,7,50,45,10,1,118,304
Brome--Missisquoi/Brome--Missisquoi,52,Farnham,2,7,83,43,19,6,160,324
Brome--Missisquoi/Brome--Missisquoi,53,Rainville,10,16,139,87,21,6,279,439
Brome--Missisquoi/Brome--Missisquoi,54,Rainville,10,11,113,75,35,5,249,501
Brome--Missisquoi/Brome--Missisquoi,55,Brigham,4,12,84,49,33,9,191,342
Brome--Missisquoi/Brome--Missisquoi,56,Brigham,5,11,105,86,30,5,242,385
Brome--Missisquoi/Brome--Missisquoi,57,Brigham,14,19,176,134,35,11,389,571
Brome--Missisquoi/Brome--Missisquoi,58,East Farnham,8,10,89,141,38,9,295,420
Brome--Missisquoi/Brome--Missisquoi,59,Brigham,4,4,99,100,20,4,231,451
Brome--Missisquoi/Brome--Missisquoi,60,Bromont,7,15,155,116,34,8,335,565
Brome--Missisquoi/Brome--Missisquoi,61,Bromont,15,16,159,107,19,5,321,576
Brome--Missisquoi/Brome--Missisquoi,62,Bromont,6,8,46,45,13,0,118,190
Brome--Missisquoi/Brome--Missisquoi,63,Bromont,8,23,153,166,35,5,390,640
Brome--Missisquoi/Brome--Missisquoi,64,Bromont,12,20,124,63,28,4,251,513
Brome--Missisquoi/Brome--Missisquoi,65,Bromont,2,15,95,77,18,2,209,331
Brome--Missisquoi/Brome--Missisquoi,66,Bromont,4,10,97,100,20,5,236,420
Brome--Missisquoi/Brome--Missisquoi,67,Bromont,6,26,128,69,13,7,249,457
Brome--Missisquoi/Brome--Missisquoi,68,Bromont,6,25,142,128,26,3,330,533
Brome--Missisquoi/Brome--Missisquoi,69,Cowansville,6,19,141,126,39,6,337,546
Brome--Missisquoi/Brome--Missisquoi,70,Cowansville,2,13,146,102,47,5,315,513
Brome--Missisquoi/Brome--Missisquoi,71,Cowansville,3,8,93,69,34,8,215,430
Brome--Missisquoi/Brome--Missisquoi,72,Cowansville,10,9,78,67,27,8,199,432
Brome--Missisquoi/Brome--Missisquoi,73,Cowansville,6,9,85,73,35,4,212,458
Brome--Missisquoi/Brome--Missisquoi,74,Cowansville,2,10,58,50,14,1,135,435
Brome--Missisquoi/Brome--Missisquoi,75,Cowansville,8,8,120,92,34,5,267,462
Brome--Missisquoi/Brome--Missisquoi,76,Cowansville,7,4,96,96,27,5,235,435
Brome--Missisquoi/Brome--Missisquoi,77,Cowansville,2,8,166,108,31,0,315,515
Brome--Missisquoi/Brome--Missisquoi,78,Cowansville,8,12,83,67,21,3,194,404
Brome--Missisquoi/Brome--Missisquoi,79,Cowansville,6,5,66,69,18,6,170,360
Brome--Missisquoi/Brome--Missisquoi,80,Cowansville,2,12,80,105,37,6,242,456
Brome--Missisquoi/Brome--Missisquoi,81,Cowansville,3,3,61,52,17,4,140,304
Brome--Missisquoi/Brome--Missisquoi,82,Cowansville,4,15,91,117,32,4,263,507
Brome--Missisquoi/Brome--Missisquoi,83,Cowansville,11,7,71,127,27,4,247,620
Brome--Missisquoi/Brome--Missisquoi,84,Cowansville,8,6,97,105,27,5,248,442
Brome--Missisquoi/Brome--Missisquoi,85,Cowansville,2,7,95,88,24,4,220,434
Brome--Missisquoi/Brome--Missisquoi,86,Cowansville,8,6,128,117,19,6,284,495
Brome--Missisquoi/Brome--Missisquoi,87,Cowansville,7,14,65,147,24,1,258,379
Brome--Missisquoi/Brome--Missisquoi,88,Cowansville,9,14,88,132,32,4,279,450
Brome--Missisquoi/Brome--Missisquoi,89,Cowansville,3,7,116,64,21,7,218,399
Brome--Missisquoi/Brome--Missisquoi,90,Lac-Brome,15,25,66,117,30,2,255,517
Brome--Missisquoi/Brome--Missisquoi,91,Lac-Brome,13,16,112,180,40,1,362,553
Brome--Missisquoi/Brome--Missisquoi,92,Lac-Brome,5,12,72,145,30,1,265,449
Brome--Missisquoi/Brome--Missisquoi,93,Bolton-Ouest,0,11,18,65,13,2,109,159
Brome--Missisquoi/Brome--Missisquoi,94,Bolton-Ouest,10,25,30,150,26,2,243,418
Brome--Missisquoi/Brome--Missisquoi,95,Lac-Brome,10,18,20,165,29,2,244,455
