District,Poll Number,Poll Name,Robert Bouchard,Alcide Boudreault,Éric Dubois,André Harvey,Paul Tremblay,Rejected Ballots,Total Vote,Electors
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,1,Notre-Dame-du-Rosaire,Void,,,,,,,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,2,Saint-David-de-Falardeau,Void,,,,,,,
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,3,Sainte-Rose-du-Nord,108,11,5,75,9,2,210,329
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,4,Saint-Fulgence,80,17,5,47,17,4,170,286
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,5,Saint-Fulgence,74,16,5,59,12,3,169,305
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,6,Saint-Fulgence,72,10,9,40,2,3,136,245
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,7,Saint-Fulgence,125,10,6,72,8,2,223,397
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,8,Saint-Fulgence,103,9,8,76,6,4,206,374
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,9,Saint-Honoré,150,13,6,61,6,6,242,479
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,10,Saint-Honoré,121,16,15,63,4,8,227,398
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,11,Saint-Honoré,133,9,2,62,5,0,211,407
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,12,Saint-Honoré,76,5,3,59,6,2,151,278
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,13,Saint-Honoré,94,6,6,61,8,7,182,333
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,14,Saint-Honoré,120,15,6,76,5,4,226,494
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,15,Saint-Honoré,112,8,6,65,13,5,209,480
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,16,Saint-Honoré,122,16,11,53,6,3,211,624
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,17,Saint-Honoré,97,6,10,20,4,0,137,295
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,18,Saguenay,70,15,6,59,3,1,154,308
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,19,Saguenay,136,10,3,93,9,1,252,502
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,20,Saint-Honoré,135,12,8,68,7,6,236,535
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,21,Saguenay,117,7,14,59,4,2,203,413
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,22,Chicoutimi,109,12,8,63,6,7,205,509
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,23,Chicoutimi,97,7,5,68,3,10,190,397
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,24,Chicoutimi,105,10,11,77,5,3,211,349
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,25,Chicoutimi,83,15,7,101,6,0,212,391
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,26,Chicoutimi,113,10,4,38,3,4,172,301
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,27,Chicoutimi,58,12,6,53,2,1,132,236
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,28,Chicoutimi,99,9,7,55,2,1,173,324
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,29,Chicoutimi,120,7,5,98,6,1,237,365
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,30,Chicoutimi,127,2,10,87,6,5,237,396
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,31,Chicoutimi,127,4,13,107,6,4,261,441
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,32,Chicoutimi,114,3,3,70,3,5,198,392
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,33,Chicoutimi,121,16,2,89,2,2,232,387
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,34,Chicoutimi,125,18,13,95,7,6,264,422
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,35,Chicoutimi,137,15,13,113,3,4,285,445
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,36,Chicoutimi,96,9,8,53,10,7,183,304
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,37,Chicoutimi,126,8,10,90,9,6,249,438
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,38,Chicoutimi,92,7,3,45,2,2,151,287
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,39,Chicoutimi,132,13,24,82,4,8,263,451
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,40,Chicoutimi,101,11,4,67,10,2,195,379
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,41,Chicoutimi,121,11,7,107,9,4,259,433
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,42,Chicoutimi,159,14,9,123,6,5,316,499
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,43,Chicoutimi,58,5,4,51,0,1,119,266
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,44,Chicoutimi,109,8,4,93,4,4,222,420
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,45,Chicoutimi,113,10,8,81,2,8,222,433
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,46,Chicoutimi,98,5,8,102,3,0,216,360
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,47,Chicoutimi,114,17,14,106,4,9,264,439
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,48,Chicoutimi,110,10,10,110,5,5,250,478
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,49,Chicoutimi,160,12,12,111,9,8,312,521
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,50,Chicoutimi,91,15,8,89,1,7,211,335
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,51,Chicoutimi,137,15,8,116,6,8,290,495
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,52,Chicoutimi,126,22,10,129,11,2,300,535
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,53,Chicoutimi,50,8,7,80,4,5,154,335
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,54,Chicoutimi,96,9,11,101,5,4,226,399
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,55,Chicoutimi,86,4,6,61,1,4,162,301
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,56,Chicoutimi,66,4,12,48,3,3,136,317
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,57,Chicoutimi,62,3,9,43,3,2,122,218
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,58,Chicoutimi,68,3,4,91,5,0,171,333
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,59,Chicoutimi,104,4,3,120,2,12,245,481
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,60,Chicoutimi,96,10,6,140,5,7,264,409
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,61,Chicoutimi,91,6,5,99,4,3,208,369
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,62,Chicoutimi,87,15,9,90,9,3,213,346
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,63,Chicoutimi,67,7,7,54,5,2,142,302
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,64,Chicoutimi,74,4,4,114,3,5,204,339
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,65,Chicoutimi,73,3,12,56,2,1,147,321
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,66,Chicoutimi,123,9,7,64,3,0,206,485
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,67,Chicoutimi,122,6,7,102,3,5,245,471
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,68,Chicoutimi,150,9,4,132,13,6,314,533
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,69,Chicoutimi,137,13,9,146,7,4,316,627
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,70,Chicoutimi,74,8,7,50,4,4,147,297
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,71,Chicoutimi,80,7,5,64,4,2,162,382
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,72,Chicoutimi,52,6,6,61,3,3,131,289
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,73,Chicoutimi,40,2,9,58,0,0,109,297
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,74A,Chicoutimi,69,3,9,45,5,3,134,373
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,74B,Chicoutimi,63,7,9,84,3,1,167,385
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,75,Chicoutimi,67,7,5,58,4,1,142,340
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,76,Chicoutimi,71,6,5,64,6,1,153,388
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,77,Chicoutimi,93,9,15,60,4,2,183,462
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,78,Chicoutimi,98,11,9,62,3,4,187,411
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,79,Chicoutimi,89,7,13,57,4,0,170,359
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,80,Chicoutimi,92,4,12,46,5,4,163,416
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,81,Chicoutimi,30,2,5,35,1,2,75,142
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,82,Chicoutimi,101,8,12,103,3,4,231,522
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,83,Chicoutimi,58,6,14,77,6,3,164,327
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,84,Chicoutimi,75,5,8,84,5,0,177,384
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,85,Chicoutimi,94,2,12,55,3,2,168,427
Chicoutimi--Le Fjord/Chicoutimi--Le Fjord,86,Chicoutimi,125,15,4,130,4,5,283,447
