District,Poll Number,Poll Name,Jean-Paul Bédard,Rebecca Blaikie,Douglas Jack,Thierry Larrivée,Paul Martin,Nicole Roy-Arcelin,Marc-Boris St-Maurice,Rejected Ballots,Total Vote,Electors
LaSalle--Émard/LaSalle--Émard,1,Montréal,1,15,6,91,151,8,8,6,286,458
LaSalle--Émard/LaSalle--Émard,2,Montréal,2,7,4,115,78,6,2,4,218,404
LaSalle--Émard/LaSalle--Émard,3,Montréal,1,7,1,94,76,4,4,4,191,385
LaSalle--Émard/LaSalle--Émard,4,Montréal,2,4,8,68,50,5,0,4,141,344
LaSalle--Émard/LaSalle--Émard,5,Montréal,1,17,11,109,59,4,5,6,212,457
LaSalle--Émard/LaSalle--Émard,6,Montréal,0,8,4,88,61,9,4,4,178,362
LaSalle--Émard/LaSalle--Émard,7,Montréal,0,12,2,60,46,2,3,6,131,324
LaSalle--Émard/LaSalle--Émard,8,Montréal,2,8,2,58,97,10,3,7,187,524
LaSalle--Émard/LaSalle--Émard,9,Montréal,3,11,2,64,29,3,1,4,117,276
LaSalle--Émard/LaSalle--Émard,10,Montréal,1,10,4,132,53,4,2,2,208,442
LaSalle--Émard/LaSalle--Émard,11,Montréal,0,11,2,65,33,9,0,2,122,269
LaSalle--Émard/LaSalle--Émard,12,Montréal,1,4,4,69,44,3,1,5,131,285
LaSalle--Émard/LaSalle--Émard,13,Montréal,1,4,4,85,65,6,2,7,174,419
LaSalle--Émard/LaSalle--Émard,14,Montréal,1,6,4,45,50,2,3,4,115,259
LaSalle--Émard/LaSalle--Émard,15,Montréal,0,17,5,131,63,11,5,3,235,506
LaSalle--Émard/LaSalle--Émard,16,Montréal,0,8,0,121,89,5,0,7,230,448
LaSalle--Émard/LaSalle--Émard,17,Montréal,1,8,2,70,32,1,2,2,118,244
LaSalle--Émard/LaSalle--Émard,18,Montréal,0,3,2,84,40,6,2,5,142,278
LaSalle--Émard/LaSalle--Émard,19,Montréal,3,14,4,145,72,7,1,13,259,495
LaSalle--Émard/LaSalle--Émard,20,Montréal,1,5,5,76,56,3,2,7,155,262
LaSalle--Émard/LaSalle--Émard,21,Montréal,1,8,7,100,125,12,3,7,263,410
LaSalle--Émard/LaSalle--Émard,22,Montréal,4,6,4,50,121,13,4,9,211,412
LaSalle--Émard/LaSalle--Émard,23,Montréal,0,10,2,95,126,9,0,9,251,404
