District,Poll Number,Poll Name,Christopher Bojanowski,Yonnel Bonaventure,Jean-Guy Carignan,Bernard Cleary,Michel Fragasso,Henri Gauvin,Dominique Théberge,Josée Verner,Rejected Ballots,Total Vote,Electors
Louis-Saint-Laurent/Louis-Saint-Laurent,1,Québec,6,5,0,71,28,3,0,47,3,163,292
Louis-Saint-Laurent/Louis-Saint-Laurent,2,Québec,3,6,2,81,64,0,1,66,8,231,398
Louis-Saint-Laurent/Louis-Saint-Laurent,3,Québec,4,6,1,67,25,1,0,68,2,174,301
Louis-Saint-Laurent/Louis-Saint-Laurent,4,Québec,5,2,0,45,11,0,0,34,2,99,227
Louis-Saint-Laurent/Louis-Saint-Laurent,5,Québec,5,5,11,127,116,0,1,95,10,370,612
Louis-Saint-Laurent/Louis-Saint-Laurent,5-1,Québec,7,8,1,95,78,1,1,86,53,330,585
Louis-Saint-Laurent/Louis-Saint-Laurent,6,Québec,6,9,8,121,92,1,0,112,10,359,626
Louis-Saint-Laurent/Louis-Saint-Laurent,7,Québec,9,7,3,137,104,1,3,87,8,359,578
Louis-Saint-Laurent/Louis-Saint-Laurent,7-1,Québec,1,5,5,88,64,0,1,88,6,258,422
Louis-Saint-Laurent/Louis-Saint-Laurent,8,Québec,5,2,1,77,29,1,0,54,8,177,387
Louis-Saint-Laurent/Louis-Saint-Laurent,9,Québec,4,7,2,77,42,1,1,70,7,211,356
Louis-Saint-Laurent/Louis-Saint-Laurent,10,Québec,8,6,2,96,53,0,0,54,9,228,404
Louis-Saint-Laurent/Louis-Saint-Laurent,11,Québec,9,10,1,99,49,2,0,89,4,263,416
Louis-Saint-Laurent/Louis-Saint-Laurent,12,Québec,6,6,1,94,50,0,2,69,7,235,379
Louis-Saint-Laurent/Louis-Saint-Laurent,13,Québec,4,9,2,92,58,1,1,55,6,228,418
Louis-Saint-Laurent/Louis-Saint-Laurent,14,Québec,4,6,2,90,66,0,1,73,5,247,447
Louis-Saint-Laurent/Louis-Saint-Laurent,15,Québec,6,1,1,42,27,0,0,34,4,115,183
Louis-Saint-Laurent/Louis-Saint-Laurent,16,Québec,8,10,2,99,55,1,1,91,9,276,593
Louis-Saint-Laurent/Louis-Saint-Laurent,17,Québec,9,6,3,102,62,1,3,84,2,272,462
Louis-Saint-Laurent/Louis-Saint-Laurent,18,Québec,11,5,4,135,75,2,0,98,5,335,569
Louis-Saint-Laurent/Louis-Saint-Laurent,19,Québec,11,7,5,84,93,0,1,104,2,307,463
Louis-Saint-Laurent/Louis-Saint-Laurent,20,Québec,12,5,1,92,44,0,0,53,5,212,351
Louis-Saint-Laurent/Louis-Saint-Laurent,21,Québec,7,9,1,83,27,1,0,61,4,193,298
Louis-Saint-Laurent/Louis-Saint-Laurent,22,Québec,6,10,0,87,44,0,0,73,3,223,403
Louis-Saint-Laurent/Louis-Saint-Laurent,23,Québec,4,5,1,39,21,2,2,55,7,136,411
Louis-Saint-Laurent/Louis-Saint-Laurent,24,Québec,6,9,1,71,40,2,1,67,8,205,487
Louis-Saint-Laurent/Louis-Saint-Laurent,25,Québec,4,4,3,60,48,0,0,37,5,161,346
Louis-Saint-Laurent/Louis-Saint-Laurent,26,Québec,5,9,1,78,35,0,0,39,3,170,361
Louis-Saint-Laurent/Louis-Saint-Laurent,27,Québec,7,4,2,71,54,0,1,55,3,197,357
Louis-Saint-Laurent/Louis-Saint-Laurent,28,Québec,6,3,1,91,37,2,0,38,3,181,303
Louis-Saint-Laurent/Louis-Saint-Laurent,29,Québec,3,6,0,55,21,1,1,59,4,150,354
Louis-Saint-Laurent/Louis-Saint-Laurent,30,Québec,4,8,2,95,39,2,0,88,6,244,360
Louis-Saint-Laurent/Louis-Saint-Laurent,31,Québec,7,7,6,146,58,2,1,150,5,382,650
Louis-Saint-Laurent/Louis-Saint-Laurent,32,Québec,7,7,1,82,75,1,0,71,6,250,534
Louis-Saint-Laurent/Louis-Saint-Laurent,33,Québec,7,7,0,59,67,2,0,56,3,201,363
Louis-Saint-Laurent/Louis-Saint-Laurent,34,Québec,9,13,1,93,31,2,1,79,5,234,454
Louis-Saint-Laurent/Louis-Saint-Laurent,35,Québec,6,2,4,62,36,1,1,49,7,168,296
Louis-Saint-Laurent/Louis-Saint-Laurent,36,Québec,7,2,1,75,39,0,1,66,5,196,417
Louis-Saint-Laurent/Louis-Saint-Laurent,37,Loretteville,17,8,3,118,67,0,0,88,7,308,605
Louis-Saint-Laurent/Louis-Saint-Laurent,38,Loretteville,5,15,2,100,51,2,1,86,4,266,481
Louis-Saint-Laurent/Louis-Saint-Laurent,39,Loretteville,11,12,1,105,32,4,1,73,0,239,411
Louis-Saint-Laurent/Louis-Saint-Laurent,40,Loretteville,8,4,2,56,23,0,0,39,4,136,369
Louis-Saint-Laurent/Louis-Saint-Laurent,41A,Village-des-Hurons,12,5,1,36,48,1,0,43,3,149,424
Louis-Saint-Laurent/Louis-Saint-Laurent,41B,Village-des-Hurons,9,7,0,26,53,0,0,29,0,124,394
Louis-Saint-Laurent/Louis-Saint-Laurent,42,Village-des-Hurons,3,2,2,28,37,0,0,42,2,116,330
Louis-Saint-Laurent/Louis-Saint-Laurent,43,Loretteville,7,13,3,72,53,3,2,56,3,212,419
Louis-Saint-Laurent/Louis-Saint-Laurent,44,Québec,3,10,3,76,33,0,0,60,0,185,431
Louis-Saint-Laurent/Louis-Saint-Laurent,45,Loretteville,12,5,3,76,35,1,0,61,0,193,466
Louis-Saint-Laurent/Louis-Saint-Laurent,46,Loretteville,12,4,1,73,57,0,1,70,3,221,365
Louis-Saint-Laurent/Louis-Saint-Laurent,47,Loretteville,16,8,2,87,66,1,2,78,6,266,450
Louis-Saint-Laurent/Louis-Saint-Laurent,48,Loretteville,13,3,1,79,43,1,6,48,5,199,395
Louis-Saint-Laurent/Louis-Saint-Laurent,49,Loretteville,8,5,3,71,40,1,1,36,4,169,351
Louis-Saint-Laurent/Louis-Saint-Laurent,50,Loretteville,6,7,2,68,48,2,1,42,4,180,419
Louis-Saint-Laurent/Louis-Saint-Laurent,51,Loretteville,7,8,2,74,54,2,0,72,3,222,341
Louis-Saint-Laurent/Louis-Saint-Laurent,52,Loretteville,4,4,5,37,29,0,1,37,5,122,256
Louis-Saint-Laurent/Louis-Saint-Laurent,53,Loretteville,16,4,1,80,60,0,1,84,8,254,436
Louis-Saint-Laurent/Louis-Saint-Laurent,54,Loretteville,9,10,0,61,36,0,1,39,0,156,303
Louis-Saint-Laurent/Louis-Saint-Laurent,55,Loretteville,5,6,3,81,37,1,2,58,10,203,435
Louis-Saint-Laurent/Louis-Saint-Laurent,56,Loretteville,9,4,0,69,44,1,2,41,6,176,404
Louis-Saint-Laurent/Louis-Saint-Laurent,57A,Loretteville,4,7,2,69,39,0,3,62,4,190,423
Louis-Saint-Laurent/Louis-Saint-Laurent,57B,Mobile poll/Bureau itinérant,Merged with No. 500B,,,,,,,,,,53
Louis-Saint-Laurent/Louis-Saint-Laurent,58,Loretteville,7,6,0,83,60,1,0,45,4,206,317
Louis-Saint-Laurent/Louis-Saint-Laurent,59A,Loretteville,11,5,1,84,51,0,0,46,2,200,306
Louis-Saint-Laurent/Louis-Saint-Laurent,59B,Mobile poll/Bureau itinérant,Merged with No. 501B,,,,,,,,,,59
Louis-Saint-Laurent/Louis-Saint-Laurent,60,Loretteville,8,0,4,81,49,0,1,52,3,198,344
Louis-Saint-Laurent/Louis-Saint-Laurent,61,Loretteville,9,2,0,72,58,0,0,43,1,185,333
Louis-Saint-Laurent/Louis-Saint-Laurent,62,Loretteville,11,3,2,77,88,1,2,43,4,231,451
Louis-Saint-Laurent/Louis-Saint-Laurent,63,Loretteville,6,5,6,107,71,2,0,57,5,259,472
Louis-Saint-Laurent/Louis-Saint-Laurent,64,Loretteville,5,7,0,67,31,0,1,63,1,175,428
Louis-Saint-Laurent/Louis-Saint-Laurent,65,Loretteville,1,8,1,84,45,0,0,51,4,194,389
Louis-Saint-Laurent/Louis-Saint-Laurent,66,Loretteville,2,7,1,54,34,0,0,32,0,130,397
Louis-Saint-Laurent/Louis-Saint-Laurent,67,Loretteville,2,4,3,84,43,3,0,46,6,191,334
Louis-Saint-Laurent/Louis-Saint-Laurent,68,Val-Bélair,7,3,4,51,36,1,1,38,6,147,414
Louis-Saint-Laurent/Louis-Saint-Laurent,69,Val-Bélair,8,6,8,63,35,0,0,57,2,179,408
Louis-Saint-Laurent/Louis-Saint-Laurent,70,Val-Bélair,1,5,5,77,32,2,1,49,6,178,389
Louis-Saint-Laurent/Louis-Saint-Laurent,71,Val-Bélair,5,3,4,57,32,0,0,65,18,184,427
Louis-Saint-Laurent/Louis-Saint-Laurent,72,Val-Bélair,3,4,3,55,21,1,0,92,6,185,460
Louis-Saint-Laurent/Louis-Saint-Laurent,73,Val-Bélair,8,5,3,48,41,2,1,72,3,183,376
Louis-Saint-Laurent/Louis-Saint-Laurent,74,Val-Bélair,7,7,1,82,40,1,1,65,6,210,462
Louis-Saint-Laurent/Louis-Saint-Laurent,75,Val-Bélair,11,8,0,74,25,1,0,87,1,207,530
Louis-Saint-Laurent/Louis-Saint-Laurent,76,Val-Bélair,8,7,6,85,55,0,0,70,0,231,546
