District,Poll Number,Poll Name,Gérard Asselin,Anthony Detroio,Pierre Ducasse,Pierre Paradis,Les Parsons,Rejected Ballots,Total Vote,Electors
Manicouagan/Manicouagan,1A,Schefferville,1,94,2,1,0,1,99,294
Manicouagan/Manicouagan,1B,Schefferville,31,33,3,4,0,1,72,388
Manicouagan/Manicouagan,2,Matimikosh,3,21,0,2,1,1,28,143
Manicouagan/Manicouagan,3,Kawawachikamach,Void,,,,,,,
Manicouagan/Manicouagan,4,Fermont,109,11,18,6,1,2,147,451
Manicouagan/Manicouagan,5,Fermont,83,13,4,6,3,0,109,287
Manicouagan/Manicouagan,6,Fermont,105,23,10,3,0,5,146,359
Manicouagan/Manicouagan,7,Fermont,105,22,13,3,4,2,149,353
Manicouagan/Manicouagan,8,Franquelin,119,25,4,5,2,6,161,274
Manicouagan/Manicouagan,9A,Pointe-aux-Anglais,43,32,2,1,0,0,78,226
Manicouagan/Manicouagan,9B,Rivière-Pentecôte,89,53,2,5,1,0,150,235
Manicouagan/Manicouagan,10,Les Islets-Caribou,15,4,1,2,0,0,22,109
Manicouagan/Manicouagan,11,Baie-Trinité,109,16,3,2,2,2,134,286
Manicouagan/Manicouagan,12,Baie-Trinité,36,8,4,2,1,0,51,100
Manicouagan/Manicouagan,13,Godbout,83,38,2,9,3,1,136,288
Manicouagan/Manicouagan,14,Baie-Comeau,120,24,15,15,4,0,178,401
Manicouagan/Manicouagan,15,Baie-Comeau,79,25,19,6,1,5,135,287
Manicouagan/Manicouagan,16,Baie-Comeau,101,27,19,10,1,3,161,280
Manicouagan/Manicouagan,17,Baie-Comeau,81,22,9,8,3,2,125,260
Manicouagan/Manicouagan,18,Baie-Comeau,158,33,22,25,8,6,252,557
Manicouagan/Manicouagan,19,Baie-Comeau,93,27,22,19,6,4,171,310
Manicouagan/Manicouagan,20,Baie-Comeau,59,42,19,16,4,0,140,272
Manicouagan/Manicouagan,21,Baie-Comeau,45,48,14,5,2,1,115,268
Manicouagan/Manicouagan,22,Baie-Comeau,67,28,27,12,3,6,143,272
Manicouagan/Manicouagan,23,Baie-Comeau,112,24,29,7,5,6,183,323
Manicouagan/Manicouagan,24,Baie-Comeau,93,38,21,5,3,0,160,327
Manicouagan/Manicouagan,25,Baie-Comeau,82,26,11,29,0,2,150,360
Manicouagan/Manicouagan,26,Baie-Comeau,68,26,12,10,6,4,126,251
Manicouagan/Manicouagan,27,Baie-Comeau,123,54,41,17,3,4,242,482
Manicouagan/Manicouagan,28,Baie-Comeau,86,21,28,2,5,3,145,287
Manicouagan/Manicouagan,29,Baie-Comeau,87,31,11,14,1,3,147,326
Manicouagan/Manicouagan,30,Baie-Comeau,84,25,8,14,3,0,134,283
Manicouagan/Manicouagan,31,Baie-Comeau,81,28,12,11,8,7,147,324
Manicouagan/Manicouagan,32,Baie-Comeau,91,39,19,19,2,4,174,344
Manicouagan/Manicouagan,33,Baie-Comeau,99,37,11,21,4,3,175,375
Manicouagan/Manicouagan,34,Baie-Comeau,105,42,13,22,0,2,184,334
Manicouagan/Manicouagan,35,Baie-Comeau,97,34,18,9,2,3,163,347
Manicouagan/Manicouagan,36,Baie-Comeau,139,33,22,19,4,1,218,388
Manicouagan/Manicouagan,37,Baie-Comeau,128,28,15,9,3,3,186,354
Manicouagan/Manicouagan,38,Baie-Comeau,157,49,24,17,7,1,255,437
Manicouagan/Manicouagan,39,Baie-Comeau,119,13,10,9,1,1,153,341
Manicouagan/Manicouagan,40,Baie-Comeau,179,11,8,4,5,1,208,446
Manicouagan/Manicouagan,41,Baie-Comeau,181,20,18,2,4,4,229,471
Manicouagan/Manicouagan,42,Baie-Comeau,126,18,13,5,2,0,164,350
Manicouagan/Manicouagan,43,Baie-Comeau,165,19,22,8,7,4,225,454
Manicouagan/Manicouagan,44,Baie-Comeau,157,40,25,8,4,4,238,457
Manicouagan/Manicouagan,45,Baie-Comeau,135,25,13,11,0,0,184,386
Manicouagan/Manicouagan,46,Baie-Comeau,160,51,22,11,7,4,255,583
Manicouagan/Manicouagan,47,Baie-Comeau,123,22,10,10,1,0,166,317
Manicouagan/Manicouagan,48,Baie-Comeau,126,26,7,5,0,4,168,348
Manicouagan/Manicouagan,49,Baie-Comeau,111,22,10,4,1,2,150,382
