District,Poll Number,Poll Name,François Boudreau,Lévis Brien,André Cardinal,Jean-François Léveque,Allen  F. MacKenzie,Benoît Sauvageau,Rejected Ballots,Total Vote,Electors
Repentigny/Repentigny,1,Saint-Gérard-Majella,4,46,10,12,22,152,10,256,461
Repentigny/Repentigny,2,Saint-Gérard-Majella,6,34,4,6,10,174,9,243,483
Repentigny/Repentigny,3,Saint-Gérard-Majella,4,45,5,5,11,278,9,357,728
Repentigny/Repentigny,4,Saint-Gérard-Majella,5,20,10,9,16,205,2,267,438
Repentigny/Repentigny,5,Saint-Gérard-Majella,5,10,1,4,7,84,3,114,272
Repentigny/Repentigny,6,Saint-Gérard-Majella,4,46,6,7,18,178,9,268,484
Repentigny/Repentigny,7,Saint-Gérard-Majella,1,21,7,5,8,173,14,229,449
Repentigny/Repentigny,8,L'Assomption,3,36,18,4,15,134,7,217,395
Repentigny/Repentigny,9,L'Assomption,2,42,9,10,17,186,7,273,419
Repentigny/Repentigny,10,L'Assomption,8,57,10,14,12,273,11,385,678
Repentigny/Repentigny,11,L'Assomption,4,41,7,2,6,147,5,212,365
Repentigny/Repentigny,12,L'Assomption,4,48,10,6,13,209,4,294,515
Repentigny/Repentigny,13,L'Assomption,1,30,4,7,9,96,3,150,238
Repentigny/Repentigny,14,L'Assomption,2,32,13,9,14,152,5,227,447
Repentigny/Repentigny,15,L'Assomption,3,55,4,9,11,159,5,246,494
Repentigny/Repentigny,16,L'Assomption,5,45,6,8,12,149,7,232,425
Repentigny/Repentigny,17,L'Assomption,3,26,11,5,6,142,5,198,338
Repentigny/Repentigny,18,L'Assomption,1,36,9,5,11,156,5,223,410
Repentigny/Repentigny,19,L'Assomption,1,44,12,5,9,85,8,164,311
Repentigny/Repentigny,20,L'Assomption,4,38,2,3,9,108,4,168,336
Repentigny/Repentigny,21,L'Assomption,1,30,7,9,8,153,3,211,419
Repentigny/Repentigny,22,L'Assomption,4,46,4,4,11,163,3,235,449
Repentigny/Repentigny,23,L'Assomption,1,49,7,5,16,159,3,240,379
Repentigny/Repentigny,24,L'Assomption,4,40,10,15,8,193,3,273,427
Repentigny/Repentigny,25,L'Assomption,6,53,3,4,14,166,1,247,494
Repentigny/Repentigny,26,L'Assomption,4,32,3,5,6,131,6,187,370
Repentigny/Repentigny,27,L'Assomption,1,78,10,18,31,243,10,391,576
