District,Poll Number,Poll Name,Marie Martine Bédard,Nicolas Du Cap,Érick Gauthier,Gilles-A. Perron,Yolaine Savignac,Rejected Ballots,Total Vote,Electors
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,1,Boisbriand,10,5,13,136,58,4,226,405
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,2,Boisbriand,2,6,10,169,47,7,241,428
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,3,Boisbriand,10,8,19,149,38,5,229,513
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,4,Boisbriand,8,10,10,176,73,4,281,488
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,5,Boisbriand,6,5,11,109,20,7,158,396
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,6,Boisbriand,9,6,22,124,76,4,241,393
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,7,Boisbriand,12,7,20,109,65,6,219,335
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,8,Boisbriand,6,9,8,132,30,7,192,423
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,9,Boisbriand,5,6,8,129,21,2,171,472
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,10,Boisbriand,12,16,23,137,48,17,253,409
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,11,Boisbriand,10,5,17,172,68,9,281,445
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,12,Boisbriand,12,9,18,163,66,10,278,444
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,13,Boisbriand,13,11,31,194,94,12,355,558
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,14,Boisbriand,9,4,20,199,56,7,295,484
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,15,Boisbriand,4,4,10,171,46,3,238,371
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,16,Boisbriand,5,14,15,181,51,5,271,422
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,17,Boisbriand,22,7,17,119,77,3,245,422
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,18,Boisbriand,11,7,12,151,41,6,228,361
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,19A,Boisbriand,13,1,10,94,34,0,152,314
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,19B,Boisbriand,8,7,4,82,24,4,129,320
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,20,Boisbriand,11,13,18,223,65,5,335,561
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,21,Boisbriand,5,6,16,153,43,7,230,417
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,22,Boisbriand,9,4,9,133,41,3,199,378
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,23,Boisbriand,12,4,10,161,59,4,250,446
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,24,Boisbriand,13,10,14,148,60,3,248,403
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,25,Boisbriand,4,8,15,129,35,3,194,340
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,26,Boisbriand,12,8,21,191,89,4,325,475
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,27,Boisbriand,9,11,16,154,59,7,256,359
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,28,Boisbriand,4,1,20,37,50,4,116,490
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,29,Boisbriand,5,6,6,132,32,5,186,426
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,30,Boisbriand,9,10,11,164,33,7,234,413
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,31A,Boisbriand,9,7,14,92,50,4,176,297
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,31B,Boisbriand,13,3,7,103,42,2,170,281
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,32,Boisbriand,6,4,17,159,44,3,233,331
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,33,Boisbriand,14,2,9,155,51,4,235,414
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,34,Boisbriand,17,10,20,179,56,9,291,508
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,35,Boisbriand,11,9,8,207,67,7,309,431
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,36,Boisbriand,12,18,8,210,55,9,312,443
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,37,Boisbriand,7,9,28,190,35,10,279,401
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,38,Boisbriand,16,5,19,118,56,2,216,328
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,39,Boisbriand,18,8,18,220,92,9,365,563
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,40,Boisbriand,9,11,14,195,98,1,328,463
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,41,Boisbriand,15,10,15,230,65,7,342,485
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,42,Boisbriand,13,7,14,160,58,3,255,436
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,43,Boisbriand,12,14,10,115,35,8,194,379
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,44,Saint-Eustache,11,3,23,128,36,5,206,369
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,45,Saint-Eustache,15,5,19,126,50,9,224,426
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,46A,Saint-Eustache,5,5,10,131,33,4,188,330
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,46B,Saint-Eustache,6,4,12,120,50,4,196,336
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,47,Saint-Eustache,12,11,11,180,57,7,278,427
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,48,Saint-Eustache,10,8,22,203,59,9,311,462
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,49,Saint-Eustache,7,14,22,116,41,10,210,299
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,50,Saint-Eustache,14,16,31,225,62,17,365,539
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,51,Saint-Eustache,17,4,14,251,66,8,360,521
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,52,Saint-Eustache,14,16,17,207,45,7,306,482
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,53,Saint-Eustache,5,6,22,153,30,3,219,328
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,54,Saint-Eustache,11,11,18,290,55,8,393,595
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,55,Saint-Eustache,17,6,25,247,68,9,372,570
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,56,Saint-Eustache,19,13,22,231,58,3,346,510
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,57,Saint-Eustache,13,9,10,136,31,6,205,321
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,58,Saint-Eustache,10,10,13,158,29,7,227,347
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,59A,Saint-Eustache,10,8,6,122,31,5,182,283
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,59B,Saint-Eustache,10,6,5,140,26,5,192,330
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,60A,Saint-Eustache,5,3,6,121,40,7,182,314
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,60B,Saint-Eustache,6,9,8,101,37,4,165,305
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,61A,Saint-Eustache,8,6,15,107,40,3,179,320
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,61B,Saint-Eustache,13,7,11,129,37,5,202,369
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,62,Saint-Eustache,9,7,18,113,90,6,243,381
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,63,Saint-Eustache,4,11,23,107,88,10,243,445
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,64,Saint-Eustache,9,2,19,116,108,17,271,391
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,65,Saint-Eustache,20,5,21,166,91,7,310,536
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,66,Saint-Eustache,19,27,17,140,56,5,264,470
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,67,Saint-Eustache,7,10,7,185,44,6,259,536
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,68,Saint-Eustache,12,10,16,162,65,0,265,461
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,69,Saint-Eustache,7,5,21,155,65,9,262,406
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,70,Saint-Eustache,13,12,21,190,81,6,323,513
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,71,Saint-Eustache,8,7,17,133,38,7,210,397
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,72,Saint-Eustache,19,16,23,204,61,6,329,487
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,73,Saint-Eustache,7,3,4,168,46,6,234,384
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,74,Saint-Eustache,7,1,11,169,32,2,222,370
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,75A,Saint-Eustache,7,10,10,100,51,4,182,328
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,75B,Saint-Eustache,9,4,9,91,38,2,153,263
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,76,Saint-Eustache,7,8,16,128,35,6,200,318
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,77,Saint-Eustache,12,12,13,200,60,8,305,461
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,78,Saint-Eustache,7,15,16,137,59,9,243,390
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,79,Saint-Eustache,13,3,8,148,44,6,222,409
Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,80,Saint-Eustache,5,13,14,144,46,8,230,373
