District,Poll Number,Poll Name,Lorraine Auclair,Catherine Brousseau,François Côté,Monique Guay,Christian Marcoux,Marcel Poirier,Rejected Ballots,Total Vote,Electors
Rivière-du-Nord/Rivière-du-Nord,1,Saint-Hippolyte,24,4,3,68,1,7,2,109,193
Rivière-du-Nord/Rivière-du-Nord,2,Saint-Hippolyte,52,4,6,150,2,16,7,237,392
Rivière-du-Nord/Rivière-du-Nord,3,Saint-Hippolyte,58,18,9,186,5,11,12,299,637
Rivière-du-Nord/Rivière-du-Nord,4,Saint-Hippolyte,80,13,7,145,2,13,7,267,475
Rivière-du-Nord/Rivière-du-Nord,5,Saint-Hippolyte,50,15,13,135,3,12,4,232,428
Rivière-du-Nord/Rivière-du-Nord,6,Saint-Hippolyte,21,2,4,63,1,5,0,96,174
Rivière-du-Nord/Rivière-du-Nord,7,Saint-Hippolyte,48,9,13,197,3,9,6,285,542
Rivière-du-Nord/Rivière-du-Nord,8,Saint-Hippolyte,25,4,6,148,5,7,2,197,347
Rivière-du-Nord/Rivière-du-Nord,9,Saint-Hippolyte,36,7,4,92,3,7,5,154,313
Rivière-du-Nord/Rivière-du-Nord,10,Saint-Hippolyte,29,6,2,123,0,3,2,165,338
Rivière-du-Nord/Rivière-du-Nord,11,Saint-Hippolyte,51,13,6,96,2,1,3,172,367
Rivière-du-Nord/Rivière-du-Nord,12,Saint-Hippolyte,45,14,10,189,6,12,7,283,614
Rivière-du-Nord/Rivière-du-Nord,13,Saint-Hippolyte,54,21,8,236,3,10,12,344,595
Rivière-du-Nord/Rivière-du-Nord,14,Prévost,55,10,15,310,2,28,4,424,654
Rivière-du-Nord/Rivière-du-Nord,15,Prévost,60,16,12,282,8,21,2,401,646
Rivière-du-Nord/Rivière-du-Nord,16,Prévost,61,11,18,184,5,18,1,298,598
Rivière-du-Nord/Rivière-du-Nord,17,Prévost,54,7,9,231,5,15,6,327,561
Rivière-du-Nord/Rivière-du-Nord,18,Prévost,98,11,18,209,1,8,6,351,554
Rivière-du-Nord/Rivière-du-Nord,19,Prévost,43,17,9,118,2,4,1,194,358
Rivière-du-Nord/Rivière-du-Nord,20,Prévost,90,17,19,242,4,18,10,400,681
Rivière-du-Nord/Rivière-du-Nord,21,Prévost,82,9,7,194,8,21,6,327,554
Rivière-du-Nord/Rivière-du-Nord,22,Prévost,71,11,16,269,5,12,5,389,597
Rivière-du-Nord/Rivière-du-Nord,23,Prévost,59,22,20,192,2,14,1,310,464
Rivière-du-Nord/Rivière-du-Nord,24,Prévost,56,23,8,163,4,9,8,271,458
Rivière-du-Nord/Rivière-du-Nord,25,Prévost,45,15,3,182,3,3,1,252,444
Rivière-du-Nord/Rivière-du-Nord,26,Prévost,93,23,11,261,1,10,13,412,628
Rivière-du-Nord/Rivière-du-Nord,27,Sainte-Sophie,45,13,10,137,5,7,4,221,472
Rivière-du-Nord/Rivière-du-Nord,28,Sainte-Sophie,39,9,6,124,2,7,6,193,400
Rivière-du-Nord/Rivière-du-Nord,29,New Glasgow,Void,,,,,,,,
Rivière-du-Nord/Rivière-du-Nord,30,Sainte-Sophie,45,9,4,123,0,3,3,187,409
Rivière-du-Nord/Rivière-du-Nord,31,Sainte-Sophie,28,7,1,125,5,13,5,184,413
Rivière-du-Nord/Rivière-du-Nord,32,Sainte-Sophie,24,13,3,171,1,4,4,220,414
