District,Poll Number,Poll Name,Andrée Champagne,Joëlle Chevrier,Michel Gaudette,Bruno Godbout,Yvan Loubier,Rejected Ballots,Total Vote,Electors
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,1,Saint-Louis,30,8,83,9,195,4,329,533
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,2,Saint-Marcel-de-Richelieu,38,1,54,2,194,4,293,429
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,3,Saint-Hugues,14,10,27,4,127,5,187,297
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,4,Saint-Hugues,23,8,52,5,118,9,215,384
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,5,Saint-Hugues,26,14,37,1,144,5,227,352
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,6,Saint-Bernard-de-Michaudville,29,0,44,2,182,13,270,440
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,7,Saint-Jude,21,3,39,4,176,3,246,440
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,8,Saint-Jude,27,6,41,7,170,9,260,427
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,9,Saint-Barnabé-Sud,43,4,64,3,155,6,275,388
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,10,Saint-Barnabé-Sud,22,3,25,3,139,0,192,284
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,11,Sainte-Hélène-de-Bagot,16,7,30,3,145,2,203,411
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,12,Sainte-Hélène-de-Bagot,28,8,42,5,128,6,217,351
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,13,Sainte-Hélène-de-Bagot,31,6,47,8,124,8,224,362
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,14,Saint-Nazaire-d'Acton,37,1,52,3,104,2,199,325
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,15,Saint-Nazaire-d'Acton,32,2,33,7,102,4,180,332
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,16,Saint-Théodore-d'Acton,28,11,52,8,138,11,248,456
