District,Poll Number,Poll Name,Almaz Aladass,Fernand Deschamps,Stéphane Dion,William Fayad,Ken Fernandez,Zaid Mahayni,Alex Neron,Marc Rahmé,Nilda Vargas,Rejected Ballots,Total Vote,Electors
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,1,Montréal,5,0,86,114,0,12,3,13,1,1,235,345
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,2,Montréal,9,0,123,69,1,10,1,14,0,0,227,371
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,3,Montréal,2,0,151,57,2,18,2,20,0,2,254,423
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,4,Montréal,1,1,156,16,0,6,0,10,2,7,199,327
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,5,Montréal,8,0,133,107,0,29,1,13,1,0,292,485
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,6,Montréal,4,0,147,41,0,14,4,13,0,2,225,413
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,7,Montréal,1,2,97,22,0,37,0,8,2,0,169,440
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,8,Montréal,3,2,97,20,0,16,0,7,0,3,148,352
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,9,Montréal,7,1,114,43,1,25,1,9,0,1,202,375
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,10,Montréal,9,0,187,48,2,22,0,11,0,1,280,508
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,11,Montréal,5,0,81,25,1,17,0,14,0,5,148,279
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,12,Montréal,4,0,144,54,1,14,0,12,0,0,229,414
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,13,Montréal,1,0,75,34,0,13,0,13,0,4,140,397
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,14,Montréal,1,0,168,12,0,8,0,6,0,2,197,431
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,15,Montréal,11,0,60,115,0,16,1,9,0,2,214,324
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,16,Montréal,10,2,94,49,0,12,1,12,0,1,181,285
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,17,Montréal,9,0,67,87,0,5,3,7,0,2,180,333
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,18,Montréal,8,0,119,77,0,14,0,25,0,1,244,372
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,19,Montréal,4,3,111,39,0,4,2,3,0,3,169,421
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,20,Montréal,11,0,96,116,0,18,8,14,0,6,269,446
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,21,Montréal,5,0,57,72,0,10,4,9,0,1,158,321
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,22,Montréal,1,0,102,54,0,14,5,16,0,0,192,535
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,23,Montréal,1,1,76,67,0,11,4,15,0,5,180,383
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,24,Montréal,3,2,96,39,0,9,2,13,0,0,164,458
