District,Poll Number,Poll Name,Normand Beaudet,Diane Bourgeois,Martin Drapeau,Pierre Gingras,Patrick Légaré,Rejected Ballots,Total Vote,Electors
Terrebonne--Blainville/Terrebonne--Blainville,1,Sainte-Anne-des-Plaines,7,157,10,48,13,5,240,459
Terrebonne--Blainville/Terrebonne--Blainville,2,Sainte-Anne-des-Plaines,6,131,10,37,19,9,212,425
Terrebonne--Blainville/Terrebonne--Blainville,3,Sainte-Anne-des-Plaines,3,131,8,38,14,9,203,366
Terrebonne--Blainville/Terrebonne--Blainville,4,Sainte-Anne-des-Plaines,3,133,5,22,11,5,179,394
Terrebonne--Blainville/Terrebonne--Blainville,5,Sainte-Anne-des-Plaines,10,190,7,26,12,7,252,421
Terrebonne--Blainville/Terrebonne--Blainville,6,Sainte-Anne-des-Plaines,6,192,4,32,12,7,253,507
Terrebonne--Blainville/Terrebonne--Blainville,7,Sainte-Anne-des-Plaines,13,241,8,30,8,17,317,524
Terrebonne--Blainville/Terrebonne--Blainville,8,Sainte-Anne-des-Plaines,9,167,6,16,9,4,211,373
Terrebonne--Blainville/Terrebonne--Blainville,9,Sainte-Anne-des-Plaines,11,187,13,33,17,7,268,490
Terrebonne--Blainville/Terrebonne--Blainville,10,Sainte-Anne-des-Plaines,14,179,4,34,20,9,260,404
Terrebonne--Blainville/Terrebonne--Blainville,11,Sainte-Anne-des-Plaines,4,167,6,29,10,5,221,390
Terrebonne--Blainville/Terrebonne--Blainville,12,Sainte-Anne-des-Plaines,6,176,3,56,15,9,265,527
Terrebonne--Blainville/Terrebonne--Blainville,13,Sainte-Anne-des-Plaines,6,167,5,36,17,9,240,373
Terrebonne--Blainville/Terrebonne--Blainville,14,Sainte-Anne-des-Plaines,7,155,11,26,11,4,214,391
Terrebonne--Blainville/Terrebonne--Blainville,15,Sainte-Anne-des-Plaines,5,185,11,28,13,8,250,408
Terrebonne--Blainville/Terrebonne--Blainville,16,Sainte-Anne-des-Plaines,6,188,8,29,16,13,260,496
Terrebonne--Blainville/Terrebonne--Blainville,17,Sainte-Anne-des-Plaines,5,151,5,55,16,6,238,403
Terrebonne--Blainville/Terrebonne--Blainville,18,Sainte-Anne-des-Plaines,7,98,14,40,8,6,173,376
Terrebonne--Blainville/Terrebonne--Blainville,19,Sainte-Anne-des-Plaines,3,170,12,46,11,5,247,481
Terrebonne--Blainville/Terrebonne--Blainville,20,Sainte-Anne-des-Plaines,8,154,4,30,8,4,208,379
Terrebonne--Blainville/Terrebonne--Blainville,21,Sainte-Anne-des-Plaines,8,188,13,51,27,9,296,523
Terrebonne--Blainville/Terrebonne--Blainville,22,Terrebonne,10,175,10,42,15,10,262,497
Terrebonne--Blainville/Terrebonne--Blainville,23,Terrebonne,8,178,11,36,7,11,251,449
Terrebonne--Blainville/Terrebonne--Blainville,24,Terrebonne,4,179,6,25,15,8,237,447
Terrebonne--Blainville/Terrebonne--Blainville,25,Terrebonne,5,157,5,39,9,3,218,415
Terrebonne--Blainville/Terrebonne--Blainville,26,Terrebonne,4,126,7,39,12,6,194,332
Terrebonne--Blainville/Terrebonne--Blainville,27,Terrebonne,11,170,6,41,14,10,252,405
Terrebonne--Blainville/Terrebonne--Blainville,28,Terrebonne,6,223,10,25,10,5,279,473
Terrebonne--Blainville/Terrebonne--Blainville,29,Terrebonne,7,216,5,42,21,5,296,517
Terrebonne--Blainville/Terrebonne--Blainville,30,Terrebonne,10,259,3,81,13,8,374,646
Terrebonne--Blainville/Terrebonne--Blainville,31,Terrebonne,6,207,10,61,23,7,314,495
Terrebonne--Blainville/Terrebonne--Blainville,32,Terrebonne,9,206,9,65,18,4,311,532
Terrebonne--Blainville/Terrebonne--Blainville,33,Terrebonne,8,225,7,69,17,8,334,562
Terrebonne--Blainville/Terrebonne--Blainville,34,Terrebonne,4,153,6,27,13,7,210,401
Terrebonne--Blainville/Terrebonne--Blainville,35,Terrebonne,3,214,10,29,16,8,280,459
Terrebonne--Blainville/Terrebonne--Blainville,36,Terrebonne,8,185,8,40,19,13,273,456
Terrebonne--Blainville/Terrebonne--Blainville,37,Terrebonne,6,164,3,30,15,8,226,390
Terrebonne--Blainville/Terrebonne--Blainville,38,Terrebonne,11,240,9,33,6,10,309,445
Terrebonne--Blainville/Terrebonne--Blainville,39,Terrebonne,10,167,10,26,6,10,229,372
Terrebonne--Blainville/Terrebonne--Blainville,40,Terrebonne,7,155,30,15,5,2,214,390
Terrebonne--Blainville/Terrebonne--Blainville,41,Terrebonne,8,203,55,23,9,14,312,569
Terrebonne--Blainville/Terrebonne--Blainville,42,Terrebonne,8,176,7,34,12,9,246,379
Terrebonne--Blainville/Terrebonne--Blainville,43,Terrebonne,8,237,13,40,18,5,321,464
Terrebonne--Blainville/Terrebonne--Blainville,44,Terrebonne,12,201,10,31,12,8,274,415
Terrebonne--Blainville/Terrebonne--Blainville,45,Terrebonne,7,64,1,5,2,2,81,110
Terrebonne--Blainville/Terrebonne--Blainville,46,Terrebonne,8,198,13,37,9,9,274,419
Terrebonne--Blainville/Terrebonne--Blainville,47A,Terrebonne,11,164,8,40,6,2,231,423
Terrebonne--Blainville/Terrebonne--Blainville,47B,Terrebonne,15,179,12,46,12,8,272,496
Terrebonne--Blainville/Terrebonne--Blainville,48,Terrebonne,12,229,14,60,22,8,345,568
Terrebonne--Blainville/Terrebonne--Blainville,49,Terrebonne,7,102,3,18,6,2,138,223
Terrebonne--Blainville/Terrebonne--Blainville,50,Terrebonne,8,110,5,27,8,6,164,272
Terrebonne--Blainville/Terrebonne--Blainville,51,Terrebonne,13,183,3,49,20,8,276,400
Terrebonne--Blainville/Terrebonne--Blainville,52,Terrebonne,6,195,13,44,16,5,279,408
Terrebonne--Blainville/Terrebonne--Blainville,53,Terrebonne,9,195,4,28,21,4,261,388
Terrebonne--Blainville/Terrebonne--Blainville,54A,Terrebonne,10,136,4,22,8,5,185,350
Terrebonne--Blainville/Terrebonne--Blainville,54B,Terrebonne,11,183,5,36,16,14,265,478
Terrebonne--Blainville/Terrebonne--Blainville,55,Terrebonne,3,67,6,21,3,1,101,156
Terrebonne--Blainville/Terrebonne--Blainville,56,Terrebonne,5,198,6,53,15,9,286,420
Terrebonne--Blainville/Terrebonne--Blainville,57,Terrebonne,12,192,5,46,9,9,273,504
Terrebonne--Blainville/Terrebonne--Blainville,58,Terrebonne,5,162,7,42,11,9,236,349
Terrebonne--Blainville/Terrebonne--Blainville,59,Terrebonne,5,120,5,43,11,6,190,410
Terrebonne--Blainville/Terrebonne--Blainville,60,Terrebonne,6,132,4,32,6,3,183,303
Terrebonne--Blainville/Terrebonne--Blainville,61,Terrebonne,7,111,12,51,10,4,195,313
Terrebonne--Blainville/Terrebonne--Blainville,62,Terrebonne,7,111,5,27,8,0,158,270
Terrebonne--Blainville/Terrebonne--Blainville,63,Terrebonne,7,135,4,53,6,5,210,437
Terrebonne--Blainville/Terrebonne--Blainville,64,Terrebonne,9,150,2,28,12,6,207,386
