District,Poll Number,Poll Name,Ruby Dhalla,Nick Hudson,Sam Hundal,Gurdev Singh Mattu,Kathy Pounder,Rejected Ballots,Total Vote,Electors
Brampton--Springdale/Brampton--Springdale,1A,Brampton,102,2,36,0,22,0,162,333
Brampton--Springdale/Brampton--Springdale,1B,Brampton,117,5,55,0,37,0,214,435
Brampton--Springdale/Brampton--Springdale,1C,Brampton,91,5,51,1,33,5,186,424
Brampton--Springdale/Brampton--Springdale,1D,Brampton,83,7,37,2,10,1,140,345
Brampton--Springdale/Brampton--Springdale,2A,Brampton,94,4,37,1,20,0,156,319
Brampton--Springdale/Brampton--Springdale,2B,Brampton,91,2,33,1,27,0,154,346
Brampton--Springdale/Brampton--Springdale,3,Brampton,131,10,49,0,28,1,219,362
Brampton--Springdale/Brampton--Springdale,4,Brampton,114,6,39,1,39,4,203,399
Brampton--Springdale/Brampton--Springdale,5,Brampton,90,9,36,0,27,2,164,390
Brampton--Springdale/Brampton--Springdale,6,Brampton,111,8,44,0,24,0,187,434
Brampton--Springdale/Brampton--Springdale,7,Brampton,88,9,49,0,28,0,174,378
Brampton--Springdale/Brampton--Springdale,8,Brampton,67,5,44,0,31,2,149,347
Brampton--Springdale/Brampton--Springdale,9,Brampton,113,6,33,1,24,2,179,372
Brampton--Springdale/Brampton--Springdale,10,Brampton,126,8,73,0,42,4,253,518
Brampton--Springdale/Brampton--Springdale,11A,Brampton,101,10,37,0,21,1,170,285
Brampton--Springdale/Brampton--Springdale,11B,Brampton,91,5,28,1,28,3,156,291
Brampton--Springdale/Brampton--Springdale,12,Brampton,119,11,50,0,36,0,216,422
Brampton--Springdale/Brampton--Springdale,13,Brampton,114,6,26,1,29,0,176,349
Brampton--Springdale/Brampton--Springdale,14,Brampton,86,7,39,0,20,0,152,351
Brampton--Springdale/Brampton--Springdale,15,Brampton,87,6,37,1,27,0,158,369
Brampton--Springdale/Brampton--Springdale,16A,Brampton,54,6,41,3,13,0,117,281
Brampton--Springdale/Brampton--Springdale,16B,Brampton,63,4,20,0,23,0,110,240
Brampton--Springdale/Brampton--Springdale,17,Brampton,109,10,53,0,24,1,197,435
Brampton--Springdale/Brampton--Springdale,18,Brampton,94,7,45,0,35,5,186,410
Brampton--Springdale/Brampton--Springdale,19,Brampton,95,4,37,1,37,3,177,393
Brampton--Springdale/Brampton--Springdale,20,Brampton,113,5,47,0,41,2,208,482
Brampton--Springdale/Brampton--Springdale,21A,Brampton,102,5,49,0,19,1,176,300
Brampton--Springdale/Brampton--Springdale,21B,Brampton,110,1,45,0,18,2,176,309
Brampton--Springdale/Brampton--Springdale,22,Brampton,146,10,65,1,18,2,242,477
Brampton--Springdale/Brampton--Springdale,23,Brampton,98,9,46,0,29,4,186,397
Brampton--Springdale/Brampton--Springdale,24,Brampton,66,4,47,0,24,0,141,341
Brampton--Springdale/Brampton--Springdale,25,Brampton,92,5,29,2,34,2,164,385
Brampton--Springdale/Brampton--Springdale,26A,Brampton,94,1,58,1,15,1,170,334
Brampton--Springdale/Brampton--Springdale,26B,Brampton,101,3,36,1,26,0,167,321
Brampton--Springdale/Brampton--Springdale,27,Brampton,110,3,39,0,20,1,173,400
Brampton--Springdale/Brampton--Springdale,28,Brampton,82,1,23,0,28,1,135,314
Brampton--Springdale/Brampton--Springdale,29,Brampton,129,11,51,0,46,0,237,485
Brampton--Springdale/Brampton--Springdale,30,Brampton,89,1,33,0,16,3,142,368
Brampton--Springdale/Brampton--Springdale,31A,Brampton,66,5,32,0,25,3,131,280
Brampton--Springdale/Brampton--Springdale,31B,Brampton,88,2,27,0,28,1,146,257
Brampton--Springdale/Brampton--Springdale,32,Brampton,102,7,48,1,47,0,205,422
Brampton--Springdale/Brampton--Springdale,33,Brampton,114,6,45,0,39,0,204,439
Brampton--Springdale/Brampton--Springdale,34,Brampton,92,12,40,0,32,1,177,384
Brampton--Springdale/Brampton--Springdale,35,Brampton,161,2,53,1,37,0,254,487
Brampton--Springdale/Brampton--Springdale,36,Brampton,89,12,51,0,43,0,195,439
Brampton--Springdale/Brampton--Springdale,37,Brampton,82,4,86,0,19,0,191,307
Brampton--Springdale/Brampton--Springdale,38,Brampton,104,3,41,0,25,0,173,434
Brampton--Springdale/Brampton--Springdale,39,Brampton,39,5,36,0,42,1,123,242
Brampton--Springdale/Brampton--Springdale,40,Brampton,73,2,27,0,33,0,135,318
Brampton--Springdale/Brampton--Springdale,41,Brampton,55,5,32,0,36,2,130,283
Brampton--Springdale/Brampton--Springdale,42,Brampton,88,8,23,1,29,1,150,294
Brampton--Springdale/Brampton--Springdale,43A,Brampton,85,8,32,0,35,0,160,330
Brampton--Springdale/Brampton--Springdale,43B,Brampton,82,6,30,0,27,1,146,309
Brampton--Springdale/Brampton--Springdale,44,Brampton,99,10,40,0,40,2,191,481
Brampton--Springdale/Brampton--Springdale,45,Brampton,98,2,54,1,21,3,179,406
Brampton--Springdale/Brampton--Springdale,46,Brampton,Void,,,,,,,
Brampton--Springdale/Brampton--Springdale,47,Brampton,109,11,102,1,32,1,256,443
Brampton--Springdale/Brampton--Springdale,48A,Brampton,79,8,44,1,13,4,149,273
Brampton--Springdale/Brampton--Springdale,48B,Brampton,64,1,40,0,17,2,124,239
Brampton--Springdale/Brampton--Springdale,49A,Brampton,69,6,44,1,9,1,130,258
Brampton--Springdale/Brampton--Springdale,49B,Brampton,80,9,43,0,21,0,153,270
Brampton--Springdale/Brampton--Springdale,50,Brampton,149,13,62,0,40,0,264,451
Brampton--Springdale/Brampton--Springdale,51,Brampton,115,19,66,0,77,1,278,463
Brampton--Springdale/Brampton--Springdale,52,Brampton,92,10,69,0,26,3,200,384
Brampton--Springdale/Brampton--Springdale,53,Brampton,100,9,49,0,55,4,217,409
Brampton--Springdale/Brampton--Springdale,54,Brampton,55,13,68,1,54,1,192,410
Brampton--Springdale/Brampton--Springdale,55,Brampton,46,15,37,0,57,1,156,352
Brampton--Springdale/Brampton--Springdale,56,Brampton,65,12,52,1,48,4,182,398
Brampton--Springdale/Brampton--Springdale,57,Brampton,57,13,62,0,52,1,185,395
Brampton--Springdale/Brampton--Springdale,58,Brampton,77,15,63,0,66,1,222,408
Brampton--Springdale/Brampton--Springdale,59,Brampton,116,9,88,0,20,1,234,398
Brampton--Springdale/Brampton--Springdale,60,Brampton,95,11,85,0,44,1,236,405
Brampton--Springdale/Brampton--Springdale,61,Brampton,108,18,82,0,36,2,246,445
Brampton--Springdale/Brampton--Springdale,62,Brampton,100,10,87,0,60,5,262,487
Brampton--Springdale/Brampton--Springdale,63,Brampton,153,16,101,0,31,2,303,493
Brampton--Springdale/Brampton--Springdale,64,Brampton,135,10,59,0,35,2,241,419
Brampton--Springdale/Brampton--Springdale,65,Brampton,120,17,73,2,51,4,267,473
Brampton--Springdale/Brampton--Springdale,66,Brampton,68,4,53,0,53,0,178,340
Brampton--Springdale/Brampton--Springdale,67,Brampton,70,9,58,0,58,0,195,387
Brampton--Springdale/Brampton--Springdale,68,Brampton,50,5,68,0,55,1,179,389
Brampton--Springdale/Brampton--Springdale,69,Brampton,65,7,55,0,34,0,161,284
Brampton--Springdale/Brampton--Springdale,70,Brampton,146,16,89,0,30,0,281,448
Brampton--Springdale/Brampton--Springdale,71,Brampton,69,16,43,0,58,6,192,373
Brampton--Springdale/Brampton--Springdale,72,Brampton,93,20,100,1,53,7,274,485
Brampton--Springdale/Brampton--Springdale,73A,Brampton,94,3,19,0,29,3,148,279
Brampton--Springdale/Brampton--Springdale,73B,Brampton,91,12,34,0,20,1,158,313
Brampton--Springdale/Brampton--Springdale,74,Brampton,129,11,54,0,39,3,236,460
Brampton--Springdale/Brampton--Springdale,75A,Brampton,63,5,41,0,22,2,133,270
Brampton--Springdale/Brampton--Springdale,75B,Brampton,65,8,32,0,22,1,128,265
Brampton--Springdale/Brampton--Springdale,76,Brampton,103,15,61,0,48,0,227,426
Brampton--Springdale/Brampton--Springdale,77,Brampton,91,18,65,1,53,2,230,408
Brampton--Springdale/Brampton--Springdale,78,Brampton,80,14,42,0,48,0,184,379
Brampton--Springdale/Brampton--Springdale,79,Brampton,82,22,72,0,62,2,240,472
