District,Poll Number,Poll Name,Rod Hetherington,Kathleen Kevany,Margaret Mondaca,Jerry Pickard,Dave Van Kesteren,Rejected Ballots,Total Vote,Electors
Chatham-Kent--Essex/Chatham-Kent--Essex,1,Leamington,7,37,0,48,109,0,201,396
Chatham-Kent--Essex/Chatham-Kent--Essex,2,Leamington,11,14,0,44,71,0,140,251
Chatham-Kent--Essex/Chatham-Kent--Essex,3,Wheatley,12,17,1,27,54,1,112,241
Chatham-Kent--Essex/Chatham-Kent--Essex,4,Leamington,13,38,1,64,98,1,215,377
Chatham-Kent--Essex/Chatham-Kent--Essex,5,Leamington,4,39,0,64,105,3,215,397
Chatham-Kent--Essex/Chatham-Kent--Essex,6,Leamington,8,19,1,88,66,2,184,366
Chatham-Kent--Essex/Chatham-Kent--Essex,7,Leamington,10,26,0,52,79,0,167,288
Chatham-Kent--Essex/Chatham-Kent--Essex,8,Wheatley,2,9,0,34,48,1,94,177
Chatham-Kent--Essex/Chatham-Kent--Essex,9,Wheatley,6,43,0,54,97,1,201,399
Chatham-Kent--Essex/Chatham-Kent--Essex,10,Leamington,10,19,0,36,49,0,114,246
Chatham-Kent--Essex/Chatham-Kent--Essex,11,Leamington,6,22,2,91,94,3,218,400
Chatham-Kent--Essex/Chatham-Kent--Essex,12,Leamington,3,16,0,113,79,1,212,381
Chatham-Kent--Essex/Chatham-Kent--Essex,13,Leamington,14,23,0,103,49,3,192,367
Chatham-Kent--Essex/Chatham-Kent--Essex,14,Leamington,13,23,0,89,101,2,228,349
Chatham-Kent--Essex/Chatham-Kent--Essex,15,Leamington,8,35,1,77,50,1,172,406
Chatham-Kent--Essex/Chatham-Kent--Essex,16,Leamington,8,41,4,94,84,3,234,451
Chatham-Kent--Essex/Chatham-Kent--Essex,17,Leamington,10,21,2,71,57,2,163,343
Chatham-Kent--Essex/Chatham-Kent--Essex,18,Leamington,6,19,0,43,33,2,103,296
Chatham-Kent--Essex/Chatham-Kent--Essex,19,Leamington,8,21,2,45,46,4,126,326
Chatham-Kent--Essex/Chatham-Kent--Essex,20,Leamington,7,36,0,54,48,0,145,290
Chatham-Kent--Essex/Chatham-Kent--Essex,21,Leamington,6,41,2,36,45,1,131,371
Chatham-Kent--Essex/Chatham-Kent--Essex,22,Leamington,4,25,1,37,20,2,89,317
Chatham-Kent--Essex/Chatham-Kent--Essex,23,Leamington,9,33,1,62,46,1,152,380
Chatham-Kent--Essex/Chatham-Kent--Essex,24,Leamington,12,39,2,113,50,4,220,430
Chatham-Kent--Essex/Chatham-Kent--Essex,25,Leamington,6,21,1,107,71,3,209,404
Chatham-Kent--Essex/Chatham-Kent--Essex,26,Leamington,11,20,2,66,32,2,133,278
Chatham-Kent--Essex/Chatham-Kent--Essex,27,Leamington,3,25,2,38,31,2,101,300
Chatham-Kent--Essex/Chatham-Kent--Essex,28,Leamington,6,26,1,54,64,1,152,425
Chatham-Kent--Essex/Chatham-Kent--Essex,29,Leamington,5,17,2,70,44,3,141,274
Chatham-Kent--Essex/Chatham-Kent--Essex,30,Leamington,5,14,4,34,42,1,100,313
Chatham-Kent--Essex/Chatham-Kent--Essex,31,Leamington,14,43,0,95,92,7,251,438
Chatham-Kent--Essex/Chatham-Kent--Essex,32,Leamington,4,16,0,80,71,1,172,370
Chatham-Kent--Essex/Chatham-Kent--Essex,33,Leamington,20,50,0,62,85,1,218,387
Chatham-Kent--Essex/Chatham-Kent--Essex,34,Leamington,9,16,0,101,61,0,187,377
Chatham-Kent--Essex/Chatham-Kent--Essex,35,Leamington,7,26,1,98,67,0,199,479
Chatham-Kent--Essex/Chatham-Kent--Essex,36,Leamington,9,33,1,68,70,2,183,332
Chatham-Kent--Essex/Chatham-Kent--Essex,37,Leamington,19,45,0,123,89,3,279,566
Chatham-Kent--Essex/Chatham-Kent--Essex,38,Leamington,5,27,2,51,43,1,129,344
Chatham-Kent--Essex/Chatham-Kent--Essex,39,Leamington,9,45,0,48,103,0,205,443
Chatham-Kent--Essex/Chatham-Kent--Essex,40,Leamington,12,47,1,83,71,2,216,399
Chatham-Kent--Essex/Chatham-Kent--Essex,41,Leamington,11,37,0,53,81,1,183,373
Chatham-Kent--Essex/Chatham-Kent--Essex,42,Leamington,3,28,0,86,38,4,159,261
Chatham-Kent--Essex/Chatham-Kent--Essex,43,Leamington,9,22,0,84,100,1,216,345
Chatham-Kent--Essex/Chatham-Kent--Essex,44,Leamington,11,42,0,72,84,4,213,398
Chatham-Kent--Essex/Chatham-Kent--Essex,45,Leamington,14,53,1,74,109,0,251,436
Chatham-Kent--Essex/Chatham-Kent--Essex,46,Leamington,7,31,0,45,82,2,167,340
Chatham-Kent--Essex/Chatham-Kent--Essex,47,Leamington,6,24,0,71,76,2,179,343
Chatham-Kent--Essex/Chatham-Kent--Essex,48,Tilbury,4,25,0,47,84,0,160,279
Chatham-Kent--Essex/Chatham-Kent--Essex,49,Tilbury,6,35,1,49,41,0,132,296
Chatham-Kent--Essex/Chatham-Kent--Essex,50,Tilbury,5,38,0,48,37,3,131,243
Chatham-Kent--Essex/Chatham-Kent--Essex,51,Tilbury,5,35,1,29,39,2,111,288
Chatham-Kent--Essex/Chatham-Kent--Essex,52,Tilbury,7,34,0,59,48,1,149,354
Chatham-Kent--Essex/Chatham-Kent--Essex,53,Tilbury,7,49,2,61,45,2,166,331
Chatham-Kent--Essex/Chatham-Kent--Essex,54,Tilbury,2,29,0,37,31,0,99,190
Chatham-Kent--Essex/Chatham-Kent--Essex,55,Tilbury,8,48,1,55,44,0,156,324
Chatham-Kent--Essex/Chatham-Kent--Essex,56,Tilbury,8,32,1,22,34,2,99,203
Chatham-Kent--Essex/Chatham-Kent--Essex,57,Tilbury,7,44,1,101,68,0,221,420
Chatham-Kent--Essex/Chatham-Kent--Essex,58,Tilbury,4,45,0,58,67,1,175,291
Chatham-Kent--Essex/Chatham-Kent--Essex,59,Tilbury,6,36,0,64,68,0,174,281
Chatham-Kent--Essex/Chatham-Kent--Essex,60,Tilbury,2,32,0,48,77,2,161,290
Chatham-Kent--Essex/Chatham-Kent--Essex,61,Merlin,6,34,1,69,55,1,166,258
Chatham-Kent--Essex/Chatham-Kent--Essex,62,Tilbury,6,18,2,40,68,1,135,240
Chatham-Kent--Essex/Chatham-Kent--Essex,63,Tilbury,3,27,0,19,58,1,108,189
Chatham-Kent--Essex/Chatham-Kent--Essex,64,Merlin,4,40,2,26,53,1,126,270
Chatham-Kent--Essex/Chatham-Kent--Essex,65,Wheatley,16,55,0,57,117,1,246,429
Chatham-Kent--Essex/Chatham-Kent--Essex,66,Wheatley,24,50,1,73,103,0,251,502
Chatham-Kent--Essex/Chatham-Kent--Essex,67,Wheatley,9,29,0,69,97,1,205,405
Chatham-Kent--Essex/Chatham-Kent--Essex,68,Wheatley,2,26,2,46,92,0,168,298
Chatham-Kent--Essex/Chatham-Kent--Essex,69,Wheatley,12,35,0,67,62,1,177,385
Chatham-Kent--Essex/Chatham-Kent--Essex,70,Wheatley,15,50,1,89,169,0,324,660
Chatham-Kent--Essex/Chatham-Kent--Essex,71,Chatham,14,26,0,110,117,2,269,460
Chatham-Kent--Essex/Chatham-Kent--Essex,72,Chatham,4,18,1,77,55,1,156,225
Chatham-Kent--Essex/Chatham-Kent--Essex,73,Chatham,7,34,0,116,136,1,294,477
Chatham-Kent--Essex/Chatham-Kent--Essex,74,Merlin,5,32,0,106,82,2,227,394
Chatham-Kent--Essex/Chatham-Kent--Essex,75,North Buxton,9,17,0,81,57,0,164,268
Chatham-Kent--Essex/Chatham-Kent--Essex,76,Charing Cross,18,44,2,81,126,1,272,426
Chatham-Kent--Essex/Chatham-Kent--Essex,77,Merlin,10,36,0,79,106,1,232,440
Chatham-Kent--Essex/Chatham-Kent--Essex,78,Merlin,9,42,0,86,94,2,233,711
Chatham-Kent--Essex/Chatham-Kent--Essex,79,Cedar Springs,6,37,1,82,119,1,246,374
Chatham-Kent--Essex/Chatham-Kent--Essex,80,Chatham,2,20,0,89,61,0,172,256
Chatham-Kent--Essex/Chatham-Kent--Essex,81,Chatham,5,24,1,63,57,2,152,217
Chatham-Kent--Essex/Chatham-Kent--Essex,82,Chatham,7,28,0,130,73,0,238,400
Chatham-Kent--Essex/Chatham-Kent--Essex,83,Chatham,16,32,0,65,48,1,162,253
Chatham-Kent--Essex/Chatham-Kent--Essex,84,Chatham,7,43,1,114,77,2,244,418
Chatham-Kent--Essex/Chatham-Kent--Essex,85,Chatham,13,31,0,120,74,0,238,374
Chatham-Kent--Essex/Chatham-Kent--Essex,86,Chatham,1,16,0,66,57,1,141,237
Chatham-Kent--Essex/Chatham-Kent--Essex,87,Chatham,5,26,0,73,52,0,156,358
Chatham-Kent--Essex/Chatham-Kent--Essex,88,Chatham,12,43,0,89,106,0,250,376
Chatham-Kent--Essex/Chatham-Kent--Essex,89,Chatham,6,17,0,119,99,2,243,404
Chatham-Kent--Essex/Chatham-Kent--Essex,90,Chatham,9,36,0,123,103,2,273,467
Chatham-Kent--Essex/Chatham-Kent--Essex,91,Chatham,13,53,0,97,84,5,252,504
Chatham-Kent--Essex/Chatham-Kent--Essex,92,Chatham,8,30,0,108,78,1,225,350
Chatham-Kent--Essex/Chatham-Kent--Essex,93,Chatham,9,52,2,85,49,1,198,391
Chatham-Kent--Essex/Chatham-Kent--Essex,94,Chatham,2,29,1,40,37,0,109,226
Chatham-Kent--Essex/Chatham-Kent--Essex,95,Chatham,11,27,2,143,132,4,319,531
Chatham-Kent--Essex/Chatham-Kent--Essex,96,Chatham,8,31,2,64,56,3,164,321
Chatham-Kent--Essex/Chatham-Kent--Essex,97,Chatham,10,42,2,91,78,1,224,397
Chatham-Kent--Essex/Chatham-Kent--Essex,98,Chatham,4,35,1,35,48,1,124,293
Chatham-Kent--Essex/Chatham-Kent--Essex,99,Chatham,12,40,0,106,123,2,283,481
Chatham-Kent--Essex/Chatham-Kent--Essex,100,Chatham,10,50,2,82,87,2,233,447
Chatham-Kent--Essex/Chatham-Kent--Essex,101,Chatham,5,30,1,59,71,0,166,297
Chatham-Kent--Essex/Chatham-Kent--Essex,102,Chatham,5,37,0,58,90,2,192,326
Chatham-Kent--Essex/Chatham-Kent--Essex,103,Chatham,4,39,0,47,56,1,147,317
Chatham-Kent--Essex/Chatham-Kent--Essex,104,Chatham,9,17,0,97,91,1,215,361
Chatham-Kent--Essex/Chatham-Kent--Essex,105,Chatham,14,35,1,108,67,0,225,402
Chatham-Kent--Essex/Chatham-Kent--Essex,106,Chatham,13,32,1,73,54,0,173,356
Chatham-Kent--Essex/Chatham-Kent--Essex,107,Chatham,10,41,2,43,47,5,148,298
Chatham-Kent--Essex/Chatham-Kent--Essex,108,Chatham,11,40,1,88,83,0,223,342
Chatham-Kent--Essex/Chatham-Kent--Essex,109,Chatham,5,28,0,72,66,2,173,297
Chatham-Kent--Essex/Chatham-Kent--Essex,110,Chatham,13,36,0,99,71,4,223,363
Chatham-Kent--Essex/Chatham-Kent--Essex,111,Chatham,6,38,0,60,61,2,167,345
Chatham-Kent--Essex/Chatham-Kent--Essex,112,Chatham,9,49,0,128,85,0,271,461
Chatham-Kent--Essex/Chatham-Kent--Essex,113,Chatham,8,45,0,105,108,2,268,508
Chatham-Kent--Essex/Chatham-Kent--Essex,114,Chatham,12,37,2,115,52,2,220,406
Chatham-Kent--Essex/Chatham-Kent--Essex,115,Chatham,6,25,2,73,30,1,137,241
Chatham-Kent--Essex/Chatham-Kent--Essex,116,Chatham,0,11,0,87,47,1,146,203
Chatham-Kent--Essex/Chatham-Kent--Essex,117,Chatham,11,40,0,103,85,2,241,370
Chatham-Kent--Essex/Chatham-Kent--Essex,118,Chatham,4,45,1,58,42,0,150,334
Chatham-Kent--Essex/Chatham-Kent--Essex,119,Chatham,5,64,2,67,45,1,184,347
Chatham-Kent--Essex/Chatham-Kent--Essex,120,Chatham,1,23,1,31,38,0,94,195
Chatham-Kent--Essex/Chatham-Kent--Essex,121,Chatham,7,49,0,76,36,1,169,334
Chatham-Kent--Essex/Chatham-Kent--Essex,122,Chatham,8,31,3,77,69,0,188,381
Chatham-Kent--Essex/Chatham-Kent--Essex,123,Chatham,9,35,0,59,54,0,157,330
Chatham-Kent--Essex/Chatham-Kent--Essex,124,Chatham,4,48,0,71,62,1,186,397
Chatham-Kent--Essex/Chatham-Kent--Essex,125,Chatham,8,44,0,86,65,0,203,338
Chatham-Kent--Essex/Chatham-Kent--Essex,126,Chatham,3,35,0,77,67,0,182,294
Chatham-Kent--Essex/Chatham-Kent--Essex,127,Chatham,10,44,1,59,65,0,179,417
Chatham-Kent--Essex/Chatham-Kent--Essex,128,Chatham,11,49,0,81,44,0,185,377
Chatham-Kent--Essex/Chatham-Kent--Essex,129,Chatham,2,32,0,38,31,1,104,317
Chatham-Kent--Essex/Chatham-Kent--Essex,130,Chatham,10,26,0,104,77,1,218,418
Chatham-Kent--Essex/Chatham-Kent--Essex,131,Chatham,5,47,0,69,45,1,167,366
Chatham-Kent--Essex/Chatham-Kent--Essex,132,Chatham,4,14,0,83,38,0,139,211
Chatham-Kent--Essex/Chatham-Kent--Essex,133,Chatham,7,41,0,128,72,0,248,397
Chatham-Kent--Essex/Chatham-Kent--Essex,134,Chatham,3,41,0,74,69,1,188,348
Chatham-Kent--Essex/Chatham-Kent--Essex,135,Chatham,8,34,0,61,35,0,138,328
Chatham-Kent--Essex/Chatham-Kent--Essex,136,Chatham,10,21,1,89,75,1,197,326
Chatham-Kent--Essex/Chatham-Kent--Essex,137,Chatham,6,29,0,66,46,1,148,303
Chatham-Kent--Essex/Chatham-Kent--Essex,138,Chatham,3,47,0,35,24,0,109,244
Chatham-Kent--Essex/Chatham-Kent--Essex,139,Chatham,4,50,2,37,37,1,131,391
Chatham-Kent--Essex/Chatham-Kent--Essex,140,Chatham,5,41,0,44,39,0,129,320
Chatham-Kent--Essex/Chatham-Kent--Essex,141,Chatham,5,50,0,46,48,0,149,301
Chatham-Kent--Essex/Chatham-Kent--Essex,142,Chatham,2,18,1,36,19,0,76,153
Chatham-Kent--Essex/Chatham-Kent--Essex,143,Chatham,2,53,0,29,40,0,124,317
Chatham-Kent--Essex/Chatham-Kent--Essex,144,Chatham,3,50,0,30,33,0,116,307
Chatham-Kent--Essex/Chatham-Kent--Essex,145,Chatham,4,38,0,60,66,0,168,386
Chatham-Kent--Essex/Chatham-Kent--Essex,146,Chatham,8,31,0,27,39,1,106,233
Chatham-Kent--Essex/Chatham-Kent--Essex,147,Chatham,4,39,0,87,59,0,189,378
Chatham-Kent--Essex/Chatham-Kent--Essex,148,Chatham,7,26,0,52,86,0,171,317
Chatham-Kent--Essex/Chatham-Kent--Essex,149,Chatham,6,10,0,66,63,0,145,207
Chatham-Kent--Essex/Chatham-Kent--Essex,150,Chatham,3,26,1,125,77,0,232,422
Chatham-Kent--Essex/Chatham-Kent--Essex,151,Chatham,11,38,0,50,41,0,140,306
Chatham-Kent--Essex/Chatham-Kent--Essex,152,Chatham,6,24,1,75,93,2,201,372
Chatham-Kent--Essex/Chatham-Kent--Essex,153,Chatham,2,52,1,66,54,1,176,413
Chatham-Kent--Essex/Chatham-Kent--Essex,154,Chatham,5,37,0,50,39,1,132,273
Chatham-Kent--Essex/Chatham-Kent--Essex,155,Chatham,8,30,1,95,100,2,236,375
Chatham-Kent--Essex/Chatham-Kent--Essex,156,Chatham,11,43,0,73,99,2,228,402
