District,Poll Number,Poll Name,Robert A. Cruise,Paul Forman,David Tremblay,Jeff Watson,Susan Whelan,Rejected Ballots,Total Vote,Electors
Essex/Essex,1,Lakeshore,0,6,51,177,171,4,409,676
Essex/Essex,2,Lakeshore,1,5,22,50,63,0,141,255
Essex/Essex,3,Lakeshore,1,4,46,148,154,0,353,600
Essex/Essex,4,Lakeshore,0,11,53,124,136,0,324,657
Essex/Essex,5,Lakeshore,1,14,40,112,103,0,270,476
Essex/Essex,6,Lakeshore,0,12,100,121,111,1,345,649
Essex/Essex,7,Lakeshore,0,14,45,62,80,2,203,383
Essex/Essex,8A,Lakeshore,2,13,95,86,79,2,277,530
Essex/Essex,8B,Lakeshore,0,14,90,70,92,1,267,533
Essex/Essex,9,Lakeshore,0,10,102,96,117,1,326,700
Essex/Essex,10,Lakeshore,0,7,49,50,44,1,151,327
Essex/Essex,11,Lakeshore,0,6,56,69,81,1,213,471
Essex/Essex,12,Lakeshore,0,18,107,111,139,3,378,737
Essex/Essex,13,Lakeshore,0,8,67,62,52,1,190,317
Essex/Essex,14,Lakeshore,2,4,76,80,60,2,224,367
Essex/Essex,15,Lakeshore,0,1,64,38,48,2,153,363
Essex/Essex,16,Lakeshore,0,2,75,51,75,1,204,409
Essex/Essex,17,Lakeshore,0,5,62,46,47,1,161,331
Essex/Essex,18,Lakeshore,1,8,148,88,109,1,355,619
Essex/Essex,19,Lakeshore,0,7,101,52,73,2,235,396
Essex/Essex,20,Lakeshore,0,11,136,120,122,0,389,707
Essex/Essex,21,Lakeshore,0,1,98,27,42,4,172,295
Essex/Essex,22A,Lakeshore,0,6,72,75,89,4,246,461
Essex/Essex,22B,Lakeshore,1,5,69,75,97,1,248,453
Essex/Essex,23,Lakeshore,1,5,82,109,86,0,283,535
Essex/Essex,24,Lakeshore,0,1,29,33,22,0,85,237
Essex/Essex,25,Lakeshore,0,13,82,83,97,3,278,456
Essex/Essex,26,Lakeshore,1,16,92,97,123,4,333,588
Essex/Essex,27,Lakeshore,1,10,91,113,61,4,280,451
Essex/Essex,28,Lakeshore,1,11,55,93,57,0,217,296
Essex/Essex,29,Lakeshore,0,11,41,60,57,0,169,278
Essex/Essex,30,Lakeshore,0,14,80,84,133,1,312,574
Essex/Essex,31,Lakeshore,1,8,108,87,108,0,312,511
Essex/Essex,32,Lakeshore,1,14,127,58,92,2,294,468
Essex/Essex,33,Lakeshore,0,6,119,63,88,0,276,456
Essex/Essex,34,Lakeshore,1,5,134,83,110,3,336,551
Essex/Essex,35,Lakeshore,1,14,109,172,146,1,443,644
Essex/Essex,36,Lakeshore,0,8,16,45,56,1,126,210
Essex/Essex,37,Lakeshore,0,4,68,51,83,1,207,353
Essex/Essex,38,Lakeshore,0,3,57,38,67,0,165,289
Essex/Essex,39,Lakeshore,1,8,63,67,73,0,212,410
Essex/Essex,40,Lakeshore,0,7,36,53,41,0,137,231
Essex/Essex,41,Lakeshore,0,4,58,43,101,0,206,302
Essex/Essex,42,Lakeshore,0,7,42,60,55,1,165,268
Essex/Essex,43,Lakeshore,1,9,52,95,79,0,236,356
Essex/Essex,44,Lakeshore,0,8,39,65,58,1,171,263
Essex/Essex,45,Lakeshore,0,3,55,54,80,1,193,350
Essex/Essex,46,Lakeshore,1,8,25,104,53,0,191,301
Essex/Essex,47,LaSalle,0,7,59,78,62,1,207,411
Essex/Essex,48,LaSalle,1,0,71,45,30,1,148,333
Essex/Essex,49,LaSalle,0,10,79,77,79,0,245,452
Essex/Essex,50,LaSalle,0,11,49,68,67,0,195,412
