District,Poll Number,Poll Name,Phil Allt,Brenda Chamberlain,Manuel Couto,Jon Dearden,Peter Ellis,Mike Nagy,Lyne Rivard,Rejected Ballots,Total Vote,Electors
Guelph/Guelph,1,Guelph,58,49,0,43,1,17,4,1,173,411
Guelph/Guelph,2,Guelph,47,92,1,64,3,18,1,0,226,361
Guelph/Guelph,3,Guelph,39,93,0,71,4,13,2,2,224,397
Guelph/Guelph,4,Guelph,36,113,0,47,0,9,1,3,209,372
Guelph/Guelph,5,Guelph,61,67,0,44,2,11,2,0,187,400
Guelph/Guelph,6,Guelph,63,114,0,87,6,16,1,1,288,545
Guelph/Guelph,7,Guelph,43,68,0,45,0,11,3,2,172,349
Guelph/Guelph,8,Guelph,37,87,0,57,3,12,3,5,204,345
Guelph/Guelph,9,Guelph,38,90,0,33,1,16,0,0,178,324
Guelph/Guelph,10,Guelph,32,67,0,58,0,4,0,1,162,260
Guelph/Guelph,11,Guelph,45,126,0,72,2,20,5,0,270,398
Guelph/Guelph,12,Guelph,36,143,0,94,5,23,3,5,309,441
Guelph/Guelph,13,Guelph,27,143,0,111,4,17,1,1,304,470
Guelph/Guelph,14,Guelph,74,112,1,78,5,11,3,0,284,454
Guelph/Guelph,15,Guelph,31,98,0,62,22,16,1,2,232,380
Guelph/Guelph,16,Guelph,22,161,0,94,7,6,0,4,294,374
Guelph/Guelph,17,Guelph,29,159,0,64,3,7,0,1,263,388
Guelph/Guelph,18,Guelph,33,165,0,85,4,11,0,6,304,458
Guelph/Guelph,19,Guelph,60,141,0,85,10,17,3,1,317,552
Guelph/Guelph,20,Guelph,36,119,0,75,6,17,3,0,256,382
Guelph/Guelph,21,Guelph,52,73,0,52,4,16,1,0,198,397
Guelph/Guelph,22,Guelph,52,61,0,41,1,12,3,0,170,430
Guelph/Guelph,23,Guelph,39,104,2,73,5,10,3,0,236,432
Guelph/Guelph,24,Guelph,33,79,0,47,3,9,4,3,178,342
Guelph/Guelph,25,Guelph,29,101,0,53,3,5,2,0,193,329
Guelph/Guelph,26,Guelph,39,130,0,46,3,10,0,0,228,357
Guelph/Guelph,27,Guelph,59,104,1,75,0,12,5,3,259,388
Guelph/Guelph,28,Guelph,58,77,0,50,5,16,5,2,213,396
Guelph/Guelph,29,Guelph,62,72,0,45,4,15,2,2,202,403
Guelph/Guelph,30,Guelph,30,57,1,37,2,17,0,0,144,309
Guelph/Guelph,31,Guelph,51,62,2,46,2,7,2,4,176,215
Guelph/Guelph,32,Guelph,38,54,0,46,0,10,0,0,148,278
Guelph/Guelph,33A,Guelph,40,88,0,63,0,16,0,2,209,384
Guelph/Guelph,33B,Guelph,35,75,0,65,2,12,1,0,190,365
Guelph/Guelph,34,Guelph,45,104,0,77,4,12,4,1,247,525
Guelph/Guelph,35,Guelph,53,76,0,50,3,9,3,2,196,381
Guelph/Guelph,36,Guelph,Merged with No. 31,,,,,,,,,172
Guelph/Guelph,37A,Guelph,44,57,0,50,2,9,0,1,163,348
Guelph/Guelph,37B,Guelph,28,54,0,51,2,11,3,4,153,307
Guelph/Guelph,38,Guelph,45,92,0,34,5,9,3,1,189,334
Guelph/Guelph,39,Guelph,36,72,0,34,3,7,1,0,153,290
Guelph/Guelph,40,Guelph,50,87,1,38,1,15,1,2,195,343
Guelph/Guelph,41A,Guelph,38,85,0,21,1,9,0,2,156,287
Guelph/Guelph,41B,Guelph,53,83,2,30,1,13,2,0,184,320
Guelph/Guelph,42,Guelph,52,90,0,80,2,11,0,0,235,475
Guelph/Guelph,42-1,Guelph,56,101,0,95,2,21,0,4,279,520
Guelph/Guelph,43,Guelph,42,79,1,67,6,29,1,1,226,456
Guelph/Guelph,44,Guelph,23,152,0,75,6,12,0,0,268,401
Guelph/Guelph,45,Guelph,24,145,0,72,5,11,0,3,260,437
Guelph/Guelph,46,Guelph,49,93,2,24,1,11,2,0,182,327
Guelph/Guelph,47,Guelph,41,153,0,69,5,5,0,4,277,453
Guelph/Guelph,48,Guelph,48,101,1,45,3,9,2,1,210,358
Guelph/Guelph,49,Guelph,54,93,0,32,6,23,0,0,208,378
Guelph/Guelph,50,Guelph,30,71,1,41,1,7,0,0,151,291
Guelph/Guelph,51,Guelph,33,49,0,28,0,8,1,0,119,263
Guelph/Guelph,52,Guelph,103,71,1,43,0,44,2,1,265,390
Guelph/Guelph,53,Guelph,92,44,0,35,3,30,0,2,206,334
Guelph/Guelph,54,Guelph,71,115,0,49,1,34,0,1,271,475
Guelph/Guelph,55,Guelph,63,86,1,49,0,27,0,2,228,362
Guelph/Guelph,56,Guelph,35,76,0,44,4,15,1,3,178,370
Guelph/Guelph,57,Guelph,89,106,0,51,2,22,1,2,273,420
Guelph/Guelph,58,Guelph,103,108,0,47,3,37,0,0,298,427
Guelph/Guelph,59,Guelph,43,133,0,51,1,26,0,4,258,368
Guelph/Guelph,60,Guelph,67,144,0,53,7,15,1,2,289,455
Guelph/Guelph,61,Guelph,36,34,0,9,3,3,0,1,86,245
Guelph/Guelph,62,Guelph,27,24,2,13,4,1,2,0,73,234
Guelph/Guelph,63,Guelph,31,30,0,20,0,7,1,0,89,225
Guelph/Guelph,64,Guelph,36,64,0,36,0,14,1,1,152,332
Guelph/Guelph,65,Guelph,Merged with No. 66,,,,,,,,,175
Guelph/Guelph,66,Guelph,71,63,1,43,5,31,1,1,216,319
Guelph/Guelph,67,Guelph,35,79,0,36,2,6,1,6,165,282
Guelph/Guelph,68,Guelph,37,97,0,39,3,13,1,2,192,317
Guelph/Guelph,69,Guelph,43,64,1,41,1,19,0,0,169,457
Guelph/Guelph,70,Guelph,40,37,0,25,4,4,1,1,112,295
Guelph/Guelph,71,Guelph,27,74,0,47,5,14,2,1,170,391
Guelph/Guelph,72,Guelph,43,128,0,59,3,15,0,2,250,456
Guelph/Guelph,73,Guelph,38,131,0,79,2,29,1,1,281,484
Guelph/Guelph,74,Guelph,51,108,1,58,2,24,2,3,249,457
Guelph/Guelph,75,Guelph,52,36,1,31,0,13,1,0,134,349
Guelph/Guelph,76,Guelph,33,109,1,59,6,6,1,1,216,458
Guelph/Guelph,77,Guelph,22,61,0,40,1,10,1,1,136,218
Guelph/Guelph,78A,Guelph,60,44,0,47,3,7,1,3,165,386
Guelph/Guelph,78B,Guelph,53,43,0,23,1,8,0,0,128,334
Guelph/Guelph,79,Guelph,Void,,,,,,,,,
Guelph/Guelph,80,Guelph,38,96,0,60,6,15,0,1,216,378
Guelph/Guelph,81,Guelph,34,98,0,53,2,14,1,0,202,411
Guelph/Guelph,82,Guelph,15,87,1,45,1,7,0,2,158,282
Guelph/Guelph,83,Guelph,30,70,0,41,1,11,2,1,156,250
Guelph/Guelph,84A,Guelph,52,98,0,57,3,17,1,0,228,357
Guelph/Guelph,84B,Guelph,46,82,0,41,2,12,2,0,185,334
Guelph/Guelph,85,Guelph,32,54,0,41,2,10,0,2,141,273
Guelph/Guelph,86,Guelph,48,156,1,77,6,11,1,1,301,587
Guelph/Guelph,87,Guelph,20,101,0,47,0,14,2,0,184,279
Guelph/Guelph,88,Guelph,57,122,1,79,3,16,2,3,283,578
Guelph/Guelph,89,Guelph,Merged with No. 90,,,,,,,,,240
Guelph/Guelph,90,Guelph,81,111,0,38,3,52,1,1,287,246
Guelph/Guelph,91,Guelph,43,74,0,26,3,7,1,0,154,330
Guelph/Guelph,92,Guelph,71,107,0,53,3,27,3,2,266,433
Guelph/Guelph,93,Guelph,68,74,0,34,3,27,0,1,207,312
Guelph/Guelph,94,Guelph,51,59,1,40,4,16,1,0,172,285
Guelph/Guelph,95,Guelph,59,123,0,62,5,25,3,0,277,460
Guelph/Guelph,96A,Guelph,40,71,0,52,4,7,0,2,176,301
Guelph/Guelph,96B,Guelph,41,65,0,41,2,10,2,1,162,290
Guelph/Guelph,97A,Guelph,28,50,0,56,2,8,3,0,147,344
Guelph/Guelph,97B,Guelph,22,43,0,40,2,12,0,1,120,339
Guelph/Guelph,97C,Guelph,26,47,1,35,4,11,0,2,126,311
Guelph/Guelph,98,Guelph,48,86,1,51,1,6,2,3,198,336
Guelph/Guelph,99,Guelph,41,100,3,79,1,6,1,5,236,534
Guelph/Guelph,100A,Guelph,25,110,0,68,3,5,0,4,215,368
Guelph/Guelph,100B,Guelph,41,94,1,54,1,4,2,0,197,391
Guelph/Guelph,101,Guelph,51,117,1,88,6,14,4,0,281,465
Guelph/Guelph,102,Guelph,55,96,1,73,4,20,3,0,252,418
Guelph/Guelph,103,Guelph,39,151,0,86,1,19,2,0,298,495
Guelph/Guelph,104,Guelph,52,147,0,113,4,7,1,2,326,490
Guelph/Guelph,105,Guelph,31,145,0,100,3,28,1,1,309,456
Guelph/Guelph,106,Guelph,37,148,0,87,3,20,4,0,299,536
Guelph/Guelph,107,Guelph,27,72,0,70,1,12,2,1,185,315
Guelph/Guelph,108,Guelph,54,86,0,55,1,11,1,1,209,510
Guelph/Guelph,109,Guelph,42,75,0,28,1,34,0,0,180,317
Guelph/Guelph,110,Guelph,65,72,0,26,6,25,0,1,195,365
Guelph/Guelph,111,Guelph,111,94,0,24,1,34,3,1,268,239
Guelph/Guelph,112,Guelph,60,73,0,32,0,27,1,2,195,365
Guelph/Guelph,113,Guelph,105,71,0,33,3,38,0,1,251,377
Guelph/Guelph,114,Guelph,69,71,0,17,0,30,0,1,188,298
Guelph/Guelph,115,Guelph,Merged with No. 111,,,,,,,,,239
Guelph/Guelph,116,Guelph,70,99,2,51,1,39,1,4,267,425
