District,Poll Number,Poll Name,Steve Armstrong,Chris Bradshaw,Gord Brown,Joe Jordan,Rejected Ballots,Total Vote,Electors
Leeds--Grenville/Leeds--Grenville,1,Rideau Lakes,18,9,131,64,1,223,332
Leeds--Grenville/Leeds--Grenville,2,Westport,32,8,109,80,0,229,295
Leeds--Grenville/Leeds--Grenville,3,Westport,18,11,104,65,1,199,281
Leeds--Grenville/Leeds--Grenville,4,Rideau Lakes,42,18,227,139,0,426,611
Leeds--Grenville/Leeds--Grenville,5,Rideau Lakes,31,11,70,48,2,162,220
Leeds--Grenville/Leeds--Grenville,6,Rideau Lakes,36,4,125,71,3,239,317
Leeds--Grenville/Leeds--Grenville,7,Rideau Lakes,85,10,160,140,0,395,596
Leeds--Grenville/Leeds--Grenville,8,Rideau Lakes,18,4,63,32,0,117,166
Leeds--Grenville/Leeds--Grenville,9,Rideau Lakes,47,5,95,70,1,218,348
Leeds--Grenville/Leeds--Grenville,10,Rideau Lakes,28,8,155,92,1,284,423
Leeds--Grenville/Leeds--Grenville,11,Rideau Lakes,35,15,189,87,0,326,480
Leeds--Grenville/Leeds--Grenville,12,Rideau Lakes,18,17,136,57,1,229,335
Leeds--Grenville/Leeds--Grenville,13,Rideau Lakes,23,12,190,88,0,313,487
Leeds--Grenville/Leeds--Grenville,14,Rideau Lakes,21,12,78,58,3,172,296
Leeds--Grenville/Leeds--Grenville,15,Rideau Lakes,16,10,169,69,3,267,387
Leeds--Grenville/Leeds--Grenville,16,Rideau Lakes,30,9,174,89,3,305,472
Leeds--Grenville/Leeds--Grenville,17,Rideau Lakes,26,8,150,74,0,258,370
Leeds--Grenville/Leeds--Grenville,18,Rideau Lakes,11,5,86,55,2,159,252
Leeds--Grenville/Leeds--Grenville,19,Rideau Lakes,26,6,96,77,0,205,302
Leeds--Grenville/Leeds--Grenville,20,Rideau Lakes,24,3,153,53,0,233,317
Leeds--Grenville/Leeds--Grenville,21,Rideau Lakes,31,9,139,58,1,238,361
Leeds--Grenville/Leeds--Grenville,22,Rideau Lakes,24,6,135,54,0,219,316
Leeds--Grenville/Leeds--Grenville,23,Leeds and the Thousand Islands,56,26,111,143,1,337,528
Leeds--Grenville/Leeds--Grenville,24,Leeds and the Thousand Islands,21,8,86,80,2,197,326
Leeds--Grenville/Leeds--Grenville,25,Leeds and the Thousand Islands,36,16,116,63,1,232,379
Leeds--Grenville/Leeds--Grenville,26,Leeds and the Thousand Islands,30,17,156,78,0,281,370
Leeds--Grenville/Leeds--Grenville,27,Leeds and the Thousand Islands,21,5,51,62,5,144,238
Leeds--Grenville/Leeds--Grenville,28,Leeds and the Thousand Islands,19,11,94,76,2,202,389
Leeds--Grenville/Leeds--Grenville,29,Leeds and the Thousand Islands,24,13,131,98,3,269,459
Leeds--Grenville/Leeds--Grenville,30,Leeds and the Thousand Islands,33,17,122,82,0,254,430
Leeds--Grenville/Leeds--Grenville,31,Leeds and the Thousand Islands,19,21,100,59,2,201,309
Leeds--Grenville/Leeds--Grenville,32,Leeds and the Thousand Islands,27,6,143,82,1,259,506
Leeds--Grenville/Leeds--Grenville,33,Leeds and the Thousand Islands,25,18,86,58,0,187,325
Leeds--Grenville/Leeds--Grenville,34,Leeds and the Thousand Islands,27,18,136,81,0,262,386
Leeds--Grenville/Leeds--Grenville,35,Leeds and the Thousand Islands,28,12,100,62,0,202,321
Leeds--Grenville/Leeds--Grenville,36,Leeds and the Thousand Islands,8,11,114,110,1,244,419
Leeds--Grenville/Leeds--Grenville,37,Leeds and the Thousand Islands,17,8,111,95,0,231,344
Leeds--Grenville/Leeds--Grenville,38,Leeds and the Thousand Islands,19,8,106,81,2,216,352
Leeds--Grenville/Leeds--Grenville,39,Leeds and the Thousand Islands,26,28,117,80,1,252,439
Leeds--Grenville/Leeds--Grenville,40,Leeds and the Thousand Islands,12,9,74,83,1,179,222
Leeds--Grenville/Leeds--Grenville,41,Leeds and the Thousand Islands,18,18,73,82,0,191,289
Leeds--Grenville/Leeds--Grenville,42,Gananoque,25,10,113,87,0,235,471
Leeds--Grenville/Leeds--Grenville,43,Gananoque,19,8,82,76,1,186,337
Leeds--Grenville/Leeds--Grenville,44,Gananoque,18,7,42,49,1,117,249
Leeds--Grenville/Leeds--Grenville,45,Gananoque,12,12,46,65,0,135,249
Leeds--Grenville/Leeds--Grenville,46,Gananoque,16,12,77,67,1,173,339
Leeds--Grenville/Leeds--Grenville,47,Gananoque,22,7,46,34,0,109,265
