District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,1,London,109,85,0,11,1,71,2,279,436
London North Centre/London-Centre-Nord,2A,London,98,106,0,8,1,20,0,233,372
London North Centre/London-Centre-Nord,2B,London,86,94,1,10,0,18,1,210,338
London North Centre/London-Centre-Nord,3,London,130,120,0,6,1,24,0,281,418
London North Centre/London-Centre-Nord,4,London,130,98,1,3,2,24,1,259,399
London North Centre/London-Centre-Nord,5,London,152,127,1,6,0,39,0,325,552
London North Centre/London-Centre-Nord,6A,London,139,93,0,16,2,36,2,288,409
London North Centre/London-Centre-Nord,6B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,89
London North Centre/London-Centre-Nord,7,London,131,115,0,6,0,19,0,271,462
London North Centre/London-Centre-Nord,8,London,175,135,0,13,0,26,2,351,537
London North Centre/London-Centre-Nord,9,London,159,102,0,9,0,20,0,290,449
London North Centre/London-Centre-Nord,10,London,169,77,0,12,0,20,0,278,424
London North Centre/London-Centre-Nord,11,London,119,90,0,10,0,28,1,248,379
London North Centre/London-Centre-Nord,12,London,138,64,0,12,2,26,3,245,390
London North Centre/London-Centre-Nord,13,London,131,80,0,3,1,16,2,233,385
London North Centre/London-Centre-Nord,14,London,155,109,0,8,0,30,0,302,443
London North Centre/London-Centre-Nord,15,London,64,85,0,3,0,3,0,155,262
London North Centre/London-Centre-Nord,16A,London,64,49,0,7,1,11,0,132,216
London North Centre/London-Centre-Nord,16B,London,50,54,0,4,0,7,2,117,163
London North Centre/London-Centre-Nord,17,London,124,88,0,16,0,28,0,256,394
London North Centre/London-Centre-Nord,18,London,140,79,0,11,0,34,2,266,422
London North Centre/London-Centre-Nord,19,London,105,63,0,13,0,41,0,222,324
London North Centre/London-Centre-Nord,20,London,162,62,0,16,0,45,0,285,428
London North Centre/London-Centre-Nord,21,London,114,82,1,15,0,50,0,262,484
London North Centre/London-Centre-Nord,22,London,62,21,0,10,0,22,1,116,276
London North Centre/London-Centre-Nord,23,London,180,100,0,10,0,25,1,316,468
London North Centre/London-Centre-Nord,24,London,137,73,1,3,0,21,1,236,374
London North Centre/London-Centre-Nord,25,London,189,80,0,9,1,43,0,322,470
London North Centre/London-Centre-Nord,26,London,160,96,0,5,0,28,1,290,453
London North Centre/London-Centre-Nord,27,London,136,71,0,10,0,69,1,287,440
London North Centre/London-Centre-Nord,28,London,143,97,0,7,0,29,2,278,434
London North Centre/London-Centre-Nord,29,London,153,118,0,11,0,54,1,337,495
London North Centre/London-Centre-Nord,30,London,124,87,0,6,0,36,4,257,409
London North Centre/London-Centre-Nord,31,London,88,68,0,2,0,17,0,175,273
London North Centre/London-Centre-Nord,32,London,99,85,0,6,1,16,1,208,305
London North Centre/London-Centre-Nord,33,London,176,93,0,8,2,31,0,310,466
London North Centre/London-Centre-Nord,34,London,67,31,0,6,0,27,1,132,297
London North Centre/London-Centre-Nord,35,London,144,102,0,9,2,38,1,296,456
London North Centre/London-Centre-Nord,36,London,185,77,0,6,1,21,0,290,447
London North Centre/London-Centre-Nord,37,London,118,82,1,8,1,2,2,214,319
London North Centre/London-Centre-Nord,38,London,102,81,0,2,1,9,0,195,312
London North Centre/London-Centre-Nord,39,London,124,78,0,9,0,29,3,243,425
London North Centre/London-Centre-Nord,40,London,110,76,0,10,0,47,0,243,439
London North Centre/London-Centre-Nord,41,London,157,114,0,20,3,36,1,331,527
London North Centre/London-Centre-Nord,42,London,118,106,1,15,0,63,1,304,486
London North Centre/London-Centre-Nord,43,London,133,95,0,10,0,43,0,281,409
London North Centre/London-Centre-Nord,44,London,67,47,0,2,0,33,1,150,272
London North Centre/London-Centre-Nord,45,London,82,52,0,9,0,66,0,209,504
London North Centre/London-Centre-Nord,46,London,75,28,1,6,0,38,1,149,298
London North Centre/London-Centre-Nord,47,London,47,38,0,4,0,21,1,111,183
London North Centre/London-Centre-Nord,48,London,99,50,0,19,2,71,0,241,508
London North Centre/London-Centre-Nord,49,London,98,96,0,9,1,48,1,253,390
London North Centre/London-Centre-Nord,50,London,122,111,0,12,0,37,1,283,399
London North Centre/London-Centre-Nord,51,London,126,91,0,7,2,51,0,277,400
London North Centre/London-Centre-Nord,52,London,119,98,0,8,1,32,0,258,409
London North Centre/London-Centre-Nord,53,London,125,93,0,10,0,41,0,269,400
London North Centre/London-Centre-Nord,54,London,118,93,0,16,0,39,0,266,425
London North Centre/London-Centre-Nord,55A,London,57,37,0,10,1,71,0,176,376
London North Centre/London-Centre-Nord,55B,London,51,22,2,3,0,54,0,132,325
London North Centre/London-Centre-Nord,56,London,72,38,0,15,0,62,1,188,431
