District,Poll Number,Poll Name,Gina Barber,Sue Barnes,Rebecca Bromwich,Steve Hunter,Mike Menear,Margaret Villamizar,Rejected Ballots,Total Vote,Electors
London West/London-Ouest,1,London,25,90,14,0,129,0,1,259,451
London West/London-Ouest,2,London,7,118,3,2,96,0,13,239,366
London West/London-Ouest,2-1,London,13,134,6,1,144,1,0,299,506
London West/London-Ouest,3,London,40,111,21,2,81,0,2,257,415
London West/London-Ouest,4,London,55,96,16,1,67,1,2,238,421
London West/London-Ouest,5,London,24,110,23,7,69,0,1,234,435
London West/London-Ouest,6,London,31,109,7,4,81,1,0,233,365
London West/London-Ouest,7,London,39,104,12,2,57,0,1,215,364
London West/London-Ouest,8,London,43,97,6,1,80,0,1,228,373
London West/London-Ouest,9,London,52,101,6,0,75,0,1,235,358
London West/London-Ouest,10,London,27,59,4,1,42,1,3,137,254
London West/London-Ouest,11,London,41,92,13,2,58,0,2,208,321
London West/London-Ouest,12,London,31,63,12,3,67,1,1,178,303
London West/London-Ouest,13,London,35,106,12,1,86,0,0,240,352
London West/London-Ouest,14,London,62,136,19,1,89,2,2,311,559
London West/London-Ouest,15,London,45,76,15,2,66,0,1,205,349
London West/London-Ouest,16,London,39,93,17,6,76,0,0,231,392
London West/London-Ouest,17,London,49,77,3,2,33,2,1,167,400
London West/London-Ouest,18,London,63,103,14,1,78,0,1,260,469
London West/London-Ouest,19,London,53,55,9,1,37,0,1,156,302
London West/London-Ouest,20,London,44,91,13,3,63,0,1,215,378
London West/London-Ouest,21,London,49,168,15,2,99,0,1,334,572
London West/London-Ouest,22,London,50,88,9,0,55,0,1,203,354
London West/London-Ouest,23,London,27,84,7,1,49,0,2,170,274
London West/London-Ouest,24,London,58,108,6,5,77,0,0,254,575
London West/London-Ouest,25,London,20,95,3,1,49,0,2,170,297
London West/London-Ouest,26,London,21,73,5,4,51,0,0,154,310
London West/London-Ouest,27,London,27,95,5,0,42,0,0,169,266
London West/London-Ouest,28A,London,35,105,9,1,54,0,0,204,369
London West/London-Ouest,28B,London,34,80,7,1,60,0,3,185,336
London West/London-Ouest,29,London,21,80,9,5,59,0,1,175,399
London West/London-Ouest,30,London,79,131,15,5,62,0,3,295,589
London West/London-Ouest,31,London,13,70,1,1,55,0,1,141,262
London West/London-Ouest,32,London,6,50,2,0,65,0,0,123,175
London West/London-Ouest,32-1,London,2,81,2,1,62,0,0,148,236
London West/London-Ouest,32-2,London,21,124,4,0,115,0,1,265,440
London West/London-Ouest,33,London,18,143,18,1,121,0,0,301,448
London West/London-Ouest,34,London,17,104,12,0,67,0,0,200,328
London West/London-Ouest,35,London,43,153,11,0,106,0,2,315,513
London West/London-Ouest,36,London,36,52,7,1,45,0,1,142,278
London West/London-Ouest,37,London,57,119,7,0,82,1,2,268,435
London West/London-Ouest,38,London,40,116,14,2,55,0,0,227,397
London West/London-Ouest,39,London,31,89,5,1,64,0,2,192,299
London West/London-Ouest,40,London,34,87,13,0,85,0,1,220,361
London West/London-Ouest,41,London,48,115,10,1,80,0,1,255,360
London West/London-Ouest,42,London,36,85,9,2,86,0,0,218,308
London West/London-Ouest,43,London,13,96,10,2,80,0,0,201,307
London West/London-Ouest,44,London,50,159,18,3,88,1,1,320,489
London West/London-Ouest,45A,London,18,75,8,1,61,0,2,165,289
London West/London-Ouest,45B,London,15,97,8,2,107,1,4,234,388
London West/London-Ouest,46,London,31,116,16,6,74,0,1,244,368
London West/London-Ouest,47,London,45,106,15,3,65,0,5,239,382
London West/London-Ouest,48,London,24,110,12,2,82,0,0,230,346
London West/London-Ouest,49,London,37,75,13,0,92,0,1,218,310
London West/London-Ouest,50,London,27,103,16,2,61,0,3,212,319
London West/London-Ouest,51,London,24,139,4,1,89,0,2,259,396
London West/London-Ouest,52,London,28,173,9,5,116,0,0,331,541
London West/London-Ouest,53,London,32,156,11,3,114,1,0,317,512
London West/London-Ouest,54,London,38,131,5,0,114,0,1,289,422
London West/London-Ouest,55,London,28,152,13,2,85,1,1,282,449
London West/London-Ouest,56,London,18,71,5,0,44,0,0,138,208
London West/London-Ouest,57,London,40,164,11,0,93,0,0,308,456
London West/London-Ouest,58,London,13,98,9,3,91,0,0,214,339
London West/London-Ouest,59,London,22,128,5,3,113,1,0,272,375
London West/London-Ouest,60,London,44,113,14,1,60,0,2,234,323
London West/London-Ouest,61,London,46,70,13,2,55,0,2,188,326
London West/London-Ouest,62,London,21,115,15,0,96,0,2,249,364
London West/London-Ouest,63,London,22,106,7,0,64,0,0,199,299
London West/London-Ouest,64,London,25,87,9,2,68,0,1,192,335
London West/London-Ouest,65A,London,19,101,4,1,56,0,0,181,319
London West/London-Ouest,65B,London,29,100,3,3,52,2,0,189,310
London West/London-Ouest,66,London,44,159,18,7,99,0,1,328,588
London West/London-Ouest,67,London,25,126,12,13,114,0,0,290,514
London West/London-Ouest,68,London,37,101,14,0,73,1,3,229,349
London West/London-Ouest,69,London,22,91,19,1,54,0,3,190,300
London West/London-Ouest,70,London,48,152,17,1,88,0,1,307,432
London West/London-Ouest,71,London,15,86,1,0,54,1,1,158,272
London West/London-Ouest,72A,London,17,64,7,2,47,0,2,139,265
London West/London-Ouest,72B,London,38,67,8,2,49,0,0,164,343
London West/London-Ouest,73,London,17,113,11,2,97,0,1,241,390
London West/London-Ouest,74,London,31,182,17,2,117,1,1,351,531
London West/London-Ouest,75,London,12,132,7,1,144,1,0,297,467
London West/London-Ouest,76,London,9,81,2,1,63,0,0,156,251
London West/London-Ouest,77,London,38,147,12,0,92,0,1,290,459
London West/London-Ouest,78,London,27,147,14,1,66,0,0,255,426
London West/London-Ouest,79,London,31,147,22,0,80,0,0,280,410
London West/London-Ouest,80,London,59,103,7,0,92,0,1,262,382
London West/London-Ouest,81,London,27,84,6,4,67,0,0,188,272
London West/London-Ouest,82,London,36,117,20,2,119,0,2,296,416
London West/London-Ouest,83,London,26,129,10,0,129,0,1,295,467
London West/London-Ouest,84,London,12,129,9,3,97,0,0,250,379
London West/London-Ouest,85,London,28,77,6,2,38,0,0,151,323
London West/London-Ouest,86,London,34,101,14,1,49,0,2,201,430
London West/London-Ouest,87,London,33,117,3,4,58,2,3,220,331
London West/London-Ouest,88,London,54,93,18,5,31,0,2,203,365
London West/London-Ouest,89,London,44,68,11,2,31,0,2,158,318
London West/London-Ouest,90,London,39,57,12,2,32,0,0,142,290
London West/London-Ouest,91,London,42,52,12,1,35,2,1,145,305
London West/London-Ouest,92,London,37,52,4,1,41,0,1,136,261
London West/London-Ouest,93,London,43,47,15,1,32,0,0,138,260
London West/London-Ouest,94,London,74,94,11,2,48,0,1,230,410
London West/London-Ouest,95,London,42,149,8,1,95,0,2,297,488
London West/London-Ouest,96,London,36,63,13,2,62,0,3,179,273
London West/London-Ouest,97,London,52,80,12,0,50,1,0,195,351
London West/London-Ouest,98,London,56,64,9,2,30,0,1,162,307
London West/London-Ouest,99,London,48,66,3,4,63,0,1,185,408
London West/London-Ouest,100,London,45,107,7,1,53,0,1,214,396
London West/London-Ouest,101,London,33,67,8,1,62,0,1,172,259
London West/London-Ouest,102,London,37,75,11,5,54,0,1,183,365
London West/London-Ouest,103,London,47,121,15,1,86,2,1,273,392
London West/London-Ouest,104,London,21,52,7,2,29,0,2,113,280
London West/London-Ouest,105,London,38,111,4,4,69,0,1,227,427
London West/London-Ouest,106,London,33,44,4,4,18,0,1,104,293
London West/London-Ouest,107,London,50,116,6,5,71,0,3,251,419
London West/London-Ouest,108,London,59,102,7,3,69,1,1,242,487
London West/London-Ouest,109,London,39,76,16,1,27,0,1,160,307
London West/London-Ouest,110,London,28,57,17,5,27,1,2,137,302
London West/London-Ouest,111,London,83,108,23,6,36,0,2,258,433
London West/London-Ouest,112,London,54,110,4,3,42,0,3,216,364
London West/London-Ouest,113,London,58,57,14,2,30,0,1,162,314
London West/London-Ouest,114,London,57,107,21,1,49,0,3,238,397
London West/London-Ouest,115,London,51,109,22,1,48,0,0,231,373
London West/London-Ouest,116,London,54,77,24,0,21,0,2,178,330
London West/London-Ouest,117,London,39,58,11,1,39,2,6,156,293
London West/London-Ouest,118,London,79,62,12,1,37,0,3,194,370
London West/London-Ouest,119,London,47,38,6,1,40,0,1,133,331
London West/London-Ouest,120,London,80,75,14,1,36,0,0,206,391
London West/London-Ouest,121,London,58,88,20,1,48,0,1,216,369
London West/London-Ouest,122,London,56,116,24,1,62,1,3,263,419
London West/London-Ouest,123,London,45,113,24,1,35,0,3,221,405
London West/London-Ouest,124,London,50,131,14,5,47,1,1,249,402
London West/London-Ouest,125,London,67,93,15,2,48,0,1,226,389
