District,Poll Number,Poll Name,Dorian Baxter,Ed Chudak,Martha Hall Findlay,Belinda Stronach,Daryl Wyatt,Rejected Ballots,Total Vote,Electors
Newmarket--Aurora/Newmarket--Aurora,1,Newmarket,Merged with No. 2,,,,,,,99
Newmarket--Aurora/Newmarket--Aurora,2,Newmarket,1,26,84,90,8,1,210,215
Newmarket--Aurora/Newmarket--Aurora,3,Newmarket,0,18,70,89,10,0,187,392
Newmarket--Aurora/Newmarket--Aurora,4,Newmarket,7,29,101,119,10,0,266,397
Newmarket--Aurora/Newmarket--Aurora,5,Newmarket,5,17,125,115,16,0,278,448
Newmarket--Aurora/Newmarket--Aurora,6,Newmarket,4,29,126,157,12,6,334,518
Newmarket--Aurora/Newmarket--Aurora,7,Newmarket,5,20,128,114,11,0,278,425
Newmarket--Aurora/Newmarket--Aurora,8,Newmarket,7,36,88,110,18,0,259,474
Newmarket--Aurora/Newmarket--Aurora,9,Newmarket,4,48,65,96,10,2,225,437
Newmarket--Aurora/Newmarket--Aurora,10,Newmarket,3,9,85,113,2,0,212,341
Newmarket--Aurora/Newmarket--Aurora,11,Newmarket,7,10,113,108,6,0,244,369
Newmarket--Aurora/Newmarket--Aurora,12,Newmarket,5,25,150,122,14,1,317,464
Newmarket--Aurora/Newmarket--Aurora,13,Newmarket,7,30,103,115,6,2,263,404
Newmarket--Aurora/Newmarket--Aurora,14,Newmarket,8,35,163,151,16,2,375,589
Newmarket--Aurora/Newmarket--Aurora,15,Newmarket,7,22,113,110,8,0,260,402
Newmarket--Aurora/Newmarket--Aurora,16,Newmarket,8,16,99,107,2,3,235,378
Newmarket--Aurora/Newmarket--Aurora,17A,Newmarket,10,12,88,85,2,0,197,316
Newmarket--Aurora/Newmarket--Aurora,17B,Newmarket,2,19,67,81,1,1,171,300
Newmarket--Aurora/Newmarket--Aurora,18,Newmarket,4,35,126,115,6,3,289,540
Newmarket--Aurora/Newmarket--Aurora,19,Newmarket,5,13,99,115,8,0,240,377
Newmarket--Aurora/Newmarket--Aurora,20,Newmarket,14,16,44,46,4,0,124,208
Newmarket--Aurora/Newmarket--Aurora,21,Newmarket,11,20,84,75,9,0,199,315
Newmarket--Aurora/Newmarket--Aurora,22,Newmarket,2,20,85,88,7,2,204,345
Newmarket--Aurora/Newmarket--Aurora,23,Newmarket,1,25,118,121,9,3,277,430
Newmarket--Aurora/Newmarket--Aurora,24,Newmarket,5,31,133,98,15,3,285,474
Newmarket--Aurora/Newmarket--Aurora,25,Newmarket,4,39,124,131,18,3,319,474
Newmarket--Aurora/Newmarket--Aurora,26,Newmarket,5,27,148,118,15,0,313,472
Newmarket--Aurora/Newmarket--Aurora,27,Newmarket,6,22,117,113,10,1,269,412
Newmarket--Aurora/Newmarket--Aurora,28,Newmarket,7,21,127,113,13,4,285,471
Newmarket--Aurora/Newmarket--Aurora,29,Newmarket,5,36,111,110,16,2,280,426
Newmarket--Aurora/Newmarket--Aurora,30,Newmarket,1,13,66,71,7,0,158,263
Newmarket--Aurora/Newmarket--Aurora,31,Newmarket,3,30,106,91,10,2,242,369
Newmarket--Aurora/Newmarket--Aurora,32,Newmarket,11,47,86,91,11,1,247,414
Newmarket--Aurora/Newmarket--Aurora,33,Newmarket,3,37,114,123,13,0,290,435
Newmarket--Aurora/Newmarket--Aurora,34,Newmarket,3,22,111,99,10,0,245,392
Newmarket--Aurora/Newmarket--Aurora,35,Newmarket,5,25,105,88,7,3,233,342
Newmarket--Aurora/Newmarket--Aurora,36,Newmarket,5,19,71,85,8,1,189,377
Newmarket--Aurora/Newmarket--Aurora,37,Newmarket,6,21,49,66,10,1,153,292
Newmarket--Aurora/Newmarket--Aurora,38,Newmarket,11,28,92,87,10,1,229,471
Newmarket--Aurora/Newmarket--Aurora,39,Newmarket,10,17,28,45,8,2,110,319
Newmarket--Aurora/Newmarket--Aurora,40,Newmarket,11,15,19,47,6,0,98,300
Newmarket--Aurora/Newmarket--Aurora,41,Newmarket,8,35,59,62,9,0,173,386
Newmarket--Aurora/Newmarket--Aurora,42,Newmarket,2,21,51,51,8,1,134,260
Newmarket--Aurora/Newmarket--Aurora,43,Newmarket,6,18,92,98,7,2,223,329
Newmarket--Aurora/Newmarket--Aurora,44,Newmarket,7,33,132,146,9,1,328,523
Newmarket--Aurora/Newmarket--Aurora,45,Newmarket,7,16,147,153,13,0,336,503
Newmarket--Aurora/Newmarket--Aurora,46,Newmarket,2,26,80,78,5,6,197,283
Newmarket--Aurora/Newmarket--Aurora,47,Newmarket,10,38,73,76,10,2,209,386
Newmarket--Aurora/Newmarket--Aurora,48,Newmarket,12,42,90,84,11,0,239,359
Newmarket--Aurora/Newmarket--Aurora,49,Newmarket,11,45,46,109,13,5,229,411
Newmarket--Aurora/Newmarket--Aurora,50,Newmarket,10,38,94,89,6,2,239,431
Newmarket--Aurora/Newmarket--Aurora,51,Newmarket,9,12,55,74,6,1,157,307
Newmarket--Aurora/Newmarket--Aurora,52,Newmarket,17,33,97,103,19,3,272,444
Newmarket--Aurora/Newmarket--Aurora,53,Newmarket,9,35,68,70,14,1,197,361
Newmarket--Aurora/Newmarket--Aurora,54,Newmarket,8,49,95,80,10,1,243,429
Newmarket--Aurora/Newmarket--Aurora,55,Newmarket,2,20,51,42,6,1,122,257
Newmarket--Aurora/Newmarket--Aurora,56,Newmarket,10,48,133,119,23,3,336,530
Newmarket--Aurora/Newmarket--Aurora,57,Newmarket,8,25,127,95,14,0,269,440
Newmarket--Aurora/Newmarket--Aurora,58,Newmarket,10,31,86,104,9,1,241,402
Newmarket--Aurora/Newmarket--Aurora,59,Newmarket,5,27,107,81,11,3,234,370
Newmarket--Aurora/Newmarket--Aurora,60,Newmarket,2,33,77,108,9,0,229,331
Newmarket--Aurora/Newmarket--Aurora,61,Newmarket,5,21,107,70,8,1,212,320
Newmarket--Aurora/Newmarket--Aurora,62,Newmarket,6,26,114,77,6,1,230,367
Newmarket--Aurora/Newmarket--Aurora,63,Newmarket,14,27,58,69,10,1,179,304
Newmarket--Aurora/Newmarket--Aurora,64,Newmarket,4,10,44,33,4,0,95,236
Newmarket--Aurora/Newmarket--Aurora,65,Newmarket,11,36,77,71,9,0,204,355
Newmarket--Aurora/Newmarket--Aurora,66,Newmarket,10,36,87,72,11,5,221,415
Newmarket--Aurora/Newmarket--Aurora,67,Newmarket,8,18,97,115,12,2,252,428
Newmarket--Aurora/Newmarket--Aurora,68,Newmarket,8,23,67,68,6,1,173,262
Newmarket--Aurora/Newmarket--Aurora,69,Newmarket,2,33,78,105,11,1,230,358
Newmarket--Aurora/Newmarket--Aurora,70,Newmarket,7,20,70,80,6,0,183,288
Newmarket--Aurora/Newmarket--Aurora,71,Newmarket,5,19,108,113,5,0,250,375
Newmarket--Aurora/Newmarket--Aurora,72,Newmarket,4,23,57,53,6,0,143,340
Newmarket--Aurora/Newmarket--Aurora,73,Newmarket,4,22,54,51,6,2,139,312
Newmarket--Aurora/Newmarket--Aurora,74,Newmarket,3,28,64,71,14,2,182,362
Newmarket--Aurora/Newmarket--Aurora,75,Newmarket,6,29,89,82,14,1,221,445
Newmarket--Aurora/Newmarket--Aurora,76,Newmarket,4,23,46,50,19,0,142,334
Newmarket--Aurora/Newmarket--Aurora,77,Newmarket,0,30,108,73,8,1,220,364
Newmarket--Aurora/Newmarket--Aurora,78,Newmarket,7,25,74,65,15,1,187,277
Newmarket--Aurora/Newmarket--Aurora,79,Newmarket,14,33,94,72,6,4,223,333
Newmarket--Aurora/Newmarket--Aurora,80,Newmarket,12,39,119,94,12,1,277,463
Newmarket--Aurora/Newmarket--Aurora,81,Newmarket,7,34,89,83,11,3,227,421
Newmarket--Aurora/Newmarket--Aurora,82,Newmarket,4,19,84,76,8,1,192,363
Newmarket--Aurora/Newmarket--Aurora,83,Newmarket,5,22,89,112,18,1,247,366
Newmarket--Aurora/Newmarket--Aurora,84,Newmarket,7,29,92,83,14,1,226,380
Newmarket--Aurora/Newmarket--Aurora,85,Newmarket,2,27,95,90,18,4,236,376
Newmarket--Aurora/Newmarket--Aurora,86,Newmarket,4,23,70,56,10,0,163,253
Newmarket--Aurora/Newmarket--Aurora,87,Newmarket,6,32,70,94,12,6,220,364
Newmarket--Aurora/Newmarket--Aurora,88,Newmarket,6,39,78,74,13,0,210,330
Newmarket--Aurora/Newmarket--Aurora,89,Newmarket,5,25,129,122,13,5,299,455
Newmarket--Aurora/Newmarket--Aurora,90,Newmarket,9,31,73,101,10,1,225,346
Newmarket--Aurora/Newmarket--Aurora,91,Newmarket,8,40,127,109,7,1,292,551
Newmarket--Aurora/Newmarket--Aurora,92,Newmarket,5,25,87,71,16,2,206,367
Newmarket--Aurora/Newmarket--Aurora,93,Newmarket,2,27,102,84,6,1,222,408
