District,Poll Number,Poll Name,Raymond Bonin,Mike Dupont,Michel D. Ethier,Claude Gravelle,Steve Lafleur,Don Lavallee,Steve Rutchinski,Rejected Ballots,Total Vote,Electors
Nickel Belt/Nickel Belt,1,Foleyet,29,15,0,40,0,1,0,1,86,236
Nickel Belt/Nickel Belt,2,Timmins West,11,1,0,4,0,0,0,0,16,27
Nickel Belt/Nickel Belt,3,Mattagami 71,37,6,2,6,1,0,0,1,53,56
Nickel Belt/Nickel Belt,4,Gogama,49,10,3,38,1,0,0,1,102,254
Nickel Belt/Nickel Belt,5,Gogama,27,19,2,19,0,0,0,0,67,158
Nickel Belt/Nickel Belt,5-1,Shining Tree,7,0,3,6,1,0,0,0,17,23
Nickel Belt/Nickel Belt,6,Ramsey,4,5,0,10,1,0,0,0,20,23
Nickel Belt/Nickel Belt,6-1,Westree,14,13,1,20,1,0,0,0,49,69
Nickel Belt/Nickel Belt,7,Cartier,70,28,3,92,1,0,0,0,194,326
Nickel Belt/Nickel Belt,8,Onaping Falls,30,23,4,57,3,0,0,0,117,230
Nickel Belt/Nickel Belt,9,Onaping Falls,39,39,1,76,1,0,0,0,156,267
Nickel Belt/Nickel Belt,10,Onaping Falls,16,23,4,68,3,1,0,2,117,262
Nickel Belt/Nickel Belt,11,Onaping Falls,45,43,1,97,3,0,0,3,192,373
Nickel Belt/Nickel Belt,12,Onaping Falls,44,44,2,69,2,0,0,1,162,344
Nickel Belt/Nickel Belt,13,Onaping Falls,47,43,3,72,5,0,0,0,170,278
Nickel Belt/Nickel Belt,14,Onaping Falls,53,39,2,65,6,0,0,1,166,324
Nickel Belt/Nickel Belt,15,Onaping Falls,43,26,4,48,3,0,0,1,125,249
Nickel Belt/Nickel Belt,16,Onaping Falls,51,75,4,71,10,0,0,1,212,407
Nickel Belt/Nickel Belt,17,Onaping Falls,45,40,0,89,2,0,0,1,177,355
Nickel Belt/Nickel Belt,18,Onaping Falls,61,74,4,106,7,1,0,3,256,452
Nickel Belt/Nickel Belt,19,Onaping Falls,53,19,1,43,7,0,0,0,123,253
Nickel Belt/Nickel Belt,20,Rayside-Balfour,61,24,4,77,7,1,0,2,176,378
Nickel Belt/Nickel Belt,21,Rayside-Balfour,36,21,1,64,4,1,0,0,127,251
Nickel Belt/Nickel Belt,22,Rayside-Balfour,34,27,1,79,1,0,0,0,142,305
Nickel Belt/Nickel Belt,23,Rayside-Balfour,55,23,4,89,2,1,0,5,179,363
Nickel Belt/Nickel Belt,24,Rayside-Balfour,61,26,1,82,5,3,0,1,179,348
Nickel Belt/Nickel Belt,25,Rayside-Balfour,58,20,2,78,5,0,0,1,164,311
Nickel Belt/Nickel Belt,26,Rayside-Balfour,40,11,2,24,2,0,0,2,81,180
Nickel Belt/Nickel Belt,27,Rayside-Balfour,44,26,0,69,2,0,0,0,141,285
Nickel Belt/Nickel Belt,28,Rayside-Balfour,66,40,0,83,3,0,0,0,192,360
Nickel Belt/Nickel Belt,29,Rayside-Balfour,93,37,2,47,1,1,0,0,181,332
Nickel Belt/Nickel Belt,30,Rayside-Balfour,83,34,1,73,3,0,0,0,194,364
Nickel Belt/Nickel Belt,31,Rayside-Balfour,47,22,1,57,2,0,0,0,129,292
Nickel Belt/Nickel Belt,32,Rayside-Balfour,61,23,1,72,1,2,0,0,160,298
Nickel Belt/Nickel Belt,33,Rayside-Balfour,69,36,2,88,7,0,0,0,202,430
Nickel Belt/Nickel Belt,34,Rayside-Balfour,61,44,1,64,3,0,0,0,173,363
Nickel Belt/Nickel Belt,35,Rayside-Balfour,97,53,2,126,4,1,1,0,284,496
Nickel Belt/Nickel Belt,36,Rayside-Balfour,80,43,1,64,2,0,1,1,192,416
Nickel Belt/Nickel Belt,37,Rayside-Balfour,49,35,2,99,1,0,0,1,187,379
Nickel Belt/Nickel Belt,38,Rayside-Balfour,69,46,1,63,5,1,0,1,186,387
Nickel Belt/Nickel Belt,39,Rayside-Balfour,77,57,0,78,9,1,0,3,225,448
Nickel Belt/Nickel Belt,40,Rayside-Balfour,130,50,1,92,8,1,0,0,282,522
Nickel Belt/Nickel Belt,41,Rayside-Balfour,45,23,1,38,2,0,0,0,109,254
Nickel Belt/Nickel Belt,42,Rayside-Balfour,104,47,2,91,5,3,0,2,254,451
Nickel Belt/Nickel Belt,43,Rayside-Balfour,105,63,1,81,2,1,0,0,253,412
Nickel Belt/Nickel Belt,44,Rayside-Balfour,85,24,4,64,1,0,0,0,178,323
Nickel Belt/Nickel Belt,45,Rayside-Balfour,90,37,4,75,2,1,0,2,211,363
Nickel Belt/Nickel Belt,46,Rayside-Balfour,93,36,3,90,2,0,0,0,224,375
Nickel Belt/Nickel Belt,47,Rayside-Balfour,70,19,1,51,3,0,0,2,146,306
Nickel Belt/Nickel Belt,48,Rayside-Balfour,95,33,2,60,2,0,0,0,192,378
Nickel Belt/Nickel Belt,49,Rayside-Balfour,72,35,1,60,6,1,0,1,176,280
Nickel Belt/Nickel Belt,50,Rayside-Balfour,99,67,1,99,6,1,0,1,274,497
Nickel Belt/Nickel Belt,51,Valley East,86,27,0,89,4,0,0,0,206,397
Nickel Belt/Nickel Belt,52,Valley East,90,21,2,43,6,1,0,0,163,294
Nickel Belt/Nickel Belt,53,Valley East,69,30,0,61,3,0,0,2,165,293
Nickel Belt/Nickel Belt,54,Valley East,123,32,2,85,5,2,0,1,250,485
Nickel Belt/Nickel Belt,55,Valley East,119,25,1,105,9,2,0,0,261,472
Nickel Belt/Nickel Belt,56,Valley East,80,32,1,68,8,0,0,1,190,354
Nickel Belt/Nickel Belt,57,Valley East,84,16,2,71,3,0,0,2,178,518
Nickel Belt/Nickel Belt,58,Valley East,79,24,4,88,7,1,0,2,205,361
Nickel Belt/Nickel Belt,59,Valley East,59,27,1,72,5,1,1,2,168,353
Nickel Belt/Nickel Belt,60,Valley East,64,10,3,46,1,0,0,0,124,266
Nickel Belt/Nickel Belt,61,Valley East,71,16,0,50,2,2,0,0,141,272
Nickel Belt/Nickel Belt,62,Valley East,93,23,4,59,2,0,0,1,182,348
Nickel Belt/Nickel Belt,63,Valley East,74,32,4,72,11,0,0,1,194,416
