District,Poll Number,Poll Name,Ed Broadbent,David Chernushenko,Carla Marie Dancey,Michael Foster,Robert G. Gauthier,Louis Lang,Richard Mahoney,Mike Murphy,Stuart Ryan,Rejected Ballots,Total Vote,Electors
Ottawa Centre/Ottawa-Centre,1,Ottawa,42,8,0,0,0,0,45,37,0,2,134,233
Ottawa Centre/Ottawa-Centre,2A,Ottawa,60,11,0,0,0,0,58,37,0,5,171,356
Ottawa Centre/Ottawa-Centre,2B,Ottawa,53,13,0,1,0,0,51,46,0,0,164,339
Ottawa Centre/Ottawa-Centre,3,Ottawa,83,19,0,0,1,1,63,62,1,1,231,339
Ottawa Centre/Ottawa-Centre,4,Ottawa,124,8,1,1,1,0,86,46,1,1,269,485
Ottawa Centre/Ottawa-Centre,5,Ottawa,91,20,0,0,0,0,81,44,0,0,236,382
Ottawa Centre/Ottawa-Centre,6,Ottawa,99,15,0,0,0,0,141,75,0,0,330,465
Ottawa Centre/Ottawa-Centre,7,Ottawa,68,14,1,0,0,0,88,63,0,1,235,342
Ottawa Centre/Ottawa-Centre,8,Ottawa,139,30,0,1,0,0,106,69,0,0,345,475
Ottawa Centre/Ottawa-Centre,9,Ottawa,92,30,0,3,0,0,46,42,2,4,219,357
Ottawa Centre/Ottawa-Centre,10,Ottawa,86,16,1,3,0,0,71,72,2,1,252,446
Ottawa Centre/Ottawa-Centre,11,Ottawa,52,14,0,0,0,0,43,30,0,0,139,152
Ottawa Centre/Ottawa-Centre,12,Ottawa,107,25,0,2,3,0,67,52,0,0,256,406
Ottawa Centre/Ottawa-Centre,13,Ottawa,124,26,0,0,2,0,68,51,0,0,271,378
Ottawa Centre/Ottawa-Centre,14,Ottawa,101,18,0,4,0,1,73,62,1,3,263,395
Ottawa Centre/Ottawa-Centre,15,Ottawa,101,23,0,1,0,0,61,58,0,4,248,372
Ottawa Centre/Ottawa-Centre,16,Ottawa,113,18,0,0,0,0,70,46,0,0,247,369
Ottawa Centre/Ottawa-Centre,17,Ottawa,102,22,0,0,0,0,81,52,0,0,257,381
Ottawa Centre/Ottawa-Centre,18,Ottawa,110,18,0,1,0,0,87,75,0,0,291,413
Ottawa Centre/Ottawa-Centre,19,Ottawa,108,16,1,1,0,0,71,63,0,1,261,348
Ottawa Centre/Ottawa-Centre,20,Ottawa,69,28,1,0,1,0,80,69,0,1,249,369
Ottawa Centre/Ottawa-Centre,21,Ottawa,103,29,0,3,1,0,78,46,0,0,260,353
Ottawa Centre/Ottawa-Centre,22,Ottawa,87,24,0,0,0,0,81,67,0,5,264,378
Ottawa Centre/Ottawa-Centre,23,Ottawa,108,13,0,1,1,0,79,86,1,0,289,423
Ottawa Centre/Ottawa-Centre,24,Ottawa,65,20,1,5,0,0,51,63,0,0,205,338
Ottawa Centre/Ottawa-Centre,25,Ottawa,93,21,0,0,1,0,75,54,0,0,244,335
Ottawa Centre/Ottawa-Centre,26,Ottawa,134,20,0,2,0,0,109,56,0,0,321,450
Ottawa Centre/Ottawa-Centre,27,Ottawa,51,7,0,1,0,0,55,38,1,0,153,291
Ottawa Centre/Ottawa-Centre,28,Ottawa,58,16,0,0,1,1,43,22,0,0,141,262
Ottawa Centre/Ottawa-Centre,29,Ottawa,91,19,0,0,0,1,56,24,1,0,192,379
Ottawa Centre/Ottawa-Centre,30,Ottawa,75,15,0,0,1,0,76,52,0,0,219,408
Ottawa Centre/Ottawa-Centre,31,Ottawa,91,14,3,3,0,0,60,48,0,2,221,351
Ottawa Centre/Ottawa-Centre,32,Ottawa,130,19,0,3,0,0,57,32,0,1,242,451
Ottawa Centre/Ottawa-Centre,33,Ottawa,22,3,0,1,2,0,17,21,0,0,66,174
Ottawa Centre/Ottawa-Centre,34,Ottawa,102,18,0,2,0,1,79,42,2,3,249,489
Ottawa Centre/Ottawa-Centre,35,Ottawa,83,16,0,1,0,0,48,42,0,0,190,335
Ottawa Centre/Ottawa-Centre,36,Ottawa,90,12,0,6,0,0,56,37,0,1,202,415
Ottawa Centre/Ottawa-Centre,37,Ottawa,116,21,0,1,0,0,76,43,0,1,258,446
Ottawa Centre/Ottawa-Centre,38,Ottawa,82,18,1,1,2,0,65,64,0,0,233,399
Ottawa Centre/Ottawa-Centre,39,Ottawa,111,19,0,1,1,0,62,38,0,1,233,381
Ottawa Centre/Ottawa-Centre,40,Ottawa,114,25,0,1,1,0,70,37,0,2,250,385
Ottawa Centre/Ottawa-Centre,41,Ottawa,110,34,0,1,1,0,65,32,0,1,244,360
Ottawa Centre/Ottawa-Centre,42,Ottawa,114,20,0,3,1,0,80,60,0,0,278,423
Ottawa Centre/Ottawa-Centre,43,Ottawa,101,19,1,1,1,0,86,39,0,0,248,399
Ottawa Centre/Ottawa-Centre,44,Ottawa,75,16,0,5,1,0,65,23,0,4,189,299
Ottawa Centre/Ottawa-Centre,45,Ottawa,113,23,0,4,0,0,66,41,0,2,249,365
Ottawa Centre/Ottawa-Centre,46,Ottawa,96,29,0,2,0,0,90,44,1,0,262,390
Ottawa Centre/Ottawa-Centre,47,Ottawa,81,17,0,2,1,0,82,53,0,1,237,364
Ottawa Centre/Ottawa-Centre,48,Ottawa,83,14,0,0,0,0,70,36,1,0,204,372
Ottawa Centre/Ottawa-Centre,49,Ottawa,146,23,0,3,0,0,48,21,1,1,243,433
Ottawa Centre/Ottawa-Centre,50,Ottawa,85,10,0,1,0,1,37,16,0,2,152,271
Ottawa Centre/Ottawa-Centre,51,Ottawa,88,22,1,2,0,0,70,32,0,1,216,408
Ottawa Centre/Ottawa-Centre,52,Ottawa,88,14,0,0,0,0,87,30,0,0,219,389
Ottawa Centre/Ottawa-Centre,53,Ottawa,82,16,0,3,2,0,58,13,0,0,174,419
Ottawa Centre/Ottawa-Centre,54,Ottawa,100,17,0,3,0,1,43,33,1,1,199,471
Ottawa Centre/Ottawa-Centre,55,Ottawa,59,16,0,10,1,2,53,18,0,1,160,464
Ottawa Centre/Ottawa-Centre,56,Ottawa,60,19,0,2,0,0,42,14,0,1,138,275
Ottawa Centre/Ottawa-Centre,57,Ottawa,79,18,0,2,1,0,52,27,0,0,179,297
Ottawa Centre/Ottawa-Centre,58,Ottawa,91,15,0,2,1,1,60,34,0,1,205,466
Ottawa Centre/Ottawa-Centre,59,Ottawa,43,4,5,3,2,5,109,36,1,6,214,382
Ottawa Centre/Ottawa-Centre,60,Ottawa,67,7,2,2,0,1,67,32,1,4,183,361
Ottawa Centre/Ottawa-Centre,61,Ottawa,106,22,0,6,1,1,48,28,0,1,213,485
Ottawa Centre/Ottawa-Centre,62,Ottawa,123,16,0,3,1,1,60,30,0,5,239,505
Ottawa Centre/Ottawa-Centre,63,Ottawa,67,6,0,3,0,0,60,31,0,0,167,264
Ottawa Centre/Ottawa-Centre,64,Ottawa,50,8,0,2,0,0,54,22,0,0,136,263
Ottawa Centre/Ottawa-Centre,65,Ottawa,89,20,0,2,0,2,74,27,0,1,215,518
Ottawa Centre/Ottawa-Centre,66,Ottawa,117,15,0,1,0,0,44,37,2,0,216,392
Ottawa Centre/Ottawa-Centre,67,Ottawa,72,12,0,1,0,0,67,37,0,0,189,376
Ottawa Centre/Ottawa-Centre,68,Ottawa,111,12,0,2,1,0,106,50,0,2,284,508
Ottawa Centre/Ottawa-Centre,69,Ottawa,70,2,0,0,0,0,50,21,0,0,143,271
Ottawa Centre/Ottawa-Centre,70,Ottawa,59,14,0,2,0,0,71,31,0,0,177,289
Ottawa Centre/Ottawa-Centre,71,Ottawa,106,19,0,3,0,0,73,24,0,3,228,361
Ottawa Centre/Ottawa-Centre,72,Ottawa,143,23,1,3,4,1,110,62,1,2,350,555
Ottawa Centre/Ottawa-Centre,73,Ottawa,96,15,0,1,0,0,165,72,0,2,351,562
Ottawa Centre/Ottawa-Centre,74,Ottawa,101,23,0,0,1,1,88,54,0,1,269,456
Ottawa Centre/Ottawa-Centre,75,Ottawa,67,4,0,3,0,0,30,18,0,0,122,238
Ottawa Centre/Ottawa-Centre,76,Ottawa,125,26,1,1,3,0,71,29,1,2,259,449
Ottawa Centre/Ottawa-Centre,77,Ottawa,81,10,0,1,1,0,55,25,0,0,173,259
Ottawa Centre/Ottawa-Centre,78,Ottawa,77,10,0,0,0,0,50,15,0,1,153,286
Ottawa Centre/Ottawa-Centre,79,Ottawa,121,16,0,3,0,0,59,29,0,1,229,508
Ottawa Centre/Ottawa-Centre,80,Ottawa,112,16,1,2,1,1,121,56,2,0,312,439
Ottawa Centre/Ottawa-Centre,81,Ottawa,128,13,0,0,0,0,55,26,0,0,222,409
Ottawa Centre/Ottawa-Centre,82,Ottawa,96,29,0,4,0,0,69,24,1,1,224,443
Ottawa Centre/Ottawa-Centre,83,Ottawa,121,22,0,2,1,2,60,25,1,0,234,406
Ottawa Centre/Ottawa-Centre,84,Ottawa,113,22,0,2,0,2,51,13,1,2,206,337
Ottawa Centre/Ottawa-Centre,85,Ottawa,133,18,0,3,1,0,64,18,1,0,238,436
Ottawa Centre/Ottawa-Centre,86,Ottawa,86,23,1,4,0,0,38,31,1,2,186,346
Ottawa Centre/Ottawa-Centre,87,Ottawa,103,14,0,4,0,0,48,19,0,0,188,323
Ottawa Centre/Ottawa-Centre,88,Ottawa,111,18,0,1,0,0,43,19,0,0,192,333
Ottawa Centre/Ottawa-Centre,89,Ottawa,97,16,0,4,0,0,47,25,1,5,195,319
Ottawa Centre/Ottawa-Centre,90,Ottawa,116,12,0,0,0,0,39,15,0,1,183,319
Ottawa Centre/Ottawa-Centre,91,Ottawa,99,12,1,1,0,0,35,17,0,1,166,310
Ottawa Centre/Ottawa-Centre,92,Ottawa,102,31,1,3,0,0,41,24,1,0,203,388
Ottawa Centre/Ottawa-Centre,93,Ottawa,126,30,0,3,1,0,80,41,0,1,282,554
Ottawa Centre/Ottawa-Centre,94,Ottawa,78,19,0,3,0,0,70,30,0,0,200,318
Ottawa Centre/Ottawa-Centre,95,Ottawa,92,12,1,3,1,0,56,34,0,1,200,340
Ottawa Centre/Ottawa-Centre,96,Ottawa,75,14,0,0,0,0,56,25,0,0,170,305
Ottawa Centre/Ottawa-Centre,97,Ottawa,93,14,0,2,0,0,66,31,0,0,206,389
Ottawa Centre/Ottawa-Centre,98,Ottawa,78,14,0,0,0,0,42,20,0,0,154,324
Ottawa Centre/Ottawa-Centre,99,Ottawa,72,12,0,1,0,0,70,11,0,2,168,303
Ottawa Centre/Ottawa-Centre,100,Ottawa,102,18,0,2,0,0,58,25,0,0,205,368
Ottawa Centre/Ottawa-Centre,101,Ottawa,113,17,0,2,0,1,78,34,0,0,245,405
Ottawa Centre/Ottawa-Centre,102,Ottawa,118,23,0,1,0,0,69,36,0,0,247,436
Ottawa Centre/Ottawa-Centre,103,Ottawa,85,11,0,1,0,0,89,26,0,0,212,259
Ottawa Centre/Ottawa-Centre,104,Ottawa,64,9,0,1,1,0,84,27,0,1,187,342
Ottawa Centre/Ottawa-Centre,105,Ottawa,81,10,0,2,0,0,46,28,0,0,167,270
Ottawa Centre/Ottawa-Centre,106,Ottawa,86,8,0,0,0,0,101,51,0,0,246,395
Ottawa Centre/Ottawa-Centre,107,Ottawa,97,33,0,0,0,0,69,31,1,0,231,388
Ottawa Centre/Ottawa-Centre,108,Ottawa,67,6,0,0,1,0,93,44,0,1,212,323
Ottawa Centre/Ottawa-Centre,109,Ottawa,85,17,0,1,1,0,84,41,0,0,229,371
Ottawa Centre/Ottawa-Centre,110,Ottawa,66,13,1,0,0,0,49,27,0,0,156,263
Ottawa Centre/Ottawa-Centre,111,Ottawa,68,10,0,0,0,0,70,31,0,1,180,268
Ottawa Centre/Ottawa-Centre,112,Ottawa,83,14,1,0,1,0,53,25,0,0,177,353
Ottawa Centre/Ottawa-Centre,113,Ottawa,83,18,0,0,0,0,54,27,0,2,184,348
Ottawa Centre/Ottawa-Centre,114,Ottawa,156,23,0,1,0,0,83,41,1,1,306,536
Ottawa Centre/Ottawa-Centre,115,Ottawa,112,29,0,2,1,1,59,34,1,2,241,441
Ottawa Centre/Ottawa-Centre,116,Ottawa,139,22,0,0,1,0,89,40,0,1,292,473
Ottawa Centre/Ottawa-Centre,117,Ottawa,82,14,0,1,0,0,75,42,1,2,217,350
Ottawa Centre/Ottawa-Centre,118,Ottawa,93,25,0,1,0,0,84,36,0,0,239,383
Ottawa Centre/Ottawa-Centre,119,Ottawa,104,22,0,2,0,0,97,29,1,1,256,361
Ottawa Centre/Ottawa-Centre,120,Ottawa,99,30,0,5,0,0,72,47,0,0,253,419
Ottawa Centre/Ottawa-Centre,121,Ottawa,79,24,0,2,1,0,80,40,0,0,226,366
Ottawa Centre/Ottawa-Centre,122A,Ottawa,18,3,0,0,2,0,35,30,0,0,88,102
Ottawa Centre/Ottawa-Centre,122B,Ottawa,114,33,0,3,0,0,60,20,0,0,230,344
Ottawa Centre/Ottawa-Centre,123,Ottawa,80,16,0,3,0,1,83,51,0,1,235,397
Ottawa Centre/Ottawa-Centre,124,Ottawa,91,15,0,0,0,0,68,40,0,1,215,352
Ottawa Centre/Ottawa-Centre,125,Ottawa,82,27,0,1,0,0,95,31,0,1,237,355
Ottawa Centre/Ottawa-Centre,126,Ottawa,117,24,0,2,0,0,59,38,1,0,241,372
Ottawa Centre/Ottawa-Centre,127,Ottawa,119,29,0,0,0,0,63,36,0,0,247,372
Ottawa Centre/Ottawa-Centre,128,Ottawa,111,24,0,2,0,0,86,46,2,4,275,444
Ottawa Centre/Ottawa-Centre,129,Ottawa,99,24,0,1,0,2,92,45,1,2,266,374
Ottawa Centre/Ottawa-Centre,130,Ottawa,95,26,1,2,1,1,66,48,0,0,240,385
Ottawa Centre/Ottawa-Centre,131,Ottawa,96,19,0,1,0,0,91,40,0,0,247,338
Ottawa Centre/Ottawa-Centre,132,Ottawa,120,32,2,3,1,0,133,95,0,2,388,580
Ottawa Centre/Ottawa-Centre,133,Ottawa,Void,,,,,,,,,,,
Ottawa Centre/Ottawa-Centre,134,Ottawa,101,16,1,0,0,0,65,20,0,3,206,371
Ottawa Centre/Ottawa-Centre,135,Ottawa,128,41,0,0,0,0,106,56,0,0,331,479
Ottawa Centre/Ottawa-Centre,136,Ottawa,131,19,0,0,0,1,80,30,1,1,263,372
Ottawa Centre/Ottawa-Centre,137,Ottawa,Void,,,,,,,,,,,
Ottawa Centre/Ottawa-Centre,138,Ottawa,96,27,0,3,0,0,78,25,0,0,229,333
Ottawa Centre/Ottawa-Centre,139,Ottawa,135,27,0,5,0,0,100,35,0,2,304,492
Ottawa Centre/Ottawa-Centre,140,Ottawa,75,20,0,0,0,0,42,19,0,1,157,262
Ottawa Centre/Ottawa-Centre,141,Ottawa,116,41,0,1,0,1,83,29,0,1,272,448
Ottawa Centre/Ottawa-Centre,142,Ottawa,95,22,0,4,0,0,44,22,1,0,188,297
Ottawa Centre/Ottawa-Centre,143,Ottawa,92,25,0,2,0,0,97,59,0,1,276,410
Ottawa Centre/Ottawa-Centre,144,Ottawa,101,13,0,3,0,0,83,39,0,1,240,365
Ottawa Centre/Ottawa-Centre,145,Ottawa,90,14,0,0,0,0,88,53,0,0,245,364
Ottawa Centre/Ottawa-Centre,146,Ottawa,82,10,0,2,0,0,88,57,0,0,239,385
Ottawa Centre/Ottawa-Centre,147,Ottawa,110,19,1,6,0,0,57,48,0,0,241,495
Ottawa Centre/Ottawa-Centre,148,Ottawa,57,11,0,2,0,0,28,45,1,0,144,289
Ottawa Centre/Ottawa-Centre,149,Ottawa,73,14,0,3,0,0,56,33,2,0,181,335
Ottawa Centre/Ottawa-Centre,150,Ottawa,113,23,0,2,0,1,93,72,0,0,304,458
Ottawa Centre/Ottawa-Centre,151,Ottawa,86,19,0,0,0,0,117,75,0,0,297,440
Ottawa Centre/Ottawa-Centre,152,Ottawa,103,25,1,2,0,0,94,68,0,1,294,447
Ottawa Centre/Ottawa-Centre,153,Ottawa,107,27,0,0,0,0,60,34,0,1,229,438
Ottawa Centre/Ottawa-Centre,154,Ottawa,104,12,0,1,0,0,54,31,0,2,204,364
Ottawa Centre/Ottawa-Centre,155,Ottawa,100,31,0,4,4,0,73,73,2,1,288,527
Ottawa Centre/Ottawa-Centre,156,Ottawa,104,13,2,0,0,1,53,36,1,1,211,349
Ottawa Centre/Ottawa-Centre,157,Ottawa,83,22,1,2,0,0,82,57,0,2,249,396
Ottawa Centre/Ottawa-Centre,158,Ottawa,91,15,0,3,2,0,66,60,0,0,237,434
Ottawa Centre/Ottawa-Centre,159,Ottawa,97,17,0,3,0,0,88,46,0,3,254,409
Ottawa Centre/Ottawa-Centre,160,Ottawa,98,14,1,3,1,0,58,45,0,1,221,456
Ottawa Centre/Ottawa-Centre,161,Ottawa,101,16,0,4,1,1,75,45,1,0,244,421
Ottawa Centre/Ottawa-Centre,162,Ottawa,112,16,0,1,1,1,43,49,1,1,225,388
Ottawa Centre/Ottawa-Centre,163,Ottawa,80,18,1,0,0,1,85,58,0,1,244,349
Ottawa Centre/Ottawa-Centre,164,Ottawa,91,16,0,1,0,0,63,62,0,0,233,325
Ottawa Centre/Ottawa-Centre,165,Ottawa,70,13,0,2,0,0,64,55,0,3,207,347
Ottawa Centre/Ottawa-Centre,166,Ottawa,84,17,2,2,0,1,52,49,0,0,207,375
Ottawa Centre/Ottawa-Centre,167,Ottawa,95,25,0,1,1,0,72,55,0,1,250,391
Ottawa Centre/Ottawa-Centre,168,Ottawa,89,23,0,0,0,0,42,62,2,2,220,378
Ottawa Centre/Ottawa-Centre,169,Ottawa,31,8,0,1,0,0,33,29,0,0,102,325
Ottawa Centre/Ottawa-Centre,170,Ottawa,111,16,0,0,2,0,74,48,0,1,252,392
Ottawa Centre/Ottawa-Centre,171,Ottawa,133,27,0,2,0,0,94,66,0,0,322,464
Ottawa Centre/Ottawa-Centre,172,Ottawa,71,11,0,2,1,0,69,54,0,1,209,333
Ottawa Centre/Ottawa-Centre,173,Ottawa,68,13,1,4,1,0,70,62,1,0,220,304
Ottawa Centre/Ottawa-Centre,174,Ottawa,85,10,0,0,0,0,58,51,0,2,206,299
Ottawa Centre/Ottawa-Centre,175,Ottawa,89,14,1,4,2,0,85,39,0,4,238,379
Ottawa Centre/Ottawa-Centre,176,Ottawa,63,8,0,3,0,1,44,38,0,0,157,300
Ottawa Centre/Ottawa-Centre,177,Ottawa,69,9,0,6,1,0,51,51,0,0,187,364
Ottawa Centre/Ottawa-Centre,178,Ottawa,84,10,0,4,2,0,78,34,0,1,213,391
Ottawa Centre/Ottawa-Centre,179,Ottawa,62,13,2,6,1,0,52,45,0,1,182,341
Ottawa Centre/Ottawa-Centre,180,Ottawa,91,11,0,9,1,0,77,56,0,2,247,517
Ottawa Centre/Ottawa-Centre,181,Ottawa,70,10,0,1,0,0,64,69,0,0,214,350
Ottawa Centre/Ottawa-Centre,182,Ottawa,36,8,0,0,0,0,43,32,1,0,120,265
Ottawa Centre/Ottawa-Centre,183,Ottawa,76,9,0,3,0,0,76,55,0,0,219,442
Ottawa Centre/Ottawa-Centre,184,Ottawa,110,26,2,2,3,1,124,74,0,0,342,506
