District,Poll Number,Poll Name,Dan Biocchi,Marc Godbout,Crystal Leblanc,Walter Robinson,Rejected Ballots,Total Vote,Electors
Ottawa--Orléans/Ottawa--Orléans,1,Gloucester,17,97,25,79,3,221,380
Ottawa--Orléans/Ottawa--Orléans,2,Gloucester,12,89,36,108,2,247,378
Ottawa--Orléans/Ottawa--Orléans,3,Gloucester,12,101,25,68,1,207,332
Ottawa--Orléans/Ottawa--Orléans,4,Gloucester,8,123,24,76,2,233,309
Ottawa--Orléans/Ottawa--Orléans,5,Gloucester,10,157,28,85,2,282,412
Ottawa--Orléans/Ottawa--Orléans,6,Gloucester,15,58,26,47,1,147,284
Ottawa--Orléans/Ottawa--Orléans,7A,Gloucester,Merged with No. 6,,,,,,9
Ottawa--Orléans/Ottawa--Orléans,7B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,56
Ottawa--Orléans/Ottawa--Orléans,8A,Gloucester,17,73,25,71,0,186,342
Ottawa--Orléans/Ottawa--Orléans,8B,Gloucester,9,74,30,71,0,184,379
Ottawa--Orléans/Ottawa--Orléans,9,Gloucester,11,69,27,77,1,185,379
Ottawa--Orléans/Ottawa--Orléans,10,Gloucester,11,96,29,57,3,196,349
Ottawa--Orléans/Ottawa--Orléans,11,Gloucester,8,92,29,56,2,187,289
Ottawa--Orléans/Ottawa--Orléans,12,Gloucester,8,98,23,66,3,198,342
Ottawa--Orléans/Ottawa--Orléans,13,Gloucester,12,88,50,65,1,216,511
Ottawa--Orléans/Ottawa--Orléans,14,Gloucester,1,33,4,12,0,50,158
Ottawa--Orléans/Ottawa--Orléans,15,Gloucester,14,133,31,110,0,288,442
Ottawa--Orléans/Ottawa--Orléans,16,Gloucester,11,114,28,106,0,259,392
Ottawa--Orléans/Ottawa--Orléans,17,Gloucester,7,105,17,90,0,219,323
Ottawa--Orléans/Ottawa--Orléans,18,Gloucester,18,114,26,111,2,271,415
Ottawa--Orléans/Ottawa--Orléans,19,Gloucester,17,100,31,131,1,280,396
Ottawa--Orléans/Ottawa--Orléans,20,Gloucester,20,120,41,102,1,284,450
Ottawa--Orléans/Ottawa--Orléans,21,Gloucester,12,111,49,88,1,261,454
Ottawa--Orléans/Ottawa--Orléans,22,Gloucester,13,109,15,119,2,258,416
Ottawa--Orléans/Ottawa--Orléans,23,Gloucester,12,125,16,124,2,279,397
Ottawa--Orléans/Ottawa--Orléans,24,Gloucester,9,82,13,86,0,190,281
Ottawa--Orléans/Ottawa--Orléans,25A,Gloucester,6,36,30,32,0,104,286
Ottawa--Orléans/Ottawa--Orléans,25B,Gloucester,4,38,17,37,0,96,301
Ottawa--Orléans/Ottawa--Orléans,26,Gloucester,6,46,37,21,1,111,241
Ottawa--Orléans/Ottawa--Orléans,27,Gloucester,23,121,61,122,1,328,582
Ottawa--Orléans/Ottawa--Orléans,28,Gloucester,9,85,29,83,2,208,398
Ottawa--Orléans/Ottawa--Orléans,29,Gloucester,8,72,23,111,0,214,361
Ottawa--Orléans/Ottawa--Orléans,30,Gloucester,8,72,18,90,2,190,340
Ottawa--Orléans/Ottawa--Orléans,31,Gloucester,8,113,12,82,0,215,318
Ottawa--Orléans/Ottawa--Orléans,32A,Gloucester,9,106,8,32,1,156,265
Ottawa--Orléans/Ottawa--Orléans,32B,Gloucester,9,78,17,42,1,147,289
Ottawa--Orléans/Ottawa--Orléans,33,Gloucester,9,156,28,109,0,302,448
Ottawa--Orléans/Ottawa--Orléans,34,Cumberland,8,109,31,102,0,250,359
Ottawa--Orléans/Ottawa--Orléans,35,Gloucester,13,91,29,85,1,219,309
Ottawa--Orléans/Ottawa--Orléans,36,Gloucester,10,108,41,111,0,270,427
Ottawa--Orléans/Ottawa--Orléans,37,Gloucester,19,134,47,100,1,301,486
Ottawa--Orléans/Ottawa--Orléans,38,Gloucester,19,96,38,128,0,281,387
Ottawa--Orléans/Ottawa--Orléans,39,Gloucester,12,92,37,118,0,259,382
Ottawa--Orléans/Ottawa--Orléans,40,Gloucester,5,64,23,44,0,136,218
Ottawa--Orléans/Ottawa--Orléans,41,Gloucester,13,81,30,56,0,180,333
Ottawa--Orléans/Ottawa--Orléans,42,Gloucester,20,87,47,95,2,251,462
Ottawa--Orléans/Ottawa--Orléans,43,Gloucester,14,136,31,142,1,324,502
Ottawa--Orléans/Ottawa--Orléans,44,Gloucester,16,111,30,105,0,262,410
Ottawa--Orléans/Ottawa--Orléans,45,Gloucester,13,122,43,102,0,280,433
Ottawa--Orléans/Ottawa--Orléans,46,Gloucester,19,143,15,122,0,299,455
Ottawa--Orléans/Ottawa--Orléans,47,Gloucester,8,75,25,81,1,190,301
Ottawa--Orléans/Ottawa--Orléans,48,Gloucester,9,70,20,76,0,175,247
Ottawa--Orléans/Ottawa--Orléans,49,Gloucester,19,153,24,127,0,323,475
Ottawa--Orléans/Ottawa--Orléans,50,Gloucester,10,111,36,115,0,272,426
Ottawa--Orléans/Ottawa--Orléans,51,Gloucester,9,104,29,92,0,234,367
Ottawa--Orléans/Ottawa--Orléans,52,Gloucester,11,101,15,109,0,236,362
Ottawa--Orléans/Ottawa--Orléans,53,Gloucester,12,125,19,132,0,288,416
Ottawa--Orléans/Ottawa--Orléans,54,Gloucester,12,113,18,116,0,259,371
Ottawa--Orléans/Ottawa--Orléans,55,Gloucester,10,115,24,94,0,243,345
Ottawa--Orléans/Ottawa--Orléans,56,Gloucester,25,109,25,122,0,281,419
Ottawa--Orléans/Ottawa--Orléans,57,Cumberland,10,52,14,50,0,126,200
Ottawa--Orléans/Ottawa--Orléans,58,Cumberland,7,63,15,49,0,134,220
Ottawa--Orléans/Ottawa--Orléans,59,Cumberland,18,114,27,112,3,274,414
Ottawa--Orléans/Ottawa--Orléans,60,Cumberland,16,96,35,109,1,257,361
Ottawa--Orléans/Ottawa--Orléans,61,Cumberland,12,89,41,109,2,253,401
Ottawa--Orléans/Ottawa--Orléans,62,Cumberland,14,92,42,103,1,252,393
Ottawa--Orléans/Ottawa--Orléans,63,Cumberland,19,123,19,119,1,281,413
Ottawa--Orléans/Ottawa--Orléans,64,Cumberland,24,128,26,119,2,299,414
Ottawa--Orléans/Ottawa--Orléans,65,Cumberland,4,155,24,67,0,250,386
Ottawa--Orléans/Ottawa--Orléans,66,Cumberland,7,90,17,85,1,200,382
Ottawa--Orléans/Ottawa--Orléans,67,Cumberland,8,98,17,93,1,217,365
Ottawa--Orléans/Ottawa--Orléans,68,Cumberland,6,85,15,75,0,181,297
Ottawa--Orléans/Ottawa--Orléans,69,Cumberland,5,105,20,77,0,207,308
Ottawa--Orléans/Ottawa--Orléans,70,Cumberland,17,125,33,130,1,306,465
Ottawa--Orléans/Ottawa--Orléans,71,Cumberland,11,138,22,104,0,275,449
Ottawa--Orléans/Ottawa--Orléans,72,Cumberland,7,100,17,73,0,197,292
Ottawa--Orléans/Ottawa--Orléans,73,Cumberland,10,113,22,97,0,242,387
Ottawa--Orléans/Ottawa--Orléans,74,Cumberland,14,160,32,112,4,322,429
Ottawa--Orléans/Ottawa--Orléans,75,Cumberland,9,107,17,102,2,237,423
Ottawa--Orléans/Ottawa--Orléans,76,Cumberland,22,129,36,100,0,287,440
Ottawa--Orléans/Ottawa--Orléans,77,Cumberland,12,137,26,87,0,262,422
Ottawa--Orléans/Ottawa--Orléans,78,Cumberland,8,109,30,94,1,242,437
Ottawa--Orléans/Ottawa--Orléans,79,Cumberland,11,98,13,103,3,228,389
Ottawa--Orléans/Ottawa--Orléans,80,Cumberland,13,96,12,90,1,212,299
Ottawa--Orléans/Ottawa--Orléans,81,Cumberland,7,112,17,86,1,223,344
Ottawa--Orléans/Ottawa--Orléans,82,Cumberland,5,44,3,49,0,101,207
Ottawa--Orléans/Ottawa--Orléans,83,Cumberland,17,151,30,103,2,303,500
Ottawa--Orléans/Ottawa--Orléans,84,Gloucester,10,88,28,78,0,204,359
Ottawa--Orléans/Ottawa--Orléans,85,Gloucester,16,139,24,80,4,263,380
Ottawa--Orléans/Ottawa--Orléans,86,Gloucester,19,105,42,137,0,303,442
Ottawa--Orléans/Ottawa--Orléans,87,Gloucester,13,119,23,120,0,275,368
Ottawa--Orléans/Ottawa--Orléans,88,Gloucester,13,160,22,85,0,280,389
Ottawa--Orléans/Ottawa--Orléans,89,Gloucester,14,78,35,67,3,197,315
Ottawa--Orléans/Ottawa--Orléans,90,Gloucester,11,118,22,51,4,206,384
Ottawa--Orléans/Ottawa--Orléans,91,Gloucester,8,150,28,78,3,267,420
Ottawa--Orléans/Ottawa--Orléans,92,Gloucester,7,137,26,91,0,261,440
Ottawa--Orléans/Ottawa--Orléans,93A,Gloucester,1,108,20,56,0,185,252
Ottawa--Orléans/Ottawa--Orléans,93B,Gloucester,12,88,15,43,1,159,255
Ottawa--Orléans/Ottawa--Orléans,94,Gloucester,6,98,23,60,0,187,315
Ottawa--Orléans/Ottawa--Orléans,95,Gloucester,16,151,19,102,1,289,457
Ottawa--Orléans/Ottawa--Orléans,96,Gloucester,14,152,24,79,1,270,424
Ottawa--Orléans/Ottawa--Orléans,97,Gloucester,13,93,25,93,0,224,356
Ottawa--Orléans/Ottawa--Orléans,98,Gloucester,13,109,20,107,1,250,391
Ottawa--Orléans/Ottawa--Orléans,99,Gloucester,9,104,28,84,1,226,334
Ottawa--Orléans/Ottawa--Orléans,100,Gloucester,13,91,18,83,0,205,338
Ottawa--Orléans/Ottawa--Orléans,101A,Gloucester,5,76,16,62,0,159,259
Ottawa--Orléans/Ottawa--Orléans,101B,Gloucester,9,79,16,70,0,174,267
Ottawa--Orléans/Ottawa--Orléans,102,Gloucester,11,139,24,101,1,276,393
Ottawa--Orléans/Ottawa--Orléans,103,Gloucester,15,115,24,111,1,266,382
Ottawa--Orléans/Ottawa--Orléans,104,Gloucester,13,92,11,68,1,185,261
Ottawa--Orléans/Ottawa--Orléans,105,Gloucester,5,99,22,71,2,199,290
Ottawa--Orléans/Ottawa--Orléans,106,Gloucester,8,113,36,132,0,289,439
Ottawa--Orléans/Ottawa--Orléans,107,Gloucester,7,119,25,64,1,216,445
Ottawa--Orléans/Ottawa--Orléans,108,Gloucester,6,130,9,75,2,222,341
Ottawa--Orléans/Ottawa--Orléans,109,Gloucester,4,97,3,78,3,185,317
Ottawa--Orléans/Ottawa--Orléans,110,Gloucester,17,147,21,96,2,283,387
Ottawa--Orléans/Ottawa--Orléans,111A,Gloucester,10,93,14,83,2,202,264
Ottawa--Orléans/Ottawa--Orléans,111B,Gloucester,10,90,8,80,1,189,274
Ottawa--Orléans/Ottawa--Orléans,112,Gloucester,21,143,31,103,0,298,441
Ottawa--Orléans/Ottawa--Orléans,113,Gloucester,11,144,36,103,2,296,406
Ottawa--Orléans/Ottawa--Orléans,114,Gloucester,16,155,18,129,1,319,458
Ottawa--Orléans/Ottawa--Orléans,115,Gloucester,6,112,24,84,0,226,352
Ottawa--Orléans/Ottawa--Orléans,116,Gloucester,7,66,21,47,0,141,266
Ottawa--Orléans/Ottawa--Orléans,117,Gloucester,8,124,28,74,0,234,398
Ottawa--Orléans/Ottawa--Orléans,118,Gloucester,3,49,16,64,0,132,254
Ottawa--Orléans/Ottawa--Orléans,119,Gloucester,9,107,14,99,1,230,355
Ottawa--Orléans/Ottawa--Orléans,120,Gloucester,5,98,16,89,0,208,318
Ottawa--Orléans/Ottawa--Orléans,121,Gloucester,8,94,28,73,0,203,351
Ottawa--Orléans/Ottawa--Orléans,122,Gloucester,14,136,39,87,0,276,431
Ottawa--Orléans/Ottawa--Orléans,123,Gloucester,18,149,31,101,3,302,469
Ottawa--Orléans/Ottawa--Orléans,124,Gloucester,4,92,20,73,3,192,276
Ottawa--Orléans/Ottawa--Orléans,125,Gloucester,13,112,41,112,2,280,418
Ottawa--Orléans/Ottawa--Orléans,126,Gloucester,13,96,30,76,1,216,343
Ottawa--Orléans/Ottawa--Orléans,127,Gloucester,4,111,37,77,5,234,361
Ottawa--Orléans/Ottawa--Orléans,128,Gloucester,17,110,41,77,0,245,451
Ottawa--Orléans/Ottawa--Orléans,129,Gloucester,11,139,28,96,1,275,391
Ottawa--Orléans/Ottawa--Orléans,130,Gloucester,7,89,16,93,6,211,326
