District,Poll Number,Poll Name,John Cowling,Irma Nicolette Devries,Brian Innes,Robert Roth,Gary Ralph Schellenberger,Rejected Ballots,Total Vote,Electors
Perth--Wellington/Perth--Wellington,1,Minto,6,18,78,50,86,0,238,532
Perth--Wellington/Perth--Wellington,2,Minto,8,16,43,26,30,1,124,206
Perth--Wellington/Perth--Wellington,3,Minto,14,14,69,28,96,0,221,413
Perth--Wellington/Perth--Wellington,4,Minto,5,11,63,35,87,1,202,448
Perth--Wellington/Perth--Wellington,5,Minto,3,7,54,22,91,0,177,381
Perth--Wellington/Perth--Wellington,6,Minto,11,11,57,34,88,2,203,372
Perth--Wellington/Perth--Wellington,7,Minto,11,6,68,22,63,1,171,299
Perth--Wellington/Perth--Wellington,8,Minto,14,8,90,40,130,0,282,475
Perth--Wellington/Perth--Wellington,9,Minto,5,21,93,27,125,4,275,408
Perth--Wellington/Perth--Wellington,10,Minto,23,21,87,40,126,2,299,674
Perth--Wellington/Perth--Wellington,11,Minto,7,23,63,48,95,2,238,464
Perth--Wellington/Perth--Wellington,12,Minto,11,10,85,44,76,0,226,476
Perth--Wellington/Perth--Wellington,13,Minto,8,12,72,45,92,1,230,391
Perth--Wellington/Perth--Wellington,14,Minto,10,15,93,54,102,1,275,504
Perth--Wellington/Perth--Wellington,15,North Perth,5,11,81,30,107,1,235,419
Perth--Wellington/Perth--Wellington,16,North Perth,Void,,,,,,,
Perth--Wellington/Perth--Wellington,17,North Perth,16,26,70,23,131,1,267,423
Perth--Wellington/Perth--Wellington,18,North Perth,5,15,49,23,93,0,185,305
Perth--Wellington/Perth--Wellington,19,North Perth,7,1,45,20,63,1,137,241
Perth--Wellington/Perth--Wellington,20,Wellington North,11,5,71,11,95,1,194,302
Perth--Wellington/Perth--Wellington,21,Mount Forest,17,11,98,27,139,5,297,560
Perth--Wellington/Perth--Wellington,22,Mount Forest,14,11,100,27,89,3,244,462
Perth--Wellington/Perth--Wellington,23,Mount Forest,15,1,65,30,93,0,204,441
Perth--Wellington/Perth--Wellington,24,Mount Forest,18,5,113,46,113,0,295,594
Perth--Wellington/Perth--Wellington,25,Wellington North,16,6,97,38,120,1,278,476
Perth--Wellington/Perth--Wellington,26,Mount Forest,17,6,84,44,115,2,268,528
Perth--Wellington/Perth--Wellington,27,Mount Forest,19,2,126,32,77,3,259,437
Perth--Wellington/Perth--Wellington,28,Minto,5,4,53,19,70,4,155,323
Perth--Wellington/Perth--Wellington,29,Arthur,8,1,38,7,42,0,96,222
Perth--Wellington/Perth--Wellington,30,Arthur,19,7,57,30,104,4,221,317
Perth--Wellington/Perth--Wellington,31,West Luther,8,13,50,23,78,1,173,313
Perth--Wellington/Perth--Wellington,32,West Luther,11,13,61,27,126,2,240,434
Perth--Wellington/Perth--Wellington,33,West Garafraxa,Void,,,,,,,
Perth--Wellington/Perth--Wellington,34,Arthur,21,12,110,57,212,2,414,646
Perth--Wellington/Perth--Wellington,35,Arthur,20,12,101,45,138,0,316,465
Perth--Wellington/Perth--Wellington,36,Arthur,24,7,73,48,93,0,245,565
Perth--Wellington/Perth--Wellington,37,Arthur,14,13,67,29,91,1,215,310
Perth--Wellington/Perth--Wellington,38,Arthur,16,3,75,13,115,0,222,380
Perth--Wellington/Perth--Wellington,39,Arthur,17,4,50,13,67,0,151,241
Perth--Wellington/Perth--Wellington,40,Maryborough,1,5,40,4,32,0,82,208
Perth--Wellington/Perth--Wellington,41,Peel,8,8,46,21,74,0,157,277
Perth--Wellington/Perth--Wellington,42,Peel,11,8,52,26,92,1,190,253
Perth--Wellington/Perth--Wellington,43,Peel,26,6,87,36,170,0,325,417
Perth--Wellington/Perth--Wellington,44,Peel,Void,,,,,,,
Perth--Wellington/Perth--Wellington,45,Peel,7,5,53,16,86,0,167,359
Perth--Wellington/Perth--Wellington,46,Drayton,17,33,97,47,176,1,371,617
Perth--Wellington/Perth--Wellington,47,Drayton,12,20,56,29,134,0,251,486
Perth--Wellington/Perth--Wellington,48,Maryborough,19,11,51,25,104,0,210,409
Perth--Wellington/Perth--Wellington,49,Maryborough,19,29,174,51,153,5,431,849
Perth--Wellington/Perth--Wellington,50,Maryborough,8,14,40,16,51,1,130,217
Perth--Wellington/Perth--Wellington,51,Peel,4,5,33,6,45,0,93,283
Perth--Wellington/Perth--Wellington,52,Peel,3,0,15,6,21,0,45,244
Perth--Wellington/Perth--Wellington,53,Peel,2,0,19,10,34,1,66,426
Perth--Wellington/Perth--Wellington,54,Maryborough,5,13,73,21,78,2,192,493
Perth--Wellington/Perth--Wellington,55,North Perth,10,11,78,32,100,1,232,518
Perth--Wellington/Perth--Wellington,56,North Perth,13,11,70,21,72,1,188,380
Perth--Wellington/Perth--Wellington,57,North Perth,5,7,41,22,75,1,151,334
Perth--Wellington/Perth--Wellington,58,North Perth,8,4,82,29,102,1,226,400
Perth--Wellington/Perth--Wellington,59,North Perth,11,8,92,30,131,1,273,440
Perth--Wellington/Perth--Wellington,60,North Perth,9,3,58,30,75,3,178,371
Perth--Wellington/Perth--Wellington,61,North Perth,15,3,83,19,97,0,217,430
Perth--Wellington/Perth--Wellington,62,North Perth,29,11,80,32,101,1,254,542
Perth--Wellington/Perth--Wellington,63,North Perth,8,10,92,35,198,2,345,572
Perth--Wellington/Perth--Wellington,64,North Perth,14,11,78,42,118,0,263,547
Perth--Wellington/Perth--Wellington,65,North Perth,1,15,55,18,90,1,180,393
Perth--Wellington/Perth--Wellington,66,North Perth,0,6,35,22,66,0,129,262
Perth--Wellington/Perth--Wellington,67,North Perth,9,5,31,10,77,0,132,211
Perth--Wellington/Perth--Wellington,68,North Perth,13,7,53,38,131,0,242,433
Perth--Wellington/Perth--Wellington,69,North Perth,6,3,50,18,77,0,154,254
Perth--Wellington/Perth--Wellington,70,North Perth,1,5,74,18,141,0,239,408
Perth--Wellington/Perth--Wellington,71,Mornington,1,7,31,12,36,0,87,193
Perth--Wellington/Perth--Wellington,72,Milverton,9,8,70,28,95,1,211,498
Perth--Wellington/Perth--Wellington,73,Milverton,13,20,83,46,154,2,318,505
Perth--Wellington/Perth--Wellington,74,Milverton,7,2,64,24,115,0,212,379
Perth--Wellington/Perth--Wellington,75,Mornington,6,4,33,14,28,0,85,255
Perth--Wellington/Perth--Wellington,76,Mornington,2,0,10,5,15,0,32,254
Perth--Wellington/Perth--Wellington,77,Millbank,6,2,52,12,58,1,131,344
Perth--Wellington/Perth--Wellington,78,Mornington,6,3,45,20,60,1,135,346
Perth--Wellington/Perth--Wellington,79,Mornington,15,9,52,12,66,0,154,454
Perth--Wellington/Perth--Wellington,80,North Perth,8,1,30,25,88,0,152,228
Perth--Wellington/Perth--Wellington,81,North Perth,9,1,29,23,89,0,151,298
Perth--Wellington/Perth--Wellington,82,Logan,3,4,22,37,83,0,149,255
Perth--Wellington/Perth--Wellington,83,Logan,9,7,45,6,55,0,122,193
Perth--Wellington/Perth--Wellington,84,Logan,17,3,58,22,83,1,184,294
Perth--Wellington/Perth--Wellington,85,Logan,8,4,69,26,84,2,193,305
Perth--Wellington/Perth--Wellington,86,Logan,5,3,27,4,54,2,95,158
Perth--Wellington/Perth--Wellington,87,Mitchell,15,3,67,27,119,1,232,398
Perth--Wellington/Perth--Wellington,88,Mitchell,10,4,57,27,108,1,207,345
Perth--Wellington/Perth--Wellington,89,Mitchell,14,7,72,17,133,1,244,380
Perth--Wellington/Perth--Wellington,90,Mitchell,7,3,46,25,106,0,187,330
Perth--Wellington/Perth--Wellington,91,Mitchell,12,6,84,29,113,2,246,441
Perth--Wellington/Perth--Wellington,92,Mitchell,7,12,42,45,90,0,196,454
Perth--Wellington/Perth--Wellington,93,Mitchell,10,7,37,31,97,1,183,273
Perth--Wellington/Perth--Wellington,94,Mitchell,14,4,51,33,95,0,197,354
Perth--Wellington/Perth--Wellington,95,Mitchell,7,12,32,22,74,1,148,295
Perth--Wellington/Perth--Wellington,96,Fullarton,6,6,47,19,80,2,160,267
Perth--Wellington/Perth--Wellington,97,Hibbert,11,8,70,24,83,1,197,333
Perth--Wellington/Perth--Wellington,98,Hibbert,4,5,60,21,107,1,198,324
Perth--Wellington/Perth--Wellington,99,Hibbert,7,1,42,18,66,0,134,238
Perth--Wellington/Perth--Wellington,100,Fullarton,18,11,67,41,123,0,260,435
Perth--Wellington/Perth--Wellington,101,Fullarton,4,13,24,14,80,0,135,241
Perth--Wellington/Perth--Wellington,102,Ellice,7,5,48,20,65,0,145,212
Perth--Wellington/Perth--Wellington,103,Ellice,15,3,31,23,97,2,171,285
Perth--Wellington/Perth--Wellington,104,Ellice,6,11,55,23,93,1,189,382
Perth--Wellington/Perth--Wellington,105,Ellice,7,0,53,14,90,0,164,229
Perth--Wellington/Perth--Wellington,106,Sebringville,1,1,16,23,22,0,63,100
Perth--Wellington/Perth--Wellington,107,Ellice,14,4,81,35,105,1,240,402
Perth--Wellington/Perth--Wellington,108,Ellice,8,6,40,30,90,0,174,373
Perth--Wellington/Perth--Wellington,109,North Easthope,11,1,45,20,56,0,133,230
Perth--Wellington/Perth--Wellington,110,North Easthope,10,6,71,25,71,1,184,283
Perth--Wellington/Perth--Wellington,111,North Easthope,12,1,48,9,56,1,127,211
Perth--Wellington/Perth--Wellington,112,South Easthope,21,2,76,35,112,0,246,402
Perth--Wellington/Perth--Wellington,113,North Easthope,8,2,68,17,104,1,200,325
Perth--Wellington/Perth--Wellington,114,North Easthope,15,7,57,14,53,0,146,285
Perth--Wellington/Perth--Wellington,115,South Easthope,15,1,73,35,117,0,241,399
