District,Poll Number,Poll Name,Gary Dale,Tim Dobson,Dan McTeague,Matthew Pollesel,Rejected Ballots,Total Vote,Electors
Pickering--Scarborough East/Pickering--Scarborough-Est,1,Pickering,34,76,166,11,0,287,505
Pickering--Scarborough East/Pickering--Scarborough-Est,2,Pickering,27,41,96,11,1,176,427
Pickering--Scarborough East/Pickering--Scarborough-Est,3,Pickering,39,52,112,10,0,213,457
Pickering--Scarborough East/Pickering--Scarborough-Est,4,Pickering,36,58,94,14,0,202,394
Pickering--Scarborough East/Pickering--Scarborough-Est,5,Pickering,20,76,111,11,1,219,396
Pickering--Scarborough East/Pickering--Scarborough-Est,6,Pickering,38,50,127,11,2,228,477
Pickering--Scarborough East/Pickering--Scarborough-Est,7,Pickering,18,42,107,10,1,178,276
Pickering--Scarborough East/Pickering--Scarborough-Est,8,Pickering,27,45,81,10,1,164,525
Pickering--Scarborough East/Pickering--Scarborough-Est,9,Pickering,24,68,103,18,0,213,407
Pickering--Scarborough East/Pickering--Scarborough-Est,10,Pickering,46,66,87,15,0,214,359
Pickering--Scarborough East/Pickering--Scarborough-Est,11,Pickering,34,73,91,14,1,213,366
Pickering--Scarborough East/Pickering--Scarborough-Est,12,Pickering,22,61,124,12,3,222,479
Pickering--Scarborough East/Pickering--Scarborough-Est,13,Pickering,31,66,89,15,1,202,369
Pickering--Scarborough East/Pickering--Scarborough-Est,14,Pickering,53,119,108,11,0,291,464
Pickering--Scarborough East/Pickering--Scarborough-Est,15,Pickering,39,80,98,15,4,236,398
Pickering--Scarborough East/Pickering--Scarborough-Est,16,Pickering,18,49,90,5,0,162,296
Pickering--Scarborough East/Pickering--Scarborough-Est,17,Pickering,32,111,174,11,0,328,490
Pickering--Scarborough East/Pickering--Scarborough-Est,18,Pickering,15,48,74,12,1,150,253
Pickering--Scarborough East/Pickering--Scarborough-Est,19,Pickering,17,66,150,11,1,245,403
Pickering--Scarborough East/Pickering--Scarborough-Est,20,Pickering,29,65,110,15,0,219,377
Pickering--Scarborough East/Pickering--Scarborough-Est,21,Pickering,20,88,176,8,2,294,458
Pickering--Scarborough East/Pickering--Scarborough-Est,22,Pickering,43,115,182,22,3,365,585
Pickering--Scarborough East/Pickering--Scarborough-Est,23,Pickering,18,91,129,6,3,247,446
Pickering--Scarborough East/Pickering--Scarborough-Est,24,Pickering,35,79,139,11,0,264,439
Pickering--Scarborough East/Pickering--Scarborough-Est,25,Pickering,38,80,174,14,2,308,465
Pickering--Scarborough East/Pickering--Scarborough-Est,26,Pickering,32,68,123,10,1,234,401
Pickering--Scarborough East/Pickering--Scarborough-Est,27,Pickering,33,81,143,14,3,274,453
Pickering--Scarborough East/Pickering--Scarborough-Est,28,Pickering,22,72,110,10,1,215,349
Pickering--Scarborough East/Pickering--Scarborough-Est,29,Pickering,30,50,105,2,0,187,367
Pickering--Scarborough East/Pickering--Scarborough-Est,30,Pickering,41,93,139,10,0,283,500
Pickering--Scarborough East/Pickering--Scarborough-Est,31A,Pickering,26,41,80,8,0,155,280
Pickering--Scarborough East/Pickering--Scarborough-Est,31B,Pickering,29,35,82,7,1,154,266
Pickering--Scarborough East/Pickering--Scarborough-Est,32,Pickering,30,62,123,4,1,220,367
Pickering--Scarborough East/Pickering--Scarborough-Est,33,Pickering,20,44,87,9,3,163,303
Pickering--Scarborough East/Pickering--Scarborough-Est,34,Pickering,33,73,107,8,0,221,377
Pickering--Scarborough East/Pickering--Scarborough-Est,35,Pickering,30,72,107,14,1,224,438
Pickering--Scarborough East/Pickering--Scarborough-Est,36,Pickering,38,68,92,11,0,209,359
Pickering--Scarborough East/Pickering--Scarborough-Est,37,Pickering,21,87,112,12,0,232,368
Pickering--Scarborough East/Pickering--Scarborough-Est,38,Pickering,34,80,120,9,2,245,381
Pickering--Scarborough East/Pickering--Scarborough-Est,39,Pickering,39,89,131,13,0,272,382
Pickering--Scarborough East/Pickering--Scarborough-Est,40,Pickering,17,52,55,7,0,131,241
Pickering--Scarborough East/Pickering--Scarborough-Est,41,Pickering,47,95,157,11,2,312,519
Pickering--Scarborough East/Pickering--Scarborough-Est,42,Pickering,20,74,100,12,1,207,317
Pickering--Scarborough East/Pickering--Scarborough-Est,43,Pickering,19,117,154,8,0,298,499
Pickering--Scarborough East/Pickering--Scarborough-Est,44,Pickering,22,61,145,12,2,242,391
Pickering--Scarborough East/Pickering--Scarborough-Est,45,Pickering,28,111,182,14,3,338,500
Pickering--Scarborough East/Pickering--Scarborough-Est,46,Pickering,32,75,189,19,2,317,492
Pickering--Scarborough East/Pickering--Scarborough-Est,47,Pickering,17,82,172,11,0,282,485
Pickering--Scarborough East/Pickering--Scarborough-Est,48,Pickering,24,56,122,8,1,211,331
Pickering--Scarborough East/Pickering--Scarborough-Est,49,Pickering,10,48,61,9,0,128,234
Pickering--Scarborough East/Pickering--Scarborough-Est,50,Pickering,23,87,162,19,2,293,442
Pickering--Scarborough East/Pickering--Scarborough-Est,51,Pickering,26,85,153,16,1,281,495
Pickering--Scarborough East/Pickering--Scarborough-Est,52,Pickering,36,81,100,10,0,227,413
Pickering--Scarborough East/Pickering--Scarborough-Est,53,Pickering,14,71,119,11,0,215,355
Pickering--Scarborough East/Pickering--Scarborough-Est,54,Pickering,15,42,76,15,0,148,273
Pickering--Scarborough East/Pickering--Scarborough-Est,55,Pickering,27,60,112,11,2,212,361
Pickering--Scarborough East/Pickering--Scarborough-Est,56,Pickering,28,92,132,18,1,271,431
Pickering--Scarborough East/Pickering--Scarborough-Est,57,Pickering,35,98,133,10,1,277,427
Pickering--Scarborough East/Pickering--Scarborough-Est,58,Pickering,17,72,129,4,0,222,348
Pickering--Scarborough East/Pickering--Scarborough-Est,59,Pickering,26,102,202,11,4,345,505
