District,Poll Number,Poll Name,Andrew Faust,Tony J. Karadimas,Jim Karygiannis,D'Arcy Palmer,Wayne Yeechong,Rejected Ballots,Total Vote,Electors
Scarborough--Agincourt/Scarborough--Agincourt,1,Scarborough,39,12,196,39,4,3,293,523
Scarborough--Agincourt/Scarborough--Agincourt,2,Scarborough,27,7,119,14,6,0,173,308
Scarborough--Agincourt/Scarborough--Agincourt,3,Scarborough,42,6,198,19,4,0,269,555
Scarborough--Agincourt/Scarborough--Agincourt,4,Scarborough,62,10,236,20,4,3,335,640
Scarborough--Agincourt/Scarborough--Agincourt,5,Scarborough,39,6,171,24,1,1,242,471
Scarborough--Agincourt/Scarborough--Agincourt,6,Scarborough,81,4,196,28,6,3,318,582
Scarborough--Agincourt/Scarborough--Agincourt,7,Scarborough,48,5,174,31,8,4,270,457
Scarborough--Agincourt/Scarborough--Agincourt,8,Scarborough,47,5,151,22,2,0,227,430
Scarborough--Agincourt/Scarborough--Agincourt,9,Scarborough,32,8,135,19,4,2,200,351
Scarborough--Agincourt/Scarborough--Agincourt,10,Scarborough,35,4,120,24,4,1,188,334
Scarborough--Agincourt/Scarborough--Agincourt,11,Scarborough,40,3,139,16,2,0,200,367
Scarborough--Agincourt/Scarborough--Agincourt,12,Scarborough,52,3,176,14,1,2,248,500
Scarborough--Agincourt/Scarborough--Agincourt,13,Scarborough,32,8,194,21,9,1,265,493
Scarborough--Agincourt/Scarborough--Agincourt,14,Scarborough,51,2,176,19,4,1,253,478
Scarborough--Agincourt/Scarborough--Agincourt,15,Scarborough,54,9,249,41,7,0,360,709
Scarborough--Agincourt/Scarborough--Agincourt,16,Scarborough,31,2,114,33,7,1,188,511
Scarborough--Agincourt/Scarborough--Agincourt,17,Scarborough,31,16,185,17,8,0,257,506
Scarborough--Agincourt/Scarborough--Agincourt,18,Scarborough,27,9,186,15,4,3,244,494
Scarborough--Agincourt/Scarborough--Agincourt,19,Scarborough,38,8,130,12,5,3,196,405
Scarborough--Agincourt/Scarborough--Agincourt,20,Scarborough,58,2,160,30,15,0,265,466
