District,Poll Number,Poll Name,Bob Kilger,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots,Total Vote,Electors
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,1,Hallville,72,223,26,29,1,351,553
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,2,Hallville,67,184,33,22,0,306,473
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,3,Mountain,50,125,14,39,0,228,359
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,4,Mulloys,29,140,27,18,1,215,331
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,5,Pleasant Valley,75,188,26,36,0,325,475
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,6,South Mountain,88,205,28,42,0,363,530
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,7,Inkerman,48,149,19,20,0,236,378
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,8,Hainsville,49,129,20,16,0,214,365
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,9,Dixons Corners,23,115,5,3,0,146,253
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,10,Dundela,42,157,13,18,1,231,401
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,11,Haddo,8,30,5,5,1,49,120
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,12,Rowena,39,122,14,14,0,189,357
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,13,Broken Second,68,124,16,23,0,231,362
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,14,Iroquois,44,146,31,13,0,234,359
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,15,Iroquois,59,95,18,10,1,183,332
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,16,Iroquois,45,96,22,11,0,174,306
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,17,Matilda,84,193,13,16,1,307,466
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,18,Ormond,75,157,16,7,1,256,419
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,19,Morewood,45,111,19,9,0,184,283
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,20,Morewood,53,136,19,21,1,230,457
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,21,Annable Settlement,37,118,15,10,0,180,295
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,22,Winchester,57,150,12,17,0,236,337
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,23,Winchester,45,159,29,27,0,260,408
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,24,Winchester,63,169,29,26,2,289,440
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,25,Winchester,45,127,22,14,2,210,312
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,26,Winchester,83,171,30,30,0,314,400
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,27,The Ninth,9,26,2,9,0,46,230
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,28,Winchester Springs,67,125,28,13,1,234,412
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,29,Bethune Bush,51,134,12,16,0,213,321
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,30,Chesterville,29,118,18,17,2,184,342
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,31,Chesterville,78,151,22,15,1,267,464
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,32,Chesterville,51,118,20,31,1,221,405
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,33,Elma,44,122,19,20,2,207,307
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,34,Dunbar,47,160,24,38,2,271,396
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,35,Cahore,48,86,17,26,0,177,302
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,36,Crysler,112,86,19,53,4,274,416
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,37,Crysler,73,76,17,30,2,198,325
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,38,Berwick,48,122,11,64,1,246,400
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,39,Berwick,31,77,4,21,1,134,231
