District,Poll Number,Poll Name,Loftus Cuddy,Jim Harris,Jack Layton,Dennis Mills,Marcell Rodden,Scott Yee,Rejected Ballots,Total Vote,Electors
Toronto--Danforth/Toronto--Danforth,1,East York,30,13,71,118,0,0,2,234,390
Toronto--Danforth/Toronto--Danforth,2,East York,25,11,96,165,2,4,2,305,472
Toronto--Danforth/Toronto--Danforth,3,East York,22,12,98,132,0,3,1,268,443
Toronto--Danforth/Toronto--Danforth,4,East York,20,13,60,121,0,2,0,216,386
Toronto--Danforth/Toronto--Danforth,5,East York,23,7,74,88,0,2,1,195,399
Toronto--Danforth/Toronto--Danforth,6,East York,20,5,65,116,0,1,0,207,417
Toronto--Danforth/Toronto--Danforth,7,East York,15,16,68,87,0,0,4,190,385
Toronto--Danforth/Toronto--Danforth,8,East York,8,3,53,118,1,1,0,184,321
Toronto--Danforth/Toronto--Danforth,9,East York,16,3,56,55,0,0,0,130,243
Toronto--Danforth/Toronto--Danforth,10,East York,29,9,52,89,0,0,0,179,272
Toronto--Danforth/Toronto--Danforth,11,East York,18,12,74,98,2,0,1,205,471
Toronto--Danforth/Toronto--Danforth,12,East York,12,5,75,77,0,1,0,170,477
Toronto--Danforth/Toronto--Danforth,13,East York,12,5,41,79,1,0,5,143,246
Toronto--Danforth/Toronto--Danforth,14,East York,11,6,30,40,0,0,1,88,220
Toronto--Danforth/Toronto--Danforth,15,East York,11,8,43,64,0,0,3,129,392
Toronto--Danforth/Toronto--Danforth,16,East York,29,15,87,94,1,3,4,233,535
Toronto--Danforth/Toronto--Danforth,17,East York,22,5,76,76,0,3,3,185,399
Toronto--Danforth/Toronto--Danforth,18,East York,16,16,84,93,1,1,1,212,358
Toronto--Danforth/Toronto--Danforth,19,East York,32,11,67,114,0,2,0,226,432
Toronto--Danforth/Toronto--Danforth,20,East York,31,18,81,135,0,2,0,267,399
Toronto--Danforth/Toronto--Danforth,21,East York,32,14,77,129,0,3,5,260,417
Toronto--Danforth/Toronto--Danforth,22,East York,28,16,67,145,1,2,1,260,396
Toronto--Danforth/Toronto--Danforth,23,East York,20,14,57,120,0,2,4,217,372
Toronto--Danforth/Toronto--Danforth,24,East York,34,8,72,115,0,1,0,230,413
Toronto--Danforth/Toronto--Danforth,25,East York,19,6,62,128,0,1,0,216,381
Toronto--Danforth/Toronto--Danforth,26,East York,8,12,73,94,0,3,2,192,314
Toronto--Danforth/Toronto--Danforth,27,East York,26,11,78,137,1,3,1,257,397
Toronto--Danforth/Toronto--Danforth,28,East York,13,10,56,74,0,0,1,154,323
Toronto--Danforth/Toronto--Danforth,29,East York,15,3,40,103,0,0,0,161,334
Toronto--Danforth/Toronto--Danforth,30,East York,23,13,86,107,1,0,1,231,432
Toronto--Danforth/Toronto--Danforth,31,East York,13,9,70,101,1,1,0,195,359
Toronto--Danforth/Toronto--Danforth,32,East York,29,20,106,125,0,2,4,286,478
Toronto--Danforth/Toronto--Danforth,33,East York,5,5,55,102,0,0,1,168,265
Toronto--Danforth/Toronto--Danforth,34,East York,11,17,75,109,0,2,1,215,366
Toronto--Danforth/Toronto--Danforth,35,East York,12,8,136,110,0,0,0,266,446
Toronto--Danforth/Toronto--Danforth,36,East York,14,19,106,105,0,1,3,248,391
Toronto--Danforth/Toronto--Danforth,37,East York,14,22,91,123,0,4,1,255,413
Toronto--Danforth/Toronto--Danforth,38,East York,9,9,89,88,0,3,1,199,367
Toronto--Danforth/Toronto--Danforth,39,East York,5,3,58,75,0,0,0,141,354
Toronto--Danforth/Toronto--Danforth,40,East York,17,7,67,71,1,1,2,166,406
Toronto--Danforth/Toronto--Danforth,41,East York,6,3,33,48,0,0,0,90,223
Toronto--Danforth/Toronto--Danforth,42,East York,19,12,76,93,0,0,2,202,426
Toronto--Danforth/Toronto--Danforth,43,East York,9,4,55,77,0,0,2,147,352
Toronto--Danforth/Toronto--Danforth,44,East York,7,8,36,37,0,1,0,89,234
Toronto--Danforth/Toronto--Danforth,45,East York,21,3,70,86,0,0,0,180,407
Toronto--Danforth/Toronto--Danforth,46,East York,18,13,118,143,2,1,14,309,489
Toronto--Danforth/Toronto--Danforth,47,East York,15,2,64,84,0,0,1,166,328
Toronto--Danforth/Toronto--Danforth,48,East York,21,9,81,104,2,1,0,218,349
Toronto--Danforth/Toronto--Danforth,49,East York,11,15,98,96,0,1,0,221,374
Toronto--Danforth/Toronto--Danforth,50,East York,9,18,60,89,1,0,2,179,303
Toronto--Danforth/Toronto--Danforth,51,East York,19,10,69,127,0,0,0,225,353
Toronto--Danforth/Toronto--Danforth,52,East York,21,18,145,127,2,1,0,314,478
Toronto--Danforth/Toronto--Danforth,53,East York,14,11,85,108,0,2,3,223,387
Toronto--Danforth/Toronto--Danforth,54,East York,13,7,71,99,0,0,2,192,353
Toronto--Danforth/Toronto--Danforth,55,East York,12,13,65,118,0,0,4,212,354
Toronto--Danforth/Toronto--Danforth,56,East York,17,14,122,92,1,0,1,247,398
Toronto--Danforth/Toronto--Danforth,57,East York,8,17,103,93,1,1,2,225,396
Toronto--Danforth/Toronto--Danforth,58,Toronto,18,25,93,104,0,1,0,241,378
Toronto--Danforth/Toronto--Danforth,59,Toronto,15,11,104,83,1,1,0,215,321
Toronto--Danforth/Toronto--Danforth,60,Toronto,11,27,122,97,0,1,0,258,421
Toronto--Danforth/Toronto--Danforth,61,Toronto,4,14,95,101,0,1,1,216,347
Toronto--Danforth/Toronto--Danforth,62,Toronto,23,15,160,133,0,0,0,331,490
Toronto--Danforth/Toronto--Danforth,63,Toronto,16,10,101,109,1,0,1,238,371
Toronto--Danforth/Toronto--Danforth,64,Toronto,12,10,98,77,1,0,0,198,392
Toronto--Danforth/Toronto--Danforth,65,Toronto,8,13,98,79,0,1,0,199,373
Toronto--Danforth/Toronto--Danforth,66A,Toronto,8,10,101,70,0,1,0,190,333
Toronto--Danforth/Toronto--Danforth,66B,Toronto,12,12,84,84,0,1,2,195,346
Toronto--Danforth/Toronto--Danforth,67,Toronto,10,6,74,71,2,2,1,166,340
Toronto--Danforth/Toronto--Danforth,68,Toronto,11,25,126,105,0,2,2,271,440
Toronto--Danforth/Toronto--Danforth,69,Toronto,11,13,136,123,0,1,1,285,464
Toronto--Danforth/Toronto--Danforth,70,Toronto,3,19,95,116,0,2,0,235,358
Toronto--Danforth/Toronto--Danforth,71,Toronto,10,11,119,100,0,1,0,241,354
Toronto--Danforth/Toronto--Danforth,72,Toronto,18,5,131,103,0,0,0,257,355
Toronto--Danforth/Toronto--Danforth,73,Toronto,8,10,90,96,0,2,0,206,334
