District,Poll Number,Poll Name,Bill Archer,Bev Desjarlais,Ron Evans,C. David Nickarz,Rejected Ballots,Total Vote,Electors
Churchill/Churchill,1,Lac Brochet,2,5,170,1,2,180,433
Churchill/Churchill,2,Tadoule Lake,1,41,34,4,1,81,218
Churchill/Churchill,3,Churchill,23,95,38,8,3,167,340
Churchill/Churchill,4,Churchill,21,74,35,7,0,137,366
Churchill/Churchill,5,Brochet ,1,11,13,0,0,25,271
Churchill/Churchill,6,South Indian Lake,1,38,36,6,4,85,470
Churchill/Churchill,7,Lynn Lake,10,25,18,4,1,58,178
Churchill/Churchill,8A,Lynn Lake,Merged with No. 10,,,,,,34
Churchill/Churchill,8B,Lynn Lake,35,60,32,4,1,132,328
Churchill/Churchill,9,Pukatawagan ,2,69,130,2,3,206,711
Churchill/Churchill,10,Leaf Rapids,30,35,37,3,1,106,419
Churchill/Churchill,11,Nelson House ,0,36,19,2,1,58,234
Churchill/Churchill,12A,Nelson House ,1,87,52,2,4,146,418
Churchill/Churchill,12B,Nelson House ,2,60,30,0,0,92,461
Churchill/Churchill,13,Paint Lake,52,32,31,3,2,120,193
Churchill/Churchill,14,Wabowden,30,85,40,1,0,156,404
Churchill/Churchill,15,Thompson,28,67,42,9,1,147,325
Churchill/Churchill,16A,Thompson,20,59,52,1,0,132,341
Churchill/Churchill,16B,Thompson,25,75,32,3,3,138,337
Churchill/Churchill,17,Thompson,52,90,38,11,1,192,376
Churchill/Churchill,18,Thompson,59,117,45,9,1,231,418
Churchill/Churchill,19,Thompson,37,65,14,10,0,126,327
Churchill/Churchill,20,Thompson,29,79,33,6,1,148,289
Churchill/Churchill,21,Thompson,12,62,17,3,0,94,202
Churchill/Churchill,22,Thompson,28,78,28,5,2,141,318
Churchill/Churchill,23,Thompson,23,50,26,2,0,101,419
Churchill/Churchill,24,Thompson,20,64,30,9,0,123,294
Churchill/Churchill,25,Thompson,16,88,45,4,1,154,443
Churchill/Churchill,26,Thompson,4,36,28,1,0,69,269
Churchill/Churchill,27,Thompson,5,44,11,2,0,62,264
Churchill/Churchill,28,Thompson,34,91,27,6,0,158,405
Churchill/Churchill,29,Thompson,20,52,13,6,0,91,351
Churchill/Churchill,30,Thompson,33,97,33,11,0,174,433
Churchill/Churchill,31,Thompson,44,60,19,3,2,128,372
Churchill/Churchill,32,Thompson,25,52,17,4,0,98,198
Churchill/Churchill,33,Thompson,59,79,46,3,1,188,358
Churchill/Churchill,34,Thompson,41,95,40,9,1,186,436
Churchill/Churchill,35,Thompson,21,90,19,4,0,134,508
Churchill/Churchill,36,Thompson,23,67,27,4,4,125,371
Churchill/Churchill,37,Thompson,28,87,44,10,0,169,436
Churchill/Churchill,38,Thompson,23,37,17,5,0,82,362
Churchill/Churchill,39A,Cross Lake,Merged with No. 57,,,,,,333
Churchill/Churchill,39B,Thicket Portage,1,39,11,0,0,51,109
Churchill/Churchill,40,Pikwitonei,3,21,6,0,0,30,88
Churchill/Churchill,41,York Landing,1,57,47,0,0,105,225
Churchill/Churchill,42,Split Lake ,4,136,83,2,1,226,626
Churchill/Churchill,43,Split Lake ,2,84,58,3,0,147,339
Churchill/Churchill,44,Ilford,0,14,1,0,0,15,88
Churchill/Churchill,45,Gillam,39,68,29,5,0,141,351
Churchill/Churchill,46,Gillam,28,60,37,3,0,128,339
Churchill/Churchill,47,Fox Lake ,2,15,26,2,1,46,96
Churchill/Churchill,48,Shamattawa,1,21,84,0,1,107,461
Churchill/Churchill,49,Gods River,0,38,38,0,0,76,255
Churchill/Churchill,50,Gods Lake Narrows,0,11,5,0,0,16,77
Churchill/Churchill,51,Gods Lake Narrows,2,31,36,0,1,70,587
Churchill/Churchill,52,Oxford House ,1,22,44,0,1,68,326
Churchill/Churchill,53A,Oxford House ,2,26,31,1,0,60,368
Churchill/Churchill,53B,Oxford House ,3,19,32,0,3,57,393
Churchill/Churchill,54A,Cross Lake ,2,69,32,3,1,107,529
Churchill/Churchill,54B,Cross Lake ,2,77,34,0,0,113,408
Churchill/Churchill,55,Cross Lake ,0,164,53,2,1,220,316
Churchill/Churchill,56,Cross Lake ,0,68,28,1,0,97,289
Churchill/Churchill,57,Cross Lake ,3,164,63,2,0,232,437
Churchill/Churchill,58,Sherridon,1,12,6,2,0,21,78
Churchill/Churchill,59,Cranberry Portage,57,127,59,7,0,250,321
Churchill/Churchill,60,Cranberry Portage,Merged with No. 59,,,,,,190
Churchill/Churchill,61,Snow Lake,32,52,19,6,0,109,318
Churchill/Churchill,62,Snow Lake,36,48,18,6,0,108,326
Churchill/Churchill,63,Snow Lake,34,74,29,4,0,141,339
Churchill/Churchill,64,Flin Flon,44,96,28,10,1,179,394
Churchill/Churchill,65,Flin Flon,88,122,68,8,0,286,698
Churchill/Churchill,66,Flin Flon,39,144,31,7,1,222,572
Churchill/Churchill,67,Flin Flon,48,101,36,10,0,195,436
Churchill/Churchill,68,Flin Flon,50,69,39,16,0,174,365
Churchill/Churchill,69,Flin Flon,43,133,29,7,3,215,413
Churchill/Churchill,70,Flin Flon,42,103,22,10,1,178,337
Churchill/Churchill,71,Flin Flon,31,80,19,6,0,136,337
Churchill/Churchill,72,Flin Flon,21,58,9,3,1,92,210
Churchill/Churchill,73,Flin Flon,24,63,8,5,2,102,282
Churchill/Churchill,74,Flin Flon,30,80,20,4,1,135,365
Churchill/Churchill,75,Flin Flon,41,75,20,10,0,146,379
Churchill/Churchill,76,Wanless,34,57,22,9,0,122,214
Churchill/Churchill,77,Cormorant,9,63,12,4,0,88,261
Churchill/Churchill,78,Clearwater Lake,50,36,51,13,0,150,242
