District,Poll Number,Poll Name,David C. Andres,Lindy Clubb,Don Dewar,Walter Kolisnyk,Inky Mark,Rejected Ballots,Total Vote,Electors
Dauphin--Swan River/Dauphin--Swan River,1,Barrows,1,1,32,33,11,3,81,150
Dauphin--Swan River/Dauphin--Swan River,2,Mafeking,6,3,23,48,60,0,140,270
Dauphin--Swan River/Dauphin--Swan River,3,Pelican Rapids,2,5,35,97,7,0,146,397
Dauphin--Swan River/Dauphin--Swan River,4,Birch River,3,2,38,37,117,0,197,394
Dauphin--Swan River/Dauphin--Swan River,5,Birch River,2,1,27,43,57,2,132,257
Dauphin--Swan River/Dauphin--Swan River,6,Bowsman,0,5,19,48,132,0,204,329
Dauphin--Swan River/Dauphin--Swan River,7,Bowsman,3,2,12,44,91,2,154,293
Dauphin--Swan River/Dauphin--Swan River,8,Big Woody,3,2,1,41,66,0,113,197
Dauphin--Swan River/Dauphin--Swan River,9,Swan River,1,2,15,48,128,0,194,311
Dauphin--Swan River/Dauphin--Swan River,10,Swan River,0,5,44,85,124,0,258,468
Dauphin--Swan River/Dauphin--Swan River,11,Swan River,4,4,43,49,147,0,247,510
Dauphin--Swan River/Dauphin--Swan River,12,Swan River,1,4,45,62,200,1,313,481
Dauphin--Swan River/Dauphin--Swan River,13,Swan River,2,2,14,34,42,1,95,199
Dauphin--Swan River/Dauphin--Swan River,14,Swan River,1,4,37,61,92,1,196,439
Dauphin--Swan River/Dauphin--Swan River,15,Swan River,5,2,25,63,107,0,202,351
Dauphin--Swan River/Dauphin--Swan River,16,Swan River,1,3,28,57,117,3,209,409
Dauphin--Swan River/Dauphin--Swan River,17,Swan River,1,0,31,52,60,0,144,282
Dauphin--Swan River/Dauphin--Swan River,18,Swan River,3,9,24,31,133,1,201,353
Dauphin--Swan River/Dauphin--Swan River,19,Minitonas,6,2,16,12,110,0,146,224
Dauphin--Swan River/Dauphin--Swan River,20,Minitonas,8,2,28,76,178,1,293,454
Dauphin--Swan River/Dauphin--Swan River,21,Minitonas,2,3,24,51,137,1,218,353
Dauphin--Swan River/Dauphin--Swan River,22,Benito,0,3,14,33,73,0,123,210
Dauphin--Swan River/Dauphin--Swan River,23,Benito,1,6,22,53,98,1,181,382
Dauphin--Swan River/Dauphin--Swan River,24,Kenville,0,5,29,37,130,0,201,402
Dauphin--Swan River/Dauphin--Swan River,25,Durban,2,2,15,29,88,1,137,256
Dauphin--Swan River/Dauphin--Swan River,26,Duck Bay,1,0,107,52,5,0,165,339
Dauphin--Swan River/Dauphin--Swan River,27,Duck River,0,3,56,92,17,1,169,604
Dauphin--Swan River/Dauphin--Swan River,28A,Pine Creek 66A,0,1,10,14,2,0,27,67
Dauphin--Swan River/Dauphin--Swan River,28B,Pine Creek 66A,0,0,10,21,3,0,34,70
Dauphin--Swan River/Dauphin--Swan River,28C,Pine Creek 66A,1,0,8,22,1,1,33,53
Dauphin--Swan River/Dauphin--Swan River,29,Pine River,23,1,24,59,53,0,160,272
Dauphin--Swan River/Dauphin--Swan River,30,Winnipegosis,0,1,28,51,82,1,163,240
Dauphin--Swan River/Dauphin--Swan River,31,Winnipegosis,2,0,33,56,52,0,143,261
Dauphin--Swan River/Dauphin--Swan River,32,Winnipegosis,7,1,23,67,55,0,153,293
Dauphin--Swan River/Dauphin--Swan River,33,Mink Creek,19,5,20,69,73,0,186,262
Dauphin--Swan River/Dauphin--Swan River,34,Ethelbert,22,3,31,87,72,0,215,342
Dauphin--Swan River/Dauphin--Swan River,35,Ethelbert,15,2,11,64,68,1,161,257
Dauphin--Swan River/Dauphin--Swan River,36,San Clara,9,4,44,34,61,2,154,295
Dauphin--Swan River/Dauphin--Swan River,37,Zelena,3,8,22,21,79,1,134,245
Dauphin--Swan River/Dauphin--Swan River,38,Roblin,7,9,21,13,81,1,132,225
Dauphin--Swan River/Dauphin--Swan River,39,Roblin,1,4,14,40,59,2,120,266
Dauphin--Swan River/Dauphin--Swan River,40,Roblin,3,5,28,21,42,1,100,239
Dauphin--Swan River/Dauphin--Swan River,41,Roblin,6,8,40,46,134,0,234,510
Dauphin--Swan River/Dauphin--Swan River,42,Roblin,5,5,26,35,113,0,184,277
Dauphin--Swan River/Dauphin--Swan River,43,Roblin,1,5,31,35,91,2,165,250
Dauphin--Swan River/Dauphin--Swan River,44,Bield,4,1,10,20,47,0,82,254
Dauphin--Swan River/Dauphin--Swan River,45,Valley River 63A,0,7,15,23,6,0,51,90
Dauphin--Swan River/Dauphin--Swan River,46,Shell Valley,1,3,23,26,142,1,196,322
Dauphin--Swan River/Dauphin--Swan River,47,Birchview,1,4,24,58,89,0,176,293
Dauphin--Swan River/Dauphin--Swan River,48,Grandview,3,7,39,69,91,6,215,414
Dauphin--Swan River/Dauphin--Swan River,49,Grandview,5,4,31,79,83,0,202,298
Dauphin--Swan River/Dauphin--Swan River,50,Drifting River,2,2,13,41,92,0,150,254
Dauphin--Swan River/Dauphin--Swan River,51,Gilbert Plains,3,3,39,67,109,0,221,359
Dauphin--Swan River/Dauphin--Swan River,52,Gilbert Plains,3,2,15,50,97,1,168,242
Dauphin--Swan River/Dauphin--Swan River,53,Birchview,1,5,26,53,92,1,178,320
Dauphin--Swan River/Dauphin--Swan River,54,Ashville,1,7,26,38,93,0,165,276
Dauphin--Swan River/Dauphin--Swan River,55,Sifton,4,2,35,79,97,0,217,310
Dauphin--Swan River/Dauphin--Swan River,56,Valley River,1,2,35,39,92,4,173,284
Dauphin--Swan River/Dauphin--Swan River,57,Spruce Bluff,4,2,60,37,130,1,234,390
Dauphin--Swan River/Dauphin--Swan River,58,Eclipse,4,3,30,21,91,2,151,242
Dauphin--Swan River/Dauphin--Swan River,59,Eclipse,0,3,27,17,80,1,128,227
Dauphin--Swan River/Dauphin--Swan River,60,Keld,1,5,50,25,105,1,187,312
Dauphin--Swan River/Dauphin--Swan River,61,Ochre River,6,6,48,51,167,1,279,452
Dauphin--Swan River/Dauphin--Swan River,62,Dauphin,4,3,37,50,68,1,163,366
Dauphin--Swan River/Dauphin--Swan River,63,Dauphin,5,1,22,29,58,0,115,247
Dauphin--Swan River/Dauphin--Swan River,64,Dauphin,0,1,28,53,60,2,144,336
Dauphin--Swan River/Dauphin--Swan River,65,Dauphin,2,5,32,59,52,2,152,285
