District,Poll Number,Poll Name,Allister Cucksey,Don Kuhl,Brian Pallister,Marc Payette,David Reimer,Daren Van Den Bussche,Rejected Ballots,Total Vote,Electors
Portage--Lisgar/Portage--Lisgar,1,Sidney,1,14,180,3,2,11,1,212,344
Portage--Lisgar/Portage--Lisgar,2,Austin,0,14,172,6,9,14,1,216,454
Portage--Lisgar/Portage--Lisgar,3,Austin,1,4,161,2,9,12,2,191,268
Portage--Lisgar/Portage--Lisgar,4,MacGregor,0,48,224,2,7,35,3,319,597
Portage--Lisgar/Portage--Lisgar,5,MacGregor,0,26,118,2,3,18,1,168,227
Portage--Lisgar/Portage--Lisgar,6,Austin,0,7,98,1,4,10,0,120,248
Portage--Lisgar/Portage--Lisgar,7,Bagot,0,13,143,0,4,6,0,166,243
Portage--Lisgar/Portage--Lisgar,8,Worby,0,11,83,3,2,5,0,104,223
Portage--Lisgar/Portage--Lisgar,9,Lavenham,1,15,150,3,2,8,1,180,353
Portage--Lisgar/Portage--Lisgar,10,Macdonald,0,11,103,1,4,14,0,133,296
Portage--Lisgar/Portage--Lisgar,11,Oakland,0,35,135,2,11,24,0,207,445
Portage--Lisgar/Portage--Lisgar,12,High Bluff,0,16,104,3,2,15,0,140,231
Portage--Lisgar/Portage--Lisgar,13,Poplar Point,0,24,67,1,3,31,2,128,252
Portage--Lisgar/Portage--Lisgar,14,Edwin,0,16,63,1,1,9,1,91,160
Portage--Lisgar/Portage--Lisgar,15,Edwin,1,149,9,1,2,21,0,183,556
Portage--Lisgar/Portage--Lisgar,16,Edwin,0,13,68,3,1,8,1,94,228
Portage--Lisgar/Portage--Lisgar,17,Curtis Park,0,23,83,3,10,27,0,146,247
Portage--Lisgar/Portage--Lisgar,18,Curtis Park,0,11,73,2,4,13,0,103,188
Portage--Lisgar/Portage--Lisgar,19,High Bluff,1,44,167,2,16,17,0,247,502
Portage--Lisgar/Portage--Lisgar,20,Fort la Reine,3,37,116,4,12,37,2,211,359
Portage--Lisgar/Portage--Lisgar,21A,Curtis Park,0,17,82,3,11,21,0,134,299
Portage--Lisgar/Portage--Lisgar,21B,Curtis Park,0,26,69,1,5,20,0,121,271
Portage--Lisgar/Portage--Lisgar,22,Newton,0,24,101,0,5,14,1,145,254
Portage--Lisgar/Portage--Lisgar,23,Oakville,0,40,116,9,5,28,2,200,406
Portage--Lisgar/Portage--Lisgar,24,Oakville,0,21,103,4,12,9,0,149,232
Portage--Lisgar/Portage--Lisgar,25,Layland,0,11,121,4,4,3,1,144,347
Portage--Lisgar/Portage--Lisgar,26,Portage la Prairie,0,33,87,6,5,43,2,176,436
Portage--Lisgar/Portage--Lisgar,27,Portage la Prairie,0,27,114,2,14,54,0,211,385
Portage--Lisgar/Portage--Lisgar,28,Portage la Prairie,1,44,89,5,8,40,2,189,388
Portage--Lisgar/Portage--Lisgar,29,Portage la Prairie,1,37,79,7,10,50,0,184,402
Portage--Lisgar/Portage--Lisgar,30,Portage la Prairie,1,27,71,3,5,44,1,152,363
Portage--Lisgar/Portage--Lisgar,31,Portage la Prairie,7,5,6,2,1,7,7,35,407
Portage--Lisgar/Portage--Lisgar,32,Portage la Prairie,0,37,91,4,13,33,0,178,441
Portage--Lisgar/Portage--Lisgar,33,Portage la Prairie,0,25,75,2,15,20,1,138,415
Portage--Lisgar/Portage--Lisgar,34,Portage la Prairie,1,27,92,2,13,34,0,169,467
Portage--Lisgar/Portage--Lisgar,35,Portage la Prairie,1,40,103,3,13,28,0,188,417
Portage--Lisgar/Portage--Lisgar,36,Portage la Prairie,0,30,91,2,7,37,0,167,386
Portage--Lisgar/Portage--Lisgar,37,Portage la Prairie,0,22,78,7,4,30,1,142,331
Portage--Lisgar/Portage--Lisgar,38,Portage la Prairie,1,16,46,2,5,31,1,102,298
Portage--Lisgar/Portage--Lisgar,39,Portage la Prairie,1,23,88,3,6,27,1,149,332
Portage--Lisgar/Portage--Lisgar,40,Portage la Prairie,0,47,145,5,6,41,3,247,416
Portage--Lisgar/Portage--Lisgar,41,Portage la Prairie,1,33,117,3,10,32,1,197,371
Portage--Lisgar/Portage--Lisgar,42,Portage la Prairie,1,61,104,11,15,46,0,238,414
Portage--Lisgar/Portage--Lisgar,43,Portage la Prairie,1,30,91,4,3,30,0,159,341
Portage--Lisgar/Portage--Lisgar,44,Portage la Prairie,3,49,80,5,8,36,0,181,338
Portage--Lisgar/Portage--Lisgar,45,Portage la Prairie,1,48,140,7,9,39,0,244,497
Portage--Lisgar/Portage--Lisgar,46,Portage la Prairie,0,51,190,14,10,50,0,315,514
Portage--Lisgar/Portage--Lisgar,47,Portage la Prairie,0,40,143,14,4,24,0,225,363
Portage--Lisgar/Portage--Lisgar,48,Portage la Prairie,0,32,99,2,2,36,0,171,280
Portage--Lisgar/Portage--Lisgar,49,Portage la Prairie,0,59,121,8,3,12,0,203,321
Portage--Lisgar/Portage--Lisgar,50,Portage la Prairie,1,58,124,6,1,30,0,220,416
Portage--Lisgar/Portage--Lisgar,51,Reaburn,0,22,65,7,2,13,0,109,242
Portage--Lisgar/Portage--Lisgar,52,Rosser,1,74,115,8,2,27,2,229,357
Portage--Lisgar/Portage--Lisgar,53,St. François Xavier,0,38,81,8,0,21,0,148,224
Portage--Lisgar/Portage--Lisgar,54,St. Eustache,3,45,144,7,3,35,0,237,413
Portage--Lisgar/Portage--Lisgar,55,Elie,0,6,39,0,0,1,0,46,168
