District,Poll Number,Poll Name,Peter Epp,Janine G. Gibson,Vic Toews,Sarah Zaharia,Rejected Ballots,Total Vote,Electors
Provencher/Provencher,1A,Pine Falls,21,1,51,10,0,83,519
Provencher/Provencher,1B,Pine Falls,29,3,80,22,0,134,484
Provencher/Provencher,2A,Pine Falls,31,1,50,9,2,93,166
Provencher/Provencher,2B,Mobile poll/Bureau itinérant,Merged with No. 504,,,,,,11
Provencher/Provencher,3,Powerview,21,3,63,14,2,103,221
Provencher/Provencher,4,Powerview,37,10,84,19,0,150,308
Provencher/Provencher,5,St. Georges,72,6,143,31,2,254,428
Provencher/Provencher,6,Great Falls,49,6,89,38,0,182,312
Provencher/Provencher,7,St. Georges,16,1,84,12,0,113,223
Provencher/Provencher,8,Bissett,Void,,,,,,
Provencher/Provencher,9,Brightstone,45,5,107,25,1,183,302
Provencher/Provencher,10,Crescent Bay,66,10,163,42,0,281,462
Provencher/Provencher,11,Lac du Bonnet,34,9,96,24,1,164,287
Provencher/Provencher,12,Lac du Bonnet,82,4,155,30,1,272,491
Provencher/Provencher,13A,Riverland,82,10,228,45,0,365,577
Provencher/Provencher,13B,Riverland,82,6,217,47,0,352,577
Provencher/Provencher,14,Pointe du Bois,7,1,21,16,1,46,96
Provencher/Provencher,15,Seven Sisters Falls,79,16,201,45,1,342,575
Provencher/Provencher,16,Pinawa,114,5,101,14,0,234,416
Provencher/Provencher,17,Pinawa,135,15,158,36,3,347,565
Provencher/Provencher,18,Pinawa,102,7,138,12,0,259,334
Provencher/Provencher,19,Lac du Bonnet,19,6,46,12,0,83,140
Provencher/Provencher,20,Seddons Corner,30,9,87,25,0,151,255
Provencher/Provencher,21,Elma,20,4,82,14,1,121,271
Provencher/Provencher,22,Whitemouth,70,14,233,43,1,361,599
Provencher/Provencher,23,Whitemouth,Void,,,,,,
Provencher/Provencher,24,Falcon Lake,53,11,141,17,0,222,344
Provencher/Provencher,25,Prawda,36,3,47,16,0,102,182
Provencher/Provencher,26,Hadashville,23,9,129,23,0,184,308
Provencher/Provencher,27,Springfield,41,10,169,28,0,248,443
Provencher/Provencher,28,Oakbank,107,17,203,37,0,364,614
Provencher/Provencher,29,Oakbank,86,11,126,35,1,259,453
Provencher/Provencher,30,Oakbank,51,11,105,25,1,193,344
Provencher/Provencher,31,Oakbank,49,3,143,31,0,226,438
Provencher/Provencher,32,Oakbank,98,13,235,44,2,392,649
Provencher/Provencher,33,Hazelridge,42,5,134,42,0,223,396
Provencher/Provencher,34,Anola,79,14,170,49,1,313,502
Provencher/Provencher,35,Vivian,56,18,126,43,0,243,382
Provencher/Provencher,36,Ste. Rita,21,3,134,18,2,178,314
Provencher/Provencher,37,Anola,46,12,131,53,0,242,439
Provencher/Provencher,38,Anola,95,21,195,56,5,372,727
Provencher/Provencher,39,Anola,35,2,114,23,1,175,299
Provencher/Provencher,40,Dugald,85,17,203,46,2,353,739
Provencher/Provencher,41,Dugald,39,6,115,29,2,191,342
Provencher/Provencher,42,Dugald,48,5,91,19,0,163,323
Provencher/Provencher,43,Dugald,43,6,108,28,0,185,291
Provencher/Provencher,44,St. Adolphe,106,16,185,24,1,332,539
Provencher/Provencher,45,St. Adolphe,115,2,91,39,0,247,378
Provencher/Provencher,46,St. Adolphe,104,8,103,37,1,253,439
Provencher/Provencher,47,Glenlea,35,7,61,14,1,118,185
Provencher/Provencher,48,Ste. Agathe,160,6,101,19,2,288,398
Provencher/Provencher,49,Niverville,31,6,222,15,0,274,378
Provencher/Provencher,50,Niverville,42,11,316,7,6,382,568
Provencher/Provencher,51,Niverville,41,5,270,15,1,332,538
Provencher/Provencher,52,Niverville,33,2,190,7,1,233,462
Provencher/Provencher,53,New Bothwell,17,1,222,12,2,254,411
Provencher/Provencher,54,Oak Island Settlement,62,5,134,8,0,209,346
Provencher/Provencher,55,Ile des Chênes,70,8,121,36,1,236,457
Provencher/Provencher,56,Ile des Chênes,140,18,121,23,1,303,604
Provencher/Provencher,57,Ile des Chênes,94,6,110,33,1,244,429
Provencher/Provencher,58,Ile des Chênes,87,12,150,27,2,278,568
Provencher/Provencher,59,Lorette,56,6,81,19,0,162,264
Provencher/Provencher,60,Lorette,127,13,153,58,2,353,646
Provencher/Provencher,61,Lorette,81,8,71,27,1,188,329
Provencher/Provencher,62,Lorette,78,7,62,34,0,181,283
Provencher/Provencher,63,Lorette,Void,,,,,,
Provencher/Provencher,64,Lorette,79,8,130,47,0,264,565
Provencher/Provencher,65,Rosewood,59,13,157,37,2,268,483
Provencher/Provencher,66,Lorette,79,11,100,35,0,225,354
Provencher/Provencher,67,Landmark,59,9,288,29,2,387,654
Provencher/Provencher,68,Taché,52,3,171,13,2,241,385
Provencher/Provencher,69,Linden,19,4,131,8,0,162,259
Provencher/Provencher,70,Ste. Anne,32,3,93,7,0,135,354
Provencher/Provencher,71,Ste. Anne,49,5,41,8,1,104,205
Provencher/Provencher,72,Ste. Anne,106,11,103,18,2,240,511
Provencher/Provencher,73,Ste. Anne,96,3,63,15,2,179,403
Provencher/Provencher,74,Ste. Anne,137,6,55,17,4,219,387
Provencher/Provencher,75,Ste-Geneviève,128,24,137,60,2,351,718
Provencher/Provencher,76,Paradise Village,109,1,154,50,0,314,396
Provencher/Provencher,77,Ste. Anne,98,17,132,55,1,303,476
Provencher/Provencher,78,Richer,78,12,122,43,2,257,612
Provencher/Provencher,79,Ross,55,9,80,40,2,186,413
Provencher/Provencher,80,Sperling,6,2,94,19,0,121,207
Provencher/Provencher,81,Rosenort,6,0,156,3,4,169,267
Provencher/Provencher,82A,Rosenort,18,8,252,1,2,281,489
Provencher/Provencher,82B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,21
Provencher/Provencher,83,Aubigny,30,2,56,9,0,97,156
Provencher/Provencher,84,Morris,38,3,185,8,2,236,399
Provencher/Provencher,85,Lowe Farm,13,6,226,12,2,259,467
Provencher/Provencher,86,Morris,45,14,150,24,1,234,393
Provencher/Provencher,87,Morris,57,7,135,15,0,214,352
Provencher/Provencher,88,Morris,20,6,114,17,2,159,322
Provencher/Provencher,89,St. Jean Baptiste,77,5,67,7,2,158,253
Provencher/Provencher,90,St. Jean Baptiste,89,4,83,16,2,194,293
Provencher/Provencher,91,Roseau River Reserve,85,3,4,9,1,102,368
Provencher/Provencher,92,Letellier,79,7,82,18,4,190,329
Provencher/Provencher,93,Emerson,24,1,75,7,1,108,167
Provencher/Provencher,94,Emerson,82,10,137,34,0,263,416
Provencher/Provencher,95,Dominion City,38,5,230,18,0,291,545
Provencher/Provencher,96,Dufrost,29,3,80,9,0,121,174
Provencher/Provencher,97,Rat River Settlement,70,6,69,11,0,156,324
Provencher/Provencher,98,Otterburne,73,8,113,11,0,205,359
Provencher/Provencher,99,St-Pierre-Jolys,170,8,95,25,2,300,560
Provencher/Provencher,100,St-Pierre-Jolys,100,7,41,15,2,165,219
Provencher/Provencher,101,Saint-Malo,74,2,85,17,0,178,287
Provencher/Provencher,102,Saint-Malo,158,10,99,38,0,305,538
Provencher/Provencher,103,Saint-Malo,59,5,88,18,0,170,265
Provencher/Provencher,104,Ridgeville,21,5,94,7,0,127,246
Provencher/Provencher,105,Rosa,24,8,110,9,0,151,263
Provencher/Provencher,106,Stuartburn,33,8,139,11,1,192,303
Provencher/Provencher,107,Tolstoi,39,5,109,20,1,174,337
Provencher/Provencher,108,Vita,50,11,115,17,1,194,287
Provencher/Provencher,109,Vita,30,4,91,20,0,145,297
Provencher/Provencher,110,Zhoda,25,3,67,6,0,101,179
Provencher/Provencher,111,Pansy,12,4,106,8,0,130,192
Provencher/Provencher,112,Barkfield,32,4,208,6,0,250,360
Provencher/Provencher,113,Grunthal,20,9,263,6,1,299,626
Provencher/Provencher,114,Grunthal,13,4,160,10,0,187,277
Provencher/Provencher,115,Grunthal,18,4,193,5,0,220,308
Provencher/Provencher,116,Hochstadt,27,4,173,8,2,214,356
Provencher/Provencher,117,Kleefeld,25,9,285,12,0,331,565
Provencher/Provencher,118,Randolph,25,5,139,6,0,175,311
Provencher/Provencher,119,Mitchell,47,7,307,10,1,372,602
Provencher/Provencher,120,Mitchell,19,4,160,2,4,189,242
Provencher/Provencher,121,Hanover,19,4,174,8,1,206,483
Provencher/Provencher,122,Bristol,20,3,159,5,0,187,329
Provencher/Provencher,123,Sarto,14,4,150,8,0,176,323
Provencher/Provencher,124,Sarto,25,14,114,14,0,167,267
Provencher/Provencher,125,Friedensfeld,25,3,158,3,0,189,296
Provencher/Provencher,126,Steinbach,38,6,267,18,1,330,660
Provencher/Provencher,127,Blumenort,10,1,231,5,1,248,356
Provencher/Provencher,128,Blumenort,16,0,259,6,1,282,563
Provencher/Provencher,129,Giroux,62,9,123,14,1,209,362
Provencher/Provencher,130,La Broquerie,150,8,142,12,0,312,479
Provencher/Provencher,131,La Broquerie,156,6,118,8,0,288,474
Provencher/Provencher,132,Marchand,54,4,96,24,1,179,346
Provencher/Provencher,133A,Steinbach,32,4,192,5,0,233,453
Provencher/Provencher,133B,Mobile poll/Bureau itinérant,Merged with No. 501A,,,,,,96
Provencher/Provencher,134,Steinbach,26,9,157,10,1,203,401
Provencher/Provencher,135A,Steinbach,24,1,131,13,1,170,305
Provencher/Provencher,135B,Mobile poll/Bureau itinérant,Merged with No. 501B,,,,,,32
Provencher/Provencher,136A,Steinbach,19,2,137,9,0,167,376
Provencher/Provencher,136B,Mobile poll/Bureau itinérant,Merged with No. 501B,,,,,,43
Provencher/Provencher,137A,Steinbach,19,8,206,14,0,247,521
Provencher/Provencher,137B,Steinbach,41,3,189,5,1,239,464
Provencher/Provencher,138,Steinbach,31,2,149,8,0,190,317
Provencher/Provencher,139,Steinbach,27,2,112,7,2,150,233
Provencher/Provencher,140,Steinbach,32,4,132,6,0,174,327
Provencher/Provencher,141A,Steinbach,42,4,149,4,3,202,284
Provencher/Provencher,141B,Mobile poll/Bureau itinérant,Merged with No. 501B,,,,,,7
Provencher/Provencher,142,Steinbach,49,1,195,16,0,261,432
Provencher/Provencher,143A,Steinbach,27,5,151,8,1,192,277
Provencher/Provencher,143B,Mobile poll/Bureau itinérant,13,0,121,0,0,134,204
Provencher/Provencher,144,Steinbach,27,2,170,18,3,220,380
Provencher/Provencher,145,Steinbach,31,2,155,5,0,193,373
Provencher/Provencher,146,Steinbach,21,4,177,4,2,208,434
Provencher/Provencher,147,Steinbach,44,7,232,15,0,298,668
Provencher/Provencher,148,Steinbach,48,8,270,8,0,334,560
Provencher/Provencher,149,Woodridge,109,9,71,19,1,209,363
Provencher/Provencher,150,Sundown,24,5,97,10,0,136,195
Provencher/Provencher,151,Piney,21,13,87,10,1,132,229
Provencher/Provencher,152,Vassar,49,2,56,19,0,126,262
Provencher/Provencher,153,Sprague,43,6,110,12,0,171,301
Provencher/Provencher,154,Middleboro,34,4,50,10,0,98,186
Provencher/Provencher,500,Mobile poll/Bureau itinérant,12,1,35,1,1,50,61
Provencher/Provencher,501A,Mobile poll/Bureau itinérant,6,0,72,0,1,79,68
Provencher/Provencher,501B,Mobile poll/Bureau itinérant,9,0,38,3,1,51,84
Provencher/Provencher,502,Mobile poll/Bureau itinérant,9,2,15,3,1,30,51
Provencher/Provencher,503,Mobile poll/Bureau itinérant,13,3,12,6,1,35,57
Provencher/Provencher,504,Mobile poll/Bureau itinérant,16,4,14,12,0,46,53
Provencher/Provencher,600,Pine Falls--Powerview,20,2,84,7,0,113,
Provencher/Provencher,601,Pinawa--Lac du Bonnet,67,2,155,25,1,250,
Provencher/Provencher,602,Whitemouth--Reynolds,1,1,11,0,0,13,
Provencher/Provencher,603,Oakbank--Springfield,58,9,151,38,0,256,
Provencher/Provencher,604,Niverville--Ritchot,31,3,78,2,0,114,
