District,Poll Number,Poll Name,Anna-Celestrya Carr,Robert Eng,Robin (Pilar) Faye,Pat Martin,David Northcott,Douglas Edward Schweitzer,John M. Siedleski,Rejected Ballots,Total Vote,Electors
Winnipeg Centre/Winnipeg-Centre,1,Winnipeg,1,27,4,71,32,1,1,0,137,335
Winnipeg Centre/Winnipeg-Centre,2,Winnipeg,0,10,3,53,22,1,4,0,93,253
Winnipeg Centre/Winnipeg-Centre,3,Winnipeg,0,27,2,94,45,2,0,0,170,415
Winnipeg Centre/Winnipeg-Centre,4,Winnipeg,1,21,10,71,30,1,2,0,136,351
Winnipeg Centre/Winnipeg-Centre,5,Winnipeg,0,16,3,51,45,1,1,1,118,318
Winnipeg Centre/Winnipeg-Centre,6,Winnipeg,0,6,1,71,29,0,2,0,109,342
Winnipeg Centre/Winnipeg-Centre,7,Winnipeg,1,10,2,74,48,0,1,2,138,428
Winnipeg Centre/Winnipeg-Centre,8,Winnipeg,0,16,2,49,28,0,3,2,100,275
Winnipeg Centre/Winnipeg-Centre,9,Winnipeg,0,22,2,83,31,1,3,0,142,397
Winnipeg Centre/Winnipeg-Centre,10,Winnipeg,2,13,5,100,33,1,0,0,154,406
Winnipeg Centre/Winnipeg-Centre,11,Winnipeg,1,17,2,95,38,3,0,2,158,360
Winnipeg Centre/Winnipeg-Centre,12,Winnipeg,2,38,5,81,45,0,2,1,174,351
Winnipeg Centre/Winnipeg-Centre,13,Winnipeg,0,13,2,97,52,0,2,1,167,426
Winnipeg Centre/Winnipeg-Centre,14,Winnipeg,0,19,1,65,54,0,6,1,146,399
Winnipeg Centre/Winnipeg-Centre,15,Winnipeg,0,23,1,86,44,3,4,1,162,379
Winnipeg Centre/Winnipeg-Centre,16,Winnipeg,1,62,0,70,48,1,2,0,184,439
Winnipeg Centre/Winnipeg-Centre,17,Winnipeg,0,36,2,40,27,0,0,1,106,235
Winnipeg Centre/Winnipeg-Centre,18,Winnipeg,0,51,6,56,86,1,1,0,201,418
Winnipeg Centre/Winnipeg-Centre,19,Winnipeg,0,38,9,57,60,1,2,0,167,382
Winnipeg Centre/Winnipeg-Centre,20,Winnipeg,3,38,7,88,51,0,5,0,192,432
Winnipeg Centre/Winnipeg-Centre,21,Winnipeg,0,52,10,73,46,0,8,2,191,471
Winnipeg Centre/Winnipeg-Centre,22,Winnipeg,0,32,15,69,56,0,5,0,177,431
Winnipeg Centre/Winnipeg-Centre,23,Winnipeg,0,37,10,57,62,1,5,0,172,394
Winnipeg Centre/Winnipeg-Centre,24,Winnipeg,1,34,3,68,72,0,3,0,181,423
Winnipeg Centre/Winnipeg-Centre,25,Winnipeg,0,42,8,64,95,2,3,1,215,371
Winnipeg Centre/Winnipeg-Centre,26,Winnipeg,0,34,7,87,110,0,1,2,241,388
Winnipeg Centre/Winnipeg-Centre,27,Winnipeg,0,78,10,111,178,0,3,2,382,655
Winnipeg Centre/Winnipeg-Centre,28,Winnipeg,0,40,6,113,83,1,1,1,245,460
Winnipeg Centre/Winnipeg-Centre,29,Winnipeg,1,23,2,134,54,2,1,0,217,454
Winnipeg Centre/Winnipeg-Centre,30,Winnipeg,0,25,4,77,71,1,1,0,179,395
Winnipeg Centre/Winnipeg-Centre,31,Winnipeg,0,37,4,102,71,2,1,4,221,399
Winnipeg Centre/Winnipeg-Centre,32,Winnipeg,0,24,2,57,75,1,5,0,164,344
Winnipeg Centre/Winnipeg-Centre,33,Winnipeg,0,18,4,73,57,0,2,0,154,389
Winnipeg Centre/Winnipeg-Centre,34,Winnipeg,0,18,4,101,90,0,3,1,217,433
Winnipeg Centre/Winnipeg-Centre,35,Winnipeg,0,26,8,82,86,0,1,2,205,448
Winnipeg Centre/Winnipeg-Centre,36,Winnipeg,0,41,7,80,65,1,2,0,196,431
Winnipeg Centre/Winnipeg-Centre,37,Winnipeg,0,44,5,93,61,0,1,0,204,382
Winnipeg Centre/Winnipeg-Centre,38,Winnipeg,0,22,3,84,40,1,4,0,154,365
Winnipeg Centre/Winnipeg-Centre,39,Winnipeg,5,22,6,90,42,0,4,0,169,426
Winnipeg Centre/Winnipeg-Centre,40,Winnipeg,0,57,5,103,106,1,3,0,275,512
Winnipeg Centre/Winnipeg-Centre,41,Winnipeg,0,30,4,94,70,1,5,1,205,418
Winnipeg Centre/Winnipeg-Centre,42,Winnipeg,1,21,7,93,64,0,2,1,189,383
Winnipeg Centre/Winnipeg-Centre,43,Winnipeg,0,25,17,123,100,1,2,2,270,389
Winnipeg Centre/Winnipeg-Centre,44,Winnipeg,1,34,14,79,75,1,2,1,207,322
Winnipeg Centre/Winnipeg-Centre,45,Winnipeg,1,22,23,94,68,0,1,1,210,387
Winnipeg Centre/Winnipeg-Centre,46,Winnipeg,2,39,6,38,43,0,1,1,130,250
Winnipeg Centre/Winnipeg-Centre,47,Winnipeg,0,30,7,81,68,0,1,1,188,402
Winnipeg Centre/Winnipeg-Centre,48,Winnipeg,0,18,6,145,50,1,0,4,224,501
Winnipeg Centre/Winnipeg-Centre,49,Winnipeg,0,13,9,67,68,1,3,2,163,452
Winnipeg Centre/Winnipeg-Centre,50,Winnipeg,0,8,3,57,36,1,1,2,108,271
Winnipeg Centre/Winnipeg-Centre,51,Winnipeg,1,15,4,81,41,0,0,0,142,431
Winnipeg Centre/Winnipeg-Centre,52,Winnipeg,0,9,2,74,49,0,0,0,134,387
Winnipeg Centre/Winnipeg-Centre,53,Winnipeg,1,9,3,55,62,0,1,2,133,403
Winnipeg Centre/Winnipeg-Centre,54,Winnipeg,1,10,2,100,64,1,2,1,181,509
Winnipeg Centre/Winnipeg-Centre,55,Winnipeg,0,15,1,90,67,1,1,4,179,421
Winnipeg Centre/Winnipeg-Centre,56,Winnipeg,0,22,3,60,28,0,1,0,114,298
Winnipeg Centre/Winnipeg-Centre,57,Winnipeg,1,23,3,94,69,0,5,0,195,433
Winnipeg Centre/Winnipeg-Centre,58,Winnipeg,1,36,9,104,65,2,2,0,219,449
Winnipeg Centre/Winnipeg-Centre,59,Winnipeg,0,21,9,100,63,1,2,0,196,371
Winnipeg Centre/Winnipeg-Centre,60,Winnipeg,3,26,7,121,96,0,0,0,253,653
Winnipeg Centre/Winnipeg-Centre,61,Winnipeg,1,22,3,97,48,0,1,1,173,416
Winnipeg Centre/Winnipeg-Centre,62,Winnipeg,0,9,5,86,41,0,1,2,144,415
Winnipeg Centre/Winnipeg-Centre,63,Winnipeg,1,7,4,50,28,0,3,0,93,326
Winnipeg Centre/Winnipeg-Centre,64,Winnipeg,1,13,1,52,46,1,1,0,115,436
Winnipeg Centre/Winnipeg-Centre,65,Winnipeg,2,31,5,91,49,0,2,3,183,507
Winnipeg Centre/Winnipeg-Centre,66,Winnipeg,1,26,0,79,48,1,0,1,156,412
Winnipeg Centre/Winnipeg-Centre,67,Winnipeg,2,14,2,99,65,1,2,0,185,510
Winnipeg Centre/Winnipeg-Centre,68,Winnipeg,0,11,1,34,25,0,0,0,71,256
