District,Poll Number,Poll Name,Reg Alcock,Rod Bruinooge,Ron Cameron,Catherine Green,Jane MacDiarmid,Rejected Ballots,Total Vote,Electors
Winnipeg South/Winnipeg-Sud,1,Winnipeg,149,140,4,27,3,0,323,569
Winnipeg South/Winnipeg-Sud,2,Winnipeg,209,138,4,21,1,0,373,630
Winnipeg South/Winnipeg-Sud,3,Winnipeg,195,129,6,11,0,0,341,504
Winnipeg South/Winnipeg-Sud,4,Winnipeg,153,78,6,9,0,0,246,410
Winnipeg South/Winnipeg-Sud,5,Winnipeg,161,107,2,23,1,4,298,546
Winnipeg South/Winnipeg-Sud,6,Winnipeg,123,70,3,7,0,0,203,339
Winnipeg South/Winnipeg-Sud,7,Winnipeg,121,74,4,9,1,0,209,310
Winnipeg South/Winnipeg-Sud,8,Winnipeg,177,158,4,11,1,1,352,550
Winnipeg South/Winnipeg-Sud,9,Winnipeg,125,92,7,10,1,0,235,397
Winnipeg South/Winnipeg-Sud,10A,Winnipeg,124,131,8,26,0,1,290,417
Winnipeg South/Winnipeg-Sud,10B,Winnipeg,156,120,6,22,3,0,307,432
Winnipeg South/Winnipeg-Sud,11,Winnipeg,202,123,11,8,5,1,350,540
Winnipeg South/Winnipeg-Sud,12,Winnipeg,164,81,6,11,0,2,264,366
Winnipeg South/Winnipeg-Sud,13,Winnipeg,194,90,4,15,0,0,303,495
Winnipeg South/Winnipeg-Sud,14,Winnipeg,146,73,11,9,3,0,242,352
Winnipeg South/Winnipeg-Sud,15,Winnipeg,111,81,1,5,0,2,200,336
Winnipeg South/Winnipeg-Sud,16,Winnipeg,192,149,8,22,1,0,372,611
Winnipeg South/Winnipeg-Sud,17,Winnipeg,112,88,9,21,2,1,233,374
Winnipeg South/Winnipeg-Sud,18,Winnipeg,96,86,7,17,4,0,210,351
Winnipeg South/Winnipeg-Sud,19,Winnipeg,131,92,7,27,0,0,257,395
Winnipeg South/Winnipeg-Sud,20,Winnipeg,138,105,3,14,1,0,261,360
Winnipeg South/Winnipeg-Sud,21,Winnipeg,155,139,3,12,4,0,313,528
Winnipeg South/Winnipeg-Sud,22,Winnipeg,118,128,8,11,3,0,268,451
Winnipeg South/Winnipeg-Sud,23,Winnipeg,130,96,6,22,2,1,257,448
Winnipeg South/Winnipeg-Sud,24,Winnipeg,152,160,6,4,0,0,322,479
Winnipeg South/Winnipeg-Sud,25,Winnipeg,143,106,6,21,1,1,278,438
Winnipeg South/Winnipeg-Sud,26,Winnipeg,112,83,2,25,0,0,222,432
Winnipeg South/Winnipeg-Sud,27,Winnipeg,120,69,3,11,0,0,203,319
Winnipeg South/Winnipeg-Sud,28,Winnipeg,171,104,4,30,5,0,314,520
Winnipeg South/Winnipeg-Sud,29A,Winnipeg,143,94,8,21,0,1,267,406
Winnipeg South/Winnipeg-Sud,29B,Winnipeg,100,82,9,21,0,0,212,358
Winnipeg South/Winnipeg-Sud,30,Winnipeg,151,102,3,34,0,1,291,456
Winnipeg South/Winnipeg-Sud,31,Winnipeg,176,93,5,13,2,0,289,461
Winnipeg South/Winnipeg-Sud,32,Winnipeg,121,56,5,20,2,0,204,352
Winnipeg South/Winnipeg-Sud,33,Winnipeg,133,108,2,10,4,0,257,385
Winnipeg South/Winnipeg-Sud,34,Winnipeg,44,27,7,38,4,3,123,375
Winnipeg South/Winnipeg-Sud,35,Winnipeg,83,45,8,22,2,1,161,355
Winnipeg South/Winnipeg-Sud,36,Winnipeg,136,89,10,27,4,0,266,433
Winnipeg South/Winnipeg-Sud,37,Winnipeg,95,65,8,18,0,0,186,307
Winnipeg South/Winnipeg-Sud,38,Winnipeg,95,59,3,11,1,0,169,293
Winnipeg South/Winnipeg-Sud,39,Winnipeg,130,91,11,37,2,0,271,459
Winnipeg South/Winnipeg-Sud,40,Winnipeg,138,80,17,42,5,0,282,513
Winnipeg South/Winnipeg-Sud,41,Winnipeg,86,59,2,9,0,0,156,276
Winnipeg South/Winnipeg-Sud,42,Winnipeg,115,101,14,16,3,0,249,362
Winnipeg South/Winnipeg-Sud,43,Winnipeg,150,112,7,52,4,0,325,580
Winnipeg South/Winnipeg-Sud,44,Winnipeg,65,63,7,35,3,1,174,421
Winnipeg South/Winnipeg-Sud,45,Winnipeg,81,62,6,29,0,0,178,364
Winnipeg South/Winnipeg-Sud,46,Winnipeg,86,55,3,44,0,0,188,441
Winnipeg South/Winnipeg-Sud,47,Winnipeg,112,52,6,12,0,1,183,282
Winnipeg South/Winnipeg-Sud,48,Winnipeg,131,48,8,42,2,1,232,345
Winnipeg South/Winnipeg-Sud,49,Winnipeg,125,56,7,32,3,1,224,322
Winnipeg South/Winnipeg-Sud,50,Winnipeg,167,79,6,31,2,0,285,419
Winnipeg South/Winnipeg-Sud,51,Winnipeg,172,101,7,32,6,2,320,485
Winnipeg South/Winnipeg-Sud,52,Winnipeg,115,56,4,22,2,0,199,366
Winnipeg South/Winnipeg-Sud,53,Winnipeg,103,55,4,33,3,4,202,363
Winnipeg South/Winnipeg-Sud,54,Winnipeg,125,71,12,27,3,2,240,454
Winnipeg South/Winnipeg-Sud,55,Winnipeg,103,62,9,28,4,0,206,328
Winnipeg South/Winnipeg-Sud,56,Winnipeg,126,82,7,22,4,0,241,377
Winnipeg South/Winnipeg-Sud,57,Winnipeg,101,90,7,26,4,0,228,451
Winnipeg South/Winnipeg-Sud,58,Winnipeg,133,58,6,35,0,2,234,449
Winnipeg South/Winnipeg-Sud,59,Winnipeg,141,71,8,17,1,1,239,347
Winnipeg South/Winnipeg-Sud,60A,Winnipeg,85,68,4,15,0,1,173,156
Winnipeg South/Winnipeg-Sud,60B,Mobile poll/Bureau itinérant,Merged with No. 501,,,,,,,68
Winnipeg South/Winnipeg-Sud,61,Winnipeg,Merged with No. 60A,,,,,,,148
Winnipeg South/Winnipeg-Sud,62,Winnipeg,167,69,4,46,1,3,290,399
Winnipeg South/Winnipeg-Sud,63,Winnipeg,71,29,1,21,0,0,122,166
Winnipeg South/Winnipeg-Sud,64,Winnipeg,122,69,4,41,0,1,237,367
Winnipeg South/Winnipeg-Sud,65,Winnipeg,Void,,,,,,,
Winnipeg South/Winnipeg-Sud,66,Winnipeg,167,97,8,48,0,1,321,575
Winnipeg South/Winnipeg-Sud,67,Winnipeg,130,91,7,35,5,2,270,381
Winnipeg South/Winnipeg-Sud,68,Winnipeg,104,63,4,48,2,3,224,576
Winnipeg South/Winnipeg-Sud,69,Winnipeg,71,40,9,18,1,4,143,332
Winnipeg South/Winnipeg-Sud,70A,Winnipeg,58,32,6,24,0,0,120,327
Winnipeg South/Winnipeg-Sud,70B,Winnipeg,49,33,5,19,2,0,108,296
Winnipeg South/Winnipeg-Sud,71,Winnipeg,27,32,8,8,0,0,75,224
Winnipeg South/Winnipeg-Sud,72,Winnipeg,119,76,10,24,3,2,234,488
Winnipeg South/Winnipeg-Sud,73,Winnipeg,50,41,4,18,1,0,114,309
