District,Poll Number,Poll Name,Earl Cook,Al Ducharme,Marcella Gall,Jeremy Harrison,Rick Laliberte,Rejected Ballots,Total Vote,Electors
Churchill River/Rivière Churchill,1,Camsell Portage,1,3,0,1,5,1,11,21
Churchill River/Rivière Churchill,2,Uranium City,4,5,0,10,19,0,38,84
Churchill River/Rivière Churchill,3,Fond-du-Lac,6,63,1,3,17,3,93,373
Churchill River/Rivière Churchill,4,Stony Rapids,14,15,2,14,7,0,52,173
Churchill River/Rivière Churchill,5,Black Lake,5,60,0,2,7,1,75,306
Churchill River/Rivière Churchill,6,Black Lake,13,67,1,2,18,2,103,169
Churchill River/Rivière Churchill,7,Wollaston Lake,59,21,2,0,7,0,89,436
Churchill River/Rivière Churchill,8,Wollaston Lake,36,24,0,6,7,0,73,111
Churchill River/Rivière Churchill,9,Descharme Lake,1,2,0,0,4,0,7,7
Churchill River/Rivière Churchill,10,Turnor Lake,15,47,0,1,38,2,103,306
Churchill River/Rivière Churchill,11,La Loche,6,8,0,1,12,0,27,113
Churchill River/Rivière Churchill,12,La Loche,9,16,1,4,8,0,38,149
Churchill River/Rivière Churchill,13,La Loche,7,22,2,0,20,1,52,171
Churchill River/Rivière Churchill,14,La Loche,21,51,3,8,44,0,127,773
Churchill River/Rivière Churchill,15,La Loche Reserve--Clearwater River,11,62,1,1,17,1,93,247
Churchill River/Rivière Churchill,16,Garson Lake,2,8,0,0,6,1,17,57
Churchill River/Rivière Churchill,17,Kinoosao,7,0,0,0,7,0,14,24
Churchill River/Rivière Churchill,18,Southend,38,65,1,9,24,0,137,413
Churchill River/Rivière Churchill,19,Brabant Lake,5,10,1,5,0,1,22,55
Churchill River/Rivière Churchill,20,Missinipe--Grandmother's Bay,43,13,5,1,14,1,77,173
Churchill River/Rivière Churchill,21,Stanley Mission,31,56,1,1,30,0,119,218
Churchill River/Rivière Churchill,22,Stanley Mission,53,84,0,3,51,1,192,468
Churchill River/Rivière Churchill,23,Sucker River,42,40,2,2,8,3,97,183
Churchill River/Rivière Churchill,24,Hall Lake,18,14,1,1,8,0,42,170
Churchill River/Rivière Churchill,25A,La Ronge,11,11,4,17,2,0,45,373
Churchill River/Rivière Churchill,25B,La Ronge,19,15,4,30,3,0,71,393
Churchill River/Rivière Churchill,26,La Ronge,67,53,8,85,5,0,218,384
Churchill River/Rivière Churchill,27,La Ronge,65,47,6,57,5,2,182,424
Churchill River/Rivière Churchill,28,La Ronge,54,37,6,49,6,0,152,326
Churchill River/Rivière Churchill,29,Air Ronge--Bigstone,23,26,0,9,3,0,61,299
Churchill River/Rivière Churchill,30,Air Ronge,17,21,1,11,8,0,58,120
Churchill River/Rivière Churchill,31A,Air Ronge,27,27,4,34,7,0,99,302
Churchill River/Rivière Churchill,31B,Air Ronge,26,22,5,29,6,0,88,315
Churchill River/Rivière Churchill,32,Lac la Ronge 156,27,11,1,3,3,0,45,133
Churchill River/Rivière Churchill,33,Lac la Ronge 156,18,20,1,4,8,1,52,140
Churchill River/Rivière Churchill,34,Lac la Ronge 156,31,30,11,31,2,2,107,285
Churchill River/Rivière Churchill,35,Dillon,18,75,0,4,16,0,113,243
Churchill River/Rivière Churchill,36,Buffalo Narrows--Clearwater River 229,20,12,0,7,13,0,52,325
Churchill River/Rivière Churchill,37,Buffalo Narrows,10,4,0,2,3,0,19,44
Churchill River/Rivière Churchill,38,Buffalo Narrows,79,76,5,37,27,0,224,611
Churchill River/Rivière Churchill,39,Île-à-la-Crosse,27,25,2,7,28,2,91,279
Churchill River/Rivière Churchill,40,Île-à-la-Crosse,42,39,0,4,25,0,110,316
Churchill River/Rivière Churchill,41,Île-à-la-Crosse,30,36,0,5,33,0,104,228
Churchill River/Rivière Churchill,42,Patuanak,66,23,1,5,22,0,117,387
Churchill River/Rivière Churchill,43,Beauval,11,16,0,24,81,0,132,293
Churchill River/Rivière Churchill,44,Beauval,19,21,2,9,108,0,159,311
Churchill River/Rivière Churchill,45,Beauval,3,4,0,2,24,1,34,48
Churchill River/Rivière Churchill,46,Canoe Narrows,20,81,0,4,69,0,174,465
Churchill River/Rivière Churchill,47,Cole Bay,6,15,1,5,28,0,55,98
Churchill River/Rivière Churchill,48,Pinehouse,11,58,0,15,36,0,120,479
Churchill River/Rivière Churchill,49,Sandy Bay,23,15,0,8,61,0,107,164
Churchill River/Rivière Churchill,50,Sandy Bay,33,20,2,1,76,0,132,411
Churchill River/Rivière Churchill,51,Pelican Narrows,11,70,0,0,21,2,104,136
Churchill River/Rivière Churchill,52,Pelican Narrows,6,32,2,1,12,0,53,312
Churchill River/Rivière Churchill,53,Pelican Narrows,13,36,0,1,14,0,64,278
Churchill River/Rivière Churchill,54,Pelican Narrows,20,25,0,2,9,0,56,277
Churchill River/Rivière Churchill,55,Deschambault Lake,81,49,4,15,48,1,198,431
Churchill River/Rivière Churchill,56,Creighton,39,20,5,31,2,0,97,205
Churchill River/Rivière Churchill,57,Creighton,64,22,14,42,6,0,148,406
Churchill River/Rivière Churchill,58,Creighton,53,32,11,41,2,0,139,327
Churchill River/Rivière Churchill,59,Creighton,74,30,7,70,3,2,186,379
Churchill River/Rivière Churchill,60A,Denare Beach,37,24,4,52,3,0,120,282
Churchill River/Rivière Churchill,60B,Denare Beach,41,20,2,47,4,0,114,240
Churchill River/Rivière Churchill,61,Denare Beach,Merged with No. 60B,,,,,,,9
Churchill River/Rivière Churchill,62,Sturgeon Landing,0,11,1,1,1,0,14,32
Churchill River/Rivière Churchill,63,Pierceland,6,10,2,123,3,0,144,218
Churchill River/Rivière Churchill,64,Pierceland,37,38,5,161,7,1,249,621
Churchill River/Rivière Churchill,65,Beacon Hill,9,14,1,24,2,0,50,106
Churchill River/Rivière Churchill,66A,Goodsoil,39,34,6,140,2,1,222,395
Churchill River/Rivière Churchill,66B,Mobile poll/Bureau itinérant,Merged with No. 89B,,,,,,,2
Churchill River/Rivière Churchill,67,Goodsoil,18,15,3,79,1,0,116,210
Churchill River/Rivière Churchill,68,Mudie Lake,7,32,1,7,7,1,55,220
Churchill River/Rivière Churchill,69,Little Fishing Lake,3,20,1,33,2,0,59,170
Churchill River/Rivière Churchill,70,Makwa Lake,15,11,4,60,1,0,91,133
Churchill River/Rivière Churchill,71,Loon Lake,18,56,0,5,7,0,86,387
Churchill River/Rivière Churchill,72A,Loon Lake,40,17,3,70,5,0,135,283
Churchill River/Rivière Churchill,72B,Mobile poll/Bureau itinérant,Merged with No. 89B,,,,,,,8
Churchill River/Rivière Churchill,73,Barthel,14,7,3,57,1,0,82,135
Churchill River/Rivière Churchill,74,Makwa,9,13,5,112,1,0,140,231
Churchill River/Rivière Churchill,75,Dorintosh--Greig Lake,42,24,4,153,2,1,226,389
Churchill River/Rivière Churchill,76,Waterhen,14,91,0,3,26,0,134,337
Churchill River/Rivière Churchill,77,Green Lake,21,49,0,24,30,0,124,360
Churchill River/Rivière Churchill,78,Doré Lake,5,15,2,24,1,0,47,60
Churchill River/Rivière Churchill,79,Rapid View,15,15,9,175,1,0,215,350
Churchill River/Rivière Churchill,80,Four Corners,18,9,2,155,1,1,186,310
Churchill River/Rivière Churchill,81A,Flying Dust First Nation 105 (Meadow Lake 105),9,73,0,18,8,2,110,354
Churchill River/Rivière Churchill,81B,Flying Dust First Nation 105 (Meadow Lake 105),25,16,4,107,2,0,154,195
Churchill River/Rivière Churchill,82,Meadow Lake 105A,13,27,5,104,3,0,152,272
Churchill River/Rivière Churchill,83,Meadow Lake,29,27,3,106,8,1,174,524
Churchill River/Rivière Churchill,84,Meadow Lake,26,23,5,118,2,0,174,353
Churchill River/Rivière Churchill,85,Meadow Lake,19,32,4,96,5,2,158,346
Churchill River/Rivière Churchill,86,Meadow Lake,14,20,1,67,2,0,104,374
Churchill River/Rivière Churchill,87,Meadow Lake,13,14,0,32,3,0,62,259
Churchill River/Rivière Churchill,88,Meadow Lake,21,36,4,84,7,0,152,375
Churchill River/Rivière Churchill,89A,Meadow Lake,38,33,5,109,7,1,193,473
Churchill River/Rivière Churchill,89B,Mobile poll/Bureau itinérant,10,13,1,13,7,5,49,67
Churchill River/Rivière Churchill,90,Meadow Lake,12,18,0,76,2,0,108,179
Churchill River/Rivière Churchill,91,Meadow Lake,25,50,5,203,7,0,290,571
Churchill River/Rivière Churchill,92,Cabana,15,25,3,128,1,0,172,300
