District,Poll Number,Poll Name,Fiorindo Agi,Gary Anderson,Moe Kovatch,Tom Lukiwski,Larry Spencer,Rejected Ballots,Total Vote,Electors
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,1,Davidson Rural,2,38,13,100,31,0,184,239
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,2,Davidson,2,50,23,117,12,1,205,375
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,3,Davidson,2,47,19,92,18,0,178,273
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,4,Davidson,5,31,15,76,16,0,143,238
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,5,Craik Rural,7,57,18,133,22,0,237,336
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,6,Craik,5,78,25,103,13,2,226,363
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,7,Chamberlain,0,40,5,64,8,1,118,147
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,8,Simpson,6,44,31,111,10,0,202,308
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,9,Imperial Rural,2,34,15,62,7,1,121,169
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,10,Imperial,1,65,15,92,12,0,185,295
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,11,Liberty,1,27,23,50,9,1,111,172
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,12,Holdfast,2,61,16,60,11,0,150,196
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,13,Dilke,1,103,20,73,4,1,202,273
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,14,Nokomis Rural,1,25,12,59,6,1,104,132
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,15,Nokomis,2,45,63,168,20,1,299,394
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,16,Semans,6,41,64,88,8,0,207,320
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,17,Govan Rural,0,24,21,55,14,0,114,142
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,18,Govan,6,22,35,67,15,0,145,209
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,19,Duval,5,44,17,55,18,0,139,181
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,20,Havelock,0,45,20,42,0,0,107,146
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,21,Strasbourg,6,67,28,97,17,2,217,421
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,22,Strasbourg,1,55,25,70,4,0,155,248
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,23,Strasbourg Rural,1,42,25,66,7,0,141,211
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,24,Bulyea,5,60,46,72,8,0,191,247
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,25,Earl Grey,6,105,70,101,19,2,303,448
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,26,Silton,8,135,98,108,13,0,362,497
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,27,Tugaske,9,32,10,62,2,0,115,167
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,28,Eyebrow,1,40,40,118,28,0,227,375
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,29,Marquis,6,34,20,126,10,1,197,324
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,30,Tuxford,1,27,22,81,0,0,131,196
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,31,Craven,6,101,59,104,17,2,289,481
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,32,Bethune Rural,2,47,16,43,4,0,112,149
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,33,Bethune,3,157,34,49,5,1,249,347
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,34,Regina Beach,13,71,54,126,6,1,271,396
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,35A,Regina Beach,6,43,37,89,7,0,182,284
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,35B,Regina Beach,7,55,29,68,2,0,161,274
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,36,Buena Vista,8,93,53,102,5,0,261,408
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,37,Disley,2,93,20,79,5,0,199,303
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,38,Craven Rural,4,49,18,71,5,0,147,219
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,39,Lumsden,5,63,40,82,12,3,205,299
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,40,Lumsden,2,97,72,73,7,0,251,420
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,41A,Lumsden,6,71,51,40,8,1,177,288
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,41B,Lumsden,0,59,35,56,6,0,156,270
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,42,Condie,4,103,67,117,14,0,305,479
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,43,Valleyview,2,42,19,83,8,0,154,194
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,44,Grand Coulee,7,57,41,84,4,0,193,300
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,45A,Regina,0,44,51,32,2,0,129,263
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,45B,Regina,1,42,48,25,2,0,118,253
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,46,Regina,2,55,46,67,9,0,179,318
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,47,Regina,1,79,56,58,13,3,210,354
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,48,Regina,13,104,57,105,8,2,289,499
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,49,Regina,5,102,52,92,15,0,266,468
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,50,Regina,3,98,70,76,8,1,256,463
Regina--Lumsden--Lake Centre/Regina--Lumsden--Lake Centre,51,Regina,7,57,41,52,6,0,163,317
