District,Poll Number,Poll Name,Giorgio Cattabeni,Morgan DuFord,Steve Garland,Art Hanger,Dale Muti,Rejected Ballots,Total Vote,Electors
Calgary Northeast/Calgary-Nord-Est,1,Calgary,21,9,2,161,45,3,241,437
Calgary Northeast/Calgary-Nord-Est,1-1A,Calgary,2,2,0,71,18,0,93,151
Calgary Northeast/Calgary-Nord-Est,1-1B,Mobile poll/Bureau itinérant,Merged with No. 23B,,,,,,,22
Calgary Northeast/Calgary-Nord-Est,1-1C,Mobile poll/Bureau itinérant,Merged with No. 89B,,,,,,,62
Calgary Northeast/Calgary-Nord-Est,1-2,Calgary,Void,,,,,,,
Calgary Northeast/Calgary-Nord-Est,1-3,Calgary,24,7,7,174,22,2,236,434
Calgary Northeast/Calgary-Nord-Est,1-4,Calgary,Void,,,,,,,
Calgary Northeast/Calgary-Nord-Est,2A,Calgary,17,3,1,106,24,0,151,273
Calgary Northeast/Calgary-Nord-Est,2B,Calgary,23,6,4,102,30,1,166,308
Calgary Northeast/Calgary-Nord-Est,3,Calgary,13,14,0,131,32,0,190,370
Calgary Northeast/Calgary-Nord-Est,4A,Calgary,15,10,0,111,23,0,159,262
Calgary Northeast/Calgary-Nord-Est,4B,Calgary,16,6,0,102,25,0,149,299
Calgary Northeast/Calgary-Nord-Est,4-1,Calgary,Merged with No. 4-2,,,,,,,160
Calgary Northeast/Calgary-Nord-Est,4-2,Calgary,22,13,1,177,40,0,253,250
Calgary Northeast/Calgary-Nord-Est,5,Calgary,13,10,3,203,49,1,279,496
Calgary Northeast/Calgary-Nord-Est,6A,Calgary,19,11,0,149,41,1,221,350
Calgary Northeast/Calgary-Nord-Est,6B,Calgary,12,6,1,109,49,0,177,350
Calgary Northeast/Calgary-Nord-Est,7A,Calgary,15,12,2,100,22,0,151,278
Calgary Northeast/Calgary-Nord-Est,7B,Calgary,11,8,0,126,24,0,169,267
Calgary Northeast/Calgary-Nord-Est,8A,Calgary,11,7,1,110,20,0,149,293
Calgary Northeast/Calgary-Nord-Est,8B,Calgary,15,8,4,103,19,0,149,270
Calgary Northeast/Calgary-Nord-Est,9,Calgary,22,11,0,172,26,0,231,442
Calgary Northeast/Calgary-Nord-Est,10,Calgary,11,12,3,168,27,2,223,481
Calgary Northeast/Calgary-Nord-Est,11,Calgary,17,11,1,135,37,1,202,462
Calgary Northeast/Calgary-Nord-Est,12,Calgary,18,9,1,132,35,0,195,396
Calgary Northeast/Calgary-Nord-Est,13A,Calgary,11,9,1,109,22,1,153,282
Calgary Northeast/Calgary-Nord-Est,13B,Calgary,3,7,1,117,26,0,154,293
Calgary Northeast/Calgary-Nord-Est,14,Calgary,20,8,1,227,36,0,292,460
