District,Poll Number,Poll Name,Mark de Pelham,Daria Fox,Stephen J. Harper,Larry R. Heather,Darcy Kraus,Avalon Roberts,Rejected Ballots,Total Vote,Electors
Calgary Southwest/Calgary-Sud-Ouest,1,Calgary,2,19,107,0,18,46,0,192,384
Calgary Southwest/Calgary-Sud-Ouest,2,Calgary,4,14,181,0,18,49,0,266,370
Calgary Southwest/Calgary-Sud-Ouest,3,Calgary,3,18,139,0,17,27,0,204,310
Calgary Southwest/Calgary-Sud-Ouest,4,Calgary,1,18,201,3,21,32,0,276,381
Calgary Southwest/Calgary-Sud-Ouest,5,Calgary,2,20,169,1,25,44,0,261,391
Calgary Southwest/Calgary-Sud-Ouest,6,Calgary,3,12,158,0,14,34,0,221,315
Calgary Southwest/Calgary-Sud-Ouest,7,Calgary,1,14,213,2,36,69,0,335,464
Calgary Southwest/Calgary-Sud-Ouest,8,Calgary,2,13,151,1,12,50,0,229,343
Calgary Southwest/Calgary-Sud-Ouest,9,Calgary,3,11,134,2,27,34,3,214,315
Calgary Southwest/Calgary-Sud-Ouest,10,Calgary,2,5,193,2,29,51,0,282,401
Calgary Southwest/Calgary-Sud-Ouest,11,Calgary,2,13,142,0,24,48,2,231,376
Calgary Southwest/Calgary-Sud-Ouest,12,Calgary,3,5,189,0,23,54,0,274,384
Calgary Southwest/Calgary-Sud-Ouest,13,Calgary,2,10,195,1,47,44,0,299,414
Calgary Southwest/Calgary-Sud-Ouest,14,Calgary,1,3,185,0,10,57,0,256,391
Calgary Southwest/Calgary-Sud-Ouest,15,Calgary,2,12,167,1,19,58,0,259,404
Calgary Southwest/Calgary-Sud-Ouest,16,Calgary,1,15,202,2,18,71,0,309,492
Calgary Southwest/Calgary-Sud-Ouest,17,Calgary,0,10,151,0,10,31,0,202,343
Calgary Southwest/Calgary-Sud-Ouest,18,Calgary,5,10,171,0,20,51,1,258,401
Calgary Southwest/Calgary-Sud-Ouest,19,Calgary,2,9,114,4,23,43,1,196,397
Calgary Southwest/Calgary-Sud-Ouest,20,Calgary,3,7,164,0,18,55,0,247,400
Calgary Southwest/Calgary-Sud-Ouest,21,Calgary,1,16,159,0,36,59,0,271,414
Calgary Southwest/Calgary-Sud-Ouest,22,Calgary,2,15,170,2,35,93,1,318,487
Calgary Southwest/Calgary-Sud-Ouest,23,Calgary,3,13,124,2,18,43,1,204,430
Calgary Southwest/Calgary-Sud-Ouest,24,Calgary,1,6,138,1,14,36,0,196,292
Calgary Southwest/Calgary-Sud-Ouest,25,Calgary,0,11,137,0,12,51,2,213,362
Calgary Southwest/Calgary-Sud-Ouest,26,Calgary,2,8,213,1,16,55,1,296,435
Calgary Southwest/Calgary-Sud-Ouest,27,Calgary,1,1,180,1,10,56,2,251,369
Calgary Southwest/Calgary-Sud-Ouest,28,Calgary,3,5,122,2,7,34,2,175,320
Calgary Southwest/Calgary-Sud-Ouest,29,Calgary,1,9,104,1,3,47,0,165,293
Calgary Southwest/Calgary-Sud-Ouest,30,Calgary,1,13,162,1,11,69,0,257,402
Calgary Southwest/Calgary-Sud-Ouest,31,Calgary,6,16,185,3,30,65,1,306,450
Calgary Southwest/Calgary-Sud-Ouest,32,Calgary,2,11,192,2,14,65,0,286,419
Calgary Southwest/Calgary-Sud-Ouest,33,Calgary,2,10,169,0,19,52,0,252,425
Calgary Southwest/Calgary-Sud-Ouest,34,Calgary,2,8,163,0,19,49,1,242,406
Calgary Southwest/Calgary-Sud-Ouest,35,Calgary,2,8,97,0,7,21,0,135,262
Calgary Southwest/Calgary-Sud-Ouest,36,Calgary,2,15,149,1,21,39,0,227,351
Calgary Southwest/Calgary-Sud-Ouest,37,Calgary,1,14,125,1,10,34,1,186,318
Calgary Southwest/Calgary-Sud-Ouest,38,Calgary,1,5,211,0,13,53,0,283,450
Calgary Southwest/Calgary-Sud-Ouest,39,Calgary,1,13,206,0,15,57,0,292,398
Calgary Southwest/Calgary-Sud-Ouest,40,Calgary,2,11,176,0,16,49,0,254,375
Calgary Southwest/Calgary-Sud-Ouest,41,Calgary,4,6,95,1,7,42,0,155,381
Calgary Southwest/Calgary-Sud-Ouest,42,Calgary,5,11,72,0,13,22,0,123,261
Calgary Southwest/Calgary-Sud-Ouest,43,Calgary,2,6,66,0,9,24,0,107,316
Calgary Southwest/Calgary-Sud-Ouest,44,Calgary,1,13,79,1,7,27,2,130,236
Calgary Southwest/Calgary-Sud-Ouest,45,Calgary,2,19,107,1,14,38,1,182,274
Calgary Southwest/Calgary-Sud-Ouest,46,Calgary,5,21,113,1,15,37,8,200,360
Calgary Southwest/Calgary-Sud-Ouest,47,Calgary,3,15,87,1,9,29,1,145,348
Calgary Southwest/Calgary-Sud-Ouest,48,Calgary,2,16,100,1,20,32,0,171,364
Calgary Southwest/Calgary-Sud-Ouest,49,Calgary,Void,,,,,,,,
Calgary Southwest/Calgary-Sud-Ouest,50,Calgary,4,6,178,0,18,42,1,249,365
Calgary Southwest/Calgary-Sud-Ouest,51,Calgary,3,9,146,3,21,47,1,230,368
Calgary Southwest/Calgary-Sud-Ouest,52,Calgary,2,15,167,1,25,45,0,255,385
Calgary Southwest/Calgary-Sud-Ouest,53,Calgary,3,21,168,1,18,44,0,255,426
Calgary Southwest/Calgary-Sud-Ouest,54,Calgary,3,10,123,0,22,32,0,190,361
Calgary Southwest/Calgary-Sud-Ouest,55,Calgary,3,13,147,1,11,25,0,200,320
Calgary Southwest/Calgary-Sud-Ouest,56,Calgary,0,8,106,0,19,30,0,163,304
Calgary Southwest/Calgary-Sud-Ouest,57,Calgary,1,14,142,1,23,52,0,233,336
Calgary Southwest/Calgary-Sud-Ouest,58,Calgary,0,13,168,5,18,47,0,251,362
Calgary Southwest/Calgary-Sud-Ouest,59,Calgary,2,12,108,0,11,38,0,171,302
Calgary Southwest/Calgary-Sud-Ouest,60,Calgary,5,17,140,1,21,43,0,227,373
Calgary Southwest/Calgary-Sud-Ouest,61,Calgary,2,19,157,1,26,36,0,241,391
Calgary Southwest/Calgary-Sud-Ouest,62,Calgary,2,16,139,0,13,35,1,206,410
Calgary Southwest/Calgary-Sud-Ouest,63,Calgary,2,14,162,3,11,46,0,238,384
Calgary Southwest/Calgary-Sud-Ouest,64,Calgary,4,11,124,5,31,54,0,229,331
Calgary Southwest/Calgary-Sud-Ouest,65,Calgary,0,25,164,5,10,54,1,259,376
Calgary Southwest/Calgary-Sud-Ouest,66,Calgary,6,20,179,3,26,59,0,293,457
