District,Poll Number,Poll Name,John Baloun,Laurie Hawn,Lyle Kenny,Anne McLellan,Meghan McMaster,Peggy Morton,David J. Parker,Sean Tisdall,Rejected Ballots,Total Vote,Electors
Edmonton Centre/Edmonton-Centre,1,Edmonton,0,120,2,67,27,1,9,1,0,227,385
Edmonton Centre/Edmonton-Centre,2,Edmonton,1,96,3,73,25,0,7,5,0,210,427
Edmonton Centre/Edmonton-Centre,3,Edmonton,1,56,4,59,27,0,8,1,2,158,363
Edmonton Centre/Edmonton-Centre,4,Edmonton,2,122,5,119,25,0,18,0,0,291,434
Edmonton Centre/Edmonton-Centre,5,Edmonton,0,101,1,61,17,0,15,1,0,196,322
Edmonton Centre/Edmonton-Centre,6,Edmonton,0,76,3,73,38,0,10,2,1,203,394
Edmonton Centre/Edmonton-Centre,7,Edmonton,0,88,1,47,16,0,6,4,0,162,303
Edmonton Centre/Edmonton-Centre,8,Edmonton,1,120,4,100,20,0,11,0,2,258,442
Edmonton Centre/Edmonton-Centre,9,Edmonton,0,88,3,69,19,0,10,2,0,191,404
Edmonton Centre/Edmonton-Centre,10,Edmonton,0,36,2,37,21,0,5,3,1,105,318
Edmonton Centre/Edmonton-Centre,11,Edmonton,1,101,3,104,29,0,12,3,1,254,394
Edmonton Centre/Edmonton-Centre,12,Edmonton,0,88,3,50,10,0,10,2,0,163,318
Edmonton Centre/Edmonton-Centre,13,Edmonton,0,71,3,41,23,0,6,3,0,147,310
Edmonton Centre/Edmonton-Centre,14,Edmonton,0,69,3,62,30,0,10,2,1,177,370
Edmonton Centre/Edmonton-Centre,15,Edmonton,0,111,1,101,36,0,6,5,2,262,432
Edmonton Centre/Edmonton-Centre,16,Edmonton,1,85,3,94,19,0,18,1,2,223,421
Edmonton Centre/Edmonton-Centre,17,Edmonton,1,118,1,137,27,0,7,1,1,293,454
Edmonton Centre/Edmonton-Centre,18,Edmonton,0,57,1,35,17,0,5,0,0,115,371
Edmonton Centre/Edmonton-Centre,19A,Edmonton,1,67,5,94,20,0,13,0,3,203,244
Edmonton Centre/Edmonton-Centre,19B,Mobile poll/Bureau itinérant,Merged with No. 504,,,,,,,,,,124
Edmonton Centre/Edmonton-Centre,20,Edmonton,0,60,4,45,21,1,16,1,0,148,421
Edmonton Centre/Edmonton-Centre,21,Edmonton,1,61,4,50,19,0,11,2,2,150,414
Edmonton Centre/Edmonton-Centre,22,Edmonton,1,64,6,77,21,0,12,4,0,185,333
Edmonton Centre/Edmonton-Centre,23,Edmonton,0,50,2,55,21,0,10,2,0,140,358
Edmonton Centre/Edmonton-Centre,24,Edmonton,0,54,1,86,14,0,14,1,0,170,377
Edmonton Centre/Edmonton-Centre,25,Edmonton,0,81,3,89,21,0,11,5,0,210,384
Edmonton Centre/Edmonton-Centre,26,Edmonton,1,81,2,63,18,2,5,4,2,178,386
Edmonton Centre/Edmonton-Centre,27,Edmonton,2,70,3,63,18,0,7,4,1,168,335
Edmonton Centre/Edmonton-Centre,28,Edmonton,1,72,3,108,11,0,5,0,4,204,349
Edmonton Centre/Edmonton-Centre,29,Edmonton,4,102,1,151,13,0,8,1,1,281,378
Edmonton Centre/Edmonton-Centre,30,Edmonton,0,52,1,72,19,1,11,7,2,165,330
Edmonton Centre/Edmonton-Centre,31,Edmonton,1,56,3,62,15,0,6,0,0,143,283
Edmonton Centre/Edmonton-Centre,32,Edmonton,0,70,2,73,13,0,3,2,0,163,289
Edmonton Centre/Edmonton-Centre,33,Edmonton,0,72,0,58,25,0,12,4,0,171,393
Edmonton Centre/Edmonton-Centre,34,Edmonton,0,83,5,28,27,1,7,3,0,154,315
Edmonton Centre/Edmonton-Centre,35,Edmonton,2,92,2,70,26,1,9,6,2,210,436
Edmonton Centre/Edmonton-Centre,36,Edmonton,1,36,0,43,22,0,1,1,0,104,304
