District,Poll Number,Poll Name,John Bethel,Peter Goldring,Harlan Light,Ed Spronk,Janina Strudwick,Rejected Ballots,Total Vote,Electors
Edmonton East/Edmonton-Est,1,Edmonton,82,134,7,0,39,0,262,592
Edmonton East/Edmonton-Est,2,Edmonton,125,183,14,1,26,2,351,671
Edmonton East/Edmonton-Est,3A,Edmonton,85,49,1,2,10,0,147,356
Edmonton East/Edmonton-Est,3B,Edmonton,84,50,1,0,8,0,143,331
Edmonton East/Edmonton-Est,3-1,Edmonton,110,139,14,0,30,0,293,588
Edmonton East/Edmonton-Est,4,Edmonton,81,69,7,0,19,1,177,486
Edmonton East/Edmonton-Est,5,Edmonton,74,104,9,3,18,0,208,491
Edmonton East/Edmonton-Est,6,Edmonton,58,105,6,0,26,0,195,383
Edmonton East/Edmonton-Est,7,Edmonton,56,86,4,0,17,1,164,279
Edmonton East/Edmonton-Est,8,Edmonton,51,68,5,2,33,0,159,375
Edmonton East/Edmonton-Est,9,Edmonton,51,84,7,4,19,0,165,320
Edmonton East/Edmonton-Est,10,Edmonton,82,95,6,1,18,0,202,375
Edmonton East/Edmonton-Est,11,Edmonton,97,120,8,2,27,0,254,399
Edmonton East/Edmonton-Est,12,Edmonton,44,40,6,1,15,0,106,456
Edmonton East/Edmonton-Est,13,Edmonton,35,39,8,3,9,0,94,276
Edmonton East/Edmonton-Est,14,Edmonton,73,98,7,3,21,0,202,370
Edmonton East/Edmonton-Est,15,Edmonton,94,79,14,2,17,1,207,404
Edmonton East/Edmonton-Est,16,Edmonton,99,98,7,1,11,3,219,412
Edmonton East/Edmonton-Est,17,Edmonton,33,40,7,3,19,1,103,321
Edmonton East/Edmonton-Est,18,Edmonton,39,45,16,1,22,1,124,286
Edmonton East/Edmonton-Est,19,Edmonton,83,73,5,0,12,0,173,371
Edmonton East/Edmonton-Est,20,Edmonton,35,40,5,2,16,0,98,228
Edmonton East/Edmonton-Est,21,Edmonton,50,99,7,1,23,2,182,368
Edmonton East/Edmonton-Est,22,Edmonton,63,66,12,2,24,0,167,320
Edmonton East/Edmonton-Est,23A,Edmonton,91,70,6,2,19,1,189,425
Edmonton East/Edmonton-Est,23B,Edmonton,68,72,4,1,20,0,165,350
Edmonton East/Edmonton-Est,24,Edmonton,113,120,8,2,15,2,260,528
Edmonton East/Edmonton-Est,25,Edmonton,65,57,4,0,15,2,143,323
Edmonton East/Edmonton-Est,26,Edmonton,75,90,8,1,30,2,206,497
Edmonton East/Edmonton-Est,27A,Edmonton,64,92,9,1,23,0,189,339
Edmonton East/Edmonton-Est,27B,Edmonton,52,82,6,0,14,1,155,320
Edmonton East/Edmonton-Est,28,Edmonton,101,115,3,1,24,3,247,492
Edmonton East/Edmonton-Est,29,Edmonton,67,78,4,0,14,0,163,355
