District,Poll Number,Poll Name,Malcolm Azania,Debby Carlson,Dave Dowling,Kevan Hunter,Rahim Jaffer,Cameron Wakefield,Rejected Ballots,Total Vote,Electors
Edmonton--Strathcona/Edmonton--Strathcona,1,Edmonton,59,101,3,0,106,18,0,287,412
Edmonton--Strathcona/Edmonton--Strathcona,2,Edmonton,60,82,0,0,71,11,0,224,306
Edmonton--Strathcona/Edmonton--Strathcona,3,Edmonton,40,67,0,0,70,20,0,197,302
Edmonton--Strathcona/Edmonton--Strathcona,4,Edmonton,20,12,0,0,16,0,0,48,155
Edmonton--Strathcona/Edmonton--Strathcona,5,Edmonton,65,38,1,0,39,16,0,159,367
Edmonton--Strathcona/Edmonton--Strathcona,6,Edmonton,63,100,0,0,49,12,0,224,392
Edmonton--Strathcona/Edmonton--Strathcona,7,Edmonton,55,43,0,0,36,7,2,143,233
Edmonton--Strathcona/Edmonton--Strathcona,8,Edmonton,61,44,2,0,34,14,0,155,275
Edmonton--Strathcona/Edmonton--Strathcona,9,Edmonton,79,81,1,1,83,21,1,267,472
Edmonton--Strathcona/Edmonton--Strathcona,10,Edmonton,32,33,0,0,25,1,0,91,143
Edmonton--Strathcona/Edmonton--Strathcona,11,Edmonton,126,95,2,1,76,13,3,316,522
Edmonton--Strathcona/Edmonton--Strathcona,12,Edmonton,66,109,4,1,73,18,1,272,492
Edmonton--Strathcona/Edmonton--Strathcona,13,Edmonton,75,67,1,0,72,9,1,225,385
Edmonton--Strathcona/Edmonton--Strathcona,14,Edmonton,92,42,1,0,41,11,1,188,333
Edmonton--Strathcona/Edmonton--Strathcona,15,Edmonton,94,65,2,0,74,27,0,262,459
Edmonton--Strathcona/Edmonton--Strathcona,16,Edmonton,100,71,3,0,66,24,0,264,465
Edmonton--Strathcona/Edmonton--Strathcona,17,Edmonton,82,53,0,1,55,17,0,208,369
Edmonton--Strathcona/Edmonton--Strathcona,18,Edmonton,64,72,2,0,45,18,0,201,360
Edmonton--Strathcona/Edmonton--Strathcona,19,Edmonton,113,36,3,0,49,19,1,221,397
Edmonton--Strathcona/Edmonton--Strathcona,20,Edmonton,68,41,6,0,40,19,0,174,362
Edmonton--Strathcona/Edmonton--Strathcona,21,Edmonton,91,54,1,0,66,14,0,226,376
Edmonton--Strathcona/Edmonton--Strathcona,22,Edmonton,90,96,9,1,97,18,1,312,605
Edmonton--Strathcona/Edmonton--Strathcona,23,Edmonton,61,49,2,1,54,14,0,181,293
Edmonton--Strathcona/Edmonton--Strathcona,24,Edmonton,68,86,1,0,66,14,0,235,442
Edmonton--Strathcona/Edmonton--Strathcona,25,Edmonton,44,37,7,0,45,17,0,150,272
Edmonton--Strathcona/Edmonton--Strathcona,26,Edmonton,78,31,4,0,45,8,0,166,281
Edmonton--Strathcona/Edmonton--Strathcona,27,Edmonton,142,73,2,1,64,22,0,304,479
Edmonton--Strathcona/Edmonton--Strathcona,28,Edmonton,70,60,2,1,53,20,1,207,408
Edmonton--Strathcona/Edmonton--Strathcona,29,Edmonton,80,59,1,0,39,32,0,211,373
Edmonton--Strathcona/Edmonton--Strathcona,30,Edmonton,123,72,0,1,50,25,0,271,409
Edmonton--Strathcona/Edmonton--Strathcona,31,Edmonton,49,25,3,0,32,6,1,116,274
Edmonton--Strathcona/Edmonton--Strathcona,32,Edmonton,64,31,0,2,49,19,0,165,343
Edmonton--Strathcona/Edmonton--Strathcona,33,Edmonton,42,66,5,0,91,16,1,221,393
Edmonton--Strathcona/Edmonton--Strathcona,34,Edmonton,23,48,3,0,88,11,0,173,329
Edmonton--Strathcona/Edmonton--Strathcona,35,Edmonton,48,75,2,0,87,16,1,229,363
Edmonton--Strathcona/Edmonton--Strathcona,36,Edmonton,40,60,5,0,88,15,2,210,362
Edmonton--Strathcona/Edmonton--Strathcona,37,Edmonton,32,51,3,2,97,14,2,201,342
Edmonton--Strathcona/Edmonton--Strathcona,38,Edmonton,30,74,1,0,112,9,2,228,427
Edmonton--Strathcona/Edmonton--Strathcona,39,Edmonton,15,84,0,1,97,11,0,208,310
Edmonton--Strathcona/Edmonton--Strathcona,40,Edmonton,27,63,4,0,70,10,0,174,333
Edmonton--Strathcona/Edmonton--Strathcona,41,Edmonton,33,81,5,0,72,18,0,209,358
Edmonton--Strathcona/Edmonton--Strathcona,42,Edmonton,46,95,2,0,128,24,0,295,419
Edmonton--Strathcona/Edmonton--Strathcona,43,Edmonton,39,75,0,0,152,29,4,299,410
Edmonton--Strathcona/Edmonton--Strathcona,44,Edmonton,18,88,1,0,149,29,3,288,392
Edmonton--Strathcona/Edmonton--Strathcona,45,Edmonton,37,101,0,0,126,8,0,272,392
Edmonton--Strathcona/Edmonton--Strathcona,46,Edmonton,57,91,6,2,158,7,0,321,437
Edmonton--Strathcona/Edmonton--Strathcona,47,Edmonton,53,90,4,0,122,12,1,282,427
Edmonton--Strathcona/Edmonton--Strathcona,48,Edmonton,41,70,4,0,162,14,0,291,437
Edmonton--Strathcona/Edmonton--Strathcona,49,Edmonton,41,76,3,0,179,15,0,314,531
Edmonton--Strathcona/Edmonton--Strathcona,50,Edmonton,19,84,3,0,142,16,0,264,400
Edmonton--Strathcona/Edmonton--Strathcona,51,Edmonton,37,108,4,1,140,11,1,302,445
