District,Poll Number,Poll Name,Rick Casson,Erin Marie Matthews,Ken Nicol,Dustin Sobie,Melanee Thomas,Ken Vanden Broek,Rejected Ballots,Total Vote,Electors
Lethbridge/Lethbridge,1,Barons,139,9,25,2,18,1,0,194,375
Lethbridge/Lethbridge,2,Barons,34,3,12,0,6,3,0,58,297
Lethbridge/Lethbridge,3,Turin,68,6,18,0,14,3,0,109,222
Lethbridge/Lethbridge,4,Iron Springs,145,1,28,1,5,17,0,197,269
Lethbridge/Lethbridge,5,Keho,137,1,27,1,3,56,1,226,301
Lethbridge/Lethbridge,6,Nobleford,84,1,10,0,5,10,0,110,235
Lethbridge/Lethbridge,7,Nobleford,209,8,46,3,20,34,1,321,503
Lethbridge/Lethbridge,8,Monarch,160,5,18,2,16,39,0,240,322
Lethbridge/Lethbridge,9,Shaughnessy,199,7,39,6,13,44,1,309,474
Lethbridge/Lethbridge,10,Shaughnessy,140,5,23,3,15,16,0,202,360
Lethbridge/Lethbridge,11,Picture Butte,96,2,20,0,8,8,0,134,181
Lethbridge/Lethbridge,12,Picture Butte,238,3,42,3,17,15,1,319,505
Lethbridge/Lethbridge,13,Picture Butte,119,2,21,1,13,3,0,159,247
Lethbridge/Lethbridge,14,Coalhurst,242,5,64,1,24,20,0,356,535
Lethbridge/Lethbridge,15,Coalhurst,297,13,61,8,42,29,4,454,878
Lethbridge/Lethbridge,16,Coalhurst,74,4,32,2,8,1,0,121,194
Lethbridge/Lethbridge,17,Sunnyside,99,2,27,4,12,11,0,155,205
Lethbridge/Lethbridge,18,Broxburn,116,1,29,4,4,7,0,161,181
Lethbridge/Lethbridge,19,Coaldale,171,5,25,3,13,33,0,250,377
Lethbridge/Lethbridge,20,Tempest,109,7,12,2,7,33,0,170,297
Lethbridge/Lethbridge,21,Barnwell South,2,0,0,0,0,1,0,3,199
Lethbridge/Lethbridge,22,Tempest,103,4,16,0,4,3,0,130,201
Lethbridge/Lethbridge,23,Wilson,136,3,25,2,10,10,0,186,291
Lethbridge/Lethbridge,24,Stewart,134,11,36,2,11,10,4,208,388
Lethbridge/Lethbridge,25,Coaldale,122,3,25,3,20,8,0,181,365
Lethbridge/Lethbridge,26,Coaldale,141,1,25,5,11,9,1,193,369
Lethbridge/Lethbridge,27,Coaldale,125,6,40,2,25,13,0,211,374
Lethbridge/Lethbridge,28,Coaldale,146,6,24,6,19,14,0,215,497
Lethbridge/Lethbridge,29,Coaldale,141,7,30,3,34,7,1,223,420
Lethbridge/Lethbridge,30,Coaldale,185,10,43,2,28,15,1,284,458
Lethbridge/Lethbridge,31,Coaldale,103,1,38,1,22,9,0,174,260
Lethbridge/Lethbridge,32,Coaldale,149,7,32,2,16,13,0,219,376
Lethbridge/Lethbridge,33,Coaldale,195,7,41,1,13,19,0,276,447
Lethbridge/Lethbridge,34,Coaldale,157,4,41,1,14,9,1,227,377
Lethbridge/Lethbridge,35,Coaldale,183,8,55,2,21,8,0,277,446
Lethbridge/Lethbridge,36,Lethbridge,138,10,44,8,33,3,0,236,441
Lethbridge/Lethbridge,37,Lethbridge,208,7,77,3,26,9,0,330,617
Lethbridge/Lethbridge,38,Lethbridge,306,19,92,1,33,11,2,464,788
Lethbridge/Lethbridge,39,Lethbridge,82,6,35,3,22,2,0,150,317
Lethbridge/Lethbridge,40,Lethbridge,162,4,53,1,32,5,0,257,474
Lethbridge/Lethbridge,41,Lethbridge,106,5,33,2,17,5,0,168,370
Lethbridge/Lethbridge,42,Lethbridge,100,3,21,7,18,3,0,152,323
Lethbridge/Lethbridge,43,Lethbridge,119,5,54,1,39,4,0,222,474
Lethbridge/Lethbridge,44,Lethbridge,97,1,47,2,20,4,0,171,307
Lethbridge/Lethbridge,45,Lethbridge,95,6,37,2,24,6,0,170,373
Lethbridge/Lethbridge,46,Lethbridge,78,7,24,2,21,3,0,135,300
Lethbridge/Lethbridge,47,Lethbridge,45,3,13,1,14,2,0,78,192
Lethbridge/Lethbridge,48,Lethbridge,83,6,43,4,26,7,0,169,337
Lethbridge/Lethbridge,49,Lethbridge,117,3,43,1,21,2,0,187,403
Lethbridge/Lethbridge,50,Lethbridge,92,2,64,1,32,6,0,197,404
Lethbridge/Lethbridge,51,Lethbridge,121,3,40,3,17,2,1,187,365
Lethbridge/Lethbridge,52,Lethbridge,93,4,43,6,25,1,1,173,387
Lethbridge/Lethbridge,53,Lethbridge,160,16,65,7,29,2,0,279,485
Lethbridge/Lethbridge,54,Lethbridge,134,4,60,2,25,4,1,230,424
Lethbridge/Lethbridge,55,Lethbridge,97,12,60,2,22,2,1,196,368
Lethbridge/Lethbridge,56,Lethbridge,69,2,26,2,8,5,2,114,202
Lethbridge/Lethbridge,57,Lethbridge,126,5,49,3,15,2,1,201,313
Lethbridge/Lethbridge,58,Lethbridge,107,10,53,1,23,2,3,199,327
Lethbridge/Lethbridge,59,Lethbridge,121,1,52,2,17,4,0,197,380
Lethbridge/Lethbridge,60,Lethbridge,140,7,79,5,28,5,0,264,469
Lethbridge/Lethbridge,61,Lethbridge,99,3,51,6,35,4,0,198,486
Lethbridge/Lethbridge,62,Lethbridge,111,7,47,5,26,1,0,197,403
Lethbridge/Lethbridge,63,Lethbridge,97,3,47,5,18,0,0,170,299
Lethbridge/Lethbridge,64,Lethbridge,71,4,42,1,19,2,0,139,252
Lethbridge/Lethbridge,65,Lethbridge,154,8,43,2,18,8,2,235,383
Lethbridge/Lethbridge,66,Lethbridge,115,4,45,1,10,3,1,179,366
Lethbridge/Lethbridge,67,Lethbridge,125,2,52,6,22,3,0,210,380
Lethbridge/Lethbridge,68,Lethbridge,141,7,69,1,22,8,4,252,407
Lethbridge/Lethbridge,69,Lethbridge,88,5,38,5,36,2,0,174,385
Lethbridge/Lethbridge,70,Lethbridge,114,6,53,11,29,5,0,218,466
Lethbridge/Lethbridge,71,Lethbridge,108,6,52,4,26,5,0,201,435
