District,Poll Number,Poll Name,Scott Fast,Tim Felger,Moe Gill,Karl Hann,Harold J. Ludwig,David MacKay,Randy White,Rejected Ballots,Total Vote,Electors
Abbotsford/Abbotsford,1,Abbotsford,42,3,36,19,2,0,163,1,266,449
Abbotsford/Abbotsford,2,Abbotsford,21,5,47,14,1,0,201,0,289,430
Abbotsford/Abbotsford,3,Abbotsford,25,4,29,7,4,0,153,0,222,348
Abbotsford/Abbotsford,4,Abbotsford,41,2,34,13,1,0,156,0,247,450
Abbotsford/Abbotsford,5,Abbotsford,15,2,45,13,2,0,178,0,255,396
Abbotsford/Abbotsford,6,Abbotsford,20,4,42,9,3,0,235,0,313,486
Abbotsford/Abbotsford,7,Abbotsford,28,1,86,10,6,0,292,0,423,621
Abbotsford/Abbotsford,8,Abbotsford,26,2,68,6,1,0,212,0,315,588
Abbotsford/Abbotsford,9,Abbotsford,37,2,166,6,3,1,84,5,304,679
Abbotsford/Abbotsford,10,Abbotsford,39,3,105,6,6,0,165,3,327,596
Abbotsford/Abbotsford,11,Abbotsford,53,6,114,6,4,0,175,4,362,659
Abbotsford/Abbotsford,12,Abbotsford,21,2,45,3,2,0,160,1,234,379
Abbotsford/Abbotsford,13,Abbotsford,47,3,75,8,4,0,156,1,294,474
Abbotsford/Abbotsford,14,Abbotsford,25,2,56,15,2,0,163,1,264,421
Abbotsford/Abbotsford,15,Abbotsford,38,2,86,6,6,0,308,2,448,722
Abbotsford/Abbotsford,16,Abbotsford,40,4,31,11,3,0,175,0,264,422
Abbotsford/Abbotsford,17,Abbotsford,22,1,37,4,3,0,124,0,191,329
Abbotsford/Abbotsford,18,Abbotsford,15,0,36,3,1,0,65,1,121,233
Abbotsford/Abbotsford,19,Abbotsford,16,2,58,10,3,1,91,0,181,352
Abbotsford/Abbotsford,20,Abbotsford,19,1,77,4,1,0,102,0,204,424
Abbotsford/Abbotsford,21,Abbotsford,22,0,23,2,3,0,139,2,191,377
Abbotsford/Abbotsford,22,Abbotsford,55,0,167,5,2,0,64,11,304,514
Abbotsford/Abbotsford,23,Abbotsford,36,4,34,13,0,0,128,1,216,412
Abbotsford/Abbotsford,24,Abbotsford,61,3,234,6,1,1,136,5,447,833
Abbotsford/Abbotsford,25,Abbotsford,38,0,131,4,3,0,100,12,288,587
Abbotsford/Abbotsford,26,Abbotsford,28,0,85,3,0,0,180,1,297,485
Abbotsford/Abbotsford,27,Abbotsford,62,1,155,2,3,0,147,7,377,767
Abbotsford/Abbotsford,28,Abbotsford,32,1,47,5,0,1,94,2,182,387
Abbotsford/Abbotsford,29,Abbotsford,45,0,73,4,0,0,235,1,358,535
Abbotsford/Abbotsford,30,Abbotsford,40,4,70,1,3,1,129,1,249,427
Abbotsford/Abbotsford,31,Abbotsford,22,3,53,1,0,0,99,3,181,378
Abbotsford/Abbotsford,32,Abbotsford,46,2,77,6,4,1,148,0,284,508
Abbotsford/Abbotsford,33,Abbotsford,17,1,50,5,3,0,190,1,267,435
Abbotsford/Abbotsford,34,Abbotsford,34,2,50,9,1,0,196,0,292,492
Abbotsford/Abbotsford,35,Abbotsford,29,0,44,1,1,0,64,0,139,252
Abbotsford/Abbotsford,36,Abbotsford,12,0,63,3,1,0,108,1,188,333
Abbotsford/Abbotsford,37,Abbotsford,24,0,46,2,2,0,172,1,247,365
Abbotsford/Abbotsford,38,Abbotsford,57,0,66,8,2,1,232,3,369,573
Abbotsford/Abbotsford,39,Abbotsford,32,1,21,5,4,0,164,0,227,397
Abbotsford/Abbotsford,40,Abbotsford,37,4,44,6,3,0,156,2,252,449
Abbotsford/Abbotsford,41,Abbotsford,30,0,49,7,10,0,292,0,388,561
Abbotsford/Abbotsford,42,Abbotsford,33,1,32,5,7,0,113,0,191,326
Abbotsford/Abbotsford,43,Abbotsford,57,1,42,7,4,1,127,0,239,521
Abbotsford/Abbotsford,44,Abbotsford,39,0,35,5,5,0,130,1,215,398
Abbotsford/Abbotsford,45,Abbotsford,28,2,29,8,3,0,61,0,131,244
Abbotsford/Abbotsford,46,Abbotsford,21,3,20,0,2,0,57,0,103,210
Abbotsford/Abbotsford,47,Abbotsford,29,0,17,6,4,0,74,0,130,278
Abbotsford/Abbotsford,48,Abbotsford,44,3,52,9,4,1,130,2,245,517
Abbotsford/Abbotsford,49,Abbotsford,23,0,37,2,1,0,153,0,216,336
Abbotsford/Abbotsford,50,Abbotsford,39,0,40,3,0,0,151,4,237,414
Abbotsford/Abbotsford,51,Abbotsford,22,0,25,3,1,0,65,1,117,190
Abbotsford/Abbotsford,52,Abbotsford,25,0,46,7,0,0,82,0,160,277
Abbotsford/Abbotsford,53,Abbotsford,30,1,52,10,11,1,227,0,332,533
Abbotsford/Abbotsford,54,Abbotsford,38,2,23,7,3,0,79,3,155,300
Abbotsford/Abbotsford,55,Abbotsford,21,1,31,7,2,0,129,0,191,362
Abbotsford/Abbotsford,56,Abbotsford,13,2,18,3,3,0,177,0,216,331
Abbotsford/Abbotsford,57,Abbotsford,26,0,35,7,3,0,161,1,233,405
Abbotsford/Abbotsford,58,Abbotsford,25,2,17,2,1,1,68,1,117,276
Abbotsford/Abbotsford,59,Abbotsford,24,1,23,8,5,3,88,0,152,354
Abbotsford/Abbotsford,60,Abbotsford,36,1,41,0,2,0,139,1,220,390
Abbotsford/Abbotsford,61,Abbotsford,28,3,38,6,1,0,122,0,198,414
Abbotsford/Abbotsford,62,Abbotsford,36,1,42,2,2,0,90,0,173,357
Abbotsford/Abbotsford,63,Abbotsford,12,1,20,0,3,0,54,0,90,155
Abbotsford/Abbotsford,64,Abbotsford,14,0,54,6,6,0,182,0,262,383
Abbotsford/Abbotsford,65,Abbotsford,16,0,32,1,4,0,155,0,208,261
Abbotsford/Abbotsford,66,Abbotsford,38,7,55,7,7,2,166,2,284,561
Abbotsford/Abbotsford,67,Abbotsford,19,3,15,1,2,0,78,0,118,215
Abbotsford/Abbotsford,68,Abbotsford,31,7,34,5,6,0,113,1,197,376
Abbotsford/Abbotsford,69,Abbotsford,31,1,42,5,2,0,122,0,203,336
Abbotsford/Abbotsford,70,Abbotsford,30,3,30,6,1,0,145,0,215,383
Abbotsford/Abbotsford,71,Abbotsford,9,0,34,7,0,0,81,0,131,234
Abbotsford/Abbotsford,72,Abbotsford,34,1,52,4,3,0,99,2,195,328
Abbotsford/Abbotsford,73,Abbotsford,31,1,49,10,12,0,127,0,230,392
Abbotsford/Abbotsford,74,Abbotsford,41,2,40,1,0,0,89,1,174,305
Abbotsford/Abbotsford,75,Abbotsford,34,2,22,6,6,0,99,0,169,321
Abbotsford/Abbotsford,76,Abbotsford,51,2,94,4,3,0,105,5,264,508
Abbotsford/Abbotsford,77,Abbotsford,29,3,52,10,8,0,156,0,258,440
Abbotsford/Abbotsford,78,Abbotsford,11,1,51,10,0,1,114,0,188,354
Abbotsford/Abbotsford,79,Abbotsford,11,0,35,5,0,0,93,0,144,263
Abbotsford/Abbotsford,80,Abbotsford,13,1,26,4,0,0,114,0,158,227
Abbotsford/Abbotsford,81,Abbotsford,64,0,74,13,2,0,238,0,391,702
Abbotsford/Abbotsford,82,Abbotsford,29,3,42,2,0,0,111,0,187,264
Abbotsford/Abbotsford,83,Abbotsford,39,4,21,7,3,0,130,0,204,372
Abbotsford/Abbotsford,84,Abbotsford,42,2,57,6,3,0,225,1,336,525
Abbotsford/Abbotsford,85,Abbotsford,9,0,30,1,3,0,68,0,111,150
Abbotsford/Abbotsford,86,Abbotsford,16,1,33,2,3,0,132,4,191,342
Abbotsford/Abbotsford,87,Abbotsford,39,1,50,10,5,3,220,0,328,528
Abbotsford/Abbotsford,88,Abbotsford,10,0,26,0,2,0,104,0,142,196
Abbotsford/Abbotsford,89,Abbotsford,47,0,53,2,3,1,232,0,338,454
Abbotsford/Abbotsford,90,Abbotsford,31,2,26,5,3,0,121,0,188,308
