District,Poll Number,Poll Name,Kevin Ade,Michael Cassidyne-Hook,Starleigh Grass,Vern Nielsen,Huguette Plourde,Werner Schmidt,Rejected Ballots,Total Vote,Electors
Kelowna/Kelowna,1,Carrs Landing,23,0,30,83,1,102,0,239,398
Kelowna/Kelowna,2,Oyama,21,0,37,60,2,126,0,246,451
Kelowna/Kelowna,3,Oyama,13,0,20,46,0,90,0,169,327
Kelowna/Kelowna,4,Oyama,36,3,39,71,1,126,1,277,506
Kelowna/Kelowna,5,Oyama,20,0,58,68,5,101,1,253,481
Kelowna/Kelowna,6,Okanagan Centre,58,2,43,81,3,149,0,336,543
Kelowna/Kelowna,7,Winfield,18,2,53,58,1,112,0,244,438
Kelowna/Kelowna,8,Winfield,18,0,41,27,5,76,0,167,380
Kelowna/Kelowna,9,Okanagan Centre,24,0,49,70,1,153,1,298,543
Kelowna/Kelowna,10,Winfield,27,1,44,47,2,89,1,211,435
Kelowna/Kelowna,11,Winfield,12,0,28,39,2,79,0,160,312
Kelowna/Kelowna,12,Winfield,0,0,0,0,0,0,0,0,116
Kelowna/Kelowna,13,Winfield,4,1,9,5,3,31,1,54,118
Kelowna/Kelowna,14A,Winfield,13,1,36,53,2,120,0,225,427
Kelowna/Kelowna,14B,Winfield,9,1,29,35,1,124,2,201,371
Kelowna/Kelowna,15,Winfield,2,0,4,5,1,19,0,31,90
Kelowna/Kelowna,16,Kelowna,26,1,56,53,9,127,0,272,487
Kelowna/Kelowna,17,Kelowna,35,2,35,80,0,110,0,262,451
Kelowna/Kelowna,18A,Kelowna,7,1,16,51,1,145,0,221,419
Kelowna/Kelowna,18B,Kelowna,14,0,17,43,0,102,0,176,347
Kelowna/Kelowna,19,Kelowna,16,2,32,112,2,163,0,327,545
Kelowna/Kelowna,20,Kelowna,17,1,44,46,2,137,1,248,487
Kelowna/Kelowna,21,Kelowna,10,0,18,37,1,70,0,136,315
Kelowna/Kelowna,22,Kelowna,38,0,47,44,2,69,1,201,325
Kelowna/Kelowna,23,Kelowna,12,0,38,83,0,135,1,269,388
Kelowna/Kelowna,24,Kelowna,24,0,50,96,2,178,0,350,624
Kelowna/Kelowna,25,Kelowna,12,0,18,82,0,106,1,219,395
Kelowna/Kelowna,26,Kelowna,16,0,45,123,3,175,0,362,624
Kelowna/Kelowna,27,Kelowna,13,1,51,69,3,127,0,264,386
Kelowna/Kelowna,28,Kelowna,10,1,48,43,0,83,0,185,363
Kelowna/Kelowna,29,Kelowna,5,0,16,27,3,71,1,123,237
Kelowna/Kelowna,30,Kelowna,17,1,41,48,4,144,0,255,528
Kelowna/Kelowna,31,Kelowna,21,3,41,62,2,128,0,257,439
Kelowna/Kelowna,32,Kelowna,33,1,37,70,1,93,0,235,490
Kelowna/Kelowna,33,Kelowna,26,0,31,32,3,50,1,143,277
Kelowna/Kelowna,34,Kelowna,27,1,31,105,2,158,0,324,525
Kelowna/Kelowna,35,Kelowna,34,1,60,110,1,137,0,343,551
Kelowna/Kelowna,36,Kelowna,20,1,38,60,0,120,0,239,374
Kelowna/Kelowna,37,Kelowna,24,0,54,92,1,134,1,306,460
Kelowna/Kelowna,38A,Kelowna,4,1,14,92,1,167,1,280,383
Kelowna/Kelowna,38B,Kelowna,6,1,29,67,1,128,0,232,323
Kelowna/Kelowna,39,Kelowna,21,1,49,86,1,156,0,314,543
Kelowna/Kelowna,40,Kelowna,23,2,69,110,1,152,1,358,682
Kelowna/Kelowna,41,Kelowna,9,1,32,43,3,98,0,186,290
Kelowna/Kelowna,42,Kelowna,12,1,46,42,1,102,0,204,360
Kelowna/Kelowna,43,Kelowna,13,1,22,61,1,156,1,255,424
Kelowna/Kelowna,44,Kelowna,10,0,13,40,0,68,0,131,238
Kelowna/Kelowna,45,Kelowna,13,1,53,53,4,100,0,224,498
Kelowna/Kelowna,46,Kelowna,17,3,53,50,3,90,1,217,455
Kelowna/Kelowna,47,Kelowna,18,2,71,43,1,119,0,254,519
Kelowna/Kelowna,48,Kelowna,9,1,50,62,5,90,1,218,497
Kelowna/Kelowna,49,Kelowna,14,2,57,73,1,164,3,314,593
Kelowna/Kelowna,50,Kelowna,13,0,40,62,2,86,0,203,463
Kelowna/Kelowna,51,Kelowna,9,1,45,53,0,71,1,180,369
Kelowna/Kelowna,52,Kelowna,15,0,31,42,3,41,0,132,343
Kelowna/Kelowna,53,Kelowna,34,1,57,79,2,106,0,279,544
Kelowna/Kelowna,54,Kelowna,58,2,46,83,2,148,3,342,486
Kelowna/Kelowna,55,Kelowna,9,0,46,75,0,114,1,245,390
Kelowna/Kelowna,56A,Kelowna,7,0,21,94,1,141,0,264,465
Kelowna/Kelowna,56B,Kelowna,13,1,9,63,1,115,2,204,344
Kelowna/Kelowna,57,Kelowna,15,1,32,67,0,105,0,220,390
Kelowna/Kelowna,58,Kelowna,21,0,23,94,1,152,0,291,483
Kelowna/Kelowna,59,Kelowna,18,3,58,46,4,111,1,241,452
Kelowna/Kelowna,60,Kelowna,17,2,40,32,1,97,0,189,431
Kelowna/Kelowna,61,Kelowna,7,0,16,22,0,85,0,130,277
Kelowna/Kelowna,62,Kelowna,24,1,43,57,1,91,2,219,380
