District,Poll Number,Poll Name,Nancy Clegg,Sukh Dhaliwal,Gurmant Grewal,John Hague,Nazir Rizvi,Rejected Ballots,Total Vote,Electors
Newton--North Delta/Newton--Delta-Nord,1,Delta,89,52,72,28,2,2,245,369
Newton--North Delta/Newton--Delta-Nord,2,Delta,86,70,85,30,0,3,274,416
Newton--North Delta/Newton--Delta-Nord,3,Delta,82,70,100,60,0,0,312,461
Newton--North Delta/Newton--Delta-Nord,4,Delta,91,79,81,23,0,1,275,427
Newton--North Delta/Newton--Delta-Nord,5,Delta,103,67,34,15,0,2,221,356
Newton--North Delta/Newton--Delta-Nord,6,Delta,101,55,70,18,0,0,244,398
Newton--North Delta/Newton--Delta-Nord,7,Delta,108,40,70,20,1,0,239,381
Newton--North Delta/Newton--Delta-Nord,8,Delta,80,54,64,10,1,2,211,405
Newton--North Delta/Newton--Delta-Nord,9,Delta,71,68,48,18,1,2,208,372
Newton--North Delta/Newton--Delta-Nord,10,Delta,133,64,51,18,0,1,267,419
Newton--North Delta/Newton--Delta-Nord,11,Delta,91,56,58,16,0,2,223,388
Newton--North Delta/Newton--Delta-Nord,12,Delta,71,83,83,24,0,0,261,418
Newton--North Delta/Newton--Delta-Nord,13,Delta,86,52,58,23,0,3,222,364
Newton--North Delta/Newton--Delta-Nord,14,Delta,111,74,83,11,2,1,282,479
Newton--North Delta/Newton--Delta-Nord,15,Delta,58,22,35,11,0,1,127,300
Newton--North Delta/Newton--Delta-Nord,16,Delta,79,45,74,7,0,3,208,355
Newton--North Delta/Newton--Delta-Nord,17,Delta,105,61,85,18,1,3,273,513
Newton--North Delta/Newton--Delta-Nord,18,Delta,48,44,47,8,3,3,153,357
Newton--North Delta/Newton--Delta-Nord,19,Delta,80,48,97,12,1,0,238,454
Newton--North Delta/Newton--Delta-Nord,20,Delta,90,50,66,23,0,0,229,342
Newton--North Delta/Newton--Delta-Nord,21,Delta,115,85,68,44,0,3,315,518
Newton--North Delta/Newton--Delta-Nord,22,Delta,65,79,84,23,0,1,252,389
Newton--North Delta/Newton--Delta-Nord,23,Delta,94,74,68,33,0,0,269,413
Newton--North Delta/Newton--Delta-Nord,24,Delta,72,47,65,8,0,3,195,334
Newton--North Delta/Newton--Delta-Nord,25,Delta,86,74,67,16,0,0,243,453
Newton--North Delta/Newton--Delta-Nord,26,Delta,99,44,68,17,1,3,232,405
Newton--North Delta/Newton--Delta-Nord,27,Delta,85,82,77,13,0,2,259,386
Newton--North Delta/Newton--Delta-Nord,28,Delta,63,58,43,15,0,0,179,312
Newton--North Delta/Newton--Delta-Nord,29,Delta,99,96,77,17,1,0,290,497
Newton--North Delta/Newton--Delta-Nord,30,Delta,92,63,41,12,1,0,209,366
Newton--North Delta/Newton--Delta-Nord,31,Delta,94,55,43,7,2,0,201,334
Newton--North Delta/Newton--Delta-Nord,32,Delta,91,67,60,11,2,2,233,395
Newton--North Delta/Newton--Delta-Nord,33,Delta,106,61,63,20,0,2,252,434
Newton--North Delta/Newton--Delta-Nord,34,Delta,76,57,45,14,1,0,193,373
Newton--North Delta/Newton--Delta-Nord,35,Delta,91,65,63,6,1,0,226,392
Newton--North Delta/Newton--Delta-Nord,36,Delta,72,57,58,9,0,2,198,354
Newton--North Delta/Newton--Delta-Nord,37,Delta,75,73,64,16,1,0,229,413
Newton--North Delta/Newton--Delta-Nord,38,Delta,103,84,69,19,0,2,277,519
Newton--North Delta/Newton--Delta-Nord,39,Delta,32,36,51,7,0,1,127,236
Newton--North Delta/Newton--Delta-Nord,40,Delta,110,84,91,14,1,2,302,439
Newton--North Delta/Newton--Delta-Nord,41,Delta,91,87,78,21,0,0,277,414
Newton--North Delta/Newton--Delta-Nord,42,Delta,101,70,96,11,1,1,280,432
Newton--North Delta/Newton--Delta-Nord,43,Delta,101,77,75,23,1,0,277,441
Newton--North Delta/Newton--Delta-Nord,44,Delta,128,100,76,28,0,2,334,492
Newton--North Delta/Newton--Delta-Nord,45,Delta,80,84,45,18,0,0,227,384
Newton--North Delta/Newton--Delta-Nord,46,Delta,89,86,74,10,1,0,260,479
Newton--North Delta/Newton--Delta-Nord,47,Delta,97,56,75,23,1,0,252,417
Newton--North Delta/Newton--Delta-Nord,48,Delta,79,63,58,17,0,1,218,299
Newton--North Delta/Newton--Delta-Nord,49,Delta,59,61,69,25,0,0,214,343
Newton--North Delta/Newton--Delta-Nord,50,Delta,79,60,64,35,0,0,238,402
Newton--North Delta/Newton--Delta-Nord,51,Delta,84,51,56,14,0,1,206,311
Newton--North Delta/Newton--Delta-Nord,52,Delta,62,63,50,27,0,0,202,354
Newton--North Delta/Newton--Delta-Nord,53,Delta,94,87,79,23,0,5,288,491
Newton--North Delta/Newton--Delta-Nord,54,Delta,102,46,90,21,0,2,261,444
Newton--North Delta/Newton--Delta-Nord,55,Delta,71,61,43,11,0,0,186,396
Newton--North Delta/Newton--Delta-Nord,56,Delta,85,73,69,6,1,3,237,396
Newton--North Delta/Newton--Delta-Nord,57,Delta,45,89,61,16,1,1,213,387
Newton--North Delta/Newton--Delta-Nord,58,Delta,71,57,63,21,2,1,215,331
Newton--North Delta/Newton--Delta-Nord,59,Delta,72,48,52,14,0,1,187,315
Newton--North Delta/Newton--Delta-Nord,60,Delta,73,64,82,18,1,0,238,371
Newton--North Delta/Newton--Delta-Nord,61,Delta,89,45,54,15,0,5,208,316
Newton--North Delta/Newton--Delta-Nord,62,Delta,88,64,75,12,0,2,241,447
Newton--North Delta/Newton--Delta-Nord,63,Delta,84,92,79,18,0,4,277,438
Newton--North Delta/Newton--Delta-Nord,64,Delta,54,57,47,25,0,0,183,270
Newton--North Delta/Newton--Delta-Nord,65,Delta,80,62,64,21,1,0,228,413
Newton--North Delta/Newton--Delta-Nord,66,Delta,55,48,57,12,0,0,172,339
Newton--North Delta/Newton--Delta-Nord,67,Delta,70,61,58,13,0,0,202,484
Newton--North Delta/Newton--Delta-Nord,68,Delta,88,54,59,18,0,4,223,406
Newton--North Delta/Newton--Delta-Nord,69,Delta,44,81,93,17,0,0,235,417
Newton--North Delta/Newton--Delta-Nord,70,Delta,40,69,84,20,0,0,213,358
Newton--North Delta/Newton--Delta-Nord,71,Delta,41,96,99,19,1,3,259,412
Newton--North Delta/Newton--Delta-Nord,72,Delta,52,72,94,37,0,1,256,401
Newton--North Delta/Newton--Delta-Nord,73,Delta,46,74,54,12,0,1,187,298
Newton--North Delta/Newton--Delta-Nord,74,Delta,73,61,68,27,0,0,229,361
Newton--North Delta/Newton--Delta-Nord,75,Delta,46,79,78,12,0,0,215,317
Newton--North Delta/Newton--Delta-Nord,76,Delta,40,82,75,22,0,1,220,338
Newton--North Delta/Newton--Delta-Nord,77,Delta,41,97,69,25,1,2,235,414
Newton--North Delta/Newton--Delta-Nord,78,Delta,32,83,75,25,0,0,215,409
Newton--North Delta/Newton--Delta-Nord,79,Delta,52,88,64,14,0,2,220,392
Newton--North Delta/Newton--Delta-Nord,80,Delta,60,73,68,17,1,0,219,397
Newton--North Delta/Newton--Delta-Nord,81,Delta,51,83,99,12,0,1,246,415
Newton--North Delta/Newton--Delta-Nord,82,Delta,55,78,80,12,2,0,227,339
Newton--North Delta/Newton--Delta-Nord,83,Delta,58,93,109,23,0,1,284,468
Newton--North Delta/Newton--Delta-Nord,84,Delta,52,100,108,28,0,1,289,401
Newton--North Delta/Newton--Delta-Nord,85,Delta,48,62,56,24,0,0,190,297
Newton--North Delta/Newton--Delta-Nord,86,Surrey,83,58,71,3,1,2,218,398
Newton--North Delta/Newton--Delta-Nord,87,Surrey,122,81,98,14,0,1,316,568
Newton--North Delta/Newton--Delta-Nord,88,Surrey,110,74,88,34,3,0,309,630
