District,Poll Number,Poll Name,David Askew,Katrina Chowne,Connie Fogal,Stephen Owen,Stephen Rogers,Doug Warkentin,Donovan Young,Rejected Ballots,Total Vote,Electors
Vancouver Quadra/Vancouver Quadra,1,University Endowment Lands,29,0,0,131,41,10,0,0,211,364
Vancouver Quadra/Vancouver Quadra,2,Greater Vancouver A,Void,,,,,,,,,
Vancouver Quadra/Vancouver Quadra,3,University Endowment Lands,12,2,1,153,69,5,0,2,244,459
Vancouver Quadra/Vancouver Quadra,4,University Endowment Lands,26,0,1,128,69,7,0,0,231,358
Vancouver Quadra/Vancouver Quadra,5,University Endowment Lands,26,0,0,75,21,15,0,0,137,279
Vancouver Quadra/Vancouver Quadra,6,University Endowment Lands,49,0,0,68,24,6,0,1,148,339
Vancouver Quadra/Vancouver Quadra,7,University Endowment Lands,29,0,0,31,9,9,0,0,78,182
Vancouver Quadra/Vancouver Quadra,8,University Endowment Lands,75,2,0,103,42,15,0,0,237,482
Vancouver Quadra/Vancouver Quadra,9,University Endowment Lands,20,0,1,48,24,1,0,0,94,287
Vancouver Quadra/Vancouver Quadra,10,University Endowment Lands,27,1,0,120,64,11,0,1,224,464
Vancouver Quadra/Vancouver Quadra,11,University Endowment Lands,26,1,0,103,43,7,0,0,180,353
Vancouver Quadra/Vancouver Quadra,12,University Endowment Lands,6,0,1,89,54,6,0,0,156,270
Vancouver Quadra/Vancouver Quadra,13,University Endowment Lands,29,0,0,97,29,6,0,0,161,271
Vancouver Quadra/Vancouver Quadra,13-1,University Endowment Lands,31,0,0,57,27,6,0,0,121,267
Vancouver Quadra/Vancouver Quadra,14,Vancouver,17,0,1,134,94,11,0,0,257,461
Vancouver Quadra/Vancouver Quadra,15,Vancouver,13,2,1,127,53,8,0,1,205,313
Vancouver Quadra/Vancouver Quadra,16,Vancouver,19,1,0,101,71,9,0,0,201,351
Vancouver Quadra/Vancouver Quadra,17,Vancouver,44,2,0,161,94,19,0,1,321,467
Vancouver Quadra/Vancouver Quadra,18,Vancouver,43,0,0,105,51,12,0,2,213,386
Vancouver Quadra/Vancouver Quadra,19,Vancouver,53,0,0,149,48,19,1,0,270,429
Vancouver Quadra/Vancouver Quadra,20,Vancouver,38,0,0,144,65,12,0,1,260,386
Vancouver Quadra/Vancouver Quadra,21,Vancouver,58,1,0,91,50,17,0,0,217,457
Vancouver Quadra/Vancouver Quadra,22,Vancouver,37,0,0,90,42,7,1,0,177,295
Vancouver Quadra/Vancouver Quadra,23,Vancouver,41,0,1,131,35,22,0,0,230,369
