District,Poll Number,Poll Name,David Anderson,Ariel Lade,Derek J. Skinner,David Turner,Logan Wenham,Rejected Ballots,Total Vote,Electors
Victoria/Victoria,1,Victoria,87,32,4,119,64,1,307,547
Victoria/Victoria,2,Victoria,52,8,0,40,25,0,125,254
Victoria/Victoria,3,Victoria,73,28,1,111,65,2,280,483
Victoria/Victoria,4,Victoria,62,38,2,122,25,0,249,396
Victoria/Victoria,5,Victoria,93,56,3,128,26,0,306,538
Victoria/Victoria,6,Victoria,70,58,1,100,37,0,266,405
Victoria/Victoria,7,Victoria,30,23,0,69,28,0,150,261
Victoria/Victoria,8,Victoria,67,24,0,82,37,1,211,402
Victoria/Victoria,9,Victoria,100,7,0,18,88,1,214,375
Victoria/Victoria,10,Victoria,42,36,3,99,42,0,222,427
Victoria/Victoria,11,Victoria,104,13,0,29,103,1,250,437
Victoria/Victoria,12,Victoria,66,25,0,94,57,0,242,529
Victoria/Victoria,13,Victoria,33,13,0,37,29,0,112,241
Victoria/Victoria,14,Victoria,64,25,1,129,37,2,258,447
Victoria/Victoria,15,Victoria,66,24,1,78,53,1,223,465
Victoria/Victoria,16,Victoria,51,27,0,84,63,0,225,428
Victoria/Victoria,17,Victoria,28,22,3,73,21,0,147,420
Victoria/Victoria,18,Victoria,54,26,1,61,30,1,173,310
Victoria/Victoria,19,Victoria,89,34,4,103,54,0,284,574
Victoria/Victoria,20,Victoria,81,33,0,112,44,1,271,430
Victoria/Victoria,21A,Victoria,64,18,1,62,36,0,181,339
Victoria/Victoria,21B,Mobile poll/Bureau itinérant,75,7,0,19,42,1,144,147
Victoria/Victoria,22,Victoria,26,19,2,84,20,0,151,262
Victoria/Victoria,23,Victoria,58,39,2,122,27,1,249,446
Victoria/Victoria,24A,Victoria,21,12,1,69,12,1,116,292
Victoria/Victoria,24B,Mobile poll/Bureau itinérant,26,3,1,22,26,2,80,101
Victoria/Victoria,25,Victoria,39,40,3,85,30,0,197,470
Victoria/Victoria,26,Victoria,31,12,3,68,20,0,134,355
Victoria/Victoria,27,Victoria,42,26,1,106,24,1,200,371
Victoria/Victoria,28,Victoria,52,31,1,102,20,0,206,444
Victoria/Victoria,29,Victoria,85,26,0,106,46,3,266,476
Victoria/Victoria,30,Victoria,56,19,0,52,22,0,149,271
Victoria/Victoria,31,Victoria,96,41,2,87,70,0,296,490
Victoria/Victoria,32,Victoria,45,8,0,67,15,0,135,223
Victoria/Victoria,33,Victoria,79,44,2,117,54,3,299,583
Victoria/Victoria,34,Victoria,61,32,0,95,46,1,235,443
Victoria/Victoria,35,Victoria,49,10,2,49,41,1,152,254
Victoria/Victoria,36,Victoria,47,22,0,96,34,0,199,402
Victoria/Victoria,37,Victoria,42,27,0,97,26,0,192,360
Victoria/Victoria,38,Victoria,39,23,1,79,28,0,170,364
Victoria/Victoria,39A,Victoria,62,27,0,67,29,0,185,326
Victoria/Victoria,39B,Victoria,49,28,2,64,26,1,170,277
Victoria/Victoria,40,Victoria,70,36,2,131,38,0,277,491
Victoria/Victoria,41,Victoria,80,30,0,85,51,0,246,455
Victoria/Victoria,42A,Victoria,47,22,1,42,40,5,157,282
Victoria/Victoria,42B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,,67
Victoria/Victoria,43,Victoria,59,30,0,85,32,1,207,319
Victoria/Victoria,44,Victoria,71,32,1,86,39,2,231,328
Victoria/Victoria,45,Victoria,57,32,1,106,24,1,221,358
Victoria/Victoria,46,Victoria,101,38,2,141,51,2,335,504
Victoria/Victoria,47,Victoria,72,33,3,72,42,0,222,414
Victoria/Victoria,48,Victoria,64,22,2,59,33,0,180,313
Victoria/Victoria,49,Victoria,71,31,1,96,45,2,246,376
Victoria/Victoria,50,Victoria,35,18,1,76,22,0,152,245
Victoria/Victoria,51,Saanich,71,23,1,59,46,1,201,388
Victoria/Victoria,52,Saanich,94,20,0,59,54,0,227,345
Victoria/Victoria,53,Saanich,72,26,0,64,58,0,220,372
Victoria/Victoria,54,Saanich,87,37,0,74,46,1,245,395
Victoria/Victoria,55,Saanich,109,29,1,64,61,0,264,384
Victoria/Victoria,56,Saanich,96,39,1,52,69,0,257,399
Victoria/Victoria,57,Saanich,72,16,0,53,53,1,195,334
Victoria/Victoria,58,Saanich,89,25,0,69,54,1,238,432
Victoria/Victoria,59,Saanich,54,21,0,64,44,0,183,290
Victoria/Victoria,60,Saanich,70,24,0,61,34,0,189,297
Victoria/Victoria,61,Saanich,136,27,0,73,87,0,323,456
Victoria/Victoria,62,Saanich,69,19,0,41,38,1,168,259
Victoria/Victoria,63,Saanich,83,19,1,82,45,1,231,330
Victoria/Victoria,64,Saanich,145,31,0,119,66,0,361,478
Victoria/Victoria,65,Saanich,59,26,0,52,37,0,174,241
Victoria/Victoria,66,Saanich,43,9,0,30,27,0,109,187
