District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,1A,Lund,3,50,45,0,101,31,2,232,377
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,1B,Lund,2,4,0,17,33,8,0,64,70
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,2,Savary Island,Void,,,,,,,,
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,3,Lang Bay,3,28,0,53,102,39,1,226,317
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,4,Saltery Bay,0,17,0,46,71,20,1,155,195
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,5,Ahpokum 9,1,15,0,44,74,22,1,157,259
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,6,Sliammon 1,1,12,0,36,169,42,0,260,507
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,7,Powell River,1,22,0,65,139,46,1,274,429
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,8,Powell River,1,13,1,62,133,29,0,239,410
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,9,Tokenatch 5,1,15,0,35,73,27,0,151,316
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,10,Powell River,2,15,0,55,126,30,1,229,379
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,11,Powell River,0,6,1,26,92,19,0,144,257
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,12,Powell River,0,14,0,57,85,31,1,188,328
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,13,Powell River,0,15,0,41,99,18,0,173,331
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,14,Powell River,1,9,0,66,117,31,0,224,410
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,15,Powell River,1,4,0,79,125,43,1,253,444
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,16,Powell River,3,13,1,68,84,32,0,201,388
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,17,Powell River,1,12,0,58,94,35,1,201,403
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,18,Powell River,0,7,0,53,87,41,2,190,352
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,19A,Powell River,1,9,0,63,77,22,0,172,303
