Province,Population,Electors,Valid Ballots,Valid Ballots Percent,Rejected Ballots,Rejected Ballots Percent,Total Ballots,Voter Turnout
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",512930,405032,198492,99.5,1044,.5,199536,49.3
"Prince Edward Island/Île-du-Prince-Édouard",135294,109031,76595,99.3,548,.7,77143,70.8
"Nova Scotia/Nouvelle-Écosse",908007,706932,437843,99.4,2607,.6,440450,62.3
"New Brunswick/Nouveau-Brunswick",729498,597440,369984,98.7,4968,1.3,374952,62.8
"Quebec/Québec",7237479,5800109,3438255,98,68845,2,3507100,60.5
"Ontario",11410046,8294928,5100479,99.5,26908,.5,5127387,61.8
"Manitoba",1119583,841061,474567,99.6,1945,.4,476512,56.7
"Saskatchewan",978933,723922,426682,99.7,1278,.3,427960,59.1
"Alberta",2974807,2171584,1274997,99.7,3935,.3,1278932,58.9
"British Columbia/Colombie-Britannique",3907738,2750577,1733360,99.6,6639,.4,1739999,63.3
"Yukon",28674,20345,12528,99.6,50,.4,12578,61.8
"Northwest Territories/Territoires du Nord-Ouest",37360,28619,13478,99.5,68,.5,13546,47.3
"Nunavut",26745,17041,7442,99.6,33,.4,7475,43.9
