Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Siobhan Coady,Barry Crozier,Loyola Hearn,Peg Norman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 1","St. John's",39,1,75,77,1,193,377
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 2","St. John's",96,1,91,75,0,263,478
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 3","St. John's",45,4,36,79,2,166,309
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 4","St. John's",60,5,78,69,0,212,363
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 5","St. John's",37,1,30,39,0,107,191
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 6","St. John's",23,3,13,48,0,87,162
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7","St. John's",67,0,41,92,0,200,403
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 8","St. John's",31,1,41,38,1,112,302
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9A","St. John's",44,7,35,64,1,151,355
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9B","St. John's",44,2,66,45,0,157,367
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 10","St. John's",16,0,24,32,0,72,225
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 11","St. John's",82,2,46,81,0,211,448
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 12","St. John's",48,0,41,49,0,138,367
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 13","St. John's",59,0,43,73,0,175,329
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 14","St. John's",68,3,85,63,0,219,413
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 15","St. John's",50,1,68,63,0,182,391
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 16","St. John's",50,1,66,70,0,187,356
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 17","St. John's",41,0,62,60,0,163,304
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 18","St. John's",27,0,55,32,0,114,300
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 19","St. John's",33,0,69,54,0,156,323
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 20A","St. John's",42,1,47,35,0,125,242
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 20B","St. John's",57,0,66,15,0,138,172
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 21","St. John's",67,2,62,55,0,186,311
"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 22","St. John's",79,2,81,52,2,216,343
