Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Haida Arsenault-Antolick,Don Gillis,Lawrence MacAulay,Edith Perry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cardigan/Cardigan"," 1","North Lake",3,41,78,5,1,128,222
"Cardigan/Cardigan"," 2","Bothwell",2,67,125,11,3,208,320
"Cardigan/Cardigan"," 3","Black Pond",4,39,80,6,0,129,243
"Cardigan/Cardigan"," 4","New Zealand",2,37,51,4,0,94,209
"Cardigan/Cardigan"," 5","Souris River",9,57,114,13,0,193,356
"Cardigan/Cardigan"," 6","Souris North",2,38,69,4,0,113,209
"Cardigan/Cardigan"," 7","Souris",3,43,72,8,0,126,250
"Cardigan/Cardigan"," 8","Chepstow",0,65,155,14,1,235,533
"Cardigan/Cardigan"," 9","Souris West",2,54,159,13,3,231,393
"Cardigan/Cardigan"," 10","Saint-Charles",4,47,153,14,2,220,361
"Cardigan/Cardigan"," 11","Red House",5,88,111,18,1,223,333
"Cardigan/Cardigan"," 12","Farmington",2,47,91,3,0,143,220
"Cardigan/Cardigan"," 13","Poplar Point",4,78,156,12,2,252,398
"Cardigan/Cardigan"," 14","St Peters North",7,73,132,6,3,221,310
"Cardigan/Cardigan"," 15","St Peters South",4,95,132,5,3,239,371
"Cardigan/Cardigan"," 16","Green Meadows",3,96,86,11,2,198,314
"Cardigan/Cardigan"," 17","Morell South",1,83,139,7,0,230,349
"Cardigan/Cardigan"," 18","Bristol",5,77,121,7,0,210,369
"Cardigan/Cardigan"," 19","Cherry Hill",7,61,115,21,2,206,366
"Cardigan/Cardigan"," 20","Savage Harbour",4,55,132,15,2,208,376
"Cardigan/Cardigan"," 21","Pisquid",6,49,107,24,0,186,375
"Cardigan/Cardigan"," 22","Fort Augustus",5,72,93,9,0,179,275
"Cardigan/Cardigan"," 23","Tracadie Cross",7,50,133,19,1,210,307
"Cardigan/Cardigan"," 24","Grand Tracadie",9,78,210,21,1,319,485
"Cardigan/Cardigan"," 25","Dunstaffnage",6,77,141,20,5,249,328
"Cardigan/Cardigan"," 26","Lorne Valley",3,91,136,15,1,246,334
"Cardigan/Cardigan"," 27","Glenfanning",8,95,155,10,0,268,461
"Cardigan/Cardigan"," 28","Pooles Corner",1,62,136,10,3,212,344
"Cardigan/Cardigan"," 29","Woodville Mills",4,56,127,4,1,192,299
"Cardigan/Cardigan"," 30","Georgetown North",5,113,119,21,2,260,398
"Cardigan/Cardigan"," 31","Georgetown South",4,104,121,13,1,243,325
"Cardigan/Cardigan"," 32","Lower Montague",4,66,110,18,2,200,370
"Cardigan/Cardigan"," 33","Brudenell",1,38,89,12,0,140,264
"Cardigan/Cardigan"," 34","Montague East",3,41,72,9,0,125,280
"Cardigan/Cardigan"," 35","Montague Southeast",9,66,133,14,3,225,499
"Cardigan/Cardigan"," 36","Montague Southwest",4,34,86,9,1,134,308
"Cardigan/Cardigan"," 37","Montague West",8,37,74,9,0,128,323
"Cardigan/Cardigan"," 38","Mellish Road",6,60,118,14,0,198,356
"Cardigan/Cardigan"," 39","New Perth",1,41,70,6,0,118,216
"Cardigan/Cardigan"," 40","Victoria Cross",9,63,105,27,1,205,400
"Cardigan/Cardigan"," 41","Kilmuir",1,93,129,17,2,242,411
"Cardigan/Cardigan"," 42","Sturgeon",6,45,106,5,2,164,279
"Cardigan/Cardigan"," 43","Pembroke",3,60,113,8,0,184,333
"Cardigan/Cardigan"," 44","Peters Road",0,66,52,7,1,126,241
"Cardigan/Cardigan"," 45","Milltown Cross",8,48,86,19,1,162,277
"Cardigan/Cardigan"," 46","Johnstons River",11,129,127,25,5,297,520
"Cardigan/Cardigan"," 47","Watervale",3,97,93,13,2,208,356
"Cardigan/Cardigan"," 48","Avondale",6,137,156,34,2,335,507
"Cardigan/Cardigan"," 49","Mermaid",8,102,153,27,1,291,451
"Cardigan/Cardigan"," 50","Hazelbrook",7,94,109,43,1,254,404
"Cardigan/Cardigan"," 51","Fullertons Marsh",6,72,118,36,1,233,418
"Cardigan/Cardigan"," 52","Stratford",4,76,132,25,1,238,387
"Cardigan/Cardigan"," 53","Stratford",5,48,73,14,1,141,257
"Cardigan/Cardigan"," 54","Stratford",9,97,164,30,1,301,542
"Cardigan/Cardigan"," 55","Stratford",9,93,146,25,2,275,480
"Cardigan/Cardigan"," 56A","Stratford",9,80,109,21,0,219,334
"Cardigan/Cardigan"," 56B","Stratford",4,65,104,19,1,193,316
"Cardigan/Cardigan"," 57","Stratford",10,59,79,19,0,167,265
"Cardigan/Cardigan"," 58","Stratford",8,97,127,28,1,261,369
"Cardigan/Cardigan"," 59","Stratford",12,68,97,13,0,190,299
"Cardigan/Cardigan"," 60A","Stratford",11,79,123,30,2,245,395
"Cardigan/Cardigan"," 60B","Stratford",12,79,130,29,0,250,382
"Cardigan/Cardigan"," 61","Stratford",3,46,99,13,0,161,262
"Cardigan/Cardigan"," 62","Stratford",10,61,132,24,1,228,394
"Cardigan/Cardigan"," 63","Stratford",11,59,103,16,3,192,313
"Cardigan/Cardigan"," 64","Alexandra",6,59,131,29,1,226,315
"Cardigan/Cardigan"," 65","Village Green",7,80,155,28,2,272,401
"Cardigan/Cardigan"," 66","Cherry Valley",6,68,118,21,0,213,280
"Cardigan/Cardigan"," 67","Kinross",2,89,107,26,1,225,308
"Cardigan/Cardigan"," 68","Iona",7,125,141,38,1,312,495
"Cardigan/Cardigan"," 69","Point Prim",3,52,123,13,0,191,312
"Cardigan/Cardigan"," 70","Pinette",6,63,86,14,0,169,237
"Cardigan/Cardigan"," 71","Wood Islands",21,99,97,28,0,245,425
"Cardigan/Cardigan"," 72","Dover",5,70,136,20,1,232,346
"Cardigan/Cardigan"," 73","Murray River South",10,84,127,18,2,241,364
"Cardigan/Cardigan"," 74","Murray Harbour",14,74,109,15,3,215,311
"Cardigan/Cardigan"," 75","Beach Point",7,91,96,9,1,204,325
"Cardigan/Cardigan"," 76","High Bank",1,53,94,11,2,161,250
"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",1,10,23,1,0,35,66
"Cardigan/Cardigan"," 501","Mobile poll/Bureau itinérant",3,36,64,2,2,107,160
"Cardigan/Cardigan"," 600","Souris",5,134,373,24,1,537,
"Cardigan/Cardigan"," 601","Mount Stewart",9,144,238,17,4,412,
"Cardigan/Cardigan"," 602","Montague",8,204,344,31,2,589,
"Cardigan/Cardigan"," 603","Stratford",26,404,563,73,4,1070,
"Cardigan/Cardigan"," 604","Wood Islands",3,83,88,20,0,194,
"Cardigan/Cardigan",,Group 1/Groupe 1,3,35,47,2,0,87,175
"Cardigan/Cardigan",,Group 2/Groupe 2,28,382,816,74,11,1311,
