Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew House,Martin MacKinnon,Alexa McDonough,Tony Seed,Nick Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halifax/Halifax"," 1A","Halifax",49,43,72,1,2,2,169,297
"Halifax/Halifax"," 1B","Halifax",25,33,41,0,0,0,99,146
"Halifax/Halifax"," 2A","Halifax",27,41,77,0,6,0,151,251
"Halifax/Halifax"," 2B","Halifax",24,41,87,0,8,0,160,290
"Halifax/Halifax"," 3","Halifax",22,56,92,0,4,1,175,328
"Halifax/Halifax"," 4A","Halifax",14,21,61,1,2,0,99,293
"Halifax/Halifax"," 4B","Halifax",20,32,72,1,4,0,129,302
"Halifax/Halifax"," 5","Halifax",34,61,98,0,7,0,200,355
"Halifax/Halifax"," 6","Halifax",26,76,124,2,2,0,230,400
"Halifax/Halifax"," 7","Halifax",23,61,94,0,8,0,186,274
"Halifax/Halifax"," 8","Halifax",51,71,63,0,0,0,185,311
"Halifax/Halifax"," 9A","Halifax",26,64,76,0,6,0,172,308
"Halifax/Halifax"," 9B","Halifax",28,76,66,0,4,1,175,302
"Halifax/Halifax"," 10","Halifax",42,76,98,2,9,1,228,316
"Halifax/Halifax"," 11","Halifax",22,66,121,0,13,0,222,368
"Halifax/Halifax"," 12","Halifax",30,63,122,1,9,0,225,366
"Halifax/Halifax"," 13","Halifax",22,42,112,0,8,1,185,345
"Halifax/Halifax"," 14","Halifax",33,63,113,1,5,0,215,369
"Halifax/Halifax"," 15","Halifax",39,60,118,0,5,0,222,349
"Halifax/Halifax"," 16A","Halifax",14,40,65,1,5,0,125,259
"Halifax/Halifax"," 16B","Halifax",20,46,67,1,3,0,137,241
"Halifax/Halifax"," 17","Halifax",32,89,145,1,8,1,276,463
"Halifax/Halifax"," 18A","Halifax",11,31,69,0,2,1,114,143
"Halifax/Halifax"," 18B","Halifax",36,82,113,0,6,2,239,692
"Halifax/Halifax"," 19","Halifax",28,47,91,0,8,1,175,342
"Halifax/Halifax"," 20","Halifax",21,53,128,2,5,1,210,422
"Halifax/Halifax"," 21","Halifax",26,56,81,1,7,3,174,305
"Halifax/Halifax"," 22","Halifax",10,21,55,0,1,0,87,172
"Halifax/Halifax"," 23A","Halifax",22,27,38,2,5,0,94,180
"Halifax/Halifax"," 23B","Halifax",26,54,89,1,2,1,173,252
"Halifax/Halifax"," 23C","Halifax",24,59,82,1,0,1,167,220
"Halifax/Halifax"," 24","Halifax",43,128,109,0,8,2,290,445
"Halifax/Halifax"," 25","Halifax",44,86,71,0,6,0,207,301
"Halifax/Halifax"," 26","Halifax",48,75,74,0,0,0,197,277
"Halifax/Halifax"," 27","Halifax",80,130,69,0,3,2,284,410
"Halifax/Halifax"," 28","Halifax",48,78,97,0,9,1,233,355
"Halifax/Halifax"," 29","Halifax",37,54,102,2,5,1,201,382
"Halifax/Halifax"," 30","Halifax",60,87,60,0,4,0,211,331
"Halifax/Halifax"," 31A","Halifax",28,64,85,0,5,0,182,382
"Halifax/Halifax"," 31B","Halifax",28,71,84,1,2,0,186,396
"Halifax/Halifax"," 32","Halifax",41,65,118,0,2,2,228,367
"Halifax/Halifax"," 33A","Halifax",30,53,72,0,8,0,163,222
"Halifax/Halifax"," 33B","Halifax",39,39,79,0,0,2,159,211
"Halifax/Halifax"," 34","Halifax",67,80,112,3,13,0,275,349
"Halifax/Halifax"," 35","Halifax",41,42,68,1,6,0,158,382
"Halifax/Halifax"," 36","Halifax",40,84,99,1,5,1,230,321
"Halifax/Halifax"," 37","Halifax",40,74,101,0,9,2,226,377
"Halifax/Halifax"," 38","Halifax",31,60,95,1,5,2,194,301
"Halifax/Halifax"," 39","Halifax",39,53,132,0,12,1,237,370
"Halifax/Halifax"," 40","Halifax",27,71,115,1,10,1,225,379
"Halifax/Halifax"," 41","Halifax",30,80,83,1,8,2,204,311
"Halifax/Halifax"," 42","Halifax",30,81,127,1,13,3,255,401
"Halifax/Halifax"," 43","Halifax",35,82,96,0,8,0,221,306
"Halifax/Halifax"," 44","Halifax",42,66,103,0,14,0,225,352
"Halifax/Halifax"," 45","Halifax",31,85,80,1,9,3,209,361
"Halifax/Halifax"," 46","Halifax",41,102,138,1,12,1,295,388
"Halifax/Halifax"," 47","Halifax",24,54,133,2,17,0,230,379
"Halifax/Halifax"," 48","Halifax",25,72,170,1,16,2,286,484
"Halifax/Halifax"," 49","Halifax",33,48,162,2,14,1,260,425
"Halifax/Halifax"," 50","Halifax",23,64,160,0,17,0,264,453
"Halifax/Halifax"," 51A","Halifax",9,40,117,1,11,2,180,336
"Halifax/Halifax"," 51B","Halifax",4,25,119,2,13,0,163,316
"Halifax/Halifax"," 52A","Halifax",17,45,118,1,7,1,189,579
"Halifax/Halifax"," 52B","Mobile poll/Bureau itinérant",Merged with No. 108B/Fusionné avec le nº 108B,,,,,,,36
"Halifax/Halifax"," 53","Halifax",22,39,37,2,0,0,100,321
"Halifax/Halifax"," 54A","Halifax",8,42,157,3,13,3,226,428
"Halifax/Halifax"," 54B","Halifax",7,22,46,0,1,1,77,92
"Halifax/Halifax"," 55","Halifax",24,47,123,1,13,1,209,379
"Halifax/Halifax"," 56A","Halifax",30,61,99,1,9,1,201,395
"Halifax/Halifax"," 56B","Halifax",39,71,84,0,1,10,205,345
"Halifax/Halifax"," 57","Halifax",16,51,98,1,9,0,175,538
"Halifax/Halifax"," 58","Halifax",18,48,117,0,6,0,189,500
"Halifax/Halifax"," 59","Halifax",16,39,84,0,4,0,143,317
"Halifax/Halifax"," 60","Halifax",13,40,111,2,8,1,175,322
"Halifax/Halifax"," 61A","Halifax",9,49,94,2,2,0,156,335
"Halifax/Halifax"," 61B","Halifax",8,28,53,1,3,1,94,156
