Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ulric DeGrâce,Yvon Godin,Eric Landry,Marcelle Mersereau,Philippe Rousselle,Serge Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Acadie--Bathurst/Acadie--Bathurst"," 1","Pointe-Verte",2,76,1,62,2,22,2,167,274
"Acadie--Bathurst/Acadie--Bathurst"," 2A","Pointe-Verte",0,123,0,49,4,20,3,199,288
"Acadie--Bathurst/Acadie--Bathurst"," 2B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,,11
"Acadie--Bathurst/Acadie--Bathurst"," 3","Pointe-Verte",0,109,1,47,2,14,3,176,281
"Acadie--Bathurst/Acadie--Bathurst"," 4","Petit-Rocher-Nord",0,108,0,48,7,46,7,216,337
"Acadie--Bathurst/Acadie--Bathurst"," 5","Madran",3,148,1,61,4,35,1,253,372
"Acadie--Bathurst/Acadie--Bathurst"," 6","Alcida",4,76,1,53,4,26,2,166,207
"Acadie--Bathurst/Acadie--Bathurst"," 7A","Laplante",3,104,2,48,0,23,0,180,277
"Acadie--Bathurst/Acadie--Bathurst"," 7B","Mobile poll/Bureau itinérant",0,6,0,18,0,23,1,48,13
"Acadie--Bathurst/Acadie--Bathurst"," 8","Petit-Rocher",0,102,1,76,4,31,6,220,361
"Acadie--Bathurst/Acadie--Bathurst"," 9A","Petit-Rocher-Sud",4,91,1,87,5,24,0,212,327
"Acadie--Bathurst/Acadie--Bathurst"," 9B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,,11
"Acadie--Bathurst/Acadie--Bathurst"," 10","Tremblay",1,115,3,66,4,44,0,233,369
"Acadie--Bathurst/Acadie--Bathurst"," 11A","Robertville",1,116,2,51,2,21,3,196,299
"Acadie--Bathurst/Acadie--Bathurst"," 11B","Mobile poll/Bureau itinérant",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,,,7
"Acadie--Bathurst/Acadie--Bathurst"," 12A","Nicholas Denys",0,95,2,42,2,9,3,153,234
"Acadie--Bathurst/Acadie--Bathurst"," 12B","Nicholas Denys",0,67,2,34,1,16,1,121,174
"Acadie--Bathurst/Acadie--Bathurst"," 13","Val-Michaud",5,139,2,41,4,28,2,221,333
"Acadie--Bathurst/Acadie--Bathurst"," 14","Robertville",5,132,1,77,4,43,0,262,388
"Acadie--Bathurst/Acadie--Bathurst"," 15A","Sainte-Louise",3,137,4,101,6,51,3,305,412
"Acadie--Bathurst/Acadie--Bathurst"," 15B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,,11
"Acadie--Bathurst/Acadie--Bathurst"," 16A","Robertville",2,101,0,57,3,20,0,183,278
"Acadie--Bathurst/Acadie--Bathurst"," 16B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,,8
"Acadie--Bathurst/Acadie--Bathurst"," 17","Dunlop",1,81,1,42,0,17,3,145,228
"Acadie--Bathurst/Acadie--Bathurst"," 18","Dunlop",2,126,0,67,3,29,1,228,410
"Acadie--Bathurst/Acadie--Bathurst"," 19A","Petit-Rocher",3,108,1,86,6,44,0,248,355
"Acadie--Bathurst/Acadie--Bathurst"," 19B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,,6
"Acadie--Bathurst/Acadie--Bathurst"," 20A","Petit-Rocher",1,122,3,84,3,51,10,274,452
"Acadie--Bathurst/Acadie--Bathurst"," 20B","Mobile poll/Bureau itinérant",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,,,8
"Acadie--Bathurst/Acadie--Bathurst"," 21A","Petit-Rocher",1,130,1,76,5,62,3,278,397
"Acadie--Bathurst/Acadie--Bathurst"," 21B","Mobile poll/Bureau itinérant",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,,,10
"Acadie--Bathurst/Acadie--Bathurst"," 22A","Petit-Rocher",1,104,0,64,4,33,1,207,335
"Acadie--Bathurst/Acadie--Bathurst"," 22B","Mobile poll/Bureau itinérant",Merged with No. 28B/Fusionné avec le nº 28B,,,,,,,,15
"Acadie--Bathurst/Acadie--Bathurst"," 23","Nigadoo",4,152,1,82,5,59,4,307,397
"Acadie--Bathurst/Acadie--Bathurst"," 24","Nigadoo",0,122,1,87,4,31,0,245,352
"Acadie--Bathurst/Acadie--Bathurst"," 25","Beresford",5,126,2,115,4,50,3,305,480
"Acadie--Bathurst/Acadie--Bathurst"," 26A","Beresford",1,79,5,90,3,34,1,213,328
"Acadie--Bathurst/Acadie--Bathurst"," 26B","Mobile poll/Bureau itinérant",0,4,1,12,0,3,0,20,14
