Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanne Courville,Mario Laframboise,François-Hugues Liberge,Claude Sabourin,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 1","Bowman",82,83,78,3,15,2,263,466
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 2","Val-des-Bois",56,89,33,8,14,3,203,341
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 3","Val-des-Bois",66,90,47,4,14,2,223,406
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 4","Mulgrave-et-Derry",16,27,14,1,10,0,68,113
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 5","Mulgrave-et-Derry (Mayo)",49,8,29,9,6,0,101,149
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 6","Mulgrave-et-Derry (Mayo)",77,67,71,22,32,1,270,380
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 7","Lochaber",63,98,27,6,16,1,211,389
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 8","Lochaber",42,70,18,8,11,1,150,271
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 9","Thurso",25,101,14,2,7,0,149,283
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 10","Thurso",48,122,39,10,16,2,237,480
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 11","Thurso",68,146,31,11,10,2,268,505
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 12","Thurso",49,183,19,10,14,3,278,465
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 13","Thurso",36,91,31,7,7,4,176,339
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 14","Saint-Sixte",37,107,22,12,12,3,193,306
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 15","Ripon",33,118,20,9,16,1,197,311
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 16","Ripon",91,136,32,19,10,2,290,510
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 17","Ripon",40,110,26,18,16,2,212,357
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 18","Montpellier",39,103,15,9,4,0,170,311
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 19","Montpellier",68,143,40,12,15,0,278,511
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 20","Duhamel",39,114,15,3,6,2,179,285
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 21","Lac-des-Plages",57,151,32,4,10,7,261,400
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 22","Boileau",32,70,18,3,23,1,147,256
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 23","Namur",61,107,47,13,14,3,245,488
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 24","Saint-Émile-de-Suffolk",37,142,33,12,7,2,233,388
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 25","Chénéville",46,110,19,4,14,1,194,386
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 26","Chénéville",48,121,22,4,5,3,203,335
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 27","Lac-Simon",43,74,12,7,9,5,150,260
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 28","Lac-Simon",55,109,24,9,10,2,209,332
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 29","Notre-Dame-de-la-Paix",17,61,10,8,11,2,109,178
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 30","Notre-Dame-de-la-Paix",31,188,27,11,5,4,266,386
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 31","Saint-André-Avellin",43,98,27,10,9,4,191,374
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 32A","Saint-André-Avellin",35,91,16,5,6,1,154,283
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 32B","Saint-André-Avellin",44,97,13,6,7,1,168,322
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 33","Saint-André-Avellin",18,69,14,4,3,1,109,221
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 34","Saint-André-Avellin",7,35,7,4,4,3,60,132
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 35","Saint-André-Avellin",27,107,9,7,14,2,166,357
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 36","Saint-André-Avellin",37,122,18,9,13,1,200,424
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 37","Saint-André-Avellin",22,63,10,6,4,1,106,181
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 38","Saint-André-Avellin",48,117,25,10,12,0,212,397
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 39","Plaisance",50,168,29,19,18,6,290,452
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 40","Plaisance",49,122,35,6,13,5,230,360
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 41","Sainte-Angélique",32,109,17,5,9,0,172,259
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 42A","Sainte-Angélique",32,127,17,14,12,3,205,357
