Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Éric Cardinal,François Choquette,Jean-Benjamin Milot,Pauline Picard,Jean-Marie Pineault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Drummond/Drummond"," 1","Notre-Dame-du-Bon-Conseil",30,4,6,76,18,0,134,207
"Drummond/Drummond"," 2","Notre-Dame-du-Bon-Conseil",72,14,17,145,61,16,325,500
"Drummond/Drummond"," 3","Notre-Dame-du-Bon-Conseil",38,7,7,84,30,4,170,249
"Drummond/Drummond"," 4","Notre-Dame-du-Bon-Conseil",45,8,12,106,20,5,196,305
"Drummond/Drummond"," 5","Notre-Dame-du-Bon-Conseil",60,12,17,125,71,2,287,472
"Drummond/Drummond"," 6","Sainte-Brigitte-des-Saults",64,17,8,101,51,5,246,336
"Drummond/Drummond"," 7","Sainte-Brigitte-des-Saults",50,12,8,51,29,2,152,254
"Drummond/Drummond"," 8","Saint-Joachim-de-Courval",43,16,19,200,75,7,360,550
"Drummond/Drummond"," 9","Saint-Cyrille-de-Wendover",34,15,10,122,45,0,226,339
"Drummond/Drummond"," 10","Saint-Cyrille-de-Wendover",38,8,7,77,25,3,158,253
"Drummond/Drummond"," 11","Saint-Cyrille-de-Wendover",42,26,28,204,90,8,398,624
"Drummond/Drummond"," 12","Saint-Cyrille-de-Wendover",37,14,29,118,58,6,262,404
"Drummond/Drummond"," 13","Saint-Cyrille-de-Wendover",52,14,15,141,57,7,286,453
"Drummond/Drummond"," 14","Saint-Cyrille-de-Wendover",70,14,12,155,99,6,356,559
"Drummond/Drummond"," 15","Saint-Cyrille-de-Wendover",38,8,13,103,49,0,211,362
"Drummond/Drummond"," 16","Saint-Lucien",15,13,20,200,98,11,357,644
"Drummond/Drummond"," 17","Saint-Lucien",51,16,13,157,81,12,330,509
"Drummond/Drummond"," 18","Kingsey",35,7,13,103,66,4,228,327
"Drummond/Drummond"," 19","Kingsey",46,20,12,124,78,8,288,496
"Drummond/Drummond"," 20","Kingsey",44,14,6,83,78,2,227,310
"Drummond/Drummond"," 21","Saint-Pie-de-Guire",27,15,9,114,45,2,212,324
"Drummond/Drummond"," 22","Saint-Bonaventure",30,24,17,138,56,4,269,420
"Drummond/Drummond"," 23","Saint-Bonaventure",33,11,15,143,59,6,267,383
"Drummond/Drummond"," 24","Saint-Majorique",65,19,16,171,92,10,373,568
"Drummond/Drummond"," 25","Saint-Majorique",27,6,6,78,35,3,155,254
"Drummond/Drummond"," 26","Saint-Edmond-de-Grantham",42,21,5,164,73,1,306,477
"Drummond/Drummond"," 27","Saint-Guillaume",24,15,6,83,57,2,187,275
"Drummond/Drummond"," 28","Saint-Guillaume",34,14,12,84,59,2,205,358
"Drummond/Drummond"," 29","Saint-Guillaume",31,11,1,56,37,3,139,240
"Drummond/Drummond"," 30","Saint-Guillaume",33,11,9,127,63,3,246,340
"Drummond/Drummond"," 31","Saint-Eugène",25,20,12,158,57,1,273,429
"Drummond/Drummond"," 32","Saint-Eugène",28,16,13,153,54,5,269,422
"Drummond/Drummond"," 33","Saint-Germain-de-Grantham",30,19,12,129,53,2,245,425
"Drummond/Drummond"," 34","Saint-Germain-de-Grantham",24,13,21,148,64,6,276,428
"Drummond/Drummond"," 35","Saint-Germain-de-Grantham",29,24,17,196,61,1,328,476
"Drummond/Drummond"," 36","Saint-Germain-de-Grantham",24,24,22,204,98,0,372,666
"Drummond/Drummond"," 37","Saint-Germain-de-Grantham",42,17,25,172,91,4,351,518
"Drummond/Drummond"," 38","Saint-Germain-de-Grantham",36,12,10,106,47,6,217,368
"Drummond/Drummond"," 39","Drummondville",34,16,20,129,67,7,273,459
"Drummond/Drummond"," 40","Drummondville",37,20,15,178,81,6,337,541
"Drummond/Drummond"," 41","Drummondville",26,14,12,150,49,2,253,537
"Drummond/Drummond"," 42","Drummondville",42,12,10,129,81,4,278,462
"Drummond/Drummond"," 43","Drummondville",33,46,18,222,90,4,413,632
"Drummond/Drummond"," 44","Drummondville",14,11,14,96,22,2,159,311
"Drummond/Drummond"," 45","Drummondville",16,8,13,138,59,5,239,500
"Drummond/Drummond"," 46","Drummondville",50,19,15,149,98,5,336,611
"Drummond/Drummond"," 47","Drummondville",31,21,10,97,32,2,193,419
"Drummond/Drummond"," 48","Drummondville",48,24,16,104,65,2,259,404
"Drummond/Drummond"," 49A","Drummondville",29,21,13,107,50,0,220,353
"Drummond/Drummond"," 49B","Drummondville",35,23,11,108,59,5,241,361
"Drummond/Drummond"," 50","Drummondville",26,17,13,165,51,3,275,666
"Drummond/Drummond"," 51A","Drummondville",29,9,3,87,39,2,169,365
"Drummond/Drummond"," 51B","Drummondville",29,8,5,89,49,1,181,364
"Drummond/Drummond"," 52","Drummondville",71,23,43,181,87,1,406,574
"Drummond/Drummond"," 53","Drummondville",46,15,19,98,61,7,246,398
"Drummond/Drummond"," 54","Drummondville",70,15,11,87,38,4,225,482
"Drummond/Drummond"," 55","Drummondville",48,14,27,80,47,0,216,310
"Drummond/Drummond"," 56","Drummondville",35,11,19,96,30,3,194,300
"Drummond/Drummond"," 57","Drummondville",28,14,20,66,59,0,187,313
"Drummond/Drummond"," 58","Drummondville",53,12,11,121,54,3,254,498
"Drummond/Drummond"," 59","Drummondville",50,13,13,113,62,5,256,472
"Drummond/Drummond"," 60","Drummondville",19,8,10,58,29,2,126,319
"Drummond/Drummond"," 61","Drummondville",30,17,8,95,47,2,199,321
"Drummond/Drummond"," 62","Drummondville",27,17,15,59,32,5,155,280
"Drummond/Drummond"," 63","Drummondville",29,13,18,68,31,8,167,312
"Drummond/Drummond"," 64","Drummondville",45,17,15,117,57,1,252,404
"Drummond/Drummond"," 65","Saint-Charles-de-Drummond",18,21,21,99,35,3,197,302
"Drummond/Drummond"," 66A","Saint-Charles-de-Drummond",25,18,8,106,61,3,221,358
"Drummond/Drummond"," 66B","Saint-Charles-de-Drummond",36,18,20,109,55,2,240,354
"Drummond/Drummond"," 66C","Saint-Charles-de-Drummond",30,26,20,129,51,4,260,391
"Drummond/Drummond"," 67","Saint-Charles-de-Drummond",19,16,15,125,53,4,232,389
"Drummond/Drummond"," 68","Saint-Charles-de-Drummond",32,38,26,181,97,8,382,587
"Drummond/Drummond"," 69","Saint-Charles-de-Drummond",37,3,7,75,36,3,161,250
"Drummond/Drummond"," 70","Saint-Charles-de-Drummond",20,9,9,124,53,1,216,316
"Drummond/Drummond"," 71","Saint-Charles-de-Drummond",50,15,17,137,49,3,271,418
"Drummond/Drummond"," 72A","Drummondville",28,14,10,118,57,2,229,531
"Drummond/Drummond"," 72B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,65
"Drummond/Drummond"," 73","Saint-Charles-de-Drummond",32,15,6,91,46,0,190,272
"Drummond/Drummond"," 74A","Saint-Charles-de-Drummond",29,12,10,109,45,3,208,340
"Drummond/Drummond"," 74B","Saint-Charles-de-Drummond",20,14,13,84,42,2,175,338
"Drummond/Drummond"," 75","Saint-Charles-de-Drummond",25,6,12,140,66,3,252,456
"Drummond/Drummond"," 76","Drummondville",22,6,10,77,26,3,144,264
"Drummond/Drummond"," 77","Drummondville",12,7,5,41,14,2,81,241
"Drummond/Drummond"," 78","Drummondville",29,9,20,81,38,2,179,381
"Drummond/Drummond"," 79","Drummondville",22,9,17,113,39,3,203,473
"Drummond/Drummond"," 80","Drummondville",31,6,2,67,21,3,130,323
"Drummond/Drummond"," 81","Drummondville",25,6,3,41,20,2,97,253
"Drummond/Drummond"," 82","Drummondville",33,5,3,57,39,2,139,273
"Drummond/Drummond"," 83","Drummondville",22,11,9,74,23,3,142,294
"Drummond/Drummond"," 84","Drummondville",20,13,4,85,20,5,147,326
"Drummond/Drummond"," 85","Drummondville",12,9,7,86,31,2,147,429
"Drummond/Drummond"," 86","Drummondville",22,12,11,77,36,0,158,331
"Drummond/Drummond"," 87","Drummondville",43,15,9,119,46,4,236,408
"Drummond/Drummond"," 88","Drummondville",25,15,8,57,33,3,141,290
"Drummond/Drummond"," 89","Drummondville",23,7,7,99,28,6,170,357
"Drummond/Drummond"," 90A","Drummondville",81,6,3,49,51,7,197,273
"Drummond/Drummond"," 90B","Drummondville",97,6,2,69,53,2,229,300
"Drummond/Drummond"," 91","Drummondville",43,5,5,99,33,3,188,375
"Drummond/Drummond"," 92","Drummondville",51,12,17,108,53,2,243,398
"Drummond/Drummond"," 93","Drummondville",46,12,14,128,45,4,249,472
"Drummond/Drummond"," 94","Drummondville",16,11,9,72,31,3,142,309
"Drummond/Drummond"," 95","Drummondville",31,13,9,105,39,9,206,405
"Drummond/Drummond"," 96","Drummondville",54,9,13,100,42,5,223,352
"Drummond/Drummond"," 97","Drummondville",43,12,16,104,49,4,228,379
"Drummond/Drummond"," 98","Drummondville",45,17,3,97,47,6,215,388
"Drummond/Drummond"," 99","Drummondville",22,23,12,100,63,5,225,412
"Drummond/Drummond"," 100","Drummondville",42,14,13,96,48,4,217,371
"Drummond/Drummond"," 101","Drummondville",24,15,17,131,49,1,237,511
"Drummond/Drummond"," 102","Drummondville",28,4,4,102,39,2,179,318
"Drummond/Drummond"," 103","Drummondville",23,15,7,102,35,2,184,344
"Drummond/Drummond"," 104","Drummondville",30,32,22,173,82,8,347,592
"Drummond/Drummond"," 105","Drummondville",34,24,19,111,56,7,251,398
"Drummond/Drummond"," 106","Drummondville",20,32,38,160,71,9,330,584
"Drummond/Drummond"," 107A","Drummondville",24,17,10,97,53,3,204,385
"Drummond/Drummond"," 107B","Drummondville",24,23,12,99,42,0,200,356
"Drummond/Drummond"," 108A","Drummondville",27,26,12,133,38,2,238,387
"Drummond/Drummond"," 108B","Drummondville",19,24,4,125,49,1,222,389
