Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymonde Folco,Alain Giguère,Qais Hamidi,Theodore Kouretas,Christiane Pichette,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Laval--Les Îles/Laval--Les Îles"," 1","Laval",41,16,49,8,147,0,4,265,610
"Laval--Les Îles/Laval--Les Îles"," 2","Laval",47,26,52,10,141,0,0,276,542
"Laval--Les Îles/Laval--Les Îles"," 3","Laval",27,15,16,4,110,0,0,172,367
"Laval--Les Îles/Laval--Les Îles"," 4","Laval",35,13,24,8,140,0,5,225,453
"Laval--Les Îles/Laval--Les Îles"," 5","Laval",28,12,34,13,128,0,5,220,408
"Laval--Les Îles/Laval--Les Îles"," 6","Laval",59,17,35,8,149,0,10,278,482
"Laval--Les Îles/Laval--Les Îles"," 7","Laval",34,21,25,2,127,0,8,217,405
"Laval--Les Îles/Laval--Les Îles"," 8","Laval",25,23,19,9,117,0,9,202,376
"Laval--Les Îles/Laval--Les Îles"," 9","Laval",39,23,27,6,135,0,5,235,451
"Laval--Les Îles/Laval--Les Îles"," 10","Laval",37,19,28,8,147,0,0,239,442
"Laval--Les Îles/Laval--Les Îles"," 11","Laval",39,11,14,4,106,0,7,181,399
"Laval--Les Îles/Laval--Les Îles"," 12","Laval",33,15,36,8,100,0,1,193,414
"Laval--Les Îles/Laval--Les Îles"," 13","Laval",66,16,32,8,122,0,6,250,446
"Laval--Les Îles/Laval--Les Îles"," 14","Laval",46,32,69,14,188,1,6,356,558
"Laval--Les Îles/Laval--Les Îles"," 15","Laval",34,11,30,3,72,0,0,150,218
"Laval--Les Îles/Laval--Les Îles"," 16","Laval",49,20,37,10,145,0,1,262,460
"Laval--Les Îles/Laval--Les Îles"," 17","Laval",39,13,45,9,109,0,2,217,421
"Laval--Les Îles/Laval--Les Îles"," 18","Laval",26,15,40,10,125,0,4,220,375
"Laval--Les Îles/Laval--Les Îles"," 19","Laval",97,23,64,16,149,0,3,352,586
"Laval--Les Îles/Laval--Les Îles"," 20","Laval",47,16,42,6,90,0,3,204,361
"Laval--Les Îles/Laval--Les Îles"," 21","Laval",34,14,28,11,93,1,4,185,324
"Laval--Les Îles/Laval--Les Îles"," 22","Laval",42,26,28,12,178,0,3,289,401
"Laval--Les Îles/Laval--Les Îles"," 23","Laval",52,20,50,11,157,0,3,293,489
"Laval--Les Îles/Laval--Les Îles"," 24","Laval",52,22,35,3,132,0,3,247,411
"Laval--Les Îles/Laval--Les Îles"," 25","Laval",33,17,32,11,104,0,4,201,371
"Laval--Les Îles/Laval--Les Îles"," 26","Laval",7,7,12,1,44,0,1,72,383
"Laval--Les Îles/Laval--Les Îles"," 27","Laval",51,20,52,10,161,0,3,297,476
"Laval--Les Îles/Laval--Les Îles"," 28","Laval",47,22,38,4,129,0,4,244,407
"Laval--Les Îles/Laval--Les Îles"," 29","Laval",49,16,49,15,170,1,5,305,517
"Laval--Les Îles/Laval--Les Îles"," 30","Laval",53,32,39,5,131,0,7,267,430
"Laval--Les Îles/Laval--Les Îles"," 31","Laval",31,13,28,5,110,0,0,187,354
"Laval--Les Îles/Laval--Les Îles"," 32","Laval",92,46,79,12,238,1,5,473,708
"Laval--Les Îles/Laval--Les Îles"," 33","Laval",49,16,36,3,118,0,7,229,351
"Laval--Les Îles/Laval--Les Îles"," 34","Laval",30,24,43,7,132,2,8,246,415
"Laval--Les Îles/Laval--Les Îles"," 35","Laval",39,23,61,7,160,1,7,298,421
"Laval--Les Îles/Laval--Les Îles"," 36","Laval",46,23,49,9,163,1,3,294,549
"Laval--Les Îles/Laval--Les Îles"," 37","Laval",25,19,54,3,197,1,9,308,445
"Laval--Les Îles/Laval--Les Îles"," 38","Laval",39,25,38,9,133,0,1,245,383
"Laval--Les Îles/Laval--Les Îles"," 39","Laval",51,23,41,2,67,1,5,190,313
"Laval--Les Îles/Laval--Les Îles"," 40A","Laval",67,23,47,9,161,1,6,314,487
