Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Odina Desrochers,Jacques Gourde,Eric Paradis,Shirley Picknell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 1","Leclercville",12,24,80,9,5,0,130,199
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 2","Leclercville",4,42,81,18,7,2,154,220
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 3A","Lotbinière",20,82,162,19,16,1,300,450
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 3B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,17
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 3C","Mobile poll/Bureau itinérant",Merged with No. 11B/Fusionné avec le nº 11B,,,,,,,12
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 4","Lotbinière",8,54,88,19,5,0,174,255
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 5","Saint-Édouard-de-Lotbinière",9,54,156,12,6,4,241,402
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 6","Saint-Édouard-de-Lotbinière",7,18,27,2,2,2,58,107
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 7","Saint-Édouard-de-Lotbinière",12,58,172,17,5,2,266,441
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 8A","Sainte-Croix",7,42,101,11,6,1,168,285
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 8B","Mobile poll/Bureau itinérant",Merged with No. 11B/Fusionné avec le nº 11B,,,,,,,22
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 9","Sainte-Croix",9,47,170,23,7,2,258,428
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 10","Sainte-Croix",6,65,115,4,7,5,202,409
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 11A","Sainte-Croix",19,78,132,7,7,1,244,393
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 11B","Mobile poll/Bureau itinérant",0,15,32,15,0,1,63,34
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 12","Sainte-Croix",10,51,85,6,7,3,162,302
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 13","Saint-Antoine-de-Tilly",17,91,131,13,8,3,263,372
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 14","Saint-Antoine-de-Tilly",25,99,133,6,16,1,280,433
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 15","Saint-Antoine-de-Tilly",19,94,91,15,12,1,232,351
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 16","Saint-Apollinaire",16,88,144,19,13,3,283,510
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 17","Saint-Apollinaire",22,96,157,12,9,1,297,490
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 18A","Saint-Apollinaire",10,52,133,20,6,1,222,387
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 18B","Mobile poll/Bureau itinérant",Merged with No. 36B/Fusionné avec le nº 36B,,,,,,,21
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 19","Saint-Apollinaire",11,58,136,6,3,1,215,382
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 20","Saint-Apollinaire",16,76,150,32,7,3,284,535
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 21A","Saint-Apollinaire",12,61,111,8,7,4,203,334
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 21B","Saint-Apollinaire",5,68,85,2,4,0,164,295
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 22","Saint-Apollinaire",15,86,172,7,10,5,295,502
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 23","Saint-Agapit",13,70,242,12,10,3,350,522
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 24","Saint-Agapit",20,63,239,18,15,7,362,489
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 25","Saint-Agapit",1,22,81,11,6,2,123,211
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 26A","Saint-Agapit",14,53,143,21,4,1,236,330
